Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Description	Characteristics[Ecotype]	Characteristics[DevelopmentalStage]	Characteristics[Age]	Unit[TimeUnit]	Characteristics[Genotype]	Characteristics[OrganismPart]	Protocol REF	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[COMPOUND]
GSE5696GSM133253	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	de-etiolated:  na. Stock Code: N6159; Developmental stage: 7-day-old seedlings; Tissue: whole plant; Genetic background: Col	Col	seedling	7	days	det2-1	whole organism	P-G5696-2	GSE5696GSM133253 sample	GSE5696GSM133253 extract	total_RNA	GSE5696GSM133253 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	RIKEN-GODA11A-6	A-AFFY-2	P-AFFY-6	RIKEN-GODA11A-6	GSM133253.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5696/E-GEOD-5696.raw.1.zip	E-GEOD-5696-processed-data-1628546415.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5696/E-GEOD-5696.processed.1.zip	6-deoxocastasterone
GSE5696GSM133254	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	de-etiolated:  na. Stock Code: N6159; Developmental stage: 7-day-old seedlings; Tissue: whole plant; Genetic background: Col	Col	seedling	7	days	det2-1	whole organism	P-G5696-2	GSE5696GSM133254 sample	GSE5696GSM133254 extract	total_RNA	GSE5696GSM133254 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	RIKEN-GODA11B-6	A-AFFY-2	P-AFFY-6	RIKEN-GODA11B-6	GSM133254.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5696/E-GEOD-5696.raw.1.zip	E-GEOD-5696-processed-data-1628546415.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5696/E-GEOD-5696.processed.1.zip	6-deoxocastasterone
GSE5696GSM133255	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	de-etiolated:  na. Stock Code: N6159; Developmental stage: 7-day-old seedlings; Tissue: whole plant; Genetic background: Col	Col	seedling	7	days	det2-1	whole organism	P-G5696-3	GSE5696GSM133255 sample	GSE5696GSM133255 extract	total_RNA	GSE5696GSM133255 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	RIKEN-GODA12A-6	A-AFFY-2	P-AFFY-6	RIKEN-GODA12A-6	GSM133255.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5696/E-GEOD-5696.raw.1.zip	E-GEOD-5696-processed-data-1628546415.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5696/E-GEOD-5696.processed.1.zip	castasterone
GSE5696GSM133256	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	de-etiolated:  na. Stock Code: N6159; Developmental stage: 7-day-old seedlings; Tissue: whole plant; Genetic background: Col	Col	seedling	7	days	det2-1	whole organism	P-G5696-3	GSE5696GSM133256 sample	GSE5696GSM133256 extract	total_RNA	GSE5696GSM133256 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	RIKEN-GODA12B-6	A-AFFY-2	P-AFFY-6	RIKEN-GODA12B-6	GSM133256.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5696/E-GEOD-5696.raw.1.zip	E-GEOD-5696-processed-data-1628546415.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5696/E-GEOD-5696.processed.1.zip	castasterone
GSE5696GSM133257	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	de-etiolated:  na. Stock Code: N6159; Developmental stage: 7-day-old seedlings; Tissue: whole plant; Genetic background: Col	Col	seedling	7	days	det2-1	whole organism	P-G5696-4	GSE5696GSM133257 sample	GSE5696GSM133257 extract	total_RNA	GSE5696GSM133257 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	RIKEN-GODA13A-6	A-AFFY-2	P-AFFY-6	RIKEN-GODA13A-6	GSM133257.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5696/E-GEOD-5696.raw.1.zip	E-GEOD-5696-processed-data-1628546415.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5696/E-GEOD-5696.processed.1.zip	brassinolide
GSE5696GSM133258	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	de-etiolated:  na. Stock Code: N6159; Developmental stage: 7-day-old seedlings; Tissue: whole plant; Genetic background: Col	Col	seedling	7	days	det2-1	whole organism	P-G5696-4	GSE5696GSM133258 sample	GSE5696GSM133258 extract	total_RNA	GSE5696GSM133258 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	RIKEN-GODA13B-6	A-AFFY-2	P-AFFY-6	RIKEN-GODA13B-6	GSM133258.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5696/E-GEOD-5696.raw.1.zip	E-GEOD-5696-processed-data-1628546415.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5696/E-GEOD-5696.processed.1.zip	brassinolide
GSE5696GSM133259	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	de-etiolated:  na. Stock Code: N6159; Developmental stage: 7-day-old seedlings; Tissue: whole plant; Genetic background: Col	Col	seedling	7	days	det2-1	whole organism	P-G5696-5	GSE5696GSM133259 sample	GSE5696GSM133259 extract	total_RNA	GSE5696GSM133259 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	RIKEN-GODA1A-6	A-AFFY-2	P-AFFY-6	RIKEN-GODA1A-6	GSM133259.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5696/E-GEOD-5696.raw.1.zip	E-GEOD-5696-processed-data-1628546415.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5696/E-GEOD-5696.processed.1.zip	none
GSE5696GSM133260	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	de-etiolated:  na. Stock Code: N6159; Developmental stage: 7-day-old seedlings; Tissue: whole plant; Genetic background: Col	Col	seedling	7	days	det2-1	whole organism	P-G5696-5	GSE5696GSM133260 sample	GSE5696GSM133260 extract	total_RNA	GSE5696GSM133260 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	RIKEN-GODA1B-6	A-AFFY-2	P-AFFY-6	RIKEN-GODA1B-6	GSM133260.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5696/E-GEOD-5696.raw.1.zip	E-GEOD-5696-processed-data-1628546415.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5696/E-GEOD-5696.processed.1.zip	none
GSE5696GSM133262	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	de-etiolated:  na. Stock Code: N6159; Developmental stage: 7-day-old seedlings; Tissue: whole plant; Genetic background: Col	Col	seedling	7	days	det2-1	whole organism	P-G5696-6	GSE5696GSM133262 sample	GSE5696GSM133262 extract	total_RNA	GSE5696GSM133262 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	RIKEN-GODA2B-6	A-AFFY-2	P-AFFY-6	RIKEN-GODA2B-6	GSM133262.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5696/E-GEOD-5696.raw.1.zip	E-GEOD-5696-processed-data-1628546415.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5696/E-GEOD-5696.processed.1.zip	campestanol
GSE5696GSM133261	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	de-etiolated:  na. Stock Code: N6159; Developmental stage: 7-day-old seedlings; Tissue: whole plant; Genetic background: Col	Col	seedling	7	days	det2-1	whole organism	P-G5696-6	GSE5696GSM133261 sample	GSE5696GSM133261 extract	total_RNA	GSE5696GSM133261 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	RIKEN-GODA2A-6	A-AFFY-2	P-AFFY-6	RIKEN-GODA2A-6	GSM133261.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5696/E-GEOD-5696.raw.1.zip	E-GEOD-5696-processed-data-1628546415.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5696/E-GEOD-5696.processed.1.zip	campestanol
GSE5696GSM133264	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	de-etiolated:  na. Stock Code: N6159; Developmental stage: 7-day-old seedlings; Tissue: whole plant; Genetic background: Col	Col	seedling	7	days	det2-1	whole organism	P-G5696-7	GSE5696GSM133264 sample	GSE5696GSM133264 extract	total_RNA	GSE5696GSM133264 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	RIKEN-GODA3B-6	A-AFFY-2	P-AFFY-6	RIKEN-GODA3B-6	GSM133264.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5696/E-GEOD-5696.raw.1.zip	E-GEOD-5696-processed-data-1628546415.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5696/E-GEOD-5696.processed.1.zip	6-deoxocathasterone
GSE5696GSM133263	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	de-etiolated:  na. Stock Code: N6159; Developmental stage: 7-day-old seedlings; Tissue: whole plant; Genetic background: Col	Col	seedling	7	days	det2-1	whole organism	P-G5696-7	GSE5696GSM133263 sample	GSE5696GSM133263 extract	total_RNA	GSE5696GSM133263 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	RIKEN-GODA3A-6	A-AFFY-2	P-AFFY-6	RIKEN-GODA3A-6	GSM133263.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5696/E-GEOD-5696.raw.1.zip	E-GEOD-5696-processed-data-1628546415.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5696/E-GEOD-5696.processed.1.zip	6-deoxocathasterone
GSE5696GSM133265	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	de-etiolated:  na. Stock Code: N6159; Developmental stage: 7-day-old seedlings; Tissue: whole plant; Genetic background: Col	Col	seedling	7	days	det2-1	whole organism	P-G5696-8	GSE5696GSM133265 sample	GSE5696GSM133265 extract	total_RNA	GSE5696GSM133265 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	RIKEN-GODA4A-6	A-AFFY-2	P-AFFY-6	RIKEN-GODA4A-6	GSM133265.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5696/E-GEOD-5696.raw.1.zip	E-GEOD-5696-processed-data-1628546415.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5696/E-GEOD-5696.processed.1.zip	cathasterone
GSE5696GSM133266	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	de-etiolated:  na. Stock Code: N6159; Developmental stage: 7-day-old seedlings; Tissue: whole plant; Genetic background: Col	Col	seedling	7	days	det2-1	whole organism	P-G5696-8	GSE5696GSM133266 sample	GSE5696GSM133266 extract	total_RNA	GSE5696GSM133266 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	RIKEN-GODA4B-6	A-AFFY-2	P-AFFY-6	RIKEN-GODA4B-6	GSM133266.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5696/E-GEOD-5696.raw.1.zip	E-GEOD-5696-processed-data-1628546415.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5696/E-GEOD-5696.processed.1.zip	cathasterone
GSE5696GSM133268	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	de-etiolated:  na. Stock Code: N6159; Developmental stage: 7-day-old seedlings; Tissue: whole plant; Genetic background: Col	Col	seedling	7	days	det2-1	whole organism	P-G5696-9	GSE5696GSM133268 sample	GSE5696GSM133268 extract	total_RNA	GSE5696GSM133268 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	RIKEN-GODA5B-6	A-AFFY-2	P-AFFY-6	RIKEN-GODA5B-6	GSM133268.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5696/E-GEOD-5696.raw.1.zip	E-GEOD-5696-processed-data-1628546415.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5696/E-GEOD-5696.processed.1.zip	6-deocoteasterone
GSE5696GSM133267	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	de-etiolated:  na. Stock Code: N6159; Developmental stage: 7-day-old seedlings; Tissue: whole plant; Genetic background: Col	Col	seedling	7	days	det2-1	whole organism	P-G5696-9	GSE5696GSM133267 sample	GSE5696GSM133267 extract	total_RNA	GSE5696GSM133267 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	RIKEN-GODA5A-6	A-AFFY-2	P-AFFY-6	RIKEN-GODA5A-6	GSM133267.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5696/E-GEOD-5696.raw.1.zip	E-GEOD-5696-processed-data-1628546415.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5696/E-GEOD-5696.processed.1.zip	6-deocoteasterone
