Source Name	Characteristics [DevelopmentalStage]	Characteristics [OrganismPart]	Characteristics [SampleType]	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [Genotype]	Characteristics [Ecotype]	Characteristics [BioSourceProvider]	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Comment [Array Design URI]	Protocol REF	Factor Value [duration]	Factor Value [replicate]	Factor Value [ecotype]	Factor Value [treatment]	Factor Value [genotype]	Factor Value [photoperiod]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]
BioSource:ft-2_5_2	rosett stage	apical region	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	mutant	ft (CS184)	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ft-2_5_2	nucleic_acid	P-AFFY-2	LabeledExtract:ft-2_5_2	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-8:ft-5-2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	5	2	ft (CS184)	5 days long day condition	mutant	long day	ft-5-2	E-AFMX-8-raw-data-365445074.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-8/E-AFMX-8.raw.1.zip
BioSource:Ler_5_1	rosett stage	apical region	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	Ler with an AG::GUS reporter	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:Ler_5_1	nucleic_acid	P-AFFY-2	LabeledExtract:Ler_5_1	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-8:Ler-5-1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	5	1	Ler with an AG::GUS reporter	5 days long day condition	wild_type	long day	Ler-5-1	E-AFMX-8-raw-data-365445319.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-8/E-AFMX-8.raw.2.zip
BioSource:co-2_5_1	rosett stage	apical region	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	mutant	co (CS175)	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:co-2_5_1	nucleic_acid	P-AFFY-2	LabeledExtract:co-2_5_1	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-8:co-5-1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	5	1	co (CS175)	5 days long day condition	mutant	long day	co-5-1	E-AFMX-8-raw-data-365444479.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-8/E-AFMX-8.raw.2.zip
BioSource:Col-0_7_1	rosett stage	apical region	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	Col-0 wildtype with an AG::GUS reporter	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:Col-0_7_1	nucleic_acid	P-AFFY-2	LabeledExtract:Col-0_7_1	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-8:Col-7-1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	7	1	Col-0 wildtype with an AG::GUS reporter	7 days long day condition	wild_type	long day	Col-7-1	E-AFMX-8-raw-data-365444829.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-8/E-AFMX-8.raw.2.zip
BioSource:Col-0_3_2	rosett stage	apical region	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	Col-0 wildtype with an AG::GUS reporter	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:Col-0_3_2	nucleic_acid	P-AFFY-2	LabeledExtract:Col-0_3_2	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-8:Col-3-2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	3	2	Col-0 wildtype with an AG::GUS reporter	3 days long day condition	wild_type	long day	Col-3-2	E-AFMX-8-raw-data-365444724.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-8/E-AFMX-8.raw.2.zip
BioSource:lfy-12_5_2	 rosett stage	 apical region	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	mutant	lfy-12	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:lfy-12_5_2	nucleic_acid	P-AFFY-2	LabeledExtract:lfy-12_5_2	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-8:lfy-5-2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	5	2	lfy-12	5 days long day condition	mutant	long day	lfy-5-2	E-AFMX-8-raw-data-365445634.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-8/E-AFMX-8.raw.2.zip
BioSource:co-2_7_2	rosett stage	apical region	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	mutant	co (CS175)	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:co-2_7_2	nucleic_acid	P-AFFY-2	LabeledExtract:co-2_7_2	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-8:co-7-2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	7	2	co (CS175)	7 days long day condition	mutant	long day	co-7-2	E-AFMX-8-raw-data-365444584.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-8/E-AFMX-8.raw.2.zip
BioSource:Ler_0_1	rosett stage	apical region	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	Ler with an AG::GUS reporter	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:Ler_0_1	nucleic_acid	P-AFFY-2	LabeledExtract:Ler_0_1	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-8:Ler-0-1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	none	1	Ler with an AG::GUS reporter	no treatment	wild_type	short day	Ler-0-1	E-AFMX-8-raw-data-365445179.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-8/E-AFMX-8.raw.2.zip
BioSource:ft-2_3_1	rosett stage	apical region	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	mutant	ft (CS184)	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ft-2_3_1	nucleic_acid	P-AFFY-2	LabeledExtract:ft-2_3_1	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-8:ft-3-1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	3	1	ft (CS184)	3 days long day condition	mutant	long day	ft-3-1	E-AFMX-8-raw-data-365444969.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-8/E-AFMX-8.raw.2.zip
BioSource:lfy-12_0_1	 rosett stage	 apical region	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	mutant	lfy-12	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:lfy-12_0_1	nucleic_acid	P-AFFY-2	LabeledExtract:lfy-12_0_1	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-8:lfy-0-1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	none	1	lfy-12	no treatment	mutant	short day	lfy-0-1	E-AFMX-8-raw-data-365445459.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-8/E-AFMX-8.raw.2.zip
BioSource:co-2_0_2	rosett stage	apical region	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	mutant	co (CS175)	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:co-2_0_2	nucleic_acid	P-AFFY-2	LabeledExtract:co-2_0_2	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-8:co-0-2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	none	2	co (CS175)	no treatment	mutant	short day	co-0-2	E-AFMX-8-raw-data-365444374.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-8/E-AFMX-8.raw.2.zip
BioSource:lfy-12_5_1	 rosett stage	 apical region	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	mutant	lfy-12	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:lfy-12_5_1	nucleic_acid	P-AFFY-2	LabeledExtract:lfy-12_5_1	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-8:lfy-5-1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	5	1	lfy-12	5 days long day condition	mutant	long day	lfy-5-1	E-AFMX-8-raw-data-365445599.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-8/E-AFMX-8.raw.2.zip
BioSource:Col-0_7_2	rosett stage	apical region	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	Col-0 wildtype with an AG::GUS reporter	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:Col-0_7_2	nucleic_acid	P-AFFY-2	LabeledExtract:Col-0_7_2	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-8:Col-7-2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	7	2	Col-0 wildtype with an AG::GUS reporter	7 days long day condition	wild_type	long day	Col-7-2	E-AFMX-8-raw-data-365444864.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-8/E-AFMX-8.raw.2.zip
BioSource:lfy-12_3_1	 rosett stage	 apical region	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	mutant	lfy-12	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:lfy-12_3_1	nucleic_acid	P-AFFY-2	LabeledExtract:lfy-12_3_1	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-8:lfy-3-1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	3	1	lfy-12	3 days long day condition	mutant	long day	lfy-3-1	E-AFMX-8-raw-data-365445529.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-8/E-AFMX-8.raw.3.zip
BioSource:Col-0_0_1	rosett stage	apical region	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	Col-0 wildtype with an AG::GUS reporter	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:Col-0_0_1	nucleic_acid	P-AFFY-2	LabeledExtract:Col-0_0_1	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-8:Col-0-1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	none	1	Col-0 wildtype with an AG::GUS reporter	no treatment	wild_type	short day	Col-0-1	E-AFMX-8-raw-data-365444619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-8/E-AFMX-8.raw.3.zip
BioSource:co-2_3_2	rosett stage	apical region	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	mutant	co (CS175)	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:co-2_3_2	nucleic_acid	P-AFFY-2	LabeledExtract:co-2_3_2	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-8:co-3-2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	3	2	co (CS175)	3 days long day condition	mutant	long day	co-3-2	E-AFMX-8-raw-data-365444444.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-8/E-AFMX-8.raw.3.zip
BioSource:Col-0_5_1	rosett stage	apical region	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	Col-0 wildtype with an AG::GUS reporter	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:Col-0_5_1	nucleic_acid	P-AFFY-2	LabeledExtract:Col-0_5_1	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-8:Col-5-1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	5	1	Col-0 wildtype with an AG::GUS reporter	5 days long day condition	wild_type	long day	Col-5-1	E-AFMX-8-raw-data-365444759.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-8/E-AFMX-8.raw.3.zip
BioSource:Ler_7_2	 rosett stage	 apical region	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	Ler with an AG::GUS reporter	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:Ler_7_2	nucleic_acid	P-AFFY-2	LabeledExtract:Ler_7_2	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-8:Ler-7-2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	7	2	Ler with an AG::GUS reporter	7 days long day condition	wild_type	long day	Ler-7-2	E-AFMX-8-raw-data-365445424.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-8/E-AFMX-8.raw.3.zip
BioSource:ft-2_3_2	rosett stage	apical region	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	mutant	ft (CS184)	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ft-2_3_2	nucleic_acid	P-AFFY-2	LabeledExtract:ft-2_3_2	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-8:ft-3-2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	3	2	ft (CS184)	3 days long day condition	mutant	long day	ft-3-2	E-AFMX-8-raw-data-365445004.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-8/E-AFMX-8.raw.3.zip
BioSource:co-2_0_1	rosett stage	apical region	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	mutant	co (CS175)	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:co-2_0_1	nucleic_acid	P-AFFY-2	LabeledExtract:co-2_0_1	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-8:co-0-1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	none	1	co (CS175)	no treatment	mutant	short day	co-0-1	E-AFMX-8-raw-data-365444339.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-8/E-AFMX-8.raw.3.zip
