Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Provider	Characteristics[BioSourceType]	Characteristics[DevelopmentalStage]	Term Source REF	Term Accession Number	Characteristics[OrganismPart]	Term Source REF	Term Accession Number	Characteristics[Genotype]	Characteristics[TargetedCellType]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	LabeledExtract Name	Label	Hybridization Name	Array Design REF	Array Data File	Comment [ArrayExpress FTP file]	Factor Value[COMPOUND]	Term Source REF	Term Accession Number	Factor Value[DOSE]	Unit[ConcentrationUnit]
5A-AtRD29A_GSMT-DMT-no treatment	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	IARI, New Delhi-12	frozen_sample	adult	EFO	EFO_0001272	Leaf	EFO	EFO_0000993	AtRD29A:GSMT/DMT	green leaf	P-MTAB-16438	P-MTAB-16440	P-MTAB-16439	5A-AtRD29A_GSMT-DMT-no treatment	total_RNA	5A-AtRD29A_GSMT-DMT-no treatment	biotin	E1	A-AFFY-2	5-1_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2858/E-MEXP-2858.raw.1.zip	control	EFO	EFO_0001461	control	mM
5B-AtRD29A_GSMT-DMT-no treatment	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	IARI, New Delhi-12	frozen_sample	adult	EFO	EFO_0001272	Leaf	EFO	EFO_0000993	AtRD29A:GSMT/DMT	green leaf	P-MTAB-16438	P-MTAB-16440	P-MTAB-16439	5B-AtRD29A_GSMT-DMT-no treatment	total_RNA	5B-AtRD29A_GSMT-DMT-no treatment	biotin	E2	A-AFFY-2	5-1_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2858/E-MEXP-2858.raw.1.zip	control	EFO	EFO_0001461	control	mM
6A-AtRD29A_GSMT-DMT-NaCl treatment	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	IARI, New Delhi-12	frozen_sample	adult	EFO	EFO_0001272	Leaf	EFO	EFO_0000993	AtRD29A:GSMT/DMT	green leaf	P-MTAB-16438	P-MTAB-16440	P-MTAB-16439	6A-AtRD29A_GSMT-DMT-NaCl treatment	total_RNA	6A-AtRD29A_GSMT-DMT-NaCl treatment	biotin	F1	A-AFFY-2	6-1_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2858/E-MEXP-2858.raw.1.zip	NaCl	  	  	200	mM
6B-AtRD29A_GSMT-DMT-NaCl treatment	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	IARI, New Delhi-12	frozen_sample	adult	EFO	EFO_0001272	Leaf	EFO	EFO_0000993	AtRD29A:GSMT/DMT	green leaf	P-MTAB-16438	P-MTAB-16440	P-MTAB-16439	6B-AtRD29A_GSMT-DMT-NaCl treatment	total_RNA	6B-AtRD29A_GSMT-DMT-NaCl treatment	biotin	F2	A-AFFY-2	6-1_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2858/E-MEXP-2858.raw.1.zip	NaCl	  	  	200	mM
6C-AtRD29A_GSMT-DMT-NaCl treatment	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	IARI, New Delhi-12	frozen_sample	adult	EFO	EFO_0001272	Leaf	EFO	EFO_0000993	AtRD29A:GSMT/DMT	green leaf	P-MTAB-16438	P-MTAB-16440	P-MTAB-16439	6C-AtRD29A_GSMT-DMT-NaCl treatment	total_RNA	6C-AtRD29A_GSMT-DMT-NaCl treatment	biotin	F3	A-AFFY-2	6-1_C.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2858/E-MEXP-2858.raw.1.zip	NaCl	  	  	200	mM
7A-AtlLEA1_GSMT-DMT-no treatment	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	IARI, New Delhi-12	frozen_sample	adult	EFO	EFO_0001272	Leaf	EFO	EFO_0000993	AtlLEA1:GSMT/DMT	green leaf	P-MTAB-16438	P-MTAB-16440	P-MTAB-16439	7A-AtlLEA1_GSMT-DMT-no treatment	total_RNA	7A-AtlLEA1_GSMT-DMT-no treatment	biotin	G1	A-AFFY-2	7-2_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2858/E-MEXP-2858.raw.1.zip	control	EFO	EFO_0001461	control	mM
7B-AtlLEA1_GSMT-DMT-no treatment	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	IARI, New Delhi-12	frozen_sample	adult	EFO	EFO_0001272	Leaf	EFO	EFO_0000993	AtlLEA1:GSMT/DMT	green leaf	P-MTAB-16438	P-MTAB-16440	P-MTAB-16439	7B-AtlLEA1_GSMT-DMT-no treatment	total_RNA	7B-AtlLEA1_GSMT-DMT-no treatment	biotin	G2	A-AFFY-2	7-2_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2858/E-MEXP-2858.raw.1.zip	control	EFO	EFO_0001461	control	mM
8A-AtlLEA1_GSMT-DMT-NaCl treatment	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	IARI, New Delhi-12	frozen_sample	adult	EFO	EFO_0001272	Leaf	EFO	EFO_0000993	AtlLEA1:GSMT/DMT	green leaf	P-MTAB-16438	P-MTAB-16440	P-MTAB-16439	8A-AtlLEA1_GSMT-DMT-NaCl treatment	total_RNA	8A-AtlLEA1_GSMT-DMT-NaCl treatment	biotin	H1	A-AFFY-2	8-1_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2858/E-MEXP-2858.raw.1.zip	NaCl	  	  	200	mM
8B-AtlLEA1_GSMT-DMT-NaCl treatment	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	IARI, New Delhi-12	frozen_sample	adult	EFO	EFO_0001272	Leaf	EFO	EFO_0000993	AtlLEA1:GSMT/DMT	green leaf	P-MTAB-16438	P-MTAB-16440	P-MTAB-16439	8B-AtlLEA1_GSMT-DMT-NaCl treatment	total_RNA	8B-AtlLEA1_GSMT-DMT-NaCl treatment	biotin	H2	A-AFFY-2	8-1_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2858/E-MEXP-2858.raw.1.zip	NaCl	  	  	200	mM
8C-AtlLEA1_GSMT-DMT-NaCl treatment	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	IARI, New Delhi-12	frozen_sample	adult	EFO	EFO_0001272	Leaf	EFO	EFO_0000993	AtlLEA1:GSMT/DMT	green leaf	P-MTAB-16438	P-MTAB-16440	P-MTAB-16439	8C-AtlLEA1_GSMT-DMT-NaCl treatment	total_RNA	8C-AtlLEA1_GSMT-DMT-NaCl treatment	biotin	H3	A-AFFY-2	8-2_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2858/E-MEXP-2858.raw.1.zip	NaCl	  	  	200	mM
