Source Name	Material Type	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [developmental stage]	Characteristics[age]	Unit[time unit]	Characteristics [ecotype]	Characteristics [genotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics[time]	Unit[time unit]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	Factor Value [block]	Factor Value[time]	Unit[time unit]
GSM761648 1	whole organism	Collection day one	35S::GR-REV seedlings, 120min DEX treatment	GR-REV_120min_biorep2	seedling	7	day	Columbia	35S::GR-REV	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	120	minute	P-GSE30702-2	ArrayExpress	P-GSE30702-3	ArrayExpress	P-GSE30702-4	ArrayExpress	GSM761648 extract 1	total RNA	P-GSE30702-5	ArrayExpress	GSM761648 LE 1	biotin	P-GSE30702-6	ArrayExpress	GSM761648	A-AFFY-2	ArrayExpress	array assay	P-GSE30702-7	ArrayExpress	GSM761648.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30702/E-GEOD-30702.raw.1.zip	P-GSE30702-1	ArrayExpress	GSM761648_sample_table.txt norm	GSM761648_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30702/E-GEOD-30702.processed.1.zip	trasngenic REVOLUTA fused to GR domain	Collection day one	120	minute
GSM761647 1	whole organism	Collection day one	35S::GR-REV seedlings, 120min DEX treatment	GR-REV_120min_biorep1	seedling	7	day	Columbia	35S::GR-REV	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	120	minute	P-GSE30702-2	ArrayExpress	P-GSE30702-3	ArrayExpress	P-GSE30702-4	ArrayExpress	GSM761647 extract 1	total RNA	P-GSE30702-5	ArrayExpress	GSM761647 LE 1	biotin	P-GSE30702-6	ArrayExpress	GSM761647	A-AFFY-2	ArrayExpress	array assay	P-GSE30702-7	ArrayExpress	GSM761647.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30702/E-GEOD-30702.raw.1.zip	P-GSE30702-1	ArrayExpress	GSM761647_sample_table.txt norm	GSM761647_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30702/E-GEOD-30702.processed.1.zip	trasngenic REVOLUTA fused to GR domain	Collection day one	120	minute
GSM761646 1	whole organism	Collection day one	35S::GR-REV seedlings, 60min DEX treatment	GR-REV_60min_biorep3	seedling	7	day	Columbia	35S::GR-REV	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	60	minute	P-GSE30702-2	ArrayExpress	P-GSE30702-3	ArrayExpress	P-GSE30702-4	ArrayExpress	GSM761646 extract 1	total RNA	P-GSE30702-5	ArrayExpress	GSM761646 LE 1	biotin	P-GSE30702-6	ArrayExpress	GSM761646	A-AFFY-2	ArrayExpress	array assay	P-GSE30702-7	ArrayExpress	GSM761646.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30702/E-GEOD-30702.raw.1.zip	P-GSE30702-1	ArrayExpress	GSM761646_sample_table.txt norm	GSM761646_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30702/E-GEOD-30702.processed.1.zip	trasngenic REVOLUTA fused to GR domain	Collection day one	60	minute
GSM761645 1	whole organism	Collection day one	35S::GR-REV seedlings, 60min DEX treatment	GR-REV_60min_biorep2	seedling	7	day	Columbia	35S::GR-REV	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	60	minute	P-GSE30702-2	ArrayExpress	P-GSE30702-3	ArrayExpress	P-GSE30702-4	ArrayExpress	GSM761645 extract 1	total RNA	P-GSE30702-5	ArrayExpress	GSM761645 LE 1	biotin	P-GSE30702-6	ArrayExpress	GSM761645	A-AFFY-2	ArrayExpress	array assay	P-GSE30702-7	ArrayExpress	GSM761645.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30702/E-GEOD-30702.raw.1.zip	P-GSE30702-1	ArrayExpress	GSM761645_sample_table.txt norm	GSM761645_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30702/E-GEOD-30702.processed.1.zip	trasngenic REVOLUTA fused to GR domain	Collection day one	60	minute
GSM761644 1	whole organism	Collection day one	35S::GR-REV seedlings, 60min DEX treatment	GR-REV_60min_biorep1	seedling	7	day	Columbia	35S::GR-REV	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	60	minute	P-GSE30702-2	ArrayExpress	P-GSE30702-3	ArrayExpress	P-GSE30702-4	ArrayExpress	GSM761644 extract 1	total RNA	P-GSE30702-5	ArrayExpress	GSM761644 LE 1	biotin	P-GSE30702-6	ArrayExpress	GSM761644	A-AFFY-2	ArrayExpress	array assay	P-GSE30702-7	ArrayExpress	GSM761644.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30702/E-GEOD-30702.raw.1.zip	P-GSE30702-1	ArrayExpress	GSM761644_sample_table.txt norm	GSM761644_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30702/E-GEOD-30702.processed.1.zip	trasngenic REVOLUTA fused to GR domain	Collection day one	60	minute
GSM761643 1	whole organism	Collection day one	35S::GR-REV seedlings, 30min DEX treatment	GR-REV_30min_biorep3	seedling	7	day	Columbia	35S::GR-REV	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	30	minute	P-GSE30702-2	ArrayExpress	P-GSE30702-3	ArrayExpress	P-GSE30702-4	ArrayExpress	GSM761643 extract 1	total RNA	P-GSE30702-5	ArrayExpress	GSM761643 LE 1	biotin	P-GSE30702-6	ArrayExpress	GSM761643	A-AFFY-2	ArrayExpress	array assay	P-GSE30702-7	ArrayExpress	GSM761643.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30702/E-GEOD-30702.raw.1.zip	P-GSE30702-1	ArrayExpress	GSM761643_sample_table.txt norm	GSM761643_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30702/E-GEOD-30702.processed.1.zip	trasngenic REVOLUTA fused to GR domain	Collection day one	30	minute
GSM761642 1	whole organism	Collection day one	35S::GR-REV seedlings, 30min DEX treatment	GR-REV_30min_biorep2	seedling	7	day	Columbia	35S::GR-REV	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	30	minute	P-GSE30702-2	ArrayExpress	P-GSE30702-3	ArrayExpress	P-GSE30702-4	ArrayExpress	GSM761642 extract 1	total RNA	P-GSE30702-5	ArrayExpress	GSM761642 LE 1	biotin	P-GSE30702-6	ArrayExpress	GSM761642	A-AFFY-2	ArrayExpress	array assay	P-GSE30702-7	ArrayExpress	GSM761642.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30702/E-GEOD-30702.raw.1.zip	P-GSE30702-1	ArrayExpress	GSM761642_sample_table.txt norm	GSM761642_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30702/E-GEOD-30702.processed.1.zip	trasngenic REVOLUTA fused to GR domain	Collection day one	30	minute
GSM761641 1	whole organism	Collection day one	35S::GR-REV seedlings, 30min DEX treatment	GR-REV_30min_biorep1	seedling	7	day	Columbia	35S::GR-REV	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	30	minute	P-GSE30702-2	ArrayExpress	P-GSE30702-3	ArrayExpress	P-GSE30702-4	ArrayExpress	GSM761641 extract 1	total RNA	P-GSE30702-5	ArrayExpress	GSM761641 LE 1	biotin	P-GSE30702-6	ArrayExpress	GSM761641	A-AFFY-2	ArrayExpress	array assay	P-GSE30702-7	ArrayExpress	GSM761641.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30702/E-GEOD-30702.raw.1.zip	P-GSE30702-1	ArrayExpress	GSM761641_sample_table.txt norm	GSM761641_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30702/E-GEOD-30702.processed.1.zip	trasngenic REVOLUTA fused to GR domain	Collection day one	30	minute
GSM761640 1	whole organism	Collection day one	35S::GR-REV seedlings, 0min DEX treatment	GR-REV_0min_biorep3	seedling	7	day	Columbia	35S::GR-REV	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	0	minute	P-GSE30702-2	ArrayExpress	P-GSE30702-3	ArrayExpress	P-GSE30702-4	ArrayExpress	GSM761640 extract 1	total RNA	P-GSE30702-5	ArrayExpress	GSM761640 LE 1	biotin	P-GSE30702-6	ArrayExpress	GSM761640	A-AFFY-2	ArrayExpress	array assay	P-GSE30702-7	ArrayExpress	GSM761640.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30702/E-GEOD-30702.raw.1.zip	P-GSE30702-1	ArrayExpress	GSM761640_sample_table.txt norm	GSM761640_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30702/E-GEOD-30702.processed.1.zip	trasngenic REVOLUTA fused to GR domain	Collection day one	0	minute
GSM761639 1	whole organism	Collection day one	35S::GR-REV seedlings, 0min DEX treatment	GR-REV_0min_biorep2	seedling	7	day	Columbia	35S::GR-REV	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	0	minute	P-GSE30702-2	ArrayExpress	P-GSE30702-3	ArrayExpress	P-GSE30702-4	ArrayExpress	GSM761639 extract 1	total RNA	P-GSE30702-5	ArrayExpress	GSM761639 LE 1	biotin	P-GSE30702-6	ArrayExpress	GSM761639	A-AFFY-2	ArrayExpress	array assay	P-GSE30702-7	ArrayExpress	GSM761639.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30702/E-GEOD-30702.raw.1.zip	P-GSE30702-1	ArrayExpress	GSM761639_sample_table.txt norm	GSM761639_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30702/E-GEOD-30702.processed.1.zip	trasngenic REVOLUTA fused to GR domain	Collection day one	0	minute
GSM761638 1	whole organism	Collection day one	35S::GR-REV seedlings, 0min DEX treatment	GR-REV_0min_biorep1	seedling	7	day	Columbia	35S::GR-REV	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	0	minute	P-GSE30702-2	ArrayExpress	P-GSE30702-3	ArrayExpress	P-GSE30702-4	ArrayExpress	GSM761638 extract 1	total RNA	P-GSE30702-5	ArrayExpress	GSM761638 LE 1	biotin	P-GSE30702-6	ArrayExpress	GSM761638	A-AFFY-2	ArrayExpress	array assay	P-GSE30702-7	ArrayExpress	GSM761638.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30702/E-GEOD-30702.raw.1.zip	P-GSE30702-1	ArrayExpress	GSM761638_sample_table.txt norm	GSM761638_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30702/E-GEOD-30702.processed.1.zip	trasngenic REVOLUTA fused to GR domain	Collection day one	0	minute
GSM761637 1	whole organism	Collection day one	wild-type seedlings, 120min treatment	Columbia_120min_biorep3	seedling	7	day	Columbia	wild type genotype	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	120	minute	P-GSE30702-2	ArrayExpress	P-GSE30702-3	ArrayExpress	P-GSE30702-4	ArrayExpress	GSM761637 extract 1	total RNA	P-GSE30702-5	ArrayExpress	GSM761637 LE 1	biotin	P-GSE30702-6	ArrayExpress	GSM761637	A-AFFY-2	ArrayExpress	array assay	P-GSE30702-7	ArrayExpress	GSM761637.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30702/E-GEOD-30702.raw.1.zip	P-GSE30702-1	ArrayExpress	GSM761637_sample_table.txt norm	GSM761637_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30702/E-GEOD-30702.processed.1.zip	wild type genotype	Collection day one	120	minute
GSM761636 1	whole organism	Collection day one	wild-type seedlings, 120min treatment	Columbia_120min_biorep2	seedling	7	day	Columbia	wild type genotype	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	120	minute	P-GSE30702-2	ArrayExpress	P-GSE30702-3	ArrayExpress	P-GSE30702-4	ArrayExpress	GSM761636 extract 1	total RNA	P-GSE30702-5	ArrayExpress	GSM761636 LE 1	biotin	P-GSE30702-6	ArrayExpress	GSM761636	A-AFFY-2	ArrayExpress	array assay	P-GSE30702-7	ArrayExpress	GSM761636.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30702/E-GEOD-30702.raw.1.zip	P-GSE30702-1	ArrayExpress	GSM761636_sample_table.txt norm	GSM761636_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30702/E-GEOD-30702.processed.1.zip	wild type genotype	Collection day one	120	minute
GSM761635 1	whole organism	Collection day one	wild-type seedlings, 120min treatment	Columbia_120min_biorep1	seedling	7	day	Columbia	wild type genotype	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	120	minute	P-GSE30702-2	ArrayExpress	P-GSE30702-3	ArrayExpress	P-GSE30702-4	ArrayExpress	GSM761635 extract 1	total RNA	P-GSE30702-5	ArrayExpress	GSM761635 LE 1	biotin	P-GSE30702-6	ArrayExpress	GSM761635	A-AFFY-2	ArrayExpress	array assay	P-GSE30702-7	ArrayExpress	GSM761635.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30702/E-GEOD-30702.raw.1.zip	P-GSE30702-1	ArrayExpress	GSM761635_sample_table.txt norm	GSM761635_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30702/E-GEOD-30702.processed.1.zip	wild type genotype	Collection day one	120	minute
GSM761634 1	whole organism	Collection day two	wild-type seedlings, 60min DEX treatment	Columbia_60min_biorep6	seedling	7	day	Columbia	wild type genotype	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	60	minute	P-GSE30702-2	ArrayExpress	P-GSE30702-3	ArrayExpress	P-GSE30702-4	ArrayExpress	GSM761634 extract 1	total RNA	P-GSE30702-5	ArrayExpress	GSM761634 LE 1	biotin	P-GSE30702-6	ArrayExpress	GSM761634	A-AFFY-2	ArrayExpress	array assay	P-GSE30702-7	ArrayExpress	GSM761634.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30702/E-GEOD-30702.raw.1.zip	P-GSE30702-1	ArrayExpress	GSM761634_sample_table.txt norm	GSM761634_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30702/E-GEOD-30702.processed.1.zip	wild type genotype	Collection day two	60	minute
