Source Name	Characteristics [Organism]	Description	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Comment [Array Design URI]	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
GSE680GSM10441	Arabidopsis thaliana	Genotype: Ws-0, Wild Type; Stage: Unfertilized Ovule; Biological Replica: 1 of 2:  Growth Condition: Plants were grown in a Conviron chamber under continuous light with fluorescent lamps at 20oC and 50% - 70% relative humidity.  Experiments were performed as described (Le et. al., 2003, PNAS). Microarray Methods: Total RNA was extracted using the Hot Borate Method (ref.).  Fifteen micrograms of biotinylated complementary RNA (cRNA) was prepared as described (Le et. al., 2003, PNAS).  cRNA was subsequently hybridized to Affymetrix ATH1 Arabidopsis GeneChips.  The scanned array images were analyzed using Affymetrix Microarray Suite 5.0 (MAS 5.0) with Keywords = Arabidopsis Keywords = seed development Lot batch = 2003282.	  	GSE680GSM10441 sample	  	GSE680GSM10441 extract	total_RNA	  	GSE680GSM10441 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	WT Ovule 1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	WT Ovule 1	GSM10441.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-680/E-GEOD-680.raw.1.zip	E-GEOD-680-processed-data-1629587486.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-680/E-GEOD-680.processed.1.zip
GSE680GSM10445	Arabidopsis thaliana	Genotype: Ws-0, Wild Type; Stage: 24-Hr Fertilized Seed; Biological Replica: 1 of 2:  Growth Condition: Plants were grown in a Conviron chamber under continuous light with fluorescent lamps at 20oC and 50% - 70% relative humidity. Experiments were performed as described (Le et. al., 2003, PNAS). Microarray Methods: Total RNA was extracted using the Hot Borate Method (ref.). Fifteen micrograms of biotinylated complementary RNA (cRNA) was prepared as described (Le et. al., 2003, PNAS). cRNA was subsequently hybridized to Affymetrix ATH1 Arabidopsis GeneChips. The scanned array images were analyzed using Affymetrix Microarray Suite 5.0 (MAS 5.0) with a global scaling intensity set at 500. Keywords = Arabidopsis Keywords = seed development Lot batch = 2003282.	  	GSE680GSM10445 sample	  	GSE680GSM10445 extract	total_RNA	  	GSE680GSM10445 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	WT 24-Hr Seed 1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	WT 24-Hr Seed 1	GSM10445.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-680/E-GEOD-680.raw.1.zip	E-GEOD-680-processed-data-1629587486.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-680/E-GEOD-680.processed.1.zip
GSE680GSM10456	Arabidopsis thaliana	Genotype: Ws-0, Wild Type; Stage: Post-Mature Green Seed; Biological Replica: 2 of 2:  Growth Condition: Plants were grown in a Conviron chamber under continuous light with fluorescent lamps at 20oC and 50% - 70% relative humidity. Experiments were performed as described (Le et. al., 2003, PNAS). Microarray Methods: Total RNA was extracted using the Hot Borate Method (ref.). Fifteen micrograms of biotinylated complementary RNA (cRNA) was prepared as described (Le et. al., 2003, PNAS). cRNA was subsequently hybridized to Affymetrix ATH1 Arabidopsis GeneChips. The scanned array images were analyzed using Affymetrix Microarray Suite 5.0 (MAS 5.0) with a global scaling intensity set at 500. Keywords = Arabidopsis Keywords = seed development.	  	GSE680GSM10456 sample	  	GSE680GSM10456 extract	total_RNA	  	GSE680GSM10456 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	WT Post-Mature Green Seed 2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	WT Post-Mature Green Seed 2	GSM10456.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-680/E-GEOD-680.raw.1.zip	E-GEOD-680-processed-data-1629587486.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-680/E-GEOD-680.processed.1.zip
GSE680GSM10448	Arabidopsis thaliana	Genotype: Ws-0, Wild Type; Stage: Cotyledon Stage Seed; Biological Replica: 1 of 2:  Growth Condition: Plants were grown in a Conviron chamber under continuous light with fluorescent lamps at 20oC and 50% - 70% relative humidity. Experiments were performed as described (Le et. al., 2003, PNAS). Microarray Methods: Total RNA was extracted using the Hot Borate Method (ref.). Fifteen micrograms of biotinylated complementary RNA (cRNA) was prepared as described (Le et. al., 2003, PNAS). cRNA was subsequently hybridized to Affymetrix ATH1 Arabidopsis GeneChips. The scanned array images were analyzed using Affymetrix Microarray Suite 5.0 (MAS 5.0) with a global scaling intensity set at 500. Keywords = Arabidopsis Keywords = seed development Lot batch = 2003282.	  	GSE680GSM10448 sample	  	GSE680GSM10448 extract	total_RNA	  	GSE680GSM10448 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	WT Cotyledon Stage Seed 1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	WT Cotyledon Stage Seed 1	GSM10448.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-680/E-GEOD-680.raw.1.zip	E-GEOD-680-processed-data-1629587486.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-680/E-GEOD-680.processed.1.zip
GSE680GSM27362	Arabidopsis thaliana	Genotype: Ws-0, Wild Type; Organ: Stem:  Microarray Methods: Total RNA was extracted using the Hot Borate Method (ref.).  Fifteen micrograms of biotinylated complementary RNA (cRNA) was prepared as described (Le et. al., 2004, PNAS).  cRNA was subsequently hybridized to Affymetrix ATH1 Arabidopsis GeneChips.  The scanned array images were analyzed using Affymetrix Microarray Suite 5.0 (MAS 5.0) with a global scaling intensity set at 500..	  	GSE680GSM27362 sample	  	GSE680GSM27362 extract	total_RNA	  	GSE680GSM27362 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	WT Stem	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	WT Stem	GSM27362.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-680/E-GEOD-680.raw.1.zip	E-GEOD-680-processed-data-1629587486.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-680/E-GEOD-680.processed.1.zip
GSE680GSM10454	Arabidopsis thaliana	Genotype: Ws-0, Wild Type; Stage: Post-Mature Green Seed; Biological Replica: 1 of 2:  Growth Condition: Plants were grown in a Conviron chamber under continuous light with fluorescent lamps at 20oC and 50% - 70% relative humidity. Experiments were performed as described (Le et. al., 2003, PNAS). Microarray Methods: Total RNA was extracted using the Hot Borate Method (ref.). Fifteen micrograms of biotinylated complementary RNA (cRNA) was prepared as described (Le et. al., 2003, PNAS). cRNA was subsequently hybridized to Affymetrix ATH1 Arabidopsis GeneChips. The scanned array images were analyzed using Affymetrix Microarray Suite 5.0 (MAS 5.0) with a global scaling intensity set at 500. Keywords = Arabidopsis Keywords = seed development Lot batch = 2003282.	  	GSE680GSM10454 sample	  	GSE680GSM10454 extract	total_RNA	  	GSE680GSM10454 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	WT Post-Mature Green Seed 1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	WT Post-Mature Green Seed 1	GSM10454.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-680/E-GEOD-680.raw.1.zip	E-GEOD-680-processed-data-1629587486.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-680/E-GEOD-680.processed.1.zip
GSE680GSM16999	Arabidopsis thaliana	Genotype: Ws-0, Wild Type; Stage: Late-Maturation Seed; Technical Replica: 2 of 2:  Microarray Methods: Total RNA was extracted using the Hot Borate Method (ref.).  Fifteen micrograms of biotinylated complementary RNA (cRNA) was prepared as described (Le et. al., 2004, PNAS).  cRNA was subsequently hybridized to Affymetrix ATH1 Arabidopsis GeneChips.  The scanned array images were analyzed using Affymetrix Microarray Suite 4.0 (MAS 4.0) with a global scaling intensity set at 2500..	  	GSE680GSM16999 sample	  	GSE680GSM16999 extract	total_RNA	  	GSE680GSM16999 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	WT Late-Maturation Seed 2 (AtGenome1)	A-AFFY-16	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-16	P-AFFY-6	WT Late-Maturation Seed 2 (AtGenome1)	GSM16999.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-680/E-GEOD-680.raw.1.zip	E-GEOD-680-processed-data-1629588819.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-680/E-GEOD-680.processed.1.zip
GSE680GSM16996	Arabidopsis thaliana	Genotype: Ws-0, Wild Type; Stage: Mid-Maturation Seed; Technical Replica: 1 of 2:  Microarray Methods: Total RNA was extracted using the Hot Borate Method (ref.).  Fifteen micrograms of biotinylated complementary RNA (cRNA) was prepared as described (Le et. al., 2004, PNAS).  cRNA was subsequently hybridized to Affymetrix ATH1 Arabidopsis GeneChips.  The scanned array images were analyzed using Affymetrix Microarray Suite 4.0 (MAS 4.0) with a global scaling intensity set at 2500..	  	GSE680GSM16996 sample	  	GSE680GSM16996 extract	total_RNA	  	GSE680GSM16996 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	WT Mid-Maturation Seed 1 (AtGenome1)	A-AFFY-16	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-16	P-AFFY-6	WT Mid-Maturation Seed 1 (AtGenome1)	GSM16996.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-680/E-GEOD-680.raw.1.zip	E-GEOD-680-processed-data-1629588819.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-680/E-GEOD-680.processed.1.zip
GSE680GSM27363	Arabidopsis thaliana	Genotype: Ws-0, lec1-1; Organ: Floral Bud:  Microarray Methods: Total RNA was extracted using the Hot Borate Method (ref.).  Fifteen micrograms of biotinylated complementary RNA (cRNA) was prepared as described (Le et. al., 2004, PNAS).  cRNA was subsequently hybridized to Affymetrix ATH1 Arabidopsis GeneChips.  The scanned array images were analyzed using Affymetrix Microarray Suite 5.0 (MAS 5.0) with a global scaling intensity set at 500..	  	GSE680GSM27363 sample	  	GSE680GSM27363 extract	total_RNA	  	GSE680GSM27363 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	lec1-1 Floral Bud	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	lec1-1 Floral Bud	GSM27363.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-680/E-GEOD-680.raw.1.zip	E-GEOD-680-processed-data-1629587486.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-680/E-GEOD-680.processed.1.zip
GSE680GSM27365	Arabidopsis thaliana	Genotype: Ws-0, lec1-1; Organ: Root:  Microarray Methods: Total RNA was extracted using the Hot Borate Method (ref.).  Fifteen micrograms of biotinylated complementary RNA (cRNA) was prepared as described (Le et. al., 2004, PNAS).  cRNA was subsequently hybridized to Affymetrix ATH1 Arabidopsis GeneChips.  The scanned array images were analyzed using Affymetrix Microarray Suite 5.0 (MAS 5.0) with a global scaling intensity set at 500..	  	GSE680GSM27365 sample	  	GSE680GSM27365 extract	total_RNA	  	GSE680GSM27365 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	lec1-1 Root	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	lec1-1 Root	GSM27365.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-680/E-GEOD-680.raw.1.zip	E-GEOD-680-processed-data-1629587486.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-680/E-GEOD-680.processed.1.zip
GSE680GSM10442	Arabidopsis thaliana	Genotype: Ws-0, Wild Type; Stage: Unfertilized Ovule; Biological Replica: 2 of 2:  Growth Condition: Plants were grown in a Conviron chamber under continuous light with fluorescent lamps at 20oC and 50% - 70% relative humidity. Experiments were performed as described (Le et. al., 2003, PNAS). Microarray Methods: Total RNA was extracted using the Hot Borate Method (ref.). Fifteen micrograms of biotinylated complementary RNA (cRNA) was prepared as described (Le et. al., 2003, PNAS). cRNA was subsequently hybridized to Affymetrix ATH1 Arabidopsis GeneChips. The scanned array images were analyzed using Affymetrix Microarray Suite 5.0 (MAS 5.0) with a global scaling intensity set at 500. Keywords = Arabidopsis Keywords = seed development Lot batch = 2003282.	  	GSE680GSM10442 sample	  	GSE680GSM10442 extract	total_RNA	  	GSE680GSM10442 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	WT Ovule 2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	WT Ovule 2	GSM10442.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-680/E-GEOD-680.raw.1.zip	E-GEOD-680-processed-data-1629587486.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-680/E-GEOD-680.processed.1.zip
GSE680GSM27366	Arabidopsis thaliana	Genotype: Ws-0, lec1-1; Organ: Stem:  Microarray Methods: Total RNA was extracted using the Hot Borate Method (ref.).  Fifteen micrograms of biotinylated complementary RNA (cRNA) was prepared as described (Le et. al., 2004, PNAS).  cRNA was subsequently hybridized to Affymetrix ATH1 Arabidopsis GeneChips.  The scanned array images were analyzed using Affymetrix Microarray Suite 5.0 (MAS 5.0) with a global scaling intensity set at 500..	  	GSE680GSM27366 sample	  	GSE680GSM27366 extract	total_RNA	  	GSE680GSM27366 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	lec1-1 Stem	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	lec1-1 Stem	GSM27366.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-680/E-GEOD-680.raw.1.zip	E-GEOD-680-processed-data-1629587486.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-680/E-GEOD-680.processed.1.zip
