Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Hybridization Name	Array Design REF	Scan Name	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	Factor Value [Dose]	Unit [ConcentrationUnit]	Factor Value [Time]	Unit [TimeUnit]	Factor Value [GrowthCondition]	Term Source REF	Term Accession Number	Factor Value [Compound]	Term Source REF	Term Accession Number
GSE3709GSM85645	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	GSE3709GSM85645 sample	GSE3709GSM85645 extract	total_RNA	P-G3709-15	GSE3709GSM85645 LE.biotin	biotin	synthetic_RNA	treated with N2 to replace air,  3 h, replicate 1	A-AFFY-2	treated with N2 to replace air,  3 h, replicate 1	E-GEOD-3709-processed-data-1442081154.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3709/E-GEOD-3709.processed.1.zip	  	  	3	hour	anaerobic	  	  	none	  	  
GSE3709GSM85630	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-G3709-2	GSE3709GSM85630 sample	GSE3709GSM85630 extract	total_RNA	P-G3709-15	GSE3709GSM85630 LE.biotin	biotin	synthetic_RNA	0.125 uM oligomycin treated, 3 h, replicate 2	A-AFFY-2	0.125 uM oligomycin treated, 3 h, replicate 2	E-GEOD-3709-processed-data-1442081154.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3709/E-GEOD-3709.processed.1.zip	0.125	micromolar	3	hour	normal	EFO	EFO_0000761	oligomycin	  	  
GSE3709GSM85652	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-G3709-10	GSE3709GSM85652 sample	GSE3709GSM85652 extract	total_RNA	P-G3709-15	GSE3709GSM85652 LE.biotin	biotin	synthetic_RNA	100 uM salicylic acid treated, 3 h, replicate 2	A-AFFY-2	100 uM salicylic acid treated, 3 h, replicate 2	E-GEOD-3709-processed-data-1442081154.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3709/E-GEOD-3709.processed.1.zip	100	micromolar	3	hour	normal	EFO	EFO_0000761	salicylic acid	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16914
GSE3709GSM85631	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-G3709-3	GSE3709GSM85631 sample	GSE3709GSM85631 extract	total_RNA	P-G3709-15	GSE3709GSM85631 LE.biotin	biotin	synthetic_RNA	1.25 uM oligomycin treated, 3 h, replicate 1	A-AFFY-2	1.25 uM oligomycin treated, 3 h, replicate 1	E-GEOD-3709-processed-data-1442081154.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3709/E-GEOD-3709.processed.1.zip	1.25	micromolar	3	hour	normal	EFO	EFO_0000761	oligomycin	  	  
GSE3709GSM85648	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-G3709-8	GSE3709GSM85648 sample	GSE3709GSM85648 extract	total_RNA	P-G3709-15	GSE3709GSM85648 LE.biotin	biotin	synthetic_RNA	rotenone treated, 3 h, replicate 2	A-AFFY-2	rotenone treated, 3 h, replicate 2	E-GEOD-3709-processed-data-1442081154.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3709/E-GEOD-3709.processed.1.zip	40	micromolar	3	hour	normal	EFO	EFO_0000761	rotenone	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:28201
GSE3709GSM85641	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	GSE3709GSM85641 sample	GSE3709GSM85641 extract	total_RNA	P-G3709-15	GSE3709GSM85641 LE.biotin	biotin	synthetic_RNA	untreated 3 h replicate 3	A-AFFY-2	untreated 3 h replicate 3	E-GEOD-3709-processed-data-1442081154.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3709/E-GEOD-3709.processed.1.zip	  	  	3	hour	normal	EFO	EFO_0000761	none	  	  
GSE3709GSM85632	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-G3709-3	GSE3709GSM85632 sample	GSE3709GSM85632 extract	total_RNA	P-G3709-15	GSE3709GSM85632 LE.biotin	biotin	synthetic_RNA	1.25 uM oligomycin treated, 3 h, replicate 2	A-AFFY-2	1.25 uM oligomycin treated, 3 h, replicate 2	E-GEOD-3709-processed-data-1442081154.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3709/E-GEOD-3709.processed.1.zip	1.25	micromolar	3	hour	normal	EFO	EFO_0000761	oligomycin	  	  
GSE3709GSM85627	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-G3709-1	GSE3709GSM85627 sample	GSE3709GSM85627 extract	total_RNA	P-G3709-15	GSE3709GSM85627 LE.biotin	biotin	synthetic_RNA	hydrogen peroxide treated, 3 h, replicate 2	A-AFFY-2	hydrogen peroxide treated, 3 h, replicate 2	E-GEOD-3709-processed-data-1442081154.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3709/E-GEOD-3709.processed.1.zip	10000	micromolar	3	hour	normal	EFO	EFO_0000761	hydrogen peroxide	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16240
GSE3709GSM85635	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-G3709-5	GSE3709GSM85635 sample	GSE3709GSM85635 extract	total_RNA	P-G3709-15	GSE3709GSM85635 LE.biotin	biotin	synthetic_RNA	chloramphenicol treated, 3 h, replicate 1	A-AFFY-2	chloramphenicol treated, 3 h, replicate 1	E-GEOD-3709-processed-data-1442081154.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3709/E-GEOD-3709.processed.1.zip	200	micromolar	3	hour	normal	EFO	EFO_0000761	chloramphenicol	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:17698
GSE3709GSM85647	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-G3709-8	GSE3709GSM85647 sample	GSE3709GSM85647 extract	total_RNA	P-G3709-15	GSE3709GSM85647 LE.biotin	biotin	synthetic_RNA	rotenone treated, 3 h, replicate 1	A-AFFY-2	rotenone treated, 3 h, replicate 1	E-GEOD-3709-processed-data-1442081154.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3709/E-GEOD-3709.processed.1.zip	40	micromolar	3	hour	normal	EFO	EFO_0000761	rotenone	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:28201
GSE3709GSM85661	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-G3709-14	GSE3709GSM85661 sample	GSE3709GSM85661 extract	total_RNA	P-G3709-15	GSE3709GSM85661 LE.biotin	biotin	synthetic_RNA	cysteine treated, 12 h, replicate 1	A-AFFY-2	cysteine treated, 12 h, replicate 1	E-GEOD-3709-processed-data-1442081154.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3709/E-GEOD-3709.processed.1.zip	1000	micromolar	12	hour	normal	EFO	EFO_0000761	cysteine	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:17561
GSE3709GSM85640	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	GSE3709GSM85640 sample	GSE3709GSM85640 extract	total_RNA	P-G3709-15	GSE3709GSM85640 LE.biotin	biotin	synthetic_RNA	untreated 3 h replicate 2	A-AFFY-2	untreated 3 h replicate 2	E-GEOD-3709-processed-data-1442081154.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3709/E-GEOD-3709.processed.1.zip	  	  	3	hour	normal	EFO	EFO_0000761	none	  	  
GSE3709GSM85633	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-G3709-4	GSE3709GSM85633 sample	GSE3709GSM85633 extract	total_RNA	P-G3709-15	GSE3709GSM85633 LE.biotin	biotin	synthetic_RNA	chitin treated, 3 h, replicate 1	A-AFFY-2	chitin treated, 3 h, replicate 1	E-GEOD-3709-processed-data-1442081154.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3709/E-GEOD-3709.processed.1.zip	  	  	3	hour	normal	EFO	EFO_0000761	chitin	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:17029
GSE3709GSM85651	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-G3709-10	GSE3709GSM85651 sample	GSE3709GSM85651 extract	total_RNA	P-G3709-15	GSE3709GSM85651 LE.biotin	biotin	synthetic_RNA	100 uM salicylic acid treated, 3 h, replicate 1	A-AFFY-2	100 uM salicylic acid treated, 3 h, replicate 1	E-GEOD-3709-processed-data-1442081154.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3709/E-GEOD-3709.processed.1.zip	100	micromolar	3	hour	normal	EFO	EFO_0000761	salicylic acid	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16914
GSE3709GSM85642	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	GSE3709GSM85642 sample	GSE3709GSM85642 extract	total_RNA	P-G3709-15	GSE3709GSM85642 LE.biotin	biotin	synthetic_RNA	untreated 3 h replicate 4	A-AFFY-2	untreated 3 h replicate 4	E-GEOD-3709-processed-data-1442081154.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3709/E-GEOD-3709.processed.1.zip	  	  	3	hour	normal	EFO	EFO_0000761	none	  	  
GSE3709GSM85644	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-G3709-7	GSE3709GSM85644 sample	GSE3709GSM85644 extract	total_RNA	P-G3709-15	GSE3709GSM85644 LE.biotin	biotin	synthetic_RNA	flagellen treated, 3 h, replicate 2	A-AFFY-2	flagellen treated, 3 h, replicate 2	E-GEOD-3709-processed-data-1442081154.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3709/E-GEOD-3709.processed.1.zip	  	  	3	hour	normal	EFO	EFO_0000761	flagellen	  	  
GSE3709GSM85649	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-G3709-9	GSE3709GSM85649 sample	GSE3709GSM85649 extract	total_RNA	P-G3709-15	GSE3709GSM85649 LE.biotin	biotin	synthetic_RNA	10 uM salicylic acid treated, 3 h, replicate 1	A-AFFY-2	10 uM salicylic acid treated, 3 h, replicate 1	E-GEOD-3709-processed-data-1442081154.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3709/E-GEOD-3709.processed.1.zip	10	micromolar	3	hour	normal	EFO	EFO_0000761	salicylic acid	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16914
GSE3709GSM85646	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	GSE3709GSM85646 sample	GSE3709GSM85646 extract	total_RNA	P-G3709-15	GSE3709GSM85646 LE.biotin	biotin	synthetic_RNA	treated with N2 gas to replace air,  3 h, replicate 2	A-AFFY-2	treated with N2 gas to replace air,  3 h, replicate 2	E-GEOD-3709-processed-data-1442081154.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3709/E-GEOD-3709.processed.1.zip	  	  	3	hour	anaerobic	  	  	none	  	  
GSE3709GSM85659	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-G3709-13	GSE3709GSM85659 sample	GSE3709GSM85659 extract	total_RNA	P-G3709-15	GSE3709GSM85659 LE.biotin	biotin	synthetic_RNA	chloramphenicol treated, 12 h, replicate 1	A-AFFY-2	chloramphenicol treated, 12 h, replicate 1	E-GEOD-3709-processed-data-1442081154.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3709/E-GEOD-3709.processed.1.zip	200	micromolar	12	hour	normal	EFO	EFO_0000761	chloramphenicol	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:17698
GSE3709GSM85636	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-G3709-5	GSE3709GSM85636 sample	GSE3709GSM85636 extract	total_RNA	P-G3709-15	GSE3709GSM85636 LE.biotin	biotin	synthetic_RNA	chloramphenicol treated, 3 h, replicate 2	A-AFFY-2	chloramphenicol treated, 3 h, replicate 2	E-GEOD-3709-processed-data-1442081154.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3709/E-GEOD-3709.processed.1.zip	200	micromolar	3	hour	normal	EFO	EFO_0000761	chloramphenicol	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:17698
GSE3709GSM85655	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-G3709-11	GSE3709GSM85655 sample	GSE3709GSM85655 extract	total_RNA	P-G3709-15	GSE3709GSM85655 LE.biotin	biotin	synthetic_RNA	rotenone treated, 12 h, replicate 1	A-AFFY-2	rotenone treated, 12 h, replicate 1	E-GEOD-3709-processed-data-1442081154.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3709/E-GEOD-3709.processed.1.zip	40	micromolar	12	hour	normal	EFO	EFO_0000761	rotenone	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:28201
GSE3709GSM85657	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-G3709-12	GSE3709GSM85657 sample	GSE3709GSM85657 extract	total_RNA	P-G3709-15	GSE3709GSM85657 LE.biotin	biotin	synthetic_RNA	norflurazon treated, 12 h, replicate 1	A-AFFY-2	norflurazon treated, 12 h, replicate 1	E-GEOD-3709-processed-data-1442081154.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3709/E-GEOD-3709.processed.1.zip	100	micromolar	12	hour	normal	EFO	EFO_0000761	norflurazon	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:50842
GSE3709GSM85639	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	GSE3709GSM85639 sample	GSE3709GSM85639 extract	total_RNA	P-G3709-15	GSE3709GSM85639 LE.biotin	biotin	synthetic_RNA	untreated 3 h replicate 1	A-AFFY-2	untreated 3 h replicate 1	E-GEOD-3709-processed-data-1442081154.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3709/E-GEOD-3709.processed.1.zip	  	  	3	hour	normal	EFO	EFO_0000761	none	  	  
GSE3709GSM85634	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-G3709-4	GSE3709GSM85634 sample	GSE3709GSM85634 extract	total_RNA	P-G3709-15	GSE3709GSM85634 LE.biotin	biotin	synthetic_RNA	chitin treated, 3 h, replicate 2	A-AFFY-2	chitin treated, 3 h, replicate 2	E-GEOD-3709-processed-data-1442081154.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3709/E-GEOD-3709.processed.1.zip	  	  	3	hour	normal	EFO	EFO_0000761	chitin	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:17029
GSE3709GSM85653	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	GSE3709GSM85653 sample	GSE3709GSM85653 extract	total_RNA	P-G3709-15	GSE3709GSM85653 LE.biotin	biotin	synthetic_RNA	untreated 12 h replicate 1	A-AFFY-2	untreated 12 h replicate 1	E-GEOD-3709-processed-data-1442081154.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3709/E-GEOD-3709.processed.1.zip	  	  	12	hour	normal	EFO	EFO_0000761	none	  	  
GSE3709GSM85650	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-G3709-9	GSE3709GSM85650 sample	GSE3709GSM85650 extract	total_RNA	P-G3709-15	GSE3709GSM85650 LE.biotin	biotin	synthetic_RNA	10 uM salicylic acid treated, 3 h, replicate 2	A-AFFY-2	10 uM salicylic acid treated, 3 h, replicate 2	E-GEOD-3709-processed-data-1442081154.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3709/E-GEOD-3709.processed.1.zip	10	micromolar	3	hour	normal	EFO	EFO_0000761	salicylic acid	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16914
GSE3709GSM85658	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-G3709-12	GSE3709GSM85658 sample	GSE3709GSM85658 extract	total_RNA	P-G3709-15	GSE3709GSM85658 LE.biotin	biotin	synthetic_RNA	norflurazon treated, 12 h, replicate 2	A-AFFY-2	norflurazon treated, 12 h, replicate 2	E-GEOD-3709-processed-data-1442081154.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3709/E-GEOD-3709.processed.1.zip	100	micromolar	12	hour	normal	EFO	EFO_0000761	norflurazon	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:50842
