Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [age]	Characteristics [genotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [sampling time]	Characteristics [time after treatment]	Characteristics [treated with]	Characteristics [treatment duration]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [AGE]	FactorValue [GENOTYPE]	FactorValue [SAMPLING TIME]	FactorValue [TIME AFTER TREATMENT]	FactorValue [TREATED WITH]	FactorValue [TREATMENT DURATION]
GSM1506044 1	HA6.0.rep.1	seedling_6h after HZE irradiation_atm-1	seedling,6h_after_HZE,atm-1 rep1	5 days old	atm-1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	7:24 pm on Day #1	6h	30 Gy of HZE	approx. 12 minutes	P-GSE61484-2	ArrayExpress	P-GSE61484-3	ArrayExpress	P-GSE61484-4	ArrayExpress	GSM1506044 extract 1	total RNA	P-GSE61484-5	ArrayExpress	GSM1506044 LE 1	biotin	P-GSE61484-6	ArrayExpress	GSM1506044	A-AFFY-2	ArrayExpress	array assay	P-GSE61484-7	ArrayExpress	GSM1506044_1006A-03_HA6-19_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61484/E-GEOD-61484.raw.1.zip	P-GSE61484-1	ArrayExpress	GSM1506044_sample_table.txt norm	GSM1506044_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61484/E-GEOD-61484.processed.1.zip	5 days old	atm-1	7:24 pm on Day #1	6h	30 Gy of HZE	approx. 12 minutes
GSM1506043 1	HA1.5.rep.2	seedling_1.5h after HZE irradiation_atm-1	seedling,1.5h_after_HZE,atm-1 rep2	5 days old	atm-1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	2:39 pm on Day #1	1.5h	30 Gy of HZE	approx. 12 minutes	P-GSE61484-2	ArrayExpress	P-GSE61484-3	ArrayExpress	P-GSE61484-4	ArrayExpress	GSM1506043 extract 1	total RNA	P-GSE61484-5	ArrayExpress	GSM1506043 LE 1	biotin	P-GSE61484-6	ArrayExpress	GSM1506043	A-AFFY-2	ArrayExpress	array assay	P-GSE61484-7	ArrayExpress	GSM1506043_0806A-10_H2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61484/E-GEOD-61484.raw.1.zip	P-GSE61484-1	ArrayExpress	GSM1506043_sample_table.txt norm	GSM1506043_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61484/E-GEOD-61484.processed.1.zip	5 days old	atm-1	2:39 pm on Day #1	1.5h	30 Gy of HZE	approx. 12 minutes
GSM1506042 1	HA1.5.rep.1	seedling_1.5h after HZE irradiation_atm-1	seedling,1.5h_after_HZE,atm-1 rep1	5 days old	atm-1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	2:39 pm on Day #1	1.5h	30 Gy of HZE	approx. 12 minutes	P-GSE61484-2	ArrayExpress	P-GSE61484-3	ArrayExpress	P-GSE61484-4	ArrayExpress	GSM1506042 extract 1	total RNA	P-GSE61484-5	ArrayExpress	GSM1506042 LE 1	biotin	P-GSE61484-6	ArrayExpress	GSM1506042	A-AFFY-2	ArrayExpress	array assay	P-GSE61484-7	ArrayExpress	GSM1506042_0806A-10_H1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61484/E-GEOD-61484.raw.1.zip	P-GSE61484-1	ArrayExpress	GSM1506042_sample_table.txt norm	GSM1506042_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61484/E-GEOD-61484.processed.1.zip	5 days old	atm-1	2:39 pm on Day #1	1.5h	30 Gy of HZE	approx. 12 minutes
GSM1506041 1	GA24.0.rep.2	seedling_24h after Gamma irradiation_atm-1	seedling,24h_after_Gamma,atm-1 rep2	6 days old	atm-1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	8:40 am on Day #2	24h	100 Gy of Gamma radiation	15 minutes	P-GSE61484-2	ArrayExpress	P-GSE61484-3	ArrayExpress	P-GSE61484-4	ArrayExpress	GSM1506041 extract 1	total RNA	P-GSE61484-5	ArrayExpress	GSM1506041 LE 1	biotin	P-GSE61484-6	ArrayExpress	GSM1506041	A-AFFY-2	ArrayExpress	array assay	P-GSE61484-7	ArrayExpress	GSM1506041_0806A-10_F2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61484/E-GEOD-61484.raw.1.zip	P-GSE61484-1	ArrayExpress	GSM1506041_sample_table.txt norm	GSM1506041_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61484/E-GEOD-61484.processed.1.zip	6 days old	atm-1	8:40 am on Day #2	24h	100 Gy of Gamma radiation	15 minutes
GSM1506040 1	GA24.0.rep.1	seedling_24h after Gamma irradiation_atm-1	seedling,24h_after_Gamma,atm-1 rep1	6 days old	atm-1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	8:40 am on Day #2	24h	100 Gy of Gamma radiation	15 minutes	P-GSE61484-2	ArrayExpress	P-GSE61484-3	ArrayExpress	P-GSE61484-4	ArrayExpress	GSM1506040 extract 1	total RNA	P-GSE61484-5	ArrayExpress	GSM1506040 LE 1	biotin	P-GSE61484-6	ArrayExpress	GSM1506040	A-AFFY-2	ArrayExpress	array assay	P-GSE61484-7	ArrayExpress	GSM1506040_0806A-10_F1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61484/E-GEOD-61484.raw.1.zip	P-GSE61484-1	ArrayExpress	GSM1506040_sample_table.txt norm	GSM1506040_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61484/E-GEOD-61484.processed.1.zip	6 days old	atm-1	8:40 am on Day #2	24h	100 Gy of Gamma radiation	15 minutes
GSM1506039 1	GA12.0.rep.2	seedling_12h after Gamma irradiation_atm-1	seedling,12h_after_Gamma,atm-1 rep2	5 days old	atm-1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	8:40 pm on Day #1	12h	100 Gy of Gamma radiation	15 minutes	P-GSE61484-2	ArrayExpress	P-GSE61484-3	ArrayExpress	P-GSE61484-4	ArrayExpress	GSM1506039 extract 1	total RNA	P-GSE61484-5	ArrayExpress	GSM1506039 LE 1	biotin	P-GSE61484-6	ArrayExpress	GSM1506039	A-AFFY-2	ArrayExpress	array assay	P-GSE61484-7	ArrayExpress	GSM1506039_1006A-03_GA12-12.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61484/E-GEOD-61484.raw.1.zip	P-GSE61484-1	ArrayExpress	GSM1506039_sample_table.txt norm	GSM1506039_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61484/E-GEOD-61484.processed.1.zip	5 days old	atm-1	8:40 pm on Day #1	12h	100 Gy of Gamma radiation	15 minutes
GSM1506038 1	GA12.0.rep.1	seedling_12h after Gamma irradiation_atm-1	seedling,12h_after_Gamma,atm-1 rep1	5 days old	atm-1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	8:40 pm on Day #1	12h	100 Gy of Gamma radiation	15 minutes	P-GSE61484-2	ArrayExpress	P-GSE61484-3	ArrayExpress	P-GSE61484-4	ArrayExpress	GSM1506038 extract 1	total RNA	P-GSE61484-5	ArrayExpress	GSM1506038 LE 1	biotin	P-GSE61484-6	ArrayExpress	GSM1506038	A-AFFY-2	ArrayExpress	array assay	P-GSE61484-7	ArrayExpress	GSM1506038_1006A-03_GA12-11.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61484/E-GEOD-61484.raw.1.zip	P-GSE61484-1	ArrayExpress	GSM1506038_sample_table.txt norm	GSM1506038_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61484/E-GEOD-61484.processed.1.zip	5 days old	atm-1	8:40 pm on Day #1	12h	100 Gy of Gamma radiation	15 minutes
GSM1506037 1	GA6.0.rep.2	seedling_6h after Gamma irradiation_atm-1	seedling,6h_after_Gamma,atm-1 rep2	5 days old	atm-1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	2:55 pm on Day #1	6h	100 Gy of Gamma radiation	15 minutes	P-GSE61484-2	ArrayExpress	P-GSE61484-3	ArrayExpress	P-GSE61484-4	ArrayExpress	GSM1506037 extract 1	total RNA	P-GSE61484-5	ArrayExpress	GSM1506037 LE 1	biotin	P-GSE61484-6	ArrayExpress	GSM1506037	A-AFFY-2	ArrayExpress	array assay	P-GSE61484-7	ArrayExpress	GSM1506037_1006A-03_GA6-8_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61484/E-GEOD-61484.raw.1.zip	P-GSE61484-1	ArrayExpress	GSM1506037_sample_table.txt norm	GSM1506037_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61484/E-GEOD-61484.processed.1.zip	5 days old	atm-1	2:55 pm on Day #1	6h	100 Gy of Gamma radiation	15 minutes
GSM1506036 1	GA6.0.rep.1	seedling_6h after Gamma irradiation_atm-1	seedling,6h_after_Gamma,atm-1 rep1	5 days old	atm-1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	2:55 pm on Day #1	6h	100 Gy of Gamma radiation	15 minutes	P-GSE61484-2	ArrayExpress	P-GSE61484-3	ArrayExpress	P-GSE61484-4	ArrayExpress	GSM1506036 extract 1	total RNA	P-GSE61484-5	ArrayExpress	GSM1506036 LE 1	biotin	P-GSE61484-6	ArrayExpress	GSM1506036	A-AFFY-2	ArrayExpress	array assay	P-GSE61484-7	ArrayExpress	GSM1506036_1006A-03_GA6-7_8.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61484/E-GEOD-61484.raw.1.zip	P-GSE61484-1	ArrayExpress	GSM1506036_sample_table.txt norm	GSM1506036_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61484/E-GEOD-61484.processed.1.zip	5 days old	atm-1	2:55 pm on Day #1	6h	100 Gy of Gamma radiation	15 minutes
GSM1506035 1	GA1.5.rep.2	seedling_1.5h after Gamma irradiation_atm-1	seedling,1.5h_after_Gamma,atm-1 rep2	5 days old	atm-1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	10:10 am on Day #1	1.5h	100 Gy of Gamma radiation	15 minutes	P-GSE61484-2	ArrayExpress	P-GSE61484-3	ArrayExpress	P-GSE61484-4	ArrayExpress	GSM1506035 extract 1	total RNA	P-GSE61484-5	ArrayExpress	GSM1506035 LE 1	biotin	P-GSE61484-6	ArrayExpress	GSM1506035	A-AFFY-2	ArrayExpress	array assay	P-GSE61484-7	ArrayExpress	GSM1506035_0806A-10_D2_re.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61484/E-GEOD-61484.raw.1.zip	P-GSE61484-1	ArrayExpress	GSM1506035_sample_table.txt norm	GSM1506035_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61484/E-GEOD-61484.processed.1.zip	5 days old	atm-1	10:10 am on Day #1	1.5h	100 Gy of Gamma radiation	15 minutes
