Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Description	Comment [Sample_characteristics]	Comment [Sample_source_name]	Characteristics[DiseaseState]	Characteristics[Ecotype]	Characteristics[OrganismPart]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[INFECTION]	FactorValue[DISEASE STATE]
GSE14106GSM426501	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wounded inflorescence stalk inoculated with C58, Gene expression data of reference tissue were compared with those of inoculated tissue.. ecotype: Ws-2; tissue: wounded inflorescence stalk segments; inoculant: inoculated with Agrobacterium tumefaciens strain C58	ecotype: Ws-2; tissue: wounded inflorescence stalk segments; inoculant: inoculated with Agrobacterium tumefaciens strain C58	wounded inflorescence stalk inoculated with C58	wounded	Ws-2	inflorescence stalk	P-G14106-10	P-G14106-14	GSE14106GSM426501 sample	P-G14106-5	GSE14106GSM426501 extract	total_RNA	P-G14106-3	GSE14106GSM426501 LE biotin	biotin	synthetic_RNA	C58 3hpi 5	A-AFFY-2	P-AFFY-6	GSM426501.CEL	GSM426501.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14106/E-GEOD-14106.raw.1.zip	P-G14106-4	E-GEOD-14106-processed-data-1833583201.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14106/E-GEOD-14106.processed.1.zip	Agrobacterium tumefaciens C58	none
GSE14106GSM350857	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wounded inflorescence stalk, Gene expression data of reference tissue were compared with those of inoculated tissue.. ecotype: Ws-2; tissue: wounded inflorescence stalk segments; inoculant: mock	ecotype: Ws-2; tissue: wounded inflorescence stalk segments; inoculant: mock	wounded inflorescence stalk	wounded	Ws-2	inflorescence stalk	P-G14106-8	P-G14106-1	GSE14106GSM350857 sample	P-G14106-5	GSE14106GSM350857 extract	total_RNA	P-G14106-3	GSE14106GSM350857 LE biotin	biotin	synthetic_RNA	Reference 3hpi 3	A-AFFY-2	P-AFFY-6	GSM350857.CEL	GSM350857.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14106/E-GEOD-14106.raw.1.zip	P-G14106-4	E-GEOD-14106-processed-data-1833583201.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14106/E-GEOD-14106.processed.1.zip	none	none
GSE14106GSM426498	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wounded inflorescence stalk, Gene expression data of reference tissue were compared with those of inoculated tissue.. ecotype: Ws-2; tissue: wounded inflorescence stalk segments; inoculant: mock	ecotype: Ws-2; tissue: wounded inflorescence stalk segments; inoculant: mock	wounded inflorescence stalk	wounded	Ws-2	inflorescence stalk	P-G14106-8	P-G14106-1	GSE14106GSM426498 sample	P-G14106-5	GSE14106GSM426498 extract	total_RNA	P-G14106-3	GSE14106GSM426498 LE biotin	biotin	synthetic_RNA	Reference 3hpi 5	A-AFFY-2	P-AFFY-6	GSM426498.CEL	GSM426498.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14106/E-GEOD-14106.raw.1.zip	P-G14106-4	E-GEOD-14106-processed-data-1833583201.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14106/E-GEOD-14106.processed.1.zip	none	none
GSE14106GSM426505	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wounded inflorescence stalk inoculated with GV3101, Gene expression data of reference tissue were compared with those of inoculated tissue.. ecotype: Ws-2; tissue: wounded inflorescence stalk segments; inoculant: inoculated with Agrobacterium tumefaciens strain GV3101, lacking the T-DNA but not virulence factors	ecotype: Ws-2; tissue: wounded inflorescence stalk segments; inoculant: inoculated with Agrobacterium tumefaciens strain GV3101, lacking the T-DNA but not virulence factors	wounded inflorescence stalk inoculated with GV3101	wounded	Ws-2	inflorescence stalk	P-G14106-15	P-G14106-9	GSE14106GSM426505 sample	P-G14106-5	GSE14106GSM426505 extract	total_RNA	P-G14106-3	GSE14106GSM426505 LE biotin	biotin	synthetic_RNA	GV3101 3hpi 3	A-AFFY-2	P-AFFY-6	GSM426505.CEL	GSM426505.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14106/E-GEOD-14106.raw.1.zip	P-G14106-4	E-GEOD-14106-processed-data-1833583201.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14106/E-GEOD-14106.processed.1.zip	Agrobacterium tumefaciens GV3101	none
GSE14106GSM350800	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wounded inflorescence stalk, Gene expression data of reference tissue were compared with those of 35-day-old mature crown gall tissue.. ecotype: Ws-2; tissue: wounded inflorescence stalk segments; inoculant: mock	ecotype: Ws-2; tissue: wounded inflorescence stalk segments; inoculant: mock	wounded inflorescence stalk	wounded	Ws-2	inflorescence stalk	P-G14106-2	P-G14106-1	GSE14106GSM350800 sample	P-G14106-5	GSE14106GSM350800 extract	total_RNA	P-G14106-3	GSE14106GSM350800 LE biotin	biotin	synthetic_RNA	Reference 35dpi 2	A-AFFY-2	P-AFFY-6	GSM350800.CEL	GSM350800.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14106/E-GEOD-14106.raw.1.zip	P-G14106-4	E-GEOD-14106-processed-data-1833583201.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14106/E-GEOD-14106.processed.1.zip	none	none
GSE14106GSM350864	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wounded inflorescence stalk inoculated with C58, Gene expression data of reference tissue were compared with those of inoculated tissue.. ecotype: Ws-2; tissue: wounded inflorescence stalk segments; inoculant: inoculated with Agrobacterium tumefaciens strain C58	ecotype: Ws-2; tissue: wounded inflorescence stalk segments; inoculant: inoculated with Agrobacterium tumefaciens strain C58	wounded inflorescence stalk inoculated with C58	wounded	Ws-2	inflorescence stalk	P-G14106-12	P-G14106-6	GSE14106GSM350864 sample	P-G14106-5	GSE14106GSM350864 extract	total_RNA	P-G14106-3	GSE14106GSM350864 LE biotin	biotin	synthetic_RNA	C58 6dpi 1	A-AFFY-2	P-AFFY-6	GSM350864.CEL	GSM350864.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14106/E-GEOD-14106.raw.1.zip	P-G14106-4	E-GEOD-14106-processed-data-1833583201.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14106/E-GEOD-14106.processed.1.zip	Agrobacterium tumefaciens C58	none
GSE14106GSM350805	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wounded inflorescence stalk inoculated with C58 (Tumor), Gene expression data of reference tissue were compared with those of 35-day-old mature crown gall tissue.. ecotype: Ws-2; tissue: wounded inflorescence stalk segments; inoculant: inoculated with Agrobacterium tumefaciens strain C58	ecotype: Ws-2; tissue: wounded inflorescence stalk segments; inoculant: inoculated with Agrobacterium tumefaciens strain C58	wounded inflorescence stalk inoculated with C58 (Tumor)	wounded; tumour	Ws-2	inflorescence stalk	P-G14106-7	P-G14106-6	GSE14106GSM350805 sample	P-G14106-5	GSE14106GSM350805 extract	total_RNA	P-G14106-3	GSE14106GSM350805 LE biotin	biotin	synthetic_RNA	C58 35dpi 3	A-AFFY-2	P-AFFY-6	GSM350805.CEL	GSM350805.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14106/E-GEOD-14106.raw.1.zip	P-G14106-4	E-GEOD-14106-processed-data-1833583201.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14106/E-GEOD-14106.processed.1.zip	Agrobacterium tumefaciens C58	tumour
GSE14106GSM350802	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wounded inflorescence stalk, Gene expression data of reference tissue were compared with those of 35-day-old mature crown gall tissue.. ecotype: Ws-2; tissue: wounded inflorescence stalk segments; inoculant: mock	ecotype: Ws-2; tissue: wounded inflorescence stalk segments; inoculant: mock	wounded inflorescence stalk	wounded	Ws-2	inflorescence stalk	P-G14106-2	P-G14106-1	GSE14106GSM350802 sample	P-G14106-5	GSE14106GSM350802 extract	total_RNA	P-G14106-3	GSE14106GSM350802 LE biotin	biotin	synthetic_RNA	Reference 35dpi 4	A-AFFY-2	P-AFFY-6	GSM350802.CEL	GSM350802.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14106/E-GEOD-14106.raw.1.zip	P-G14106-4	E-GEOD-14106-processed-data-1833583201.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14106/E-GEOD-14106.processed.1.zip	none	none
GSE14106GSM350861	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wounded inflorescence stalk, Gene expression data of reference tissue were compared with those of inoculated tissue.. ecotype: Ws-2; tissue: wounded inflorescence stalk segments; inoculant: mock	ecotype: Ws-2; tissue: wounded inflorescence stalk segments; inoculant: mock	wounded inflorescence stalk	wounded	Ws-2	inflorescence stalk	P-G14106-11	P-G14106-1	GSE14106GSM350861 sample	P-G14106-5	GSE14106GSM350861 extract	total_RNA	P-G14106-3	GSE14106GSM350861 LE biotin	biotin	synthetic_RNA	Reference 6dpi 1	A-AFFY-2	P-AFFY-6	GSM350861.CEL	GSM350861.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14106/E-GEOD-14106.raw.1.zip	P-G14106-4	E-GEOD-14106-processed-data-1833583201.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14106/E-GEOD-14106.processed.1.zip	none	none
GSE14106GSM350860	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wounded inflorescence stalk inoculated with C58, Gene expression data of reference tissue were compared with those of inoculated tissue.. ecotype: Ws-2; tissue: wounded inflorescence stalk segments; inoculant: inoculated with Agrobacterium tumefaciens strain C58	ecotype: Ws-2; tissue: wounded inflorescence stalk segments; inoculant: inoculated with Agrobacterium tumefaciens strain C58	wounded inflorescence stalk inoculated with C58	wounded	Ws-2	inflorescence stalk	P-G14106-10	P-G14106-9	GSE14106GSM350860 sample	P-G14106-5	GSE14106GSM350860 extract	total_RNA	P-G14106-3	GSE14106GSM350860 LE biotin	biotin	synthetic_RNA	C58 3hpi 3	A-AFFY-2	P-AFFY-6	GSM350860.CEL	GSM350860.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14106/E-GEOD-14106.raw.1.zip	P-G14106-4	E-GEOD-14106-processed-data-1833583201.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14106/E-GEOD-14106.processed.1.zip	Agrobacterium tumefaciens C58	none
GSE14106GSM350865	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wounded inflorescence stalk inoculated with C58, Gene expression data of reference tissue were compared with those of inoculated tissue.. ecotype: Ws-2; tissue: wounded inflorescence stalk segments; inoculant: inoculated with Agrobacterium tumefaciens strain C58	ecotype: Ws-2; tissue: wounded inflorescence stalk segments; inoculant: inoculated with Agrobacterium tumefaciens strain C58	wounded inflorescence stalk inoculated with C58	wounded	Ws-2	inflorescence stalk	P-G14106-12	P-G14106-6	GSE14106GSM350865 sample	P-G14106-5	GSE14106GSM350865 extract	total_RNA	P-G14106-3	GSE14106GSM350865 LE biotin	biotin	synthetic_RNA	C58 6dpi 2	A-AFFY-2	P-AFFY-6	GSM350865.CEL	GSM350865.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14106/E-GEOD-14106.raw.1.zip	P-G14106-4	E-GEOD-14106-processed-data-1833583201.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14106/E-GEOD-14106.processed.1.zip	Agrobacterium tumefaciens C58	none
GSE14106GSM350868	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wounded inflorescence stalk inoculated with GV3101, Gene expression data of reference tissue were compared with those of inoculated tissue.. ecotype: Ws-2; tissue: wounded inflorescence stalk segments; inoculant: inoculated with Agrobacterium tumefaciens strain GV3101, lacking the T-DNA but not virulence factors	ecotype: Ws-2; tissue: wounded inflorescence stalk segments; inoculant: inoculated with Agrobacterium tumefaciens strain GV3101, lacking the T-DNA but not virulence factors	wounded inflorescence stalk inoculated with GV3101	wounded	Ws-2	inflorescence stalk	P-G14106-13	P-G14106-6	GSE14106GSM350868 sample	P-G14106-5	GSE14106GSM350868 extract	total_RNA	P-G14106-3	GSE14106GSM350868 LE biotin	biotin	synthetic_RNA	GV3101 6dpi 2	A-AFFY-2	P-AFFY-6	GSM350868.CEL	GSM350868.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14106/E-GEOD-14106.raw.1.zip	P-G14106-4	E-GEOD-14106-processed-data-1833583201.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14106/E-GEOD-14106.processed.1.zip	Agrobacterium tumefaciens GV3101	none
GSE14106GSM350862	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wounded inflorescence stalk, Gene expression data of reference tissue were compared with those of inoculated tissue.. ecotype: Ws-2; tissue: wounded inflorescence stalk segments; inoculant: mock	ecotype: Ws-2; tissue: wounded inflorescence stalk segments; inoculant: mock	wounded inflorescence stalk	wounded	Ws-2	inflorescence stalk	P-G14106-11	P-G14106-1	GSE14106GSM350862 sample	P-G14106-5	GSE14106GSM350862 extract	total_RNA	P-G14106-3	GSE14106GSM350862 LE biotin	biotin	synthetic_RNA	Reference 6dpi 2	A-AFFY-2	P-AFFY-6	GSM350862.CEL	GSM350862.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14106/E-GEOD-14106.raw.1.zip	P-G14106-4	E-GEOD-14106-processed-data-1833583201.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14106/E-GEOD-14106.processed.1.zip	none	none
