Source Name	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[DevelopmentalStage]	Characteristics[Ecotype]	Characteristics[OrganismPart]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue[ORGANISM PART]	FactorValue [GROWTH CONDITION]	FactorValue[TREATMENT TIME]	Unit[TimeUnit]
GSM592075 1	Root tissues at 9-10 leaf developmental stage, 24 h submergence in darkness	Root_submergence_24h_rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette stage with 9-10 leaves	Col-0	root	P-GSE24077-2	P-GSE24077-3	P-GSE24077-4	GSM592075 extract 1	total RNA	P-GSE24077-5	GSM592075 LE 1	Biotin	P-GSE24077-6	GSM592075	A-AFFY-2	P-GSE24077-7	P-GSE24077-8	GSM592075.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24077/E-GEOD-24077.raw.1.zip	P-GSE24077-1	GSM592075_sample_table.txt norm	GSM592075_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24077/E-GEOD-24077.processed.1.zip	root	submerged in darkness	24	hours
GSM592074 1	Root tissues at 9-10 leaf developmental stage, 24 h submergence in darkness	Root_submergence_24h_rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette stage with 9-10 leaves	Col-0	root	P-GSE24077-2	P-GSE24077-3	P-GSE24077-4	GSM592074 extract 1	total RNA	P-GSE24077-5	GSM592074 LE 1	Biotin	P-GSE24077-6	GSM592074	A-AFFY-2	P-GSE24077-7	P-GSE24077-8	GSM592074.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24077/E-GEOD-24077.raw.1.zip	P-GSE24077-1	GSM592074_sample_table.txt norm	GSM592074_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24077/E-GEOD-24077.processed.1.zip	root	submerged in darkness	24	hours
GSM592073 1	Root tissues at 9-10 leaf developmental stage, 7 h submergence in darkness	Root_submergence_7h_rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette stage with 9-10 leaves	Col-0	root	P-GSE24077-2	P-GSE24077-3	P-GSE24077-4	GSM592073 extract 1	total RNA	P-GSE24077-5	GSM592073 LE 1	Biotin	P-GSE24077-6	GSM592073	A-AFFY-2	P-GSE24077-7	P-GSE24077-8	GSM592073.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24077/E-GEOD-24077.raw.1.zip	P-GSE24077-1	GSM592073_sample_table.txt norm	GSM592073_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24077/E-GEOD-24077.processed.1.zip	root	submerged in darkness	7	hours
GSM592072 1	Root tissues at 9-10 leaf developmental stage, 7 h submergence in darkness	Root_submergence_7h_rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette stage with 9-10 leaves	Col-0	root	P-GSE24077-2	P-GSE24077-3	P-GSE24077-4	GSM592072 extract 1	total RNA	P-GSE24077-5	GSM592072 LE 1	Biotin	P-GSE24077-6	GSM592072	A-AFFY-2	P-GSE24077-7	P-GSE24077-8	GSM592072.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24077/E-GEOD-24077.raw.1.zip	P-GSE24077-1	GSM592072_sample_table.txt norm	GSM592072_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24077/E-GEOD-24077.processed.1.zip	root	submerged in darkness	7	hours
GSM591294 1	Root tissue at 9-10 leaf rosette stage, non-submerged dark condition	Root_dark_control_24h_rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette stage with 9-10 leaves	Col-0	root	P-GSE24077-2	P-GSE24077-3	P-GSE24077-4	GSM591294 extract 1	total RNA	P-GSE24077-5	GSM591294 LE 1	Biotin	P-GSE24077-6	GSM591294	A-AFFY-2	P-GSE24077-7	P-GSE24077-8	GSM591294.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24077/E-GEOD-24077.raw.1.zip	P-GSE24077-1	GSM591294_sample_table.txt norm	GSM591294_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24077/E-GEOD-24077.processed.1.zip	root	not submerged in darkness	24	hours
GSM591293 1	Root tissue at 9-10 leaf rosette stage, non-submerged dark condition	Root_dark_control_24h_rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette stage with 9-10 leaves	Col-0	root	P-GSE24077-2	P-GSE24077-3	P-GSE24077-4	GSM591293 extract 1	total RNA	P-GSE24077-5	GSM591293 LE 1	Biotin	P-GSE24077-6	GSM591293	A-AFFY-2	P-GSE24077-7	P-GSE24077-8	GSM591293.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24077/E-GEOD-24077.raw.1.zip	P-GSE24077-1	GSM591293_sample_table.txt norm	GSM591293_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24077/E-GEOD-24077.processed.1.zip	root	not submerged in darkness	24	hours
GSM591291 1	Root tissue at 9-10 leaf rosette stage, non-submerged dark condition	Root_dark_control_7h_rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette stage with 9-10 leaves	Col-0	root	P-GSE24077-2	P-GSE24077-3	P-GSE24077-4	GSM591291 extract 1	total RNA	P-GSE24077-5	GSM591291 LE 1	Biotin	P-GSE24077-6	GSM591291	A-AFFY-2	P-GSE24077-7	P-GSE24077-8	GSM591291.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24077/E-GEOD-24077.raw.1.zip	P-GSE24077-1	GSM591291_sample_table.txt norm	GSM591291_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24077/E-GEOD-24077.processed.1.zip	root	not submerged in darkness	7	hours
GSM591288 1	Root tissue at 9-10 leaf rosette stage, non-submerged dark condition	Root_dark_control_7h_rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette stage with 9-10 leaves	Col-0	root	P-GSE24077-2	P-GSE24077-3	P-GSE24077-4	GSM591288 extract 1	total RNA	P-GSE24077-5	GSM591288 LE 1	Biotin	P-GSE24077-6	GSM591288	A-AFFY-2	P-GSE24077-7	P-GSE24077-8	GSM591288.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24077/E-GEOD-24077.raw.1.zip	P-GSE24077-1	GSM591288_sample_table.txt norm	GSM591288_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24077/E-GEOD-24077.processed.1.zip	root	not submerged in darkness	7	hours
GSM591285 1	Root tissue at 9-10 leaf rosette stage, non-submerged light condition	Root_light_control_rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette stage with 9-10 leaves	Col-0	root	P-GSE24077-2	P-GSE24077-3	P-GSE24077-4	GSM591285 extract 1	total RNA	P-GSE24077-5	GSM591285 LE 1	Biotin	P-GSE24077-6	GSM591285	A-AFFY-2	P-GSE24077-7	P-GSE24077-8	GSM591285.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24077/E-GEOD-24077.raw.1.zip	P-GSE24077-1	GSM591285_sample_table.txt norm	GSM591285_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24077/E-GEOD-24077.processed.1.zip	root	not submerged in light	0	hours
GSM591266 1	Root tissue at 9-10 leaf rosette stage, non-submerged light condition	Root_light_control_rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette stage with 9-10 leaves	Col-0	root	P-GSE24077-2	P-GSE24077-3	P-GSE24077-4	GSM591266 extract 1	total RNA	P-GSE24077-5	GSM591266 LE 1	biotin	P-GSE24077-6	GSM591266	A-AFFY-2	P-GSE24077-7	P-GSE24077-8	GSM591266.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24077/E-GEOD-24077.raw.1.zip	P-GSE24077-1	GSM591266_sample_table.txt norm	GSM591266_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24077/E-GEOD-24077.processed.1.zip	root	not submerged in light	0	hours
