Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [ecotype]	Characteristics [developmental stage]	Term Source REF	Term Accession Number	Characteristics [age]	Unit[time unit]	Characteristics [initial time point]	Characteristics [biosource type]	Provider	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	Factor Value [growth condition]	Factor Value [time]	Unit [time unit]
Arabidopsis thaliana__ebi.ac.uk:MIAMExpress:BioSource:181032	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	8	day	planting	fresh_sample	Genome Laboratory	P-MEXP-10342	P-MEXP-10341	2hMannitol2	P-MEXP-10346	2hMannitol2	total_RNA	P-MEXP-8187	2hMannitol2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	2hMannitol2	A-AFFY-2	P-AFFY-6	2hMannitol2	2hMannitol2.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-475/E-MEXP-475.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-475-processed-data-1343522518.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-475/E-MEXP-475.processed.1.zip	3% mannitol	2	hour
Arabidopsis thaliana__ebi.ac.uk:MIAMExpress:BioSource:181031	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	8	day	planting	fresh_sample	Genome Laboratory	P-MEXP-10342	P-MEXP-10341	2hMannitol1	P-MEXP-10346	2hMannitol1	total_RNA	P-MEXP-8187	2hMannitol1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	2hMannitol1	A-AFFY-2	P-AFFY-6	2hMannitol1	2hMannitol1.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-475/E-MEXP-475.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-475-processed-data-1343522518.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-475/E-MEXP-475.processed.1.zip	3% mannitol	2	hour
Arabidopsis thaliana__ebi.ac.uk:MIAMExpress:BioSource:181033	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	8	day	planting	fresh_sample	Genome Laboratory	P-MEXP-10342	P-MEXP-10341	2hMannitol3	P-MEXP-10346	2hMannitol3	total_RNA	P-MEXP-8187	2hMannitol3	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	2hMannitol3	A-AFFY-2	P-AFFY-6	2hMannitol3	2hMannitol3.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-475/E-MEXP-475.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-475-processed-data-1343522518.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-475/E-MEXP-475.processed.1.zip	3% mannitol	2	hour
Arabidopsis thaliana__ebi.ac.uk:MIAMExpress:BioSource:181040	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	8	day	planting	fresh_sample	Genome Laboratory	P-MEXP-10342	P-MEXP-10341	4hMannitol2	P-MEXP-10346	4hMannitol2	total_RNA	P-MEXP-8187	4hMannitol2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	4hMannitol2	A-AFFY-2	P-AFFY-6	4hMannitol2	4hMannitol2.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-475/E-MEXP-475.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-475-processed-data-1343522518.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-475/E-MEXP-475.processed.1.zip	3% mannitol	4	hour
Arabidopsis thaliana__ebi.ac.uk:MIAMExpress:BioSource:181041	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	8	day	planting	fresh_sample	Genome Laboratory	P-MEXP-10342	P-MEXP-10341	4hMannitol3	P-MEXP-10346	4hMannitol3	total_RNA	P-MEXP-8187	4hMannitol3	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	4hMannitol3	A-AFFY-2	P-AFFY-6	4hMannitol3	4hMannitol3.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-475/E-MEXP-475.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-475-processed-data-1343522518.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-475/E-MEXP-475.processed.1.zip	3% mannitol	4	hour
Arabidopsis thaliana__ebi.ac.uk:MIAMExpress:BioSource:181039	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	8	day	planting	fresh_sample	Genome Laboratory	P-MEXP-10342	P-MEXP-10341	4hMannitol1	P-MEXP-10346	4hMannitol1	total_RNA	P-MEXP-8187	4hMannitol1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	4hMannitol1	A-AFFY-2	P-AFFY-6	4hMannitol1	4hMannitol1.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-475/E-MEXP-475.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-475-processed-data-1343522518.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-475/E-MEXP-475.processed.1.zip	3% mannitol	4	hour
Arabidopsis thaliana__ebi.ac.uk:MIAMExpress:BioSource:181045	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	8	day	planting	fresh_sample	Genome Laboratory	P-MEXP-10342	P-MEXP-10341	6hMannitol	P-MEXP-10346	6hMannitol	total_RNA	P-MEXP-8187	6hMannitol	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	6hMannitol	A-AFFY-2	P-AFFY-6	6hMannitol	6hMannitol.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-475/E-MEXP-475.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-475-processed-data-1343522518.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-475/E-MEXP-475.processed.1.zip	3% mannitol	6	hour
Arabidopsis thaliana__ebi.ac.uk:MIAMExpress:BioSource:181034	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	8	day	planting	fresh_sample	Genome Laboratory	P-MEXP-10342	P-MEXP-10341	2hMannitolABA	P-MEXP-10346	2hMannitolABA	total_RNA	P-MEXP-8187	2hMannitolABA	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	2hMannitolABA	A-AFFY-2	P-AFFY-6	2hMannitolABA	2hMannitolABA.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-475/E-MEXP-475.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-475-processed-data-1343522518.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-475/E-MEXP-475.processed.1.zip	3% mannitol and 10 micromolar abscisic acid	2	hour
Arabidopsis thaliana__ebi.ac.uk:MIAMExpress:BioSource:181042	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	8	day	planting	fresh_sample	Genome Laboratory	P-MEXP-10342	P-MEXP-10341	4hMannitolABA	P-MEXP-10346	4hMannitolABA	total_RNA	P-MEXP-8187	4hMannitolABA	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	4hMannitolABA	A-AFFY-2	P-AFFY-6	4hMannitolABA	4hMannitolABA.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-475/E-MEXP-475.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-475-processed-data-1343522518.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-475/E-MEXP-475.processed.1.zip	3% mannitol and 10 micromolar abscisic acid	4	hour
Arabidopsis thaliana__ebi.ac.uk:MIAMExpress:BioSource:181046	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	8	day	planting	fresh_sample	Genome Laboratory	P-MEXP-10342	P-MEXP-10341	6hMannitolABA	P-MEXP-10346	6hMannitolABA	total_RNA	P-MEXP-8187	6hMannitolABA	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	6hMannitolABA	A-AFFY-2	P-AFFY-6	6hMannitolABA	6hMannitolABA.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-475/E-MEXP-475.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-475-processed-data-1343522518.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-475/E-MEXP-475.processed.1.zip	3% mannitol and 10 micromolar abscisic acid	6	hour
Arabidopsis thaliana	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	8	day	planting	fresh_sample	Genome Laboratory	P-MEXP-10342	P-MEXP-10341	0h1	P-MEXP-10346	0h1	total_RNA	P-MEXP-8187	0h1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	0h1	A-AFFY-2	P-AFFY-6	0h1	0h1.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-475/E-MEXP-475.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-475-processed-data-1343522518.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-475/E-MEXP-475.processed.1.zip	control	0	hour
Arabidopsis thaliana__ebi.ac.uk:MIAMExpress:BioSource:181026	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	8	day	planting	fresh_sample	Genome Laboratory	P-MEXP-10342	P-MEXP-10341	0h3	P-MEXP-10346	0h3	total_RNA	P-MEXP-8187	0h3	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	0h3	A-AFFY-2	P-AFFY-6	0h3	0h3.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-475/E-MEXP-475.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-475-processed-data-1343522518.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-475/E-MEXP-475.processed.1.zip	control	0	hour
Arabidopsis thaliana__ebi.ac.uk:MIAMExpress:BioSource:181025	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	8	day	planting	fresh_sample	Genome Laboratory	P-MEXP-10342	P-MEXP-10341	0h2	P-MEXP-10346	0h2	total_RNA	P-MEXP-8187	0h2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	0h2	A-AFFY-2	P-AFFY-6	0h2	0h2.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-475/E-MEXP-475.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-475-processed-data-1343522518.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-475/E-MEXP-475.processed.1.zip	control	0	hour
