Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[ecotype]	Characteristics[genotype]	Characteristics[growth condition]	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue [growth condition]	FactorValue [compound]	FactorValue[dose]	Unit [concentration unit]
GSM857272 1	Col_LD_2_Mock_Seedlings	seedlings, 13 days old, Col-0 ecotype	Col_LD_2_Mock	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild type	13 days in 12 h light/12 h dark (LD)	P-GSE34897-2	GSM857272 extract 1	total RNA	P-GSE34897-3	GSM857272 LE 1	Biotin	P-GSE34897-4	GSM857272	A-AFFY-2	P-GSE34897-5	P-GSE34897-6	GSM857272_11531.Kay.14.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34897/E-GEOD-34897.raw.1.zip	P-GSE34897-1	GSM857272_sample_table.txt norm	GSM857272_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34897/E-GEOD-34897.processed.1.zip	wild type	13 days in 12 h light/12 h dark (LD)	control	  	        
GSM857271 1	Col_LD_1_Mock_Seedlings	seedlings, 13 days old, Col-0 ecotype	Col_LD_1_Mock	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild type	13 days in 12 h light/12 h dark (LD)	P-GSE34897-2	GSM857271 extract 1	total RNA	P-GSE34897-3	GSM857271 LE 1	Biotin	P-GSE34897-4	GSM857271	A-AFFY-2	P-GSE34897-5	P-GSE34897-6	GSM857271_11530.Kay.13.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34897/E-GEOD-34897.raw.1.zip	P-GSE34897-1	GSM857271_sample_table.txt norm	GSM857271_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34897/E-GEOD-34897.processed.1.zip	wild type	13 days in 12 h light/12 h dark (LD)	control	  	        
GSM857270 1	ALC_Toc1_LL_3_EtOH_Seedlings	seedlings, 13 days old, Col-0 ecotype	ALC_Toc1_LL_3_EtOH	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	ethanol-inducible TOC1 transgenic line 	12 days in LD + 1 day in constant light (LL)	P-GSE34897-2	GSM857270 extract 1	total RNA	P-GSE34897-3	GSM857270 LE 1	Biotin	P-GSE34897-4	GSM857270	A-AFFY-2	P-GSE34897-5	P-GSE34897-6	GSM857270_11529.Kay.12.3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34897/E-GEOD-34897.raw.1.zip	P-GSE34897-1	GSM857270_sample_table.txt norm	GSM857270_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34897/E-GEOD-34897.processed.1.zip	ethanol-inducible TOC1 transgenic line 	12 days in LD + 1 day in constant light (LL)	ethanol	2.5	percent
GSM857269 1	ALC_Toc1_LL_2_EtOH_Seedlings	seedlings, 13 days old, Col-0 ecotype	ALC_Toc1_LL_2_EtOH	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	ethanol-inducible TOC1 transgenic line 	12 days in LD + 1 day in constant light (LL)	P-GSE34897-2	GSM857269 extract 1	total RNA	P-GSE34897-3	GSM857269 LE 1	Biotin	P-GSE34897-4	GSM857269	A-AFFY-2	P-GSE34897-5	P-GSE34897-6	GSM857269_11528.Kay.11.5.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34897/E-GEOD-34897.raw.1.zip	P-GSE34897-1	GSM857269_sample_table.txt norm	GSM857269_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34897/E-GEOD-34897.processed.1.zip	ethanol-inducible TOC1 transgenic line 	12 days in LD + 1 day in constant light (LL)	ethanol	2.5	percent
GSM857268 1	ALC_Toc1_LL_1_EtOH_Seedlings	seedlings, 13 days old, Col-0 ecotype	ALC_Toc1_LL_1_EtOH	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	ethanol-inducible TOC1 transgenic line 	12 days in LD + 1 day in constant light (LL)	P-GSE34897-2	GSM857268 extract 1	total RNA	P-GSE34897-3	GSM857268 LE 1	Biotin	P-GSE34897-4	GSM857268	A-AFFY-2	P-GSE34897-5	P-GSE34897-6	GSM857268_11527.Kay.10.4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34897/E-GEOD-34897.raw.1.zip	P-GSE34897-1	GSM857268_sample_table.txt norm	GSM857268_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34897/E-GEOD-34897.processed.1.zip	ethanol-inducible TOC1 transgenic line 	12 days in LD + 1 day in constant light (LL)	ethanol	2.5	percent
GSM857267 1	Col_LL_3_EtOH_Seedlings	seedlings, 13 days old, Col-0 ecotype	Col_LL_3_EtOH	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild type	12 days in LD + 1 day in constant light (LL)	P-GSE34897-2	GSM857267 extract 1	total RNA	P-GSE34897-3	GSM857267 LE 1	Biotin	P-GSE34897-4	GSM857267	A-AFFY-2	P-GSE34897-5	P-GSE34897-6	GSM857267_11526.Kay.9.5.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34897/E-GEOD-34897.raw.1.zip	P-GSE34897-1	GSM857267_sample_table.txt norm	GSM857267_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34897/E-GEOD-34897.processed.1.zip	wild type	12 days in LD + 1 day in constant light (LL)	ethanol	2.5	percent
GSM857266 1	Col_LL_2_EtOH_Seedlings	seedlings, 13 days old, Col-0 ecotype	Col_LL_2_EtOH	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild type	12 days in LD + 1 day in constant light (LL)	P-GSE34897-2	GSM857266 extract 1	total RNA	P-GSE34897-3	GSM857266 LE 1	Biotin	P-GSE34897-4	GSM857266	A-AFFY-2	P-GSE34897-5	P-GSE34897-6	GSM857266_11525.Kay.8.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34897/E-GEOD-34897.raw.1.zip	P-GSE34897-1	GSM857266_sample_table.txt norm	GSM857266_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34897/E-GEOD-34897.processed.1.zip	wild type	12 days in LD + 1 day in constant light (LL)	ethanol	2.5	percent
GSM857265 1	Col_LL_1_EtOH_Seedlings	seedlings, 13 days old, Col-0 ecotype	Col_LL_1_EtOH	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild type	12 days in LD + 1 day in constant light (LL)	P-GSE34897-2	GSM857265 extract 1	total RNA	P-GSE34897-3	GSM857265 LE 1	Biotin	P-GSE34897-4	GSM857265	A-AFFY-2	P-GSE34897-5	P-GSE34897-6	GSM857265_11524.Kay.7.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34897/E-GEOD-34897.raw.1.zip	P-GSE34897-1	GSM857265_sample_table.txt norm	GSM857265_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34897/E-GEOD-34897.processed.1.zip	wild type	12 days in LD + 1 day in constant light (LL)	ethanol	2.5	percent
GSM857264 1	ALC_Toc1_LL_3_Mock_Seedlings	seedlings, 13 days old, Col-0 ecotype	ALC_Toc1_LL_3_Mock	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	ethanol-inducible TOC1 transgenic line 	12 days in LD + 1 day in constant light (LL)	P-GSE34897-2	GSM857264 extract 1	total RNA	P-GSE34897-3	GSM857264 LE 1	Biotin	P-GSE34897-4	GSM857264	A-AFFY-2	P-GSE34897-5	P-GSE34897-6	GSM857264_11523.Kay.6.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34897/E-GEOD-34897.raw.1.zip	P-GSE34897-1	GSM857264_sample_table.txt norm	GSM857264_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34897/E-GEOD-34897.processed.1.zip	ethanol-inducible TOC1 transgenic line 	12 days in LD + 1 day in constant light (LL)	control	  	        
GSM857263 1	ALC_Toc1_LL_2_Mock_Seedlings	seedlings, 13 days old, Col-0 ecotype	ALC_Toc1_LL_2_Mock	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	ethanol-inducible TOC1 transgenic line 	12 days in LD + 1 day in constant light (LL)	P-GSE34897-2	GSM857263 extract 1	total RNA	P-GSE34897-3	GSM857263 LE 1	Biotin	P-GSE34897-4	GSM857263	A-AFFY-2	P-GSE34897-5	P-GSE34897-6	GSM857263_11522.Kay.5.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34897/E-GEOD-34897.raw.1.zip	P-GSE34897-1	GSM857263_sample_table.txt norm	GSM857263_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34897/E-GEOD-34897.processed.1.zip	ethanol-inducible TOC1 transgenic line 	12 days in LD + 1 day in constant light (LL)	control	  	        
GSM857262 1	ALC_Toc1_LL_1_Mock_Seedlings	seedlings, 13 days old, Col-0 ecotype	ALC_Toc1_LL_1_Mock	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	ethanol-inducible TOC1 transgenic line 	12 days in LD + 1 day in constant light (LL)	P-GSE34897-2	GSM857262 extract 1	total RNA	P-GSE34897-3	GSM857262 LE 1	Biotin	P-GSE34897-4	GSM857262	A-AFFY-2	P-GSE34897-5	P-GSE34897-6	GSM857262_11521.Kay.4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34897/E-GEOD-34897.raw.1.zip	P-GSE34897-1	GSM857262_sample_table.txt norm	GSM857262_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34897/E-GEOD-34897.processed.1.zip	ethanol-inducible TOC1 transgenic line 	12 days in LD + 1 day in constant light (LL)	control	  	        
GSM857261 1	Col_LL_3_Mock_Seedlings	seedlings, 13 days old, Col-0 ecotype	Col_LL_3_Mock	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild type	12 days in LD + 1 day in constant light (LL)	P-GSE34897-2	GSM857261 extract 1	total RNA	P-GSE34897-3	GSM857261 LE 1	Biotin	P-GSE34897-4	GSM857261	A-AFFY-2	P-GSE34897-5	P-GSE34897-6	GSM857261_11520.Kay.3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34897/E-GEOD-34897.raw.1.zip	P-GSE34897-1	GSM857261_sample_table.txt norm	GSM857261_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34897/E-GEOD-34897.processed.1.zip	wild type	12 days in LD + 1 day in constant light (LL)	control	  	        
GSM857260 1	Col_LL_2_Mock_Seedlings	seedlings, 13 days old, Col-0 ecotype	Col_LL_2_Mock	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild type	12 days in LD + 1 day in constant light (LL)	P-GSE34897-2	GSM857260 extract 1	total RNA	P-GSE34897-3	GSM857260 LE 1	Biotin	P-GSE34897-4	GSM857260	A-AFFY-2	P-GSE34897-5	P-GSE34897-6	GSM857260_11519.Kay.2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34897/E-GEOD-34897.raw.1.zip	P-GSE34897-1	GSM857260_sample_table.txt norm	GSM857260_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34897/E-GEOD-34897.processed.1.zip	wild type	12 days in LD + 1 day in constant light (LL)	control	  	        
GSM857259 1	Col_LL_1_Mock_Seedlings	seedlings, 13 days old, Col-0 ecotype	Col_LL_1_Mock	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild type	12 days in LD + 1 day in constant light (LL)	P-GSE34897-2	GSM857259 extract 1	total RNA	P-GSE34897-3	GSM857259 LE 1	Biotin	P-GSE34897-4	GSM857259	A-AFFY-2	P-GSE34897-5	P-GSE34897-6	GSM857259_11518.Kay.1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34897/E-GEOD-34897.raw.1.zip	P-GSE34897-1	GSM857259_sample_table.txt norm	GSM857259_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34897/E-GEOD-34897.processed.1.zip	wild type	12 days in LD + 1 day in constant light (LL)	control	  	        
