Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[ecotype]	Characteristics[genotype]	Characteristics[organism part]	Characteristics[developmental stage]	Comment[time in continuous light]	Comment[time in fr light]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	Factor Value [light]	FactorValue [time]	Unit [time unit]
GSM768257 1	pifq_FR1_2	pifq 2d seedling, 2d continuous white light (WL) + 1h FR light	piffq FR 1h, biological rep 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	pif1pif3pif4pif5 (pifq) mutant	whole organism	seedling	2 days	1 hr	P-GSE28297-3	P-GSE28297-2	P-GSE28297-4	GSM768257 extract 1	total RNA	P-GSE28297-5	GSM768257 LE 1	biotin	P-GSE28297-6	GSM768257	A-AFFY-2	  	P-GSE28297-7	P-GSE28297-8	GSM768257.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28297/E-GEOD-28297.raw.1.zip	P-GSE28297-1	GSM768257_sample_table.txt norm	GSM768257_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28297/E-GEOD-28297.processed.1.zip	pif1pif3pif4pif5 (pifq) mutant	2 days in continuous light plus Red/Far-Red ratio 0.006	1	hour
GSM768256 1	pifq_FR1_1	pifq 2d seedling, 2d continuous white light (WL) + 1h FR light	piffq FR 1h, biological rep 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	pif1pif3pif4pif5 (pifq) mutant	whole organism	seedling	2 days	1 hr	P-GSE28297-3	P-GSE28297-2	P-GSE28297-4	GSM768256 extract 1	total RNA	P-GSE28297-5	GSM768256 LE 1	biotin	P-GSE28297-6	GSM768256	A-AFFY-2	  	P-GSE28297-7	P-GSE28297-8	GSM768256.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28297/E-GEOD-28297.raw.1.zip	P-GSE28297-1	GSM768256_sample_table.txt norm	GSM768256_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28297/E-GEOD-28297.processed.1.zip	pif1pif3pif4pif5 (pifq) mutant	2 days in continuous light plus Red/Far-Red ratio 0.006	1	hour
GSM768255 1	pifq_WL0_3	pifq 2d seedling, 2d continuous white light (WL)	piffq 2d WL, biological rep 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	pif1pif3pif4pif5 (pifq) mutant	whole organism	seedling	2 days	0 hr	P-GSE28297-3	P-GSE28297-2	P-GSE28297-4	GSM768255 extract 1	total RNA	P-GSE28297-5	GSM768255 LE 1	biotin	P-GSE28297-6	GSM768255	A-AFFY-2	  	P-GSE28297-7	P-GSE28297-8	GSM768255.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28297/E-GEOD-28297.raw.1.zip	P-GSE28297-1	GSM768255_sample_table.txt norm	GSM768255_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28297/E-GEOD-28297.processed.1.zip	pif1pif3pif4pif5 (pifq) mutant	2 days in continuous light plus Red/Far-Red ratio 0.006	0	hour
GSM768254 1	pifq_WL0_2	pifq 2d seedling, 2d continuous white light (WL)	piffq 2d WL, biological rep 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	pif1pif3pif4pif5 (pifq) mutant	whole organism	seedling	2 days	0 hr	P-GSE28297-3	P-GSE28297-2	P-GSE28297-4	GSM768254 extract 1	total RNA	P-GSE28297-5	GSM768254 LE 1	biotin	P-GSE28297-6	GSM768254	A-AFFY-2	  	P-GSE28297-7	P-GSE28297-8	GSM768254.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28297/E-GEOD-28297.raw.1.zip	P-GSE28297-1	GSM768254_sample_table.txt norm	GSM768254_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28297/E-GEOD-28297.processed.1.zip	pif1pif3pif4pif5 (pifq) mutant	2 days in continuous light plus Red/Far-Red ratio 0.006	0	hour
GSM768253 1	pifq_WL0_1	pifq 2d seedling, 2d continuous white light (WL)	piffq 2d WL, biological rep 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	pif1pif3pif4pif5 (pifq) mutant	whole organism	seedling	2 days	0 hr	P-GSE28297-3	P-GSE28297-2	P-GSE28297-4	GSM768253 extract 1	total RNA	P-GSE28297-5	GSM768253 LE 1	biotin	P-GSE28297-6	GSM768253	A-AFFY-2	  	P-GSE28297-7	P-GSE28297-8	GSM768253.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28297/E-GEOD-28297.raw.1.zip	P-GSE28297-1	GSM768253_sample_table.txt norm	GSM768253_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28297/E-GEOD-28297.processed.1.zip	pif1pif3pif4pif5 (pifq) mutant	2 days in continuous light plus Red/Far-Red ratio 0.006	0	hour
GSM768252 1	WT_WL24_3	WT 2d seedling, 3d continuous white light (WL)	WT 3d WL, biological rep 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild type	whole organism	seedling	3 days	0 hr	P-GSE28297-3	P-GSE28297-2	P-GSE28297-4	GSM768252 extract 1	total RNA	P-GSE28297-5	GSM768252 LE 1	biotin	P-GSE28297-6	GSM768252	A-AFFY-2	  	P-GSE28297-7	P-GSE28297-8	GSM768252.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28297/E-GEOD-28297.raw.1.zip	P-GSE28297-1	GSM768252_sample_table.txt norm	GSM768252_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28297/E-GEOD-28297.processed.1.zip	wild type	3 days in continuous light plus Red/Far-Red ratio 0.006	0	hour
GSM768251 1	WT_WL24_2	WT 2d seedling, 3d continuous white light (WL)	WT 3d WL, biological rep 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild type	whole organism	seedling	3 days	0 hr	P-GSE28297-3	P-GSE28297-2	P-GSE28297-4	GSM768251 extract 1	total RNA	P-GSE28297-5	GSM768251 LE 1	biotin	P-GSE28297-6	GSM768251	A-AFFY-2	  	P-GSE28297-7	P-GSE28297-8	GSM768251.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28297/E-GEOD-28297.raw.1.zip	P-GSE28297-1	GSM768251_sample_table.txt norm	GSM768251_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28297/E-GEOD-28297.processed.1.zip	wild type	3 days in continuous light plus Red/Far-Red ratio 0.006	0	hour
GSM768250 1	WT_WL24_1	WT 2d seedling, 3d continuous white light (WL)	WT 3d WL, biological rep 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild type	whole organism	seedling	3 days	0 hr	P-GSE28297-3	P-GSE28297-2	P-GSE28297-4	GSM768250 extract 1	total RNA	P-GSE28297-5	GSM768250 LE 1	biotin	P-GSE28297-6	GSM768250	A-AFFY-2	  	P-GSE28297-7	P-GSE28297-8	GSM768250.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28297/E-GEOD-28297.raw.1.zip	P-GSE28297-1	GSM768250_sample_table.txt norm	GSM768250_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28297/E-GEOD-28297.processed.1.zip	wild type	3 days in continuous light plus Red/Far-Red ratio 0.006	0	hour
GSM768249 1	WT_FR24_3	WT 2d seedling, 2d continuous white light (WL) + 24h FR light	WT FR 24h, biological rep 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild type	whole organism	seedling	2 days	24 hr	P-GSE28297-3	P-GSE28297-2	P-GSE28297-4	GSM768249 extract 1	total RNA	P-GSE28297-5	GSM768249 LE 1	biotin	P-GSE28297-6	GSM768249	A-AFFY-2	  	P-GSE28297-7	P-GSE28297-8	GSM768249.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28297/E-GEOD-28297.raw.1.zip	P-GSE28297-1	GSM768249_sample_table.txt norm	GSM768249_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28297/E-GEOD-28297.processed.1.zip	wild type	2 days in continuous light plus Red/Far-Red ratio 0.006	24	hour
GSM768248 1	WT_FR24_2	WT 2d seedling, 2d continuous white light (WL) + 24h FR light	WT FR 24h, biological rep 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild type	whole organism	seedling	2 days	24 hr	P-GSE28297-3	P-GSE28297-2	P-GSE28297-4	GSM768248 extract 1	total RNA	P-GSE28297-5	GSM768248 LE 1	biotin	P-GSE28297-6	GSM768248	A-AFFY-2	  	P-GSE28297-7	P-GSE28297-8	GSM768248.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28297/E-GEOD-28297.raw.1.zip	P-GSE28297-1	GSM768248_sample_table.txt norm	GSM768248_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28297/E-GEOD-28297.processed.1.zip	wild type	2 days in continuous light plus Red/Far-Red ratio 0.006	24	hour
GSM768247 1	WT_FR24_1	WT 2d seedling, 2d continuous white light (WL) + 24h FR light	WT FR 24h, biological rep 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild type	whole organism	seedling	2 days	24 hr	P-GSE28297-3	P-GSE28297-2	P-GSE28297-4	GSM768247 extract 1	total RNA	P-GSE28297-5	GSM768247 LE 1	biotin	P-GSE28297-6	GSM768247	A-AFFY-2	  	P-GSE28297-7	P-GSE28297-8	GSM768247.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28297/E-GEOD-28297.raw.1.zip	P-GSE28297-1	GSM768247_sample_table.txt norm	GSM768247_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28297/E-GEOD-28297.processed.1.zip	wild type	2 days in continuous light plus Red/Far-Red ratio 0.006	24	hour
GSM768246 1	WT_FR3_3	WT 2d seedling, 2d continuous white light (WL) + 3h FR light	WT FR 3h, biological rep 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild type	whole organism	seedling	2 days	3 hr	P-GSE28297-3	P-GSE28297-2	P-GSE28297-4	GSM768246 extract 1	total RNA	P-GSE28297-5	GSM768246 LE 1	biotin	P-GSE28297-6	GSM768246	A-AFFY-2	  	P-GSE28297-7	P-GSE28297-8	GSM768246.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28297/E-GEOD-28297.raw.1.zip	P-GSE28297-1	GSM768246_sample_table.txt norm	GSM768246_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28297/E-GEOD-28297.processed.1.zip	wild type	2 days in continuous light plus Red/Far-Red ratio 0.006	3	hour
GSM768245 1	WT_FR3_2	WT 2d seedling, 2d continuous white light (WL) + 3h FR light	WT FR 3h, biological rep 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild type	whole organism	seedling	2 days	3 hr	P-GSE28297-3	P-GSE28297-2	P-GSE28297-4	GSM768245 extract 1	total RNA	P-GSE28297-5	GSM768245 LE 1	biotin	P-GSE28297-6	GSM768245	A-AFFY-2	  	P-GSE28297-7	P-GSE28297-8	GSM768245.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28297/E-GEOD-28297.raw.1.zip	P-GSE28297-1	GSM768245_sample_table.txt norm	GSM768245_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28297/E-GEOD-28297.processed.1.zip	wild type	2 days in continuous light plus Red/Far-Red ratio 0.006	3	hour
GSM768244 1	WT_FR3_1	WT 2d seedling, 2d continuous white light (WL) + 3h FR light	WT FR 3h, biological rep 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild type	whole organism	seedling	2 days	3 hr	P-GSE28297-3	P-GSE28297-2	P-GSE28297-4	GSM768244 extract 1	total RNA	P-GSE28297-5	GSM768244 LE 1	biotin	P-GSE28297-6	GSM768244	A-AFFY-2	  	P-GSE28297-7	P-GSE28297-8	GSM768244.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28297/E-GEOD-28297.raw.1.zip	P-GSE28297-1	GSM768244_sample_table.txt norm	GSM768244_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28297/E-GEOD-28297.processed.1.zip	wild type	2 days in continuous light plus Red/Far-Red ratio 0.006	3	hour
GSM768243 1	WT_FR1_3	WT 2d seedling, 2d continuous white light (WL) + 1h FR light	WT FR 1h, biological rep 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild type	whole organism	seedling	2 days	1 hr	P-GSE28297-3	P-GSE28297-2	P-GSE28297-4	GSM768243 extract 1	total RNA	P-GSE28297-5	GSM768243 LE 1	biotin	P-GSE28297-6	GSM768243	A-AFFY-2	  	P-GSE28297-7	P-GSE28297-8	GSM768243.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28297/E-GEOD-28297.raw.1.zip	P-GSE28297-1	GSM768243_sample_table.txt norm	GSM768243_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28297/E-GEOD-28297.processed.1.zip	wild type	2 days in continuous light plus Red/Far-Red ratio 0.006	1	hour
GSM768242 1	WT_FR1_2	WT 2d seedling, 2d continuous white light (WL) + 1h FR light	WT FR 1h, biological rep 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild type	whole organism	seedling	2 days	1 hr	P-GSE28297-3	P-GSE28297-2	P-GSE28297-4	GSM768242 extract 1	total RNA	P-GSE28297-5	GSM768242 LE 1	biotin	P-GSE28297-6	GSM768242	A-AFFY-2	  	P-GSE28297-7	P-GSE28297-8	GSM768242.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28297/E-GEOD-28297.raw.1.zip	P-GSE28297-1	GSM768242_sample_table.txt norm	GSM768242_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28297/E-GEOD-28297.processed.1.zip	wild type	2 days in continuous light plus Red/Far-Red ratio 0.006	1	hour
GSM768241 1	WT_FR1_1	WT 2d seedling, 2d continuous white light (WL) + 1h FR light	WT FR 1h, biological rep 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild type	whole organism	seedling	2 days	1 hr	P-GSE28297-3	P-GSE28297-2	P-GSE28297-4	GSM768241 extract 1	total RNA	P-GSE28297-5	GSM768241 LE 1	biotin	P-GSE28297-6	GSM768241	A-AFFY-2	  	P-GSE28297-7	P-GSE28297-8	GSM768241.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28297/E-GEOD-28297.raw.1.zip	P-GSE28297-1	GSM768241_sample_table.txt norm	GSM768241_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28297/E-GEOD-28297.processed.1.zip	wild type	2 days in continuous light plus Red/Far-Red ratio 0.006	1	hour
