Source Name	Material Type	Characteristics [organism part]	Characteristics [organism]	Characteristics [genotype]	Characteristics [ecotype]	Characteristics [age]	Unit[time unit]	Characteristics[growth condition]	Characteristics [time]	Unit[time unit]	Comment [Sample_source_name]	Comment [Sample_description]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Protocol REF	Assay Name	Technology Type	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	Factor Value [growth condition]	Factor Value [time]	Unit[time unit]
GSM491678 1	organism part	whole rosette	Arabidopsis thaliana	wild type genotype	Columbia-0	32	day	control	00:00	hour	whole rosette, well-watered, midnight	bot0870	P-GSE19700-2	P-GSE19700-3	P-GSE19700-4	GSM491678 extract 1	total RNA	P-GSE19700-5	GSM491678 LE 1	biotin	synthetic RNA	P-GSE19700-6	P-GSE19700-7	GSM491678	array assay	A-AFFY-2	P-GSE19700-8	GSM491678.CEL	GSM491678.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19700/E-GEOD-19700.raw.1.zip	P-GSE19700-1	E-GEOD-19700-processed-data-2509326825.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19700/E-GEOD-19700.processed.1.zip	control	0	hour
GSM491679 1	organism part	whole rosette	Arabidopsis thaliana	wild type genotype	Columbia-0	32	day	control	00:00	hour	whole rosette, well-watered, midnight	32 days without water limitation.	P-GSE19700-2	P-GSE19700-3	P-GSE19700-4	GSM491679 extract 1	total RNA	P-GSE19700-5	GSM491679 LE 1	biotin	synthetic RNA	P-GSE19700-6	P-GSE19700-7	GSM491679	array assay	A-AFFY-2	P-GSE19700-8	GSM491679.CEL	GSM491679.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19700/E-GEOD-19700.raw.1.zip	P-GSE19700-1	E-GEOD-19700-processed-data-2509326825.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19700/E-GEOD-19700.processed.1.zip	control	0	hour
GSM491688 1	organism part	whole rosette	Arabidopsis thaliana	wild type genotype	Columbia-0	32	day	drought	06:00	hour	whole rosette, water-limited, pre-dawn	bot0856	P-GSE19700-2	P-GSE19700-3	P-GSE19700-4	GSM491688 extract 1	total RNA	P-GSE19700-5	GSM491688 LE 1	biotin	synthetic RNA	P-GSE19700-6	P-GSE19700-7	GSM491688	array assay	A-AFFY-2	P-GSE19700-8	GSM491688.CEL	GSM491688.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19700/E-GEOD-19700.raw.1.zip	P-GSE19700-1	E-GEOD-19700-processed-data-2509326825.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19700/E-GEOD-19700.processed.1.zip	drought	6	hour
GSM491680 1	organism part	whole rosette	Arabidopsis thaliana	wild type genotype	Columbia-0	32	day	control	00:00	hour	whole rosette, well-watered, midnight	bot0872	P-GSE19700-2	P-GSE19700-3	P-GSE19700-4	GSM491680 extract 1	total RNA	P-GSE19700-5	GSM491680 LE 1	biotin	synthetic RNA	P-GSE19700-6	P-GSE19700-7	GSM491680	array assay	A-AFFY-2	P-GSE19700-8	GSM491680.CEL	GSM491680.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19700/E-GEOD-19700.raw.1.zip	P-GSE19700-1	E-GEOD-19700-processed-data-2509326825.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19700/E-GEOD-19700.processed.1.zip	control	0	hour
GSM491683 1	organism part	whole rosette	Arabidopsis thaliana	wild type genotype	Columbia-0	32	day	drought	00:00	hour	whole rosette, water-limited, midnight	bot0875	P-GSE19700-2	P-GSE19700-3	P-GSE19700-4	GSM491683 extract 1	total RNA	P-GSE19700-5	GSM491683 LE 1	biotin	synthetic RNA	P-GSE19700-6	P-GSE19700-7	GSM491683	array assay	A-AFFY-2	P-GSE19700-8	GSM491683.CEL	GSM491683.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19700/E-GEOD-19700.raw.1.zip	P-GSE19700-1	E-GEOD-19700-processed-data-2509326825.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19700/E-GEOD-19700.processed.1.zip	drought	0	hour
GSM491682 1	organism part	whole rosette	Arabidopsis thaliana	wild type genotype	Columbia-0	32	day	drought	00:00	hour	whole rosette, water-limited, midnight	28 days without water limitation followed by 4 days without further input of water 4 days.	P-GSE19700-2	P-GSE19700-3	P-GSE19700-4	GSM491682 extract 1	total RNA	P-GSE19700-5	GSM491682 LE 1	biotin	synthetic RNA	P-GSE19700-6	P-GSE19700-7	GSM491682	array assay	A-AFFY-2	P-GSE19700-8	GSM491682.CEL	GSM491682.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19700/E-GEOD-19700.raw.1.zip	P-GSE19700-1	E-GEOD-19700-processed-data-2509326825.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19700/E-GEOD-19700.processed.1.zip	drought	0	hour
GSM491672 1	organism part	whole rosette	Arabidopsis thaliana	wild type genotype	Columbia-0	32	day	control	18:00	hour	whole rosette, well-watered, late day	32 days without water limitation.	P-GSE19700-2	P-GSE19700-3	P-GSE19700-4	GSM491672 extract 1	total RNA	P-GSE19700-5	GSM491672 LE 1	biotin	synthetic RNA	P-GSE19700-6	P-GSE19700-7	GSM491672	array assay	A-AFFY-2	P-GSE19700-8	GSM491672.CEL	GSM491672.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19700/E-GEOD-19700.raw.1.zip	P-GSE19700-1	E-GEOD-19700-processed-data-2509326825.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19700/E-GEOD-19700.processed.1.zip	control	18	hour
GSM491674 1	organism part	whole rosette	Arabidopsis thaliana	wild type genotype	Columbia-0	32	day	control	18:00	hour	whole rosette, well-watered, late day	bot0866	P-GSE19700-2	P-GSE19700-3	P-GSE19700-4	GSM491674 extract 1	total RNA	P-GSE19700-5	GSM491674 LE 1	biotin	synthetic RNA	P-GSE19700-6	P-GSE19700-7	GSM491674	array assay	A-AFFY-2	P-GSE19700-8	GSM491674.CEL	GSM491674.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19700/E-GEOD-19700.raw.1.zip	P-GSE19700-1	E-GEOD-19700-processed-data-2509326825.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19700/E-GEOD-19700.processed.1.zip	control	18	hour
GSM491668 1	organism part	whole rosette	Arabidopsis thaliana	wild type genotype	Columbia-0	32	day	control	12:00	hour	whole rosette, well-watered, midday	bot0860	P-GSE19700-2	P-GSE19700-3	P-GSE19700-4	GSM491668 extract 1	total RNA	P-GSE19700-5	GSM491668 LE 1	biotin	synthetic RNA	P-GSE19700-6	P-GSE19700-7	GSM491668	array assay	A-AFFY-2	P-GSE19700-8	GSM491668.CEL	GSM491668.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19700/E-GEOD-19700.raw.1.zip	P-GSE19700-1	E-GEOD-19700-processed-data-2509326825.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19700/E-GEOD-19700.processed.1.zip	control	12	hour
GSM491675 1	organism part	whole rosette	Arabidopsis thaliana	wild type genotype	Columbia-0	32	day	drought	18:00	hour	whole rosette, water-limited, late day	28 days without water limitation followed by 4 days without further input of water 4 days.	P-GSE19700-2	P-GSE19700-3	P-GSE19700-4	GSM491675 extract 1	total RNA	P-GSE19700-5	GSM491675 LE 1	biotin	synthetic RNA	P-GSE19700-6	P-GSE19700-7	GSM491675	array assay	A-AFFY-2	P-GSE19700-8	GSM491675.CEL	GSM491675.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19700/E-GEOD-19700.raw.1.zip	P-GSE19700-1	E-GEOD-19700-processed-data-2509326825.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19700/E-GEOD-19700.processed.1.zip	drought	18	hour
GSM491666 1	organism part	whole rosette	Arabidopsis thaliana	wild type genotype	Columbia-0	32	day	control	12:00	hour	whole rosette, well-watered, midday	bot0858	P-GSE19700-2	P-GSE19700-3	P-GSE19700-4	GSM491666 extract 1	total RNA	P-GSE19700-5	GSM491666 LE 1	biotin	synthetic RNA	P-GSE19700-6	P-GSE19700-7	GSM491666	array assay	A-AFFY-2	P-GSE19700-8	GSM491666.CEL	GSM491666.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19700/E-GEOD-19700.raw.1.zip	P-GSE19700-1	E-GEOD-19700-processed-data-2509326825.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19700/E-GEOD-19700.processed.1.zip	control	12	hour
GSM491689 1	organism part	whole rosette	Arabidopsis thaliana	wild type genotype	Columbia-0	32	day	drought	06:00	hour	whole rosette, water-limited, pre-dawn	28 days without water limitation followed by 4 days without further input of water 4 days.	P-GSE19700-2	P-GSE19700-3	P-GSE19700-4	GSM491689 extract 1	total RNA	P-GSE19700-5	GSM491689 LE 1	biotin	synthetic RNA	P-GSE19700-6	P-GSE19700-7	GSM491689	array assay	A-AFFY-2	P-GSE19700-8	GSM491689.CEL	GSM491689.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19700/E-GEOD-19700.raw.1.zip	P-GSE19700-1	E-GEOD-19700-processed-data-2509326825.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19700/E-GEOD-19700.processed.1.zip	drought	6	hour
GSM491670 1	organism part	whole rosette	Arabidopsis thaliana	wild type genotype	Columbia-0	32	day	drought	12:00	hour	whole rosette, water-limited, midday	bot0862	P-GSE19700-2	P-GSE19700-3	P-GSE19700-4	GSM491670 extract 1	total RNA	P-GSE19700-5	GSM491670 LE 1	biotin	synthetic RNA	P-GSE19700-6	P-GSE19700-7	GSM491670	array assay	A-AFFY-2	P-GSE19700-8	GSM491670.CEL	GSM491670.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19700/E-GEOD-19700.raw.1.zip	P-GSE19700-1	E-GEOD-19700-processed-data-2509326825.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19700/E-GEOD-19700.processed.1.zip	drought	12	hour
GSM491681 1	organism part	whole rosette	Arabidopsis thaliana	wild type genotype	Columbia-0	32	day	drought	00:00	hour	whole rosette, water-limited, midnight	28 days without water limitation followed by 4 days without further input of water 4 days.	P-GSE19700-2	P-GSE19700-3	P-GSE19700-4	GSM491681 extract 1	total RNA	P-GSE19700-5	GSM491681 LE 1	biotin	synthetic RNA	P-GSE19700-6	P-GSE19700-7	GSM491681	array assay	A-AFFY-2	P-GSE19700-8	GSM491681.CEL	GSM491681.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19700/E-GEOD-19700.raw.1.zip	P-GSE19700-1	E-GEOD-19700-processed-data-2509326825.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19700/E-GEOD-19700.processed.1.zip	drought	0	hour
