Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Description	Characteristics[ecotype]	Characteristics[genotype]	Characteristics[organism part]	Comment [Sample_source_name]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[treatment]	FactorValue[genotype]	FactorValue[time]	Unit[time unit]
GSE17464GSM435705	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"leaf discs, Gene expression data from Arabidopsis leaves treated with flg22. tissue: leaf discs"	Landsberg erecta	ga1-3 gai-t6 rga-t2 rgl1-1 rgl2-1	leaf	leaf discs	P-G17464-1	P-G17464-2	GSE17464GSM435705 sample	P-G17464-5	GSE17464GSM435705 extract	total_RNA	P-G17464-3	GSE17464GSM435705 LE biotin	biotin	synthetic_RNA	"penta, Flg22, 1h, Biological Rep 3"	A-AFFY-2	P-AFFY-6	GSM435705.CEL	GSM435705.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17464/E-GEOD-17464.raw.1.zip	P-G17464-4	E-GEOD-17464-processed-data-2002732225.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17464/E-GEOD-17464.processed.1.zip	flg22	ga1-3 gai-t6 rga-t2 rgl1-1 rgl2-1	1	hour
GSE17464GSM435703	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"leaf discs, Gene expression data from Arabidopsis leaves treated with flg22. tissue: leaf discs"	Landsberg erecta	ga1-3 gai-t6 rga-t2 rgl1-1 rgl2-1	leaf	leaf discs	P-G17464-1	P-G17464-2	GSE17464GSM435703 sample	P-G17464-5	GSE17464GSM435703 extract	total_RNA	P-G17464-3	GSE17464GSM435703 LE biotin	biotin	synthetic_RNA	"penta, Flg22, 1h, Biological Rep 1"	A-AFFY-2	P-AFFY-6	GSM435703.CEL	GSM435703.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17464/E-GEOD-17464.raw.1.zip	P-G17464-4	E-GEOD-17464-processed-data-2002732225.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17464/E-GEOD-17464.processed.1.zip	flg22	ga1-3 gai-t6 rga-t2 rgl1-1 rgl2-1	1	hour
GSE17464GSM435727	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"leaf discs, Gene expression data from Arabidopsis leaves treated with Methyl Jasmonate. tissue: leaf discs"	Landsberg erecta	ga1-3 gai-t6 rga-t2 rgl1-1 rgl2-1	leaf	leaf discs	P-G17464-1	P-G17464-2	GSE17464GSM435727 sample	P-G17464-5	GSE17464GSM435727 extract	total_RNA	P-G17464-3	GSE17464GSM435727 LE biotin	biotin	synthetic_RNA	"penta, MeJA, 1h, Biological Rep 1"	A-AFFY-2	P-AFFY-6	GSM435727.CEL	GSM435727.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17464/E-GEOD-17464.raw.1.zip	P-G17464-4	E-GEOD-17464-processed-data-2002732225.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17464/E-GEOD-17464.processed.1.zip	methyl jasmonate	ga1-3 gai-t6 rga-t2 rgl1-1 rgl2-1	1	hour
GSE17464GSM435728	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"leaf discs, Gene expression data from Arabidopsis leaves treated with Methyl Jasmonate. tissue: leaf discs"	Landsberg erecta	ga1-3 gai-t6 rga-t2 rgl1-1 rgl2-1	leaf	leaf discs	P-G17464-1	P-G17464-2	GSE17464GSM435728 sample	P-G17464-5	GSE17464GSM435728 extract	total_RNA	P-G17464-3	GSE17464GSM435728 LE biotin	biotin	synthetic_RNA	"penta, MeJA, 1h, Biological Rep 2"	A-AFFY-2	P-AFFY-6	GSM435728.CEL	GSM435728.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17464/E-GEOD-17464.raw.1.zip	P-G17464-4	E-GEOD-17464-processed-data-2002732225.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17464/E-GEOD-17464.processed.1.zip	methyl jasmonate	ga1-3 gai-t6 rga-t2 rgl1-1 rgl2-1	1	hour
GSE17464GSM435729	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"leaf discs, Gene expression data from Arabidopsis leaves treated with Methyl Jasmonate. tissue: leaf discs"	Landsberg erecta	ga1-3 gai-t6 rga-t2 rgl1-1 rgl2-1	leaf	leaf discs	P-G17464-1	P-G17464-2	GSE17464GSM435729 sample	P-G17464-5	GSE17464GSM435729 extract	total_RNA	P-G17464-3	GSE17464GSM435729 LE biotin	biotin	synthetic_RNA	"penta, MeJA, 1h, Biological Rep 3"	A-AFFY-2	P-AFFY-6	GSM435729.CEL	GSM435729.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17464/E-GEOD-17464.raw.1.zip	P-G17464-4	E-GEOD-17464-processed-data-2002732225.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17464/E-GEOD-17464.processed.1.zip	methyl jasmonate	ga1-3 gai-t6 rga-t2 rgl1-1 rgl2-1	1	hour
GSE17464GSM435714	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"leaf discs, Gene expression data from Arabidopsis leaves treated with flg22. tissue: leaf discs"	Landsberg erecta	gai mutant	leaf	leaf discs	P-G17464-1	P-G17464-2	GSE17464GSM435714 sample	P-G17464-5	GSE17464GSM435714 extract	total_RNA	P-G17464-3	GSE17464GSM435714 LE biotin	biotin	synthetic_RNA	"gai, Flg22, 1h, Biological Rep 3"	A-AFFY-2	P-AFFY-6	GSM435714.CEL	GSM435714.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17464/E-GEOD-17464.raw.1.zip	P-G17464-4	E-GEOD-17464-processed-data-2002732225.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17464/E-GEOD-17464.processed.1.zip	flg22	gai mutant	1	hour
GSE17464GSM435713	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"leaf discs, Gene expression data from Arabidopsis leaves treated with flg22. tissue: leaf discs"	Landsberg erecta	gai mutant	leaf	leaf discs	P-G17464-1	P-G17464-2	GSE17464GSM435713 sample	P-G17464-5	GSE17464GSM435713 extract	total_RNA	P-G17464-3	GSE17464GSM435713 LE biotin	biotin	synthetic_RNA	"gai, Flg22, 1h, Biological Rep 2"	A-AFFY-2	P-AFFY-6	GSM435713.CEL	GSM435713.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17464/E-GEOD-17464.raw.1.zip	P-G17464-4	E-GEOD-17464-processed-data-2002732225.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17464/E-GEOD-17464.processed.1.zip	flg22	gai mutant	1	hour
GSE17464GSM435712	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"leaf discs, Gene expression data from Arabidopsis leaves treated with flg22. tissue: leaf discs"	Landsberg erecta	gai mutant	leaf	leaf discs	P-G17464-1	P-G17464-2	GSE17464GSM435712 sample	P-G17464-5	GSE17464GSM435712 extract	total_RNA	P-G17464-3	GSE17464GSM435712 LE biotin	biotin	synthetic_RNA	"gai, Flg22, 1h, Biological Rep 1"	A-AFFY-2	P-AFFY-6	GSM435712.CEL	GSM435712.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17464/E-GEOD-17464.raw.1.zip	P-G17464-4	E-GEOD-17464-processed-data-2002732225.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17464/E-GEOD-17464.processed.1.zip	flg22	gai mutant	1	hour
GSE17464GSM435730	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"leaf discs, Gene expression data from Arabidopsis leaves treated with Methyl Jasmonate. tissue: leaf discs"	Landsberg erecta	gai mutant	leaf	leaf discs	P-G17464-1	P-G17464-2	GSE17464GSM435730 sample	P-G17464-5	GSE17464GSM435730 extract	total_RNA	P-G17464-3	GSE17464GSM435730 LE biotin	biotin	synthetic_RNA	"gai, MeJA, 1h, Biological Rep 1"	A-AFFY-2	P-AFFY-6	GSM435730.CEL	GSM435730.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17464/E-GEOD-17464.raw.1.zip	P-G17464-4	E-GEOD-17464-processed-data-2002732225.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17464/E-GEOD-17464.processed.1.zip	methyl jasmonate	gai mutant	1	hour
GSE17464GSM435732	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"leaf discs, Gene expression data from Arabidopsis leaves treated with Methyl Jasmonate. tissue: leaf discs"	Landsberg erecta	gai mutant	leaf	leaf discs	P-G17464-1	P-G17464-2	GSE17464GSM435732 sample	P-G17464-5	GSE17464GSM435732 extract	total_RNA	P-G17464-3	GSE17464GSM435732 LE biotin	biotin	synthetic_RNA	"gai, MeJA, 1h, Biological Rep 3"	A-AFFY-2	P-AFFY-6	GSM435732.CEL	GSM435732.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17464/E-GEOD-17464.raw.1.zip	P-G17464-4	E-GEOD-17464-processed-data-2002732225.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17464/E-GEOD-17464.processed.1.zip	methyl jasmonate	gai mutant	1	hour
GSE17464GSM435731	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"leaf discs, Gene expression data from Arabidopsis leaves treated with Methyl Jasmonate. tissue: leaf discs"	Landsberg erecta	gai mutant	leaf	leaf discs	P-G17464-1	P-G17464-2	GSE17464GSM435731 sample	P-G17464-5	GSE17464GSM435731 extract	total_RNA	P-G17464-3	GSE17464GSM435731 LE biotin	biotin	synthetic_RNA	"gai, MeJA, 1h, Biological Rep 2"	A-AFFY-2	P-AFFY-6	GSM435731.CEL	GSM435731.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17464/E-GEOD-17464.raw.1.zip	P-G17464-4	E-GEOD-17464-processed-data-2002732225.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17464/E-GEOD-17464.processed.1.zip	methyl jasmonate	gai mutant	1	hour
GSE17464GSM435695	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"leaf discs, Gene expression data from Arabidopsis leaves treated with flg22. tissue: leaf discs"	Landsberg erecta	wild type	leaf	leaf discs	P-G17464-1	P-G17464-2	GSE17464GSM435695 sample	P-G17464-5	GSE17464GSM435695 extract	total_RNA	P-G17464-3	GSE17464GSM435695 LE biotin	biotin	synthetic_RNA	"Laer, Flg22+GA, 1h, Biological Rep 2"	A-AFFY-2	P-AFFY-6	GSM435695.CEL	GSM435695.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17464/E-GEOD-17464.raw.1.zip	P-G17464-4	E-GEOD-17464-processed-data-2002732225.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17464/E-GEOD-17464.processed.1.zip	flg22	wild type	1	hour
GSE17464GSM435678	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"leaf discs, Gene expression data from Arabidopsis leaves treated with flg22. tissue: leaf discs"	Landsberg erecta	wild type	leaf	leaf discs	P-G17464-1	P-G17464-2	GSE17464GSM435678 sample	P-G17464-5	GSE17464GSM435678 extract	total_RNA	P-G17464-3	GSE17464GSM435678 LE biotin	biotin	synthetic_RNA	"Laer, Flg22, 1h, Biological Rep 3"	A-AFFY-2	P-AFFY-6	GSM435678.CEL	GSM435678.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17464/E-GEOD-17464.raw.1.zip	P-G17464-4	E-GEOD-17464-processed-data-2002732225.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17464/E-GEOD-17464.processed.1.zip	flg22	wild type	1	hour
GSE17464GSM435676	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"leaf discs, Gene expression data from Arabidopsis leaves treated with flg22. tissue: leaf discs"	Landsberg erecta	wild type	leaf	leaf discs	P-G17464-1	P-G17464-2	GSE17464GSM435676 sample	P-G17464-5	GSE17464GSM435676 extract	total_RNA	P-G17464-3	GSE17464GSM435676 LE biotin	biotin	synthetic_RNA	"Laer, Flg22, 1h, Biological Rep 1"	A-AFFY-2	P-AFFY-6	GSM435676.CEL	GSM435676.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17464/E-GEOD-17464.raw.1.zip	P-G17464-4	E-GEOD-17464-processed-data-2002732225.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17464/E-GEOD-17464.processed.1.zip	flg22	wild type	1	hour
GSE17464GSM435682	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"leaf discs, Gene expression data from Arabidopsis leaves treated with flg22. tissue: leaf discs"	Landsberg erecta	wild type	leaf	leaf discs	P-G17464-1	P-G17464-2	GSE17464GSM435682 sample	P-G17464-5	GSE17464GSM435682 extract	total_RNA	P-G17464-3	GSE17464GSM435682 LE biotin	biotin	synthetic_RNA	"Laer, Flg22(Agrobacterium), 1h, Biological Rep 1"	A-AFFY-2	P-AFFY-6	GSM435682.CEL	GSM435682.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17464/E-GEOD-17464.raw.1.zip	P-G17464-4	E-GEOD-17464-processed-data-2002732225.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17464/E-GEOD-17464.processed.1.zip	flg22	wild type	1	hour
GSE17464GSM435677	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"leaf discs, Gene expression data from Arabidopsis leaves treated with flg22. tissue: leaf discs"	Landsberg erecta	wild type	leaf	leaf discs	P-G17464-1	P-G17464-2	GSE17464GSM435677 sample	P-G17464-5	GSE17464GSM435677 extract	total_RNA	P-G17464-3	GSE17464GSM435677 LE biotin	biotin	synthetic_RNA	"Laer, Flg22, 1h, Biological Rep 2"	A-AFFY-2	P-AFFY-6	GSM435677.CEL	GSM435677.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17464/E-GEOD-17464.raw.1.zip	P-G17464-4	E-GEOD-17464-processed-data-2002732225.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17464/E-GEOD-17464.processed.1.zip	flg22	wild type	1	hour
GSE17464GSM435689	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"leaf discs, Gene expression data from Arabidopsis leaves treated with flg22. tissue: leaf discs"	Landsberg erecta	wild type	leaf	leaf discs	P-G17464-1	P-G17464-2	GSE17464GSM435689 sample	P-G17464-5	GSE17464GSM435689 extract	total_RNA	P-G17464-3	GSE17464GSM435689 LE biotin	biotin	synthetic_RNA	"Laer, GA, 1h, Biological Rep 2"	A-AFFY-2	P-AFFY-6	GSM435689.CEL	GSM435689.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17464/E-GEOD-17464.raw.1.zip	P-G17464-4	E-GEOD-17464-processed-data-2002732225.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17464/E-GEOD-17464.processed.1.zip	flg22	wild type	1	hour
