Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Genotype]	Characteristics[Age]	Unit[TimeUnit]	Characteristics[OrganismPart]	Characteristics[DevelopmentalStage]	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [GENOTYPE]	FactorValue[INFECTION]	FactorValue [SAMPLING TIME POINT]	Unit[TimeUnit]
GSM554315 1	2-week-old soil grown plants with no treatment used as 0 day reference.	WT_EMWA1_6dpi	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	2	weeks	whole organism	seedling	EFO	EFO_0001992	P-GSE22274-11	P-GSE22274-12	P-GSE22274-13	GSM554315 extract 1	total RNA	P-GSE22274-14	GSM554315 LE 1	biotin	P-GSE22274-15	GSM554315_1	A-AFFY-2	P-GSE22274-16	P-GSE22274-17	P-GSE22274-18	P-GSE22274-19	GSM554315_WT_Emwa1_6dpi_rep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22274/E-GEOD-22274.raw.1.zip	P-GSE22274-5	GSM554315_sample_table.txt norm	GSM554315_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22274/E-GEOD-22274.processed.1.zip	wild_type	Hyaloperonospora arabidopsidis Emwa1	6	days
GSM554315 1	2-week-old soil grown plants with no treatment used as 0 day reference.	WT_EMWA1_6dpi	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	2	weeks	whole organism	seedling	EFO	EFO_0001992	P-GSE22274-11	P-GSE22274-12	P-GSE22274-13	GSM554315 extract 1	total RNA	P-GSE22274-14	GSM554315 LE 1	biotin	P-GSE22274-15	GSM554315_2	A-AFFY-2	P-GSE22274-16	P-GSE22274-17	P-GSE22274-18	P-GSE22274-19	GSM554315_WT_Emwa1_6dpi_rep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22274/E-GEOD-22274.raw.1.zip	P-GSE22274-5	GSM554315_sample_table.txt norm	GSM554315_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22274/E-GEOD-22274.processed.1.zip	wild_type	Hyaloperonospora arabidopsidis Emwa1	6	days
GSM554314 1	2-week-old soil grown plants with no treatment used as 0 day reference.	WT_EMWA1_4dpi	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	2	weeks	whole organism	seedling	EFO	EFO_0001992	P-GSE22274-11	P-GSE22274-12	P-GSE22274-13	GSM554314 extract 1	total RNA	P-GSE22274-14	GSM554314 LE 1	biotin	P-GSE22274-15	GSM554314_1	A-AFFY-2	P-GSE22274-16	P-GSE22274-17	P-GSE22274-18	P-GSE22274-19	GSM554314_WT_Emwa1_4dpi_rep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22274/E-GEOD-22274.raw.1.zip	P-GSE22274-4	GSM554314_sample_table.txt norm	GSM554314_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22274/E-GEOD-22274.processed.1.zip	wild_type	Hyaloperonospora arabidopsidis Emwa1	4	days
GSM554314 1	2-week-old soil grown plants with no treatment used as 0 day reference.	WT_EMWA1_4dpi	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	2	weeks	whole organism	seedling	EFO	EFO_0001992	P-GSE22274-11	P-GSE22274-12	P-GSE22274-13	GSM554314 extract 1	total RNA	P-GSE22274-14	GSM554314 LE 1	biotin	P-GSE22274-15	GSM554314_2	A-AFFY-2	P-GSE22274-16	P-GSE22274-17	P-GSE22274-18	P-GSE22274-19	GSM554314_WT_Emwa1_4dpi_rep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22274/E-GEOD-22274.raw.1.zip	P-GSE22274-4	GSM554314_sample_table.txt norm	GSM554314_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22274/E-GEOD-22274.processed.1.zip	wild_type	Hyaloperonospora arabidopsidis Emwa1	4	days
GSM554313 1	2-week-old soil grown plants with no treatment used as 0 day reference.	WT_EMWA1_2dpi	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	2	weeks	whole organism	seedling	EFO	EFO_0001992	P-GSE22274-11	P-GSE22274-12	P-GSE22274-13	GSM554313 extract 1	total RNA	P-GSE22274-14	GSM554313 LE 1	biotin	P-GSE22274-15	GSM554313_1	A-AFFY-2	P-GSE22274-16	P-GSE22274-17	P-GSE22274-18	P-GSE22274-19	GSM554313_WT_Emwa1_2dpi_rep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22274/E-GEOD-22274.raw.1.zip	P-GSE22274-3	GSM554313_sample_table.txt norm	GSM554313_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22274/E-GEOD-22274.processed.1.zip	wild_type	Hyaloperonospora arabidopsidis Emwa1	2	days
GSM554313 1	2-week-old soil grown plants with no treatment used as 0 day reference.	WT_EMWA1_2dpi	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	2	weeks	whole organism	seedling	EFO	EFO_0001992	P-GSE22274-11	P-GSE22274-12	P-GSE22274-13	GSM554313 extract 1	total RNA	P-GSE22274-14	GSM554313 LE 1	biotin	P-GSE22274-15	GSM554313_2	A-AFFY-2	P-GSE22274-16	P-GSE22274-17	P-GSE22274-18	P-GSE22274-19	GSM554313_WT_Emwa1_2dpi_rep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22274/E-GEOD-22274.raw.1.zip	P-GSE22274-3	GSM554313_sample_table.txt norm	GSM554313_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22274/E-GEOD-22274.processed.1.zip	wild_type	Hyaloperonospora arabidopsidis Emwa1	2	days
GSM554312 1	2-week-old soil grown plants with no treatment used as 0 day reference.	WT_EMWA1_0.5dpi	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	2	weeks	whole organism	seedling	EFO	EFO_0001992	P-GSE22274-11	P-GSE22274-12	P-GSE22274-13	GSM554312 extract 1	total RNA	P-GSE22274-14	GSM554312 LE 1	biotin	P-GSE22274-15	GSM554312_1	A-AFFY-2	P-GSE22274-16	P-GSE22274-17	P-GSE22274-18	P-GSE22274-19	GSM554312_WT_Emwa1_0.5dpi_rep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22274/E-GEOD-22274.raw.1.zip	P-GSE22274-2	GSM554312_sample_table.txt norm	GSM554312_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22274/E-GEOD-22274.processed.1.zip	wild_type	Hyaloperonospora arabidopsidis Emwa1	0.5	days
GSM554312 1	2-week-old soil grown plants with no treatment used as 0 day reference.	WT_EMWA1_0.5dpi	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	2	weeks	whole organism	seedling	EFO	EFO_0001992	P-GSE22274-11	P-GSE22274-12	P-GSE22274-13	GSM554312 extract 1	total RNA	P-GSE22274-14	GSM554312 LE 1	biotin	P-GSE22274-15	GSM554312_2	A-AFFY-2	P-GSE22274-16	P-GSE22274-17	P-GSE22274-18	P-GSE22274-19	GSM554312_WT_Emwa1_0.5dpi_rep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22274/E-GEOD-22274.raw.1.zip	P-GSE22274-2	GSM554312_sample_table.txt norm	GSM554312_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22274/E-GEOD-22274.processed.1.zip	wild_type	Hyaloperonospora arabidopsidis Emwa1	0.5	days
GSM554311 1	2-week-old soil grown plants with no treatment used as 0 day reference.	WT_EMWA1_0dpi	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	2	weeks	whole organism	seedling	EFO	EFO_0001992	P-GSE22274-11	P-GSE22274-12	P-GSE22274-13	GSM554311 extract 1	total RNA	P-GSE22274-14	GSM554311 LE 1	biotin	P-GSE22274-15	GSM554311_1	A-AFFY-2	P-GSE22274-16	P-GSE22274-17	P-GSE22274-18	P-GSE22274-19	GSM554311_WT_Emwa1_0dpi_rep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22274/E-GEOD-22274.raw.1.zip	P-GSE22274-1	GSM554311_sample_table.txt norm	GSM554311_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22274/E-GEOD-22274.processed.1.zip	wild_type	none	0	days
GSM554311 1	2-week-old soil grown plants with no treatment used as 0 day reference.	WT_EMWA1_0dpi	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	2	weeks	whole organism	seedling	EFO	EFO_0001992	P-GSE22274-11	P-GSE22274-12	P-GSE22274-13	GSM554311 extract 1	total RNA	P-GSE22274-14	GSM554311 LE 1	biotin	P-GSE22274-15	GSM554311_2	A-AFFY-2	P-GSE22274-16	P-GSE22274-17	P-GSE22274-18	P-GSE22274-19	GSM554311_WT_Emwa1_0dpi_rep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22274/E-GEOD-22274.raw.1.zip	P-GSE22274-1	GSM554311_sample_table.txt norm	GSM554311_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22274/E-GEOD-22274.processed.1.zip	wild_type	none	0	days
