Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Material Type	Characteristics [age]	Unit[time unit]	Characteristics[ecotype]	Characteristics [genotype]	Characteristics[growth condition]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value [phenotype]	Factor Value [time]	Unit[time unit]
GSM1212482 1	Gene expression data at TO in the rrs1 mutant background	rrs1_0h-2	35S:RPS4 rrs1-11, T0, rep2	organism part	3.5	week	Col-0	35S:RPS4-HS rrs1-11	28 deg C for 3.5 weeks with no temperature switch	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	P-GSE50019-2	ArrayExpress	P-GSE50019-3	ArrayExpress	P-GSE50019-4	ArrayExpress	GSM1212482 extract 1	total RNA	P-GSE50019-5	ArrayExpress	GSM1212482 LE 1	biotin	P-GSE50019-6	ArrayExpress	GSM1212482	A-AFFY-2	ArrayExpress	array assay	P-GSE50019-7	ArrayExpress	GSM1212482_15_030211.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50019/E-GEOD-50019.raw.1.zip	P-GSE50019-1	ArrayExpress	GSM1212482_sample_table.txt norm	GSM1212482_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50019/E-GEOD-50019.processed.1.zip	RPS4 over-expression on rrs1 mutant background	0	hour
GSM1212481 1	Gene expression data at TO in the rrs1 mutant background	rrs1_0h-1	35S:RPS4 rrs1-11, T0, rep1	organism part	3.5	week	Col-0	35S:RPS4-HS rrs1-11	28 deg C for 3.5 weeks with no temperature switch	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	P-GSE50019-2	ArrayExpress	P-GSE50019-3	ArrayExpress	P-GSE50019-4	ArrayExpress	GSM1212481 extract 1	total RNA	P-GSE50019-5	ArrayExpress	GSM1212481 LE 1	biotin	P-GSE50019-6	ArrayExpress	GSM1212481	A-AFFY-2	ArrayExpress	array assay	P-GSE50019-7	ArrayExpress	GSM1212481_03_110111.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50019/E-GEOD-50019.raw.1.zip	P-GSE50019-1	ArrayExpress	GSM1212481_sample_table.txt norm	GSM1212481_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50019/E-GEOD-50019.processed.1.zip	RPS4 over-expression on rrs1 mutant background	0	hour
GSM1212480 1	Gene expression data at 24h in the eds1 mutant background	eds1_24h-3	35S:RPS4 eds1-2, 24h, rep3	organism part	3.5	week	Col-0	35S:RPS4-HS eds1-2	28 deg C for 3.5 weeks then 19 deg C for 24 hours to induce transgene	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	P-GSE50019-2	ArrayExpress	P-GSE50019-3	ArrayExpress	P-GSE50019-4	ArrayExpress	GSM1212480 extract 1	total RNA	P-GSE50019-5	ArrayExpress	GSM1212480 LE 1	biotin	P-GSE50019-6	ArrayExpress	GSM1212480	A-AFFY-2	ArrayExpress	array assay	P-GSE50019-7	ArrayExpress	GSM1212480_35_080211.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50019/E-GEOD-50019.raw.1.zip	P-GSE50019-1	ArrayExpress	GSM1212480_sample_table.txt norm	GSM1212480_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50019/E-GEOD-50019.processed.1.zip	RPS4 over-expression on eds1 mutant background	24	hour
GSM1212479 1	Gene expression data at 24h in the eds1 mutant background	eds1_24h-2	35S:RPS4 eds1-2, 24h, rep2	organism part	3.5	week	Col-0	35S:RPS4-HS eds1-2	28 deg C for 3.5 weeks then 19 deg C for 24 hours to induce transgene	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	P-GSE50019-2	ArrayExpress	P-GSE50019-3	ArrayExpress	P-GSE50019-4	ArrayExpress	GSM1212479 extract 1	total RNA	P-GSE50019-5	ArrayExpress	GSM1212479 LE 1	biotin	P-GSE50019-6	ArrayExpress	GSM1212479	A-AFFY-2	ArrayExpress	array assay	P-GSE50019-7	ArrayExpress	GSM1212479_23_030211.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50019/E-GEOD-50019.raw.1.zip	P-GSE50019-1	ArrayExpress	GSM1212479_sample_table.txt norm	GSM1212479_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50019/E-GEOD-50019.processed.1.zip	RPS4 over-expression on eds1 mutant background	24	hour
GSM1212478 1	Gene expression data at 24h in the eds1 mutant background	eds1_24h-1	35S:RPS4 eds1-2, 24h, rep1	organism part	3.5	week	Col-0	35S:RPS4-HS eds1-2	28 deg C for 3.5 weeks then 19 deg C for 24 hours to induce transgene	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	P-GSE50019-2	ArrayExpress	P-GSE50019-3	ArrayExpress	P-GSE50019-4	ArrayExpress	GSM1212478 extract 1	total RNA	P-GSE50019-5	ArrayExpress	GSM1212478 LE 1	biotin	P-GSE50019-6	ArrayExpress	GSM1212478	A-AFFY-2	ArrayExpress	array assay	P-GSE50019-7	ArrayExpress	GSM1212478_11_110111.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50019/E-GEOD-50019.raw.1.zip	P-GSE50019-1	ArrayExpress	GSM1212478_sample_table.txt norm	GSM1212478_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50019/E-GEOD-50019.processed.1.zip	RPS4 over-expression on eds1 mutant background	24	hour
GSM1212477 1	Gene expression data at 8h in the eds1 mutant background	eds1_8h-3	35S:RPS4 eds1-2, 8h, rep3	organism part	3.5	week	Col-0	35S:RPS4-HS eds1-2	28 deg C for 3.5 weeks then 19 deg C for 8 hours to induce transgene	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	P-GSE50019-2	ArrayExpress	P-GSE50019-3	ArrayExpress	P-GSE50019-4	ArrayExpress	GSM1212477 extract 1	total RNA	P-GSE50019-5	ArrayExpress	GSM1212477 LE 1	biotin	P-GSE50019-6	ArrayExpress	GSM1212477	A-AFFY-2	ArrayExpress	array assay	P-GSE50019-7	ArrayExpress	GSM1212477_32_080211.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50019/E-GEOD-50019.raw.1.zip	P-GSE50019-1	ArrayExpress	GSM1212477_sample_table.txt norm	GSM1212477_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50019/E-GEOD-50019.processed.1.zip	RPS4 over-expression on eds1 mutant background	8	hour
GSM1212476 1	Gene expression data at 8h in the eds1 mutant background	eds1_8h-2	35S:RPS4 eds1-2, 8h, rep2	organism part	3.5	week	Col-0	35S:RPS4-HS eds1-2	28 deg C for 3.5 weeks then 19 deg C for 8 hours to induce transgene	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	P-GSE50019-2	ArrayExpress	P-GSE50019-3	ArrayExpress	P-GSE50019-4	ArrayExpress	GSM1212476 extract 1	total RNA	P-GSE50019-5	ArrayExpress	GSM1212476 LE 1	biotin	P-GSE50019-6	ArrayExpress	GSM1212476	A-AFFY-2	ArrayExpress	array assay	P-GSE50019-7	ArrayExpress	GSM1212476_20_030211.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50019/E-GEOD-50019.raw.1.zip	P-GSE50019-1	ArrayExpress	GSM1212476_sample_table.txt norm	GSM1212476_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50019/E-GEOD-50019.processed.1.zip	RPS4 over-expression on eds1 mutant background	8	hour
GSM1212475 1	Gene expression data at 8h in the eds1 mutant background	eds1_8h-1	35S:RPS4 eds1-2, 8h, rep1	organism part	3.5	week	Col-0	35S:RPS4-HS eds1-2	28 deg C for 3.5 weeks then 19 deg C for 8 hours to induce transgene	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	P-GSE50019-2	ArrayExpress	P-GSE50019-3	ArrayExpress	P-GSE50019-4	ArrayExpress	GSM1212475 extract 1	total RNA	P-GSE50019-5	ArrayExpress	GSM1212475 LE 1	biotin	P-GSE50019-6	ArrayExpress	GSM1212475	A-AFFY-2	ArrayExpress	array assay	P-GSE50019-7	ArrayExpress	GSM1212475_08_110111.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50019/E-GEOD-50019.raw.1.zip	P-GSE50019-1	ArrayExpress	GSM1212475_sample_table.txt norm	GSM1212475_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50019/E-GEOD-50019.processed.1.zip	RPS4 over-expression on eds1 mutant background	8	hour
GSM1212474 1	Gene expression data at 2h in the eds1 mutant background	eds1_2h-3	35S:RPS4 eds1-2, 2h, rep3	organism part	3.5	week	Col-0	35S:RPS4-HS eds1-2	28 deg C for 3.5 weeks then 19 deg C for 2 hours to induce transgene	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	P-GSE50019-2	ArrayExpress	P-GSE50019-3	ArrayExpress	P-GSE50019-4	ArrayExpress	GSM1212474 extract 1	total RNA	P-GSE50019-5	ArrayExpress	GSM1212474 LE 1	biotin	P-GSE50019-6	ArrayExpress	GSM1212474	A-AFFY-2	ArrayExpress	array assay	P-GSE50019-7	ArrayExpress	GSM1212474_29_080211.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50019/E-GEOD-50019.raw.1.zip	P-GSE50019-1	ArrayExpress	GSM1212474_sample_table.txt norm	GSM1212474_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50019/E-GEOD-50019.processed.1.zip	RPS4 over-expression on eds1 mutant background	2	hour
GSM1212473 1	Gene expression data at 2h in the eds1 mutant background	eds1_2h-2	35S:RPS4 eds1-2, 2h, rep2	organism part	3.5	week	Col-0	35S:RPS4-HS eds1-2	28 deg C for 3.5 weeks then 19 deg C for 2 hours to induce transgene	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	P-GSE50019-2	ArrayExpress	P-GSE50019-3	ArrayExpress	P-GSE50019-4	ArrayExpress	GSM1212473 extract 1	total RNA	P-GSE50019-5	ArrayExpress	GSM1212473 LE 1	biotin	P-GSE50019-6	ArrayExpress	GSM1212473	A-AFFY-2	ArrayExpress	array assay	P-GSE50019-7	ArrayExpress	GSM1212473_17_030211.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50019/E-GEOD-50019.raw.1.zip	P-GSE50019-1	ArrayExpress	GSM1212473_sample_table.txt norm	GSM1212473_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50019/E-GEOD-50019.processed.1.zip	RPS4 over-expression on eds1 mutant background	2	hour
GSM1212472 1	Gene expression data at 2h in the eds1 mutant background	eds1_2h-1	35S:RPS4 eds1-2, 2h, rep1	organism part	3.5	week	Col-0	35S:RPS4-HS eds1-2	28 deg C for 3.5 weeks then 19 deg C for 2 hours to induce transgene	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	P-GSE50019-2	ArrayExpress	P-GSE50019-3	ArrayExpress	P-GSE50019-4	ArrayExpress	GSM1212472 extract 1	total RNA	P-GSE50019-5	ArrayExpress	GSM1212472 LE 1	biotin	P-GSE50019-6	ArrayExpress	GSM1212472	A-AFFY-2	ArrayExpress	array assay	P-GSE50019-7	ArrayExpress	GSM1212472_05_110111.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50019/E-GEOD-50019.raw.1.zip	P-GSE50019-1	ArrayExpress	GSM1212472_sample_table.txt norm	GSM1212472_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50019/E-GEOD-50019.processed.1.zip	RPS4 over-expression on eds1 mutant background	2	hour
GSM1212471 1	Gene expression data at TO in the eds1 mutant background	eds1_0h-3	35S:RPS4 eds1-2, T0, rep3	organism part	3.5	week	Col-0	35S:RPS4-HS eds1-2	28 deg C for 3.5 weeks with no temperature switch	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	P-GSE50019-2	ArrayExpress	P-GSE50019-3	ArrayExpress	P-GSE50019-4	ArrayExpress	GSM1212471 extract 1	total RNA	P-GSE50019-5	ArrayExpress	GSM1212471 LE 1	biotin	P-GSE50019-6	ArrayExpress	GSM1212471	A-AFFY-2	ArrayExpress	array assay	P-GSE50019-7	ArrayExpress	GSM1212471_26_080211.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50019/E-GEOD-50019.raw.1.zip	P-GSE50019-1	ArrayExpress	GSM1212471_sample_table.txt norm	GSM1212471_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50019/E-GEOD-50019.processed.1.zip	RPS4 over-expression on eds1 mutant background	0	hour
GSM1212470 1	Gene expression data at TO in the eds1 mutant background	eds1_0h-2	35S:RPS4 eds1-2, T0, rep2	organism part	3.5	week	Col-0	35S:RPS4-HS eds1-2	28 deg C for 3.5 weeks with no temperature switch	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	P-GSE50019-2	ArrayExpress	P-GSE50019-3	ArrayExpress	P-GSE50019-4	ArrayExpress	GSM1212470 extract 1	total RNA	P-GSE50019-5	ArrayExpress	GSM1212470 LE 1	biotin	P-GSE50019-6	ArrayExpress	GSM1212470	A-AFFY-2	ArrayExpress	array assay	P-GSE50019-7	ArrayExpress	GSM1212470_14_030211.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50019/E-GEOD-50019.raw.1.zip	P-GSE50019-1	ArrayExpress	GSM1212470_sample_table.txt norm	GSM1212470_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50019/E-GEOD-50019.processed.1.zip	RPS4 over-expression on eds1 mutant background	0	hour
