Source Name	Characteristics [organism part]	Term Source REF	Term Accession Number	Characteristics [disease]	Term Source REF	Term Accession Number	Characteristics [genotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [specimen with known storage state]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Factor Value [compound]	Factor Value [time]	Unit [time unit]	Factor Value [genotype]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]
GSE4733GSM106970	stamen	EFO	EFO_0001050	sterile	  	  	opr3 mutant	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen sample	P-G4733-18	P-G4733-8	GSE4733GSM106970 sample	P-G4733-13	GSE4733GSM106970 extract	total_RNA	P-G4733-14	GSE4733GSM106970 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	opr3_OPDA_22 hrs_Rep3	A-AFFY-2	P-AFFY-6	12-oxophytodienoic acid	22	hour	opr3 mutant	opr3_OPDA_22 hrs_Rep3	GSM106970.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4733/E-GEOD-4733.raw.1.zip	E-GEOD-4733-processed-data-1509932491.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4733/E-GEOD-4733.processed.1.zip
GSE4733GSM106833	stamen	EFO	EFO_0001050	sterile	  	  	opr3 mutant	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen sample	P-G4733-18	P-G4733-3	GSE4733GSM106833 sample	P-G4733-13	GSE4733GSM106833 extract	total_RNA	P-G4733-14	GSE4733GSM106833 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	opr3_JA_0.5 hr_Rep1	A-AFFY-2	P-AFFY-6	jasmonate	0.5	hour	opr3 mutant	opr3_JA_0.5 hr_Rep1	GSM106833.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4733/E-GEOD-4733.raw.1.zip	E-GEOD-4733-processed-data-1509932491.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4733/E-GEOD-4733.processed.1.zip
GSE4733GSM106908	stamen	EFO	EFO_0001050	sterile	  	  	opr3 mutant	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen sample	P-G4733-18	P-G4733-3	GSE4733GSM106908 sample	P-G4733-13	GSE4733GSM106908 extract	total_RNA	P-G4733-14	GSE4733GSM106908 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	opr3_JA_0.5 hr_Rep3	A-AFFY-2	P-AFFY-6	jasmonate	0.5	hour	opr3 mutant	opr3_JA_0.5 hr_Rep3	GSM106908.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4733/E-GEOD-4733.raw.1.zip	E-GEOD-4733-processed-data-1509932491.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4733/E-GEOD-4733.processed.1.zip
GSE4733GSM106907	stamen	EFO	EFO_0001050	sterile	  	  	opr3 mutant	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen sample	P-G4733-18	P-G4733-3	GSE4733GSM106907 sample	P-G4733-13	GSE4733GSM106907 extract	total_RNA	P-G4733-14	GSE4733GSM106907 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	opr3_JA_0.5 hr_Rep2	A-AFFY-2	P-AFFY-6	jasmonate	0.5	hour	opr3 mutant	opr3_JA_0.5 hr_Rep2	GSM106907.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4733/E-GEOD-4733.raw.1.zip	E-GEOD-4733-processed-data-1509932491.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4733/E-GEOD-4733.processed.1.zip
GSE4733GSM106910	stamen	EFO	EFO_0001050	sterile	  	  	opr3 mutant	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen sample	P-G4733-18	P-G4733-3	GSE4733GSM106910 sample	P-G4733-13	GSE4733GSM106910 extract	total_RNA	P-G4733-14	GSE4733GSM106910 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	opr3_JA_2 hrs_rep2	A-AFFY-2	P-AFFY-6	jasmonate	2	hour	opr3 mutant	opr3_JA_2 hrs_rep2	GSM106910.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4733/E-GEOD-4733.raw.1.zip	E-GEOD-4733-processed-data-1509932491.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4733/E-GEOD-4733.processed.1.zip
GSE4733GSM106909	stamen	EFO	EFO_0001050	sterile	  	  	opr3 mutant	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen sample	P-G4733-18	P-G4733-3	GSE4733GSM106909 sample	P-G4733-13	GSE4733GSM106909 extract	total_RNA	P-G4733-14	GSE4733GSM106909 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	opr3-JA_2 hrs_Rep1	A-AFFY-2	P-AFFY-6	jasmonate	2	hour	opr3 mutant	opr3-JA_2 hrs_Rep1	GSM106909.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4733/E-GEOD-4733.raw.1.zip	E-GEOD-4733-processed-data-1509932491.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4733/E-GEOD-4733.processed.1.zip
GSE4733GSM106911	stamen	EFO	EFO_0001050	sterile	  	  	opr3 mutant	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen sample	P-G4733-18	P-G4733-3	GSE4733GSM106911 sample	P-G4733-13	GSE4733GSM106911 extract	total_RNA	P-G4733-14	GSE4733GSM106911 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	opr2_JA_2 hrs_Rep3	A-AFFY-2	P-AFFY-6	jasmonate	2	hour	opr3 mutant	opr2_JA_2 hrs_Rep3	GSM106911.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4733/E-GEOD-4733.raw.1.zip	E-GEOD-4733-processed-data-1509932491.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4733/E-GEOD-4733.processed.1.zip
GSE4733GSM106913	stamen	EFO	EFO_0001050	sterile	  	  	opr3 mutant	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen sample	P-G4733-18	P-G4733-3	GSE4733GSM106913 sample	P-G4733-13	GSE4733GSM106913 extract	total_RNA	P-G4733-14	GSE4733GSM106913 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	opr3_JA_8 hrs_Rep2	A-AFFY-2	P-AFFY-6	jasmonate	8	hour	opr3 mutant	opr3_JA_8 hrs_Rep2	GSM106913.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4733/E-GEOD-4733.raw.1.zip	E-GEOD-4733-processed-data-1509932491.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4733/E-GEOD-4733.processed.1.zip
GSE4733GSM106912	stamen	EFO	EFO_0001050	sterile	  	  	opr3 mutant	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen sample	P-G4733-18	P-G4733-3	GSE4733GSM106912 sample	P-G4733-13	GSE4733GSM106912 extract	total_RNA	P-G4733-14	GSE4733GSM106912 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	opr3_JA 8hrs_Rep1	A-AFFY-2	P-AFFY-6	jasmonate	8	hour	opr3 mutant	opr3_JA 8hrs_Rep1	GSM106912.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4733/E-GEOD-4733.raw.1.zip	E-GEOD-4733-processed-data-1509932491.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4733/E-GEOD-4733.processed.1.zip
GSE4733GSM106914	stamen	EFO	EFO_0001050	sterile	  	  	opr3 mutant	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen sample	P-G4733-18	P-G4733-3	GSE4733GSM106914 sample	P-G4733-13	GSE4733GSM106914 extract	total_RNA	P-G4733-14	GSE4733GSM106914 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	opr3_JA_8 hrs_Rep3	A-AFFY-2	P-AFFY-6	jasmonate	8	hour	opr3 mutant	opr3_JA_8 hrs_Rep3	GSM106914.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4733/E-GEOD-4733.raw.1.zip	E-GEOD-4733-processed-data-1509932491.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4733/E-GEOD-4733.processed.1.zip
GSE4733GSM106915	stamen	EFO	EFO_0001050	sterile	  	  	opr3 mutant	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen sample	P-G4733-18	P-G4733-3	GSE4733GSM106915 sample	P-G4733-13	GSE4733GSM106915 extract	total_RNA	P-G4733-14	GSE4733GSM106915 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	opr3_JA_22 hrs_Rep1	A-AFFY-2	P-AFFY-6	jasmonate	22	hour	opr3 mutant	opr3_JA_22 hrs_Rep1	GSM106915.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4733/E-GEOD-4733.raw.1.zip	E-GEOD-4733-processed-data-1509932491.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4733/E-GEOD-4733.processed.1.zip
GSE4733GSM106916	stamen	EFO	EFO_0001050	sterile	  	  	opr3 mutant	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen sample	P-G4733-18	P-G4733-3	GSE4733GSM106916 sample	P-G4733-13	GSE4733GSM106916 extract	total_RNA	P-G4733-14	GSE4733GSM106916 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	opr3_JA_22 hrs_Rep2	A-AFFY-2	P-AFFY-6	jasmonate	22	hour	opr3 mutant	opr3_JA_22 hrs_Rep2	GSM106916.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4733/E-GEOD-4733.raw.1.zip	E-GEOD-4733-processed-data-1509932491.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4733/E-GEOD-4733.processed.1.zip
GSE4733GSM106917	stamen	EFO	EFO_0001050	sterile	  	  	opr3 mutant	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen sample	P-G4733-18	P-G4733-3	GSE4733GSM106917 sample	P-G4733-13	GSE4733GSM106917 extract	total_RNA	P-G4733-14	GSE4733GSM106917 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	opr3_JA_22 hrs_Rep3	A-AFFY-2	P-AFFY-6	jasmonate	22	hour	opr3 mutant	opr3_JA_22 hrs_Rep3	GSM106917.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4733/E-GEOD-4733.raw.1.zip	E-GEOD-4733-processed-data-1509932491.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4733/E-GEOD-4733.processed.1.zip
GSE4733GSM106827	stamen	EFO	EFO_0001050	sterile	  	  	opr3 mutant	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen sample	P-G4733-18	  	GSE4733GSM106827 sample	P-G4733-13	GSE4733GSM106827 extract	total_RNA	P-G4733-14	GSE4733GSM106827 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	opr3_0 hr_Rep2	A-AFFY-2	P-AFFY-6	none	0	hour	opr3 mutant	opr3_0 hr_Rep2	GSM106827.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4733/E-GEOD-4733.raw.1.zip	E-GEOD-4733-processed-data-1509932491.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4733/E-GEOD-4733.processed.1.zip
GSE4733GSM106828	stamen	EFO	EFO_0001050	sterile	  	  	opr3 mutant	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen sample	P-G4733-18	  	GSE4733GSM106828 sample	P-G4733-13	GSE4733GSM106828 extract	total_RNA	P-G4733-14	GSE4733GSM106828 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	opr3_0 hr_Rep3	A-AFFY-2	P-AFFY-6	none	0	hour	opr3 mutant	opr3_0 hr_Rep3	GSM106828.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4733/E-GEOD-4733.raw.1.zip	E-GEOD-4733-processed-data-1509932491.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4733/E-GEOD-4733.processed.1.zip
GSE4733GSM106825	stamen	EFO	EFO_0001050	sterile	  	  	opr3 mutant	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen sample	P-G4733-18	  	GSE4733GSM106825 sample	P-G4733-13	GSE4733GSM106825 extract	total_RNA	P-G4733-14	GSE4733GSM106825 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	opr3_0 hr_Rep1	A-AFFY-2	P-AFFY-6	none	0	hour	opr3 mutant	opr3_0 hr_Rep1	GSM106825.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4733/E-GEOD-4733.raw.1.zip	E-GEOD-4733-processed-data-1509932491.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4733/E-GEOD-4733.processed.1.zip
GSE4733GSM106973	stamen	EFO	EFO_0001050	normal	EFO	EFO_0000761	wild type	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen sample	P-G4733-18	  	GSE4733GSM106973 sample	P-G4733-13	GSE4733GSM106973 extract	total_RNA	P-G4733-14	GSE4733GSM106973 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ws_Rep1	A-AFFY-2	P-AFFY-6	none	0	hour	wild type	ws_Rep1	GSM106973.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4733/E-GEOD-4733.raw.1.zip	E-GEOD-4733-processed-data-1509932491.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4733/E-GEOD-4733.processed.1.zip
