Source Name	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[ecotype]	Characteristics[age]	Unit[time unit]	Characteristics[organism part]	Characteristics[genotype]	Characteristics[genetic modification]	Provider	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue [growth condition]
GSM692483 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	5	week	rosette leaf 	catalase2 mutant	gene knock out	Institute de Biologie de Plantes, Universite de Paris sud, Guillaume Queval	Sample was harvested 7h into the light period to ensure identical exposure to light at time of sampling	cat2, transferred to air (400 ppm) for 4 days in long day regime (16h light/8h dark)	cat2-LD4-Rep2	P-GSE27985-3	P-GSE27985-11	P-GSE27985-4	GSM692483 extract 1	total RNA	P-GSE27985-5	GSM692483 LE 1	biotin	P-GSE27985-6	GSM692483	A-AFFY-2	P-GSE27985-7	P-GSE27985-8	GSM692483.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27985/E-GEOD-27985.raw.1.zip	P-GSE27985-1	GSM692483_sample_table.txt norm	GSM692483_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27985/E-GEOD-27985.processed.1.zip	catalase2 mutant	transferred to air for 4 days in long day length regime 
GSM692479 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	5	week	rosette leaf 	catalase2 mutant	gene knock out	Institute de Biologie de Plantes, Universite de Paris sud, Guillaume Queval	Sample was harvested 7h into the light period to ensure identical exposure to light at time of sampling	cat2, transferred to air (400 ppm) for 4 days in long day regime (16h light/8h dark)	cat2-LD4-Rep1	P-GSE27985-3	P-GSE27985-11	P-GSE27985-4	GSM692479 extract 1	total RNA	P-GSE27985-5	GSM692479 LE 1	biotin	P-GSE27985-6	GSM692479	A-AFFY-2	P-GSE27985-7	P-GSE27985-8	GSM692479.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27985/E-GEOD-27985.raw.1.zip	P-GSE27985-1	GSM692479_sample_table.txt norm	GSM692479_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27985/E-GEOD-27985.processed.1.zip	catalase2 mutant	transferred to air for 4 days in long day length regime 
GSM692475 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	5	week	rosette leaf 	catalase2 mutant	gene knock out	Institute de Biologie de Plantes, Universite de Paris sud, Guillaume Queval	Sample was harvested 7h into the light period to ensure identical exposure to light at time of sampling	cat2, transferred to air (400 ppm) for 4 days in short day regime (8h light/16h dark)	cat2-SD4-Rep3	P-GSE27985-3	P-GSE27985-9	P-GSE27985-4	GSM692475 extract 1	total RNA	P-GSE27985-5	GSM692475 LE 1	biotin	P-GSE27985-6	GSM692475	A-AFFY-2	P-GSE27985-7	P-GSE27985-8	GSM692475.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27985/E-GEOD-27985.raw.1.zip	P-GSE27985-1	GSM692475_sample_table.txt norm	GSM692475_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27985/E-GEOD-27985.processed.1.zip	catalase2 mutant	transferred to air for 4 days in short day length regime 
GSM692469 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	5	week	rosette leaf 	catalase2 mutant	gene knock out	Institute de Biologie de Plantes, Universite de Paris sud, Guillaume Queval	Sample was harvested 7h into the light period to ensure identical exposure to light at time of sampling	cat2, transferred to air (400 ppm) for 4 days in short day regime (8h light/16h dark)	cat2-SD4-Rep2	P-GSE27985-3	P-GSE27985-9	P-GSE27985-4	GSM692469 extract 1	total RNA	P-GSE27985-5	GSM692469 LE 1	biotin	P-GSE27985-6	GSM692469	A-AFFY-2	P-GSE27985-7	P-GSE27985-8	GSM692469.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27985/E-GEOD-27985.raw.1.zip	P-GSE27985-1	GSM692469_sample_table.txt norm	GSM692469_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27985/E-GEOD-27985.processed.1.zip	catalase2 mutant	transferred to air for 4 days in short day length regime 
GSM692463 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	5	week	rosette leaf 	catalase2 mutant	gene knock out	Institute de Biologie de Plantes, Universite de Paris sud, Guillaume Queval	Sample was harvested 7h into the light period to ensure identical exposure to light at time of sampling	cat2, transferred to air (400 ppm) for 4 days in short day regime (8h light/16h dark)	cat2-SD4-Rep1	P-GSE27985-3	P-GSE27985-9	P-GSE27985-4	GSM692463 extract 1	total RNA	P-GSE27985-5	GSM692463 LE 1	biotin	P-GSE27985-6	GSM692463	A-AFFY-2	P-GSE27985-7	P-GSE27985-8	GSM692463.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27985/E-GEOD-27985.raw.1.zip	P-GSE27985-1	GSM692463_sample_table.txt norm	GSM692463_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27985/E-GEOD-27985.processed.1.zip	catalase2 mutant	transferred to air for 4 days in short day length regime 
GSM692487 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	5	week	rosette leaf 	wild type	none	Institute de Biologie de Plantes, Universite de Paris sud, Guillaume Queval	Sample was harvested 7h into the light period to ensure identical exposure to light at time of sampling	Col0, grown for five weeks at high CO2 concentration (300 ppm) in short day regime (8h light/16h dark)	Col0-hCO2-Rep3	P-GSE27985-3	P-GSE27985-12	P-GSE27985-4	GSM692487 extract 1	total RNA	P-GSE27985-5	GSM692487 LE 1	biotin	P-GSE27985-6	GSM692487	A-AFFY-2	P-GSE27985-7	P-GSE27985-8	GSM692487.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27985/E-GEOD-27985.raw.1.zip	P-GSE27985-1	GSM692487_sample_table.txt norm	GSM692487_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27985/E-GEOD-27985.processed.1.zip	wild type	grown at high CO2 concentration in short day length regime
GSM692484 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	5	week	rosette leaf 	wild type	none	Institute de Biologie de Plantes, Universite de Paris sud, Guillaume Queval	Sample was harvested 7h into the light period to ensure identical exposure to light at time of sampling	Col0, grown for five weeks at high CO2 concentration (300 ppm) in short day regime (8h light/16h dark)	Col0-hCO2-Rep2	P-GSE27985-3	P-GSE27985-12	P-GSE27985-4	GSM692484 extract 1	total RNA	P-GSE27985-5	GSM692484 LE 1	biotin	P-GSE27985-6	GSM692484	A-AFFY-2	P-GSE27985-7	P-GSE27985-8	GSM692484.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27985/E-GEOD-27985.raw.1.zip	P-GSE27985-1	GSM692484_sample_table.txt norm	GSM692484_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27985/E-GEOD-27985.processed.1.zip	wild type	grown at high CO2 concentration in short day length regime
GSM692480 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	5	week	rosette leaf 	wild type	none	Institute de Biologie de Plantes, Universite de Paris sud, Guillaume Queval	Sample was harvested 7h into the light period to ensure identical exposure to light at time of sampling	Col0, grown for five weeks at high CO2 concentration (300 ppm) in short day regime (8h light/16h dark)	Col0-hCO2-Rep1	P-GSE27985-3	P-GSE27985-12	P-GSE27985-4	GSM692480 extract 1	total RNA	P-GSE27985-5	GSM692480 LE 1	biotin	P-GSE27985-6	GSM692480	A-AFFY-2	P-GSE27985-7	P-GSE27985-8	GSM692480.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27985/E-GEOD-27985.raw.1.zip	P-GSE27985-1	GSM692480_sample_table.txt norm	GSM692480_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27985/E-GEOD-27985.processed.1.zip	wild type	grown at high CO2 concentration in short day length regime
GSM692476 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	5	week	rosette leaf 	wild type	none	Institute de Biologie de Plantes, Universite de Paris sud, Guillaume Queval	Sample was harvested 7h into the light period to ensure identical exposure to light at time of sampling	Col0, transferred to air (400 ppm) for 2 days in long day regime (16h light/8h dark)	Col0-LD2-Rep3	P-GSE27985-3	P-GSE27985-10	P-GSE27985-4	GSM692476 extract 1	total RNA	P-GSE27985-5	GSM692476 LE 1	biotin	P-GSE27985-6	GSM692476	A-AFFY-2	P-GSE27985-7	P-GSE27985-8	GSM692476.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27985/E-GEOD-27985.raw.1.zip	P-GSE27985-1	GSM692476_sample_table.txt norm	GSM692476_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27985/E-GEOD-27985.processed.1.zip	wild type	transferred to air for 2 days in long day length regime 
GSM692470 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	5	week	rosette leaf 	wild type	none	Institute de Biologie de Plantes, Universite de Paris sud, Guillaume Queval	Sample was harvested 7h into the light period to ensure identical exposure to light at time of sampling	Col0, transferred to air (400 ppm) for 2 days in long day regime (16h light/8h dark)	Col0-LD2-Rep2	P-GSE27985-3	P-GSE27985-10	P-GSE27985-4	GSM692470 extract 1	total RNA	P-GSE27985-5	GSM692470 LE 1	biotin	P-GSE27985-6	GSM692470	A-AFFY-2	P-GSE27985-7	P-GSE27985-8	GSM692470.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27985/E-GEOD-27985.raw.1.zip	P-GSE27985-1	GSM692470_sample_table.txt norm	GSM692470_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27985/E-GEOD-27985.processed.1.zip	wild type	transferred to air for 2 days in long day length regime 
GSM692464 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	5	week	rosette leaf 	wild type	none	Institute de Biologie de Plantes, Universite de Paris sud, Guillaume Queval	Sample was harvested 7h into the light period to ensure identical exposure to light at time of sampling	Col0, transferred to air (400 ppm) for 2 days in long day regime (16h light/8h dark)	Col0-LD2-Rep1	P-GSE27985-3	P-GSE27985-10	P-GSE27985-4	GSM692464 extract 1	total RNA	P-GSE27985-5	GSM692464 LE 1	biotin	P-GSE27985-6	GSM692464	A-AFFY-2	P-GSE27985-7	P-GSE27985-8	GSM692464.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27985/E-GEOD-27985.raw.1.zip	P-GSE27985-1	GSM692464_sample_table.txt norm	GSM692464_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27985/E-GEOD-27985.processed.1.zip	wild type	transferred to air for 2 days in long day length regime 
GSM692472 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	5	week	rosette leaf 	wild type	none	Institute de Biologie de Plantes, Universite de Paris sud, Guillaume Queval	Sample was harvested 7h into the light period to ensure identical exposure to light at time of sampling	Col0, transferred to air (400 ppm) for 2 days in short day regime (8h light/16h dark)	Col0-SD2-Rep3	P-GSE27985-3	P-GSE27985-2	P-GSE27985-4	GSM692472 extract 1	total RNA	P-GSE27985-5	GSM692472 LE 1	biotin	P-GSE27985-6	GSM692472	A-AFFY-2	P-GSE27985-7	P-GSE27985-8	GSM692472.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27985/E-GEOD-27985.raw.1.zip	P-GSE27985-1	GSM692472_sample_table.txt norm	GSM692472_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27985/E-GEOD-27985.processed.1.zip	wild type	transferred to air for 2 days in short day length regime 
GSM692466 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	5	week	rosette leaf 	wild type	none	Institute de Biologie de Plantes, Universite de Paris sud, Guillaume Queval	Sample was harvested 7h into the light period to ensure identical exposure to light at time of sampling	Col0, transferred to air (400 ppm) for 2 days in short day regime (8h light/16h dark)	Col0-SD2-Rep2	P-GSE27985-3	P-GSE27985-2	P-GSE27985-4	GSM692466 extract 1	total RNA	P-GSE27985-5	GSM692466 LE 1	biotin	P-GSE27985-6	GSM692466	A-AFFY-2	P-GSE27985-7	P-GSE27985-8	GSM692466.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27985/E-GEOD-27985.raw.1.zip	P-GSE27985-1	GSM692466_sample_table.txt norm	GSM692466_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27985/E-GEOD-27985.processed.1.zip	wild type	transferred to air for 2 days in short day length regime 
GSM692460 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	5	week	rosette leaf 	wild type	none	Institute de Biologie de Plantes, Universite de Paris sud, Guillaume Queval	Sample was harvested 7h into the light period to ensure identical exposure to light at time of sampling	Col0, transferred to air (400 ppm) for 2 days in short day regime (8h light/16h dark)	Col0-SD2-Rep1	P-GSE27985-3	P-GSE27985-2	P-GSE27985-4	GSM692460 extract 1	total RNA	P-GSE27985-5	GSM692460 LE 1	biotin	P-GSE27985-6	GSM692460	A-AFFY-2	P-GSE27985-7	P-GSE27985-8	GSM692460.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27985/E-GEOD-27985.raw.1.zip	P-GSE27985-1	GSM692460_sample_table.txt norm	GSM692460_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27985/E-GEOD-27985.processed.1.zip	wild type	transferred to air for 2 days in short day length regime 
GSM692489 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	5	week	rosette leaf 	wild type	none	Institute de Biologie de Plantes, Universite de Paris sud, Guillaume Queval	Sample was harvested 7h into the light period to ensure identical exposure to light at time of sampling	Col0, transferred to air (400 ppm) for 4 days in long day regime (16h light/8h dark)	Col0-LD4-Rep3	P-GSE27985-3	P-GSE27985-11	P-GSE27985-4	GSM692489 extract 1	total RNA	P-GSE27985-5	GSM692489 LE 1	biotin	P-GSE27985-6	GSM692489	A-AFFY-2	P-GSE27985-7	P-GSE27985-8	GSM692489.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27985/E-GEOD-27985.raw.1.zip	P-GSE27985-1	GSM692489_sample_table.txt norm	GSM692489_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27985/E-GEOD-27985.processed.1.zip	wild type	transferred to air for 4 days in long day length regime 
