Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [Ecotype]	Characteristics [Genotype]	Characteristics [OrganismPart]	Term Source REF	Term Accession Number	Description	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Hybridization Name	Array Design REF	Factor Value [Genotype]	Factor Value [OrganismPart]	Term Source REF	Term Accession Number	Scan Name	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
GSE3011GSM65926	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	dcl1-7	rosette leaf	EFO	EFO_0001984	dcl1-7 leaf	GSE3011GSM65926 sample	GSE3011GSM65926 extract	total_RNA	GSE3011GSM65926 LE.biotin	biotin	synthetic_RNA	CD4R6D1_L-10	A-AFFY-2	dcl1-7	rosette leaf	EFO	EFO_0001984	CD4R6D1_L-10	E-GEOD-3011-processed-data-1442081152.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3011/E-GEOD-3011.processed.1.zip
GSE3011GSM65918	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	wild_type	rosette leaf	EFO	EFO_0001984	Col-0 control for dcl1-7, dcl4-2, and rdr6-15 leaf samples	GSE3011GSM65918 sample	GSE3011GSM65918 extract	total_RNA	GSE3011GSM65918 LE.biotin	biotin	synthetic_RNA	CD4R6D1_L-2	A-AFFY-2	wild_type	rosette leaf	EFO	EFO_0001984	CD4R6D1_L-2	E-GEOD-3011-processed-data-1442081152.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3011/E-GEOD-3011.processed.1.zip
GSE3011GSM65928	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	dcl1-7	rosette leaf	EFO	EFO_0001984	dcl1-7 leaf	GSE3011GSM65928 sample	GSE3011GSM65928 extract	total_RNA	GSE3011GSM65928 LE.biotin	biotin	synthetic_RNA	CD4R6D1_L-12	A-AFFY-2	dcl1-7	rosette leaf	EFO	EFO_0001984	CD4R6D1_L-12	E-GEOD-3011-processed-data-1442081152.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3011/E-GEOD-3011.processed.1.zip
GSE3011GSM65929	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	wild_type	inflorescence	EFO	EFO_0001029	Col-0 control for dcl4-2, and rdr6-15 inflorescence samples	GSE3011GSM65929 sample	GSE3011GSM65929 extract	total_RNA	GSE3011GSM65929 LE.biotin	biotin	synthetic_RNA	CD4R6D1_I-13	A-AFFY-2	wild_type	inflorescence	EFO	EFO_0001029	CD4R6D1_I-13	E-GEOD-3011-processed-data-1442081152.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3011/E-GEOD-3011.processed.1.zip
GSE3011GSM65932	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	dcl4-2	inflorescence	EFO	EFO_0001029	dcl4-2 inflorescence	GSE3011GSM65932 sample	GSE3011GSM65932 extract	total_RNA	GSE3011GSM65932 LE.biotin	biotin	synthetic_RNA	CD4R6D1_I-16	A-AFFY-2	dcl4-2	inflorescence	EFO	EFO_0001029	CD4R6D1_I-16	E-GEOD-3011-processed-data-1442081152.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3011/E-GEOD-3011.processed.1.zip
GSE3011GSM65938	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	wild_type	inflorescence	EFO	EFO_0001029	Col-0 control for dcl1-7 inflorescence samples	GSE3011GSM65938 sample	GSE3011GSM65938 extract	total_RNA	GSE3011GSM65938 LE.biotin	biotin	synthetic_RNA	CD4R6D1_I-22	A-AFFY-2	wild_type	inflorescence	EFO	EFO_0001029	CD4R6D1_I-22	E-GEOD-3011-processed-data-1442081152.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3011/E-GEOD-3011.processed.1.zip
GSE3011GSM65943	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	dcl1-7	inflorescence	EFO	EFO_0001029	dcl1-7 inflorescence	GSE3011GSM65943 sample	GSE3011GSM65943 extract	total_RNA	GSE3011GSM65943 LE.biotin	biotin	synthetic_RNA	CD4R6D1_I-27	A-AFFY-2	dcl1-7	inflorescence	EFO	EFO_0001029	CD4R6D1_I-27	E-GEOD-3011-processed-data-1442081152.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3011/E-GEOD-3011.processed.1.zip
GSE3011GSM65925	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	rdr6-15	rosette leaf	EFO	EFO_0001984	rdr6-15 leaf	GSE3011GSM65925 sample	GSE3011GSM65925 extract	total_RNA	GSE3011GSM65925 LE.biotin	biotin	synthetic_RNA	CD4R6D1_L-9	A-AFFY-2	rdr6-15	rosette leaf	EFO	EFO_0001984	CD4R6D1_L-9	E-GEOD-3011-processed-data-1442081152.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3011/E-GEOD-3011.processed.1.zip
GSE3011GSM65930	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	wild_type	inflorescence	EFO	EFO_0001029	Col-0 control for dcl4-2, and rdr6-15 inflorescence samples	GSE3011GSM65930 sample	GSE3011GSM65930 extract	total_RNA	GSE3011GSM65930 LE.biotin	biotin	synthetic_RNA	CD4R6D1_I-14	A-AFFY-2	wild_type	inflorescence	EFO	EFO_0001029	CD4R6D1_I-14	E-GEOD-3011-processed-data-1442081152.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3011/E-GEOD-3011.processed.1.zip
GSE3011GSM65920	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	dcl4-2	rosette leaf	EFO	EFO_0001984	dcl4-2 leaf	GSE3011GSM65920 sample	GSE3011GSM65920 extract	total_RNA	GSE3011GSM65920 LE.biotin	biotin	synthetic_RNA	CD4R6D1_L-4	A-AFFY-2	dcl4-2	rosette leaf	EFO	EFO_0001984	CD4R6D1_L-4	E-GEOD-3011-processed-data-1442081152.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3011/E-GEOD-3011.processed.1.zip
GSE3011GSM65939	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	wild_type	inflorescence	EFO	EFO_0001029	Col-0 control for dcl1-7 inflorescence samples	GSE3011GSM65939 sample	GSE3011GSM65939 extract	total_RNA	GSE3011GSM65939 LE.biotin	biotin	synthetic_RNA	CD4R6D1_I-23	A-AFFY-2	wild_type	inflorescence	EFO	EFO_0001029	CD4R6D1_I-23	E-GEOD-3011-processed-data-1442081152.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3011/E-GEOD-3011.processed.1.zip
GSE3011GSM65917	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	wild_type	rosette leaf	EFO	EFO_0001984	Col-0 control for dcl1-7, dcl4-2, and rdr6-15 leaf samples	GSE3011GSM65917 sample	GSE3011GSM65917 extract	total_RNA	GSE3011GSM65917 LE.biotin	biotin	synthetic_RNA	CD4R6D1_L-1	A-AFFY-2	wild_type	rosette leaf	EFO	EFO_0001984	CD4R6D1_L-1	E-GEOD-3011-processed-data-1442081152.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3011/E-GEOD-3011.processed.1.zip
GSE3011GSM65934	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	dcl4-2	inflorescence	EFO	EFO_0001029	dcl4-2 inflorescence	GSE3011GSM65934 sample	GSE3011GSM65934 extract	total_RNA	GSE3011GSM65934 LE.biotin	biotin	synthetic_RNA	CD4R6D1_I-18	A-AFFY-2	dcl4-2	inflorescence	EFO	EFO_0001029	CD4R6D1_I-18	E-GEOD-3011-processed-data-1442081152.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3011/E-GEOD-3011.processed.1.zip
GSE3011GSM65936	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	rdr6-15	inflorescence	EFO	EFO_0001029	rdr6-15 inflorescence	GSE3011GSM65936 sample	GSE3011GSM65936 extract	total_RNA	GSE3011GSM65936 LE.biotin	biotin	synthetic_RNA	CD4R6D1_I-20	A-AFFY-2	rdr6-15	inflorescence	EFO	EFO_0001029	CD4R6D1_I-20	E-GEOD-3011-processed-data-1442081152.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3011/E-GEOD-3011.processed.1.zip
GSE3011GSM65937	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	rdr6-15	inflorescence	EFO	EFO_0001029	rdr6-15 inflorescence	GSE3011GSM65937 sample	GSE3011GSM65937 extract	total_RNA	GSE3011GSM65937 LE.biotin	biotin	synthetic_RNA	CD4R6D1_I-21	A-AFFY-2	rdr6-15	inflorescence	EFO	EFO_0001029	CD4R6D1_I-21	E-GEOD-3011-processed-data-1442081152.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3011/E-GEOD-3011.processed.1.zip
GSE3011GSM65935	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	rdr6-15	inflorescence	EFO	EFO_0001029	rdr6-15 inflorescence	GSE3011GSM65935 sample	GSE3011GSM65935 extract	total_RNA	GSE3011GSM65935 LE.biotin	biotin	synthetic_RNA	CD4R6D1_I-19	A-AFFY-2	rdr6-15	inflorescence	EFO	EFO_0001029	CD4R6D1_I-19	E-GEOD-3011-processed-data-1442081152.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3011/E-GEOD-3011.processed.1.zip
GSE3011GSM65924	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	rdr6-15	rosette leaf	EFO	EFO_0001984	rdr6-15 leaf	GSE3011GSM65924 sample	GSE3011GSM65924 extract	total_RNA	GSE3011GSM65924 LE.biotin	biotin	synthetic_RNA	CD4R6D1_L-8	A-AFFY-2	rdr6-15	rosette leaf	EFO	EFO_0001984	CD4R6D1_L-8	E-GEOD-3011-processed-data-1442081152.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3011/E-GEOD-3011.processed.1.zip
