Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [age]	Characteristics [ecotype]	Characteristics [genotype]	Characteristics [growth media]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [ecotype]	FactorValue [genotype]	FactorValue [organism part]
GSM1466720 1	Gene expression data from J0571 sorted cells under standard conditions for 5 days Affy one-cycle labeling protocol	J0571 sorted cells	ATH1 ground tissue marker SHR UAS driving IME biological replicate 1	Seedling roots, 5 days after germination	: C24	SHR UAS driving IME	: Standard media for 5 days	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	ground tissue	P-GSE60157-2	ArrayExpress	P-GSE60157-3	ArrayExpress	P-GSE60157-4	ArrayExpress	GSM1466720 extract 1	total RNA	P-GSE60157-5	ArrayExpress	GSM1466720 LE 1	biotin	P-GSE60157-6	ArrayExpress	GSM1466720	A-AFFY-2	ArrayExpress	array assay	P-GSE60157-7	ArrayExpress	GSM1466720_At_J0571_shr_2_IME_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.raw.1.zip	P-GSE60157-1	ArrayExpress	GSM1466720_sample_table.txt norm	GSM1466720_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.processed.1.zip	: C24	SHR UAS driving IME	ground tissue
GSM1466719 1	Gene expression data from J0571 sorted cells under standard conditions for 5 days Affy one-cycle labeling protocol	J0571 sorted cells	ATH1 ground tissue marker SHR UAS driving SCR biological replicate 3	Seedling roots, 5 days after germination	: C24	SHR UAS driving SCR	: Standard media for 5 days	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	ground tissue	P-GSE60157-2	ArrayExpress	P-GSE60157-3	ArrayExpress	P-GSE60157-4	ArrayExpress	GSM1466719 extract 1	total RNA	P-GSE60157-5	ArrayExpress	GSM1466719 LE 1	biotin	P-GSE60157-6	ArrayExpress	GSM1466719	A-AFFY-2	ArrayExpress	array assay	P-GSE60157-7	ArrayExpress	GSM1466719_At_J0571_shr_2_SCR_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.raw.1.zip	P-GSE60157-1	ArrayExpress	GSM1466719_sample_table.txt norm	GSM1466719_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.processed.1.zip	: C24	SHR UAS driving SCR	ground tissue
GSM1466718 1	Gene expression data from J0571 sorted cells under standard conditions for 5 days Affy one-cycle labeling protocol	J0571 sorted cells	ATH1 ground tissue marker SHR UAS driving SCR biological replicate 2	Seedling roots, 5 days after germination	: C24	SHR UAS driving SCR	: Standard media for 5 days	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	ground tissue	P-GSE60157-2	ArrayExpress	P-GSE60157-3	ArrayExpress	P-GSE60157-4	ArrayExpress	GSM1466718 extract 1	total RNA	P-GSE60157-5	ArrayExpress	GSM1466718 LE 1	biotin	P-GSE60157-6	ArrayExpress	GSM1466718	A-AFFY-2	ArrayExpress	array assay	P-GSE60157-7	ArrayExpress	GSM1466718_At_J0571_shr_2_SCR_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.raw.1.zip	P-GSE60157-1	ArrayExpress	GSM1466718_sample_table.txt norm	GSM1466718_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.processed.1.zip	: C24	SHR UAS driving SCR	ground tissue
GSM1466717 1	Gene expression data from J0571 sorted cells under standard conditions for 5 days Affy one-cycle labeling protocol	J0571 sorted cells	ATH1 ground tissue marker SHR UAS driving SCR biological replicate 1	Seedling roots, 5 days after germination	: C24	SHR UAS driving SCR	: Standard media for 5 days	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	ground tissue	P-GSE60157-2	ArrayExpress	P-GSE60157-3	ArrayExpress	P-GSE60157-4	ArrayExpress	GSM1466717 extract 1	total RNA	P-GSE60157-5	ArrayExpress	GSM1466717 LE 1	biotin	P-GSE60157-6	ArrayExpress	GSM1466717	A-AFFY-2	ArrayExpress	array assay	P-GSE60157-7	ArrayExpress	GSM1466717_At_J0571_shr_2_SCR_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.raw.1.zip	P-GSE60157-1	ArrayExpress	GSM1466717_sample_table.txt norm	GSM1466717_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.processed.1.zip	: C24	SHR UAS driving SCR	ground tissue
GSM1466716 1	Gene expression data from J0571 sorted cells under standard conditions for 5 days Affy one-cycle labeling protocol	J0571 sorted cells	ATH1 ground tissue marker SHR UAS driving JKD biological replicate 3	Seedling roots, 5 days after germination	: C24	SHR UAS driving JKD	: Standard media for 5 days	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	ground tissue	P-GSE60157-2	ArrayExpress	P-GSE60157-3	ArrayExpress	P-GSE60157-4	ArrayExpress	GSM1466716 extract 1	total RNA	P-GSE60157-5	ArrayExpress	GSM1466716 LE 1	biotin	P-GSE60157-6	ArrayExpress	GSM1466716	A-AFFY-2	ArrayExpress	array assay	P-GSE60157-7	ArrayExpress	GSM1466716_At_J0571_shr_2_JKD_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.raw.1.zip	P-GSE60157-1	ArrayExpress	GSM1466716_sample_table.txt norm	GSM1466716_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.processed.1.zip	: C24	SHR UAS driving JKD	ground tissue
GSM1466715 1	Gene expression data from J0571 sorted cells under standard conditions for 5 days Affy one-cycle labeling protocol	J0571 sorted cells	ATH1 ground tissue marker SHR UAS driving JKD biological replicate 2	Seedling roots, 5 days after germination	: C24	SHR UAS driving JKD	: Standard media for 5 days	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	ground tissue	P-GSE60157-2	ArrayExpress	P-GSE60157-3	ArrayExpress	P-GSE60157-4	ArrayExpress	GSM1466715 extract 1	total RNA	P-GSE60157-5	ArrayExpress	GSM1466715 LE 1	biotin	P-GSE60157-6	ArrayExpress	GSM1466715	A-AFFY-2	ArrayExpress	array assay	P-GSE60157-7	ArrayExpress	GSM1466715_At_J0571_shr_2_JKD_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.raw.1.zip	P-GSE60157-1	ArrayExpress	GSM1466715_sample_table.txt norm	GSM1466715_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.processed.1.zip	: C24	SHR UAS driving JKD	ground tissue
GSM1466714 1	Gene expression data from J0571 sorted cells under standard conditions for 5 days Affy one-cycle labeling protocol	J0571 sorted cells	ATH1 ground tissue marker SHR UAS driving JKD biological replicate 1	Seedling roots, 5 days after germination	: C24	SHR UAS driving JKD	: Standard media for 5 days	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	ground tissue	P-GSE60157-2	ArrayExpress	P-GSE60157-3	ArrayExpress	P-GSE60157-4	ArrayExpress	GSM1466714 extract 1	total RNA	P-GSE60157-5	ArrayExpress	GSM1466714 LE 1	biotin	P-GSE60157-6	ArrayExpress	GSM1466714	A-AFFY-2	ArrayExpress	array assay	P-GSE60157-7	ArrayExpress	GSM1466714_At_J0571_shr_2_JKD_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.raw.1.zip	P-GSE60157-1	ArrayExpress	GSM1466714_sample_table.txt norm	GSM1466714_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.processed.1.zip	: C24	SHR UAS driving JKD	ground tissue
GSM1466713 1	Gene expression data from J0571 sorted cells under standard conditions for 5 days Affy one-cycle labeling protocol	J0571 sorted cells	ATH1 ground tissue marker SHR UAS driving MGP biological replicate 3	Seedling roots, 5 days after germination	: C24	SHR UAS driving MGP	: Standard media for 5 days	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	ground tissue	P-GSE60157-2	ArrayExpress	P-GSE60157-3	ArrayExpress	P-GSE60157-4	ArrayExpress	GSM1466713 extract 1	total RNA	P-GSE60157-5	ArrayExpress	GSM1466713 LE 1	biotin	P-GSE60157-6	ArrayExpress	GSM1466713	A-AFFY-2	ArrayExpress	array assay	P-GSE60157-7	ArrayExpress	GSM1466713_At_J0571_shr_2_MGP_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.raw.1.zip	P-GSE60157-1	ArrayExpress	GSM1466713_sample_table.txt norm	GSM1466713_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.processed.1.zip	: C24	SHR UAS driving MGP	ground tissue
GSM1466712 1	Gene expression data from J0571 sorted cells under standard conditions for 5 days Affy one-cycle labeling protocol	J0571 sorted cells	ATH1 ground tissue marker SHR UAS driving MGP biological replicate 2	Seedling roots, 5 days after germination	: C24	SHR UAS driving MGP	: Standard media for 5 days	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	ground tissue	P-GSE60157-2	ArrayExpress	P-GSE60157-3	ArrayExpress	P-GSE60157-4	ArrayExpress	GSM1466712 extract 1	total RNA	P-GSE60157-5	ArrayExpress	GSM1466712 LE 1	biotin	P-GSE60157-6	ArrayExpress	GSM1466712	A-AFFY-2	ArrayExpress	array assay	P-GSE60157-7	ArrayExpress	GSM1466712_At_J0571_shr_2_MGP_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.raw.1.zip	P-GSE60157-1	ArrayExpress	GSM1466712_sample_table.txt norm	GSM1466712_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.processed.1.zip	: C24	SHR UAS driving MGP	ground tissue
GSM1466711 1	Gene expression data from J0571 sorted cells under standard conditions for 5 days Affy one-cycle labeling protocol	J0571 sorted cells	ATH1 ground tissue marker SHR UAS driving MGP biological replicate 1	Seedling roots, 5 days after germination	: C24	SHR UAS driving MGP	: Standard media for 5 days	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	ground tissue	P-GSE60157-2	ArrayExpress	P-GSE60157-3	ArrayExpress	P-GSE60157-4	ArrayExpress	GSM1466711 extract 1	total RNA	P-GSE60157-5	ArrayExpress	GSM1466711 LE 1	biotin	P-GSE60157-6	ArrayExpress	GSM1466711	A-AFFY-2	ArrayExpress	array assay	P-GSE60157-7	ArrayExpress	GSM1466711_At_J0571_shr_2_MGP_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.raw.1.zip	P-GSE60157-1	ArrayExpress	GSM1466711_sample_table.txt norm	GSM1466711_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.processed.1.zip	: C24	SHR UAS driving MGP	ground tissue
GSM1466710 1	Gene expression data from J0571 sorted cells under standard conditions for 5 days Affy one-cycle labeling protocol	J0571 sorted cells	ATH1 ground tissue marker SHR UAS driving NUC biological replicate 3	Seedling roots, 5 days after germination	: C24	SHR UAS driving NUC	: Standard media for 5 days	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	ground tissue	P-GSE60157-2	ArrayExpress	P-GSE60157-3	ArrayExpress	P-GSE60157-4	ArrayExpress	GSM1466710 extract 1	total RNA	P-GSE60157-5	ArrayExpress	GSM1466710 LE 1	biotin	P-GSE60157-6	ArrayExpress	GSM1466710	A-AFFY-2	ArrayExpress	array assay	P-GSE60157-7	ArrayExpress	GSM1466710_At_J0571_shr_2_NUC_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.raw.1.zip	P-GSE60157-1	ArrayExpress	GSM1466710_sample_table.txt norm	GSM1466710_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.processed.1.zip	: C24	SHR UAS driving NUC	ground tissue
GSM1466709 1	Gene expression data from J0571 sorted cells under standard conditions for 5 days Affy one-cycle labeling protocol	J0571 sorted cells	ATH1 ground tissue marker SHR UAS driving NUC biological replicate 2	Seedling roots, 5 days after germination	: C24	SHR UAS driving NUC	: Standard media for 5 days	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	ground tissue	P-GSE60157-2	ArrayExpress	P-GSE60157-3	ArrayExpress	P-GSE60157-4	ArrayExpress	GSM1466709 extract 1	total RNA	P-GSE60157-5	ArrayExpress	GSM1466709 LE 1	biotin	P-GSE60157-6	ArrayExpress	GSM1466709	A-AFFY-2	ArrayExpress	array assay	P-GSE60157-7	ArrayExpress	GSM1466709_At_J0571_shr_2_NUC_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.raw.1.zip	P-GSE60157-1	ArrayExpress	GSM1466709_sample_table.txt norm	GSM1466709_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.processed.1.zip	: C24	SHR UAS driving NUC	ground tissue
GSM1466708 1	Gene expression data from J0571 sorted cells under standard conditions for 5 days Affy one-cycle labeling protocol	J0571 sorted cells	ATH1 ground tissue marker SHR UAS driving NUC biological replicate 1	Seedling roots, 5 days after germination	: C24	SHR UAS driving NUC	: Standard media for 5 days	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	ground tissue	P-GSE60157-2	ArrayExpress	P-GSE60157-3	ArrayExpress	P-GSE60157-4	ArrayExpress	GSM1466708 extract 1	total RNA	P-GSE60157-5	ArrayExpress	GSM1466708 LE 1	biotin	P-GSE60157-6	ArrayExpress	GSM1466708	A-AFFY-2	ArrayExpress	array assay	P-GSE60157-7	ArrayExpress	GSM1466708_At_J0571_shr_2_NUC_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.raw.1.zip	P-GSE60157-1	ArrayExpress	GSM1466708_sample_table.txt norm	GSM1466708_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.processed.1.zip	: C24	SHR UAS driving NUC	ground tissue
