Source Name	Characteristics [Organism]	Description	Characteristics[DevelopmentalStage]	Characteristics[OrganismPart]	Protocol REF	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[COMPOUND]
GSE5613GSM131096	Arabidopsis halleri	accumulating bulk:  location: Growth Room Humidity: 80 Temperature: 25 Lighting: 10hrs Medium: Full mineral medium Water: weekly. Developmental stage: 1.1; Tissue: whole root system	Boyes key 1.1	root	P-G5613-1	GSE5613GSM131096 sample	GSE5613GSM131096 extract	total_RNA	GSE5613GSM131096 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Newbury_2-18_acc-bulk-highZn-root(ARH)_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Newbury_2-18_acc-bulk-highZn-root(ARH)_Rep3_ATH1	GSM131096.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5613/E-GEOD-5613.raw.1.zip	E-GEOD-5613-processed-data-1628463857.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5613/E-GEOD-5613.processed.1.zip	25uM zinc
GSE5613GSM131100	Arabidopsis halleri	accumulating bulk:  location: Growth Room Humidity: 80 Temperature: 25 Lighting: 10hrs Medium: Full mineral medium Water: weekly. Developmental stage: 1.1; Tissue: Rosette leaves	Boyes key 1.1	rosette leaf	P-G5613-1	GSE5613GSM131100 sample	GSE5613GSM131100 extract	total_RNA	GSE5613GSM131100 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Newbury_2-22_acc-bulk-highZn-leaf(ALH)_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Newbury_2-22_acc-bulk-highZn-leaf(ALH)_Rep1_ATH1	GSM131100.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5613/E-GEOD-5613.raw.1.zip	E-GEOD-5613-processed-data-1628463857.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5613/E-GEOD-5613.processed.1.zip	25uM zinc
GSE5613GSM131084	Arabidopsis halleri	non-accumulating bulk:  location: Growth Room Humidity: 80 Temperature: 25 Lighting: 10hrs Medium: Full mineral medium Water: weekly. Developmental stage: 1.1; Tissue: whole root system	Boyes key 1.1	root	P-G5613-1	GSE5613GSM131084 sample	GSE5613GSM131084 extract	total_RNA	GSE5613GSM131084 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Newbury_2-6_non-acc-bulk-highZn-root(NRH)_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Newbury_2-6_non-acc-bulk-highZn-root(NRH)_Rep3_ATH1	GSM131084.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5613/E-GEOD-5613.raw.1.zip	E-GEOD-5613-processed-data-1628463857.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5613/E-GEOD-5613.processed.1.zip	25uM zinc
GSE5613GSM131094	Arabidopsis halleri	accumulating bulk:  location: Growth Room Humidity: 80 Temperature: 25 Lighting: 10hrs Medium: Full mineral medium Water: weekly. Developmental stage: 1.1; Tissue: whole root system	Boyes key 1.1	root	P-G5613-1	GSE5613GSM131094 sample	GSE5613GSM131094 extract	total_RNA	GSE5613GSM131094 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Newbury_2-16_acc-bulk-highZn-root(ARH)_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Newbury_2-16_acc-bulk-highZn-root(ARH)_Rep1_ATH1	GSM131094.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5613/E-GEOD-5613.raw.1.zip	E-GEOD-5613-processed-data-1628463857.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5613/E-GEOD-5613.processed.1.zip	25uM zinc
GSE5613GSM131086	Arabidopsis halleri	non-accumulating bulk:  location: Growth Room Humidity: 80 Temperature: 25 Lighting: 10hrs Medium: Full mineral medium Water: weekly. Developmental stage: 1.1; Tissue: Rosette leaves	Boyes key 1.1	rosette leaf	  	GSE5613GSM131086 sample	GSE5613GSM131086 extract	total_RNA	GSE5613GSM131086 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Newbury_2-8_non-acc-bulk-control-leaf(NLO)_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Newbury_2-8_non-acc-bulk-control-leaf(NLO)_Rep2_ATH1	GSM131086.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5613/E-GEOD-5613.raw.1.zip	E-GEOD-5613-processed-data-1628463857.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5613/E-GEOD-5613.processed.1.zip	none
GSE5613GSM131085	Arabidopsis halleri	non-accumulating bulk:  location: Growth Room Humidity: 80 Temperature: 25 Lighting: 10hrs Medium: Full mineral medium Water: weekly. Developmental stage: 1.1; Tissue: Rosette leaves	Boyes key 1.1	rosette leaf	  	GSE5613GSM131085 sample	GSE5613GSM131085 extract	total_RNA	GSE5613GSM131085 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Newbury_2-7_non-acc-bulk-control-leaf(NLO)_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Newbury_2-7_non-acc-bulk-control-leaf(NLO)_Rep1_ATH1	GSM131085.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5613/E-GEOD-5613.raw.1.zip	E-GEOD-5613-processed-data-1628463857.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5613/E-GEOD-5613.processed.1.zip	none
GSE5613GSM131092	Arabidopsis halleri	accumulating bulk:  location: Growth Room Humidity: 80 Temperature: 25 Lighting: 10hrs Medium: Full mineral medium Water: weekly. Developmental stage: 1.1; Tissue: whole root system	Boyes key 1.1	root	  	GSE5613GSM131092 sample	GSE5613GSM131092 extract	total_RNA	GSE5613GSM131092 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Newbury_2-14_acc-bulk-control-root(ARO)_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Newbury_2-14_acc-bulk-control-root(ARO)_Rep2_ATH1	GSM131092.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5613/E-GEOD-5613.raw.1.zip	E-GEOD-5613-processed-data-1628463857.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5613/E-GEOD-5613.processed.1.zip	none
GSE5613GSM131079	Arabidopsis halleri	halleri:  location: Growth Room Humidity: 80 Temperature: 25 Lighting: 10hrs Medium: Full mineral medium Water: weekly. Developmental stage: 1.1; Tissue: whole root system	Boyes key 1.1	root	  	GSE5613GSM131079 sample	GSE5613GSM131079 extract	total_RNA	GSE5613GSM131079 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Newbury_2-1_non-acc-bulk-control-root(NRO)_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Newbury_2-1_non-acc-bulk-control-root(NRO)_Rep1_ATH1	GSM131079.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5613/E-GEOD-5613.raw.1.zip	E-GEOD-5613-processed-data-1628463857.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5613/E-GEOD-5613.processed.1.zip	none
GSE5613GSM131097	Arabidopsis halleri	accumulating bulk:  location: Growth Room Humidity: 80 Temperature: 25 Lighting: 10hrs Medium: Full mineral medium Water: weekly. Developmental stage: 1.1; Tissue: Rosette leaves	Boyes key 1.1	rosette leaf	  	GSE5613GSM131097 sample	GSE5613GSM131097 extract	total_RNA	GSE5613GSM131097 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Newbury_2-19_acc-bulk-control-leaf(ALO)_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Newbury_2-19_acc-bulk-control-leaf(ALO)_Rep1_ATH1	GSM131097.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5613/E-GEOD-5613.raw.1.zip	E-GEOD-5613-processed-data-1628463857.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5613/E-GEOD-5613.processed.1.zip	none
GSE5613GSM131080	Arabidopsis halleri	non-accumulating bulk:  location: Growth Room Humidity: 80 Temperature: 25 Lighting: 10hrs Medium: Full mineral medium Water: weekly. Developmental stage: 1.1; Tissue: whole root system	Boyes key 1.1	root	  	GSE5613GSM131080 sample	GSE5613GSM131080 extract	total_RNA	GSE5613GSM131080 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Newbury_2-2_non-acc-bulk-control-root(NRO)_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Newbury_2-2_non-acc-bulk-control-root(NRO)_Rep2_ATH1	GSM131080.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5613/E-GEOD-5613.raw.1.zip	E-GEOD-5613-processed-data-1628463857.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5613/E-GEOD-5613.processed.1.zip	none
GSE5613GSM131093	Arabidopsis halleri	accumulating bulk:  location: Growth Room Humidity: 80 Temperature: 25 Lighting: 10hrs Medium: Full mineral medium Water: weekly. Developmental stage: 1.1; Tissue: whole root system	Boyes key 1.1	root	  	GSE5613GSM131093 sample	GSE5613GSM131093 extract	total_RNA	GSE5613GSM131093 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Newbury_2-15_acc-bulk-control-root(ARO)_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Newbury_2-15_acc-bulk-control-root(ARO)_Rep3_ATH1	GSM131093.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5613/E-GEOD-5613.raw.1.zip	E-GEOD-5613-processed-data-1628463857.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5613/E-GEOD-5613.processed.1.zip	none
GSE5613GSM131101	Arabidopsis halleri	accumulating bulk:  location: Growth Room Humidity: 80 Temperature: 25 Lighting: 10hrs Medium: Full mineral medium Water: weekly. Developmental stage: 1.1; Tissue: Rosette leaves	Boyes key 1.1	rosette leaf	P-G5613-1	GSE5613GSM131101 sample	GSE5613GSM131101 extract	total_RNA	GSE5613GSM131101 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Newbury_2-23_acc-bulk-highZn-leaf(ALH)_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Newbury_2-23_acc-bulk-highZn-leaf(ALH)_Rep2_ATH1	GSM131101.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5613/E-GEOD-5613.raw.1.zip	E-GEOD-5613-processed-data-1628463857.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5613/E-GEOD-5613.processed.1.zip	25uM zinc
GSE5613GSM131098	Arabidopsis halleri	accumulating bulk:  location: Growth Room Humidity: 80 Temperature: 25 Lighting: 10hrs Medium: Full mineral medium Water: weekly. Developmental stage: 1.1; Tissue: Rosette leaves	Boyes key 1.1	rosette leaf	  	GSE5613GSM131098 sample	GSE5613GSM131098 extract	total_RNA	GSE5613GSM131098 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Newbury_2-20_acc-bulk-control-leaf(ALO)_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Newbury_2-20_acc-bulk-control-leaf(ALO)_Rep2_ATH1	GSM131098.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5613/E-GEOD-5613.raw.1.zip	E-GEOD-5613-processed-data-1628463857.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5613/E-GEOD-5613.processed.1.zip	none
GSE5613GSM131081	Arabidopsis halleri	non-accumulating bulk:  location: Growth Room Humidity: 80 Temperature: 25 Lighting: 10hrs Medium: Full mineral medium Water: weekly. Developmental stage: 1.1; Tissue: whole root system	Boyes key 1.1	root	  	GSE5613GSM131081 sample	GSE5613GSM131081 extract	total_RNA	GSE5613GSM131081 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Newbury_2-3_non-acc-bulk-control-root(NRO)_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Newbury_2-3_non-acc-bulk-control-root(NRO)_Rep3_ATH1	GSM131081.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5613/E-GEOD-5613.raw.1.zip	E-GEOD-5613-processed-data-1628463857.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5613/E-GEOD-5613.processed.1.zip	none
