Source Name	Characteristics [Organism]	Characteristics[DevelopmentalStage]	Characteristics[OrganismPart]	Description	Protocol REF	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[GROWTH CONDITION]	FactorValue[ORGANISM]	FactorValue[ORGANISM PART]
GSE5738GSM133846	Arabidopsis halleri	10-16 rosette leaves	rosette leaves	halleri:  location: Growth Room Atmosphere: Normal Humidity: 80 Temperature: 25 Lighting: 10hrs Medium: Full mineral medium Water: weekly. Developmental stage: 10-16 rosette leaves; Tissue: Rosette leaves	  	GSE5738GSM133846 sample	GSE5738GSM133846 extract	total_RNA	GSE5738GSM133846 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Newbury_1-8_Halleri-control-leaves(HLO)_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Newbury_1-8_Halleri-control-leaves(HLO)_Rep2_ATH1	GSM133846.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5738/E-GEOD-5738.raw.1.zip	E-GEOD-5738-processed-data-1628754717.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5738/E-GEOD-5738.processed.1.zip	control	Arabidopsis halleri	rosette leaves
GSE5738GSM133847	Arabidopsis halleri	10-16 rosette leaves	rosette leaves	halleri:  location: Growth Room Atmosphere: Normal Humidity: 80 Temperature: 25 Lighting: 10hrs Medium: Full mineral medium Water: weekly. Developmental stage: 10-16 rosette leaves; Tissue: Rosette leaves	P-G5738-1	GSE5738GSM133847 sample	GSE5738GSM133847 extract	total_RNA	GSE5738GSM133847 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Newbury_1-11_Halleri-highZn-leavesHLH)_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Newbury_1-11_Halleri-highZn-leavesHLH)_Rep2_ATH1	GSM133847.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5738/E-GEOD-5738.raw.1.zip	E-GEOD-5738-processed-data-1628754717.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5738/E-GEOD-5738.processed.1.zip	25 uM zinc	Arabidopsis halleri	rosette leaves
GSE5738GSM133837	Arabidopsis halleri	10-16 rosette leaves	rosette leaves	halleri:  location: Growth Room Atmosphere: Normal Humidity: 80 Temperature: 25 Lighting: 10hrs Medium: Full mineral medium Water: weekly. Developmental stage: 10-16 rosette leaves; Tissue: Rosette leaves	  	GSE5738GSM133837 sample	GSE5738GSM133837 extract	total_RNA	GSE5738GSM133837 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Newbury_1-7_Halleri-control-leaves(HLO)_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Newbury_1-7_Halleri-control-leaves(HLO)_Rep1_ATH1	GSM133837.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5738/E-GEOD-5738.raw.1.zip	E-GEOD-5738-processed-data-1628754717.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5738/E-GEOD-5738.processed.1.zip	control	Arabidopsis halleri	rosette leaves
GSE5738GSM133843	Arabidopsis lyrata subsp. petraea	10-16 rosette leaves	rosette leaves	petraea:  location: Growth Room Atmosphere: Normal Humidity: 80 Temperature: 25 Lighting: 10hrs Medium: Full mineral medium Water: weekly. Developmental stage: 10-16 rosette leaves; Tissue: Rosette leaves	P-G5738-1	GSE5738GSM133843 sample	GSE5738GSM133843 extract	total_RNA	GSE5738GSM133843 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Newbury_1-22_Petraea-highZn-leaves(PLH)_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Newbury_1-22_Petraea-highZn-leaves(PLH)_Rep1_ATH1	GSM133843.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5738/E-GEOD-5738.raw.1.zip	E-GEOD-5738-processed-data-1628754717.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5738/E-GEOD-5738.processed.1.zip	25 uM zinc	Arabidopsis lyrata subsp. petraea	rosette leaves
GSE5738GSM133838	Arabidopsis halleri	10-16 rosette leaves	rosette leaves	halleri:  location: Growth Room Atmosphere: Normal Humidity: 80 Temperature: 25 Lighting: 10hrs Medium: Full mineral medium Water: weekly. Developmental stage: 10-16 rosette leaves; Tissue: Rosette leaves	P-G5738-1	GSE5738GSM133838 sample	GSE5738GSM133838 extract	total_RNA	GSE5738GSM133838 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Newbury_1-10_Halleri-highZn-leaves(HLH)_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Newbury_1-10_Halleri-highZn-leaves(HLH)_Rep1_ATH1	GSM133838.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5738/E-GEOD-5738.raw.1.zip	E-GEOD-5738-processed-data-1628754717.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5738/E-GEOD-5738.processed.1.zip	25 uM zinc	Arabidopsis halleri	rosette leaves
GSE5738GSM133845	Arabidopsis halleri	10-16 rosette leaves	root	halleri:  location: Growth Room Atmosphere: Normal Humidity: 80 Temperature: 25 Lighting: 10hrs Medium: Full mineral medium Water: weekly. Developmental stage: 10-16 rosette leaves; Tissue: whole root system	P-G5738-1	GSE5738GSM133845 sample	GSE5738GSM133845 extract	total_RNA	GSE5738GSM133845 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Newbury_1-5_Halleri-highZn-roots(HRH)_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Newbury_1-5_Halleri-highZn-roots(HRH)_Rep2_ATH1	GSM133845.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5738/E-GEOD-5738.raw.1.zip	E-GEOD-5738-processed-data-1628754717.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5738/E-GEOD-5738.processed.1.zip	25 uM zinc	Arabidopsis halleri	root
GSE5738GSM133853	Arabidopsis halleri	10-16 rosette leaves	rosette leaves	halleri:  location: Growth Room Atmosphere: Normal Humidity: 80 Temperature: 25 Lighting: 10hrs Medium: Full mineral medium Water: weekly. Developmental stage: 10-16 rosette leaves; Tissue: Rosette leaves	  	GSE5738GSM133853 sample	GSE5738GSM133853 extract	total_RNA	GSE5738GSM133853 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Newbury_1-9_Halleri-control-leaves(HLO)_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Newbury_1-9_Halleri-control-leaves(HLO)_Rep3_ATH1	GSM133853.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5738/E-GEOD-5738.raw.1.zip	E-GEOD-5738-processed-data-1628754717.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5738/E-GEOD-5738.processed.1.zip	control	Arabidopsis halleri	rosette leaves
GSE5738GSM133856	Arabidopsis lyrata subsp. petraea	10-16 rosette leaves	rosette leaves	petraea:  location: Growth Room Atmosphere: Normal Humidity: 80 Temperature: 25 Lighting: 10hrs Medium: Full mineral medium Water: weekly. Developmental stage: 10-16 rosette leaves; Tissue: Rosette leaves	  	GSE5738GSM133856 sample	GSE5738GSM133856 extract	total_RNA	GSE5738GSM133856 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Newbury_1-21_Petraea-control-leaves(PLO)_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Newbury_1-21_Petraea-control-leaves(PLO)_Rep3_ATH1	GSM133856.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5738/E-GEOD-5738.raw.1.zip	E-GEOD-5738-processed-data-1628754717.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5738/E-GEOD-5738.processed.1.zip	control	Arabidopsis lyrata subsp. petraea	rosette leaves
GSE5738GSM133852	Arabidopsis halleri	10-16 rosette leaves	root	halleri:  location: Growth Room Atmosphere: Normal Humidity: 80 Temperature: 25 Lighting: 10hrs Medium: Full mineral medium Water: weekly. Developmental stage: 10-16 rosette leaves; Tissue: whole root system	P-G5738-1	GSE5738GSM133852 sample	GSE5738GSM133852 extract	total_RNA	GSE5738GSM133852 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Newbury_1-6_Halleri-highZn-roots(HRH)_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Newbury_1-6_Halleri-highZn-roots(HRH)_Rep3_ATH1	GSM133852.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5738/E-GEOD-5738.raw.1.zip	E-GEOD-5738-processed-data-1628754717.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5738/E-GEOD-5738.processed.1.zip	25 uM zinc	Arabidopsis halleri	root
GSE5738GSM133834	Arabidopsis halleri	10-16 rosette leaves	root	halleri:  location: Growth Room Humidity: 80 Temperature: 25 Lighting: 10hrs Medium: Full mineral medium Water: weekly. Developmental stage: 1.1; Tissue: whole root system	  	GSE5738GSM133834 sample	GSE5738GSM133834 extract	total_RNA	GSE5738GSM133834 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Newbury_1-1_halleri-control-roots(HRO)_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Newbury_1-1_halleri-control-roots(HRO)_Rep1_ATH1	GSM133834.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5738/E-GEOD-5738.raw.1.zip	E-GEOD-5738-processed-data-1628754717.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5738/E-GEOD-5738.processed.1.zip	control	Arabidopsis halleri	root
GSE5738GSM133844	Arabidopsis halleri	10-16 rosette leaves	root	halleri:  location: Growth Room Atmosphere: Normal Humidity: 80 Temperature: 25 Lighting: 10hrs Medium: Full mineral medium Water: weekly. Developmental stage: 10-16 rosette leaves; Tissue: whole root system	  	GSE5738GSM133844 sample	GSE5738GSM133844 extract	total_RNA	GSE5738GSM133844 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Newbury_1-2_halleri-control-roots(HRO)_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Newbury_1-2_halleri-control-roots(HRO)_Rep2_ATH1	GSM133844.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5738/E-GEOD-5738.raw.1.zip	E-GEOD-5738-processed-data-1628754717.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5738/E-GEOD-5738.processed.1.zip	control	Arabidopsis halleri	root
GSE5738GSM133855	Arabidopsis lyrata subsp. petraea	10-16 rosette leaves	root	petraea:  location: Growth Room Atmosphere: Normal Humidity: 80 Temperature: 25 Lighting: 10hrs Medium: Full mineral medium Water: weekly. Developmental stage: 10-16 rosette leaves; Tissue: whole root system	  	GSE5738GSM133855 sample	GSE5738GSM133855 extract	total_RNA	GSE5738GSM133855 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Newbury_1-15_Petraea-control-roots(PRO)_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Newbury_1-15_Petraea-control-roots(PRO)_Rep3_ATH1	GSM133855.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5738/E-GEOD-5738.raw.1.zip	E-GEOD-5738-processed-data-1628754717.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5738/E-GEOD-5738.processed.1.zip	control	Arabidopsis lyrata subsp. petraea	root
GSE5738GSM133842	Arabidopsis lyrata subsp. petraea	10-16 rosette leaves	rosette leaves	petraea:  location: Growth Room Atmosphere: Normal Humidity: 80 Temperature: 25 Lighting: 10hrs Medium: Full mineral medium Water: weekly. Developmental stage: 10-16 rosette leaves; Tissue: Rosette leaves	  	GSE5738GSM133842 sample	GSE5738GSM133842 extract	total_RNA	GSE5738GSM133842 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Newbury_1-19_Petraea-control-leaves(PLO)_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Newbury_1-19_Petraea-control-leaves(PLO)_Rep1_ATH1	GSM133842.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5738/E-GEOD-5738.raw.1.zip	E-GEOD-5738-processed-data-1628754717.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5738/E-GEOD-5738.processed.1.zip	control	Arabidopsis lyrata subsp. petraea	rosette leaves
GSE5738GSM133857	Arabidopsis lyrata subsp. petraea	10-16 rosette leaves	rosette leaves	petraea:  location: Growth Room Atmosphere: Normal Humidity: 80 Temperature: 25 Lighting: 10hrs Medium: Full mineral medium Water: weekly. Developmental stage: 10-16 rosette leaves; Tissue: Rosette leaves	P-G5738-1	GSE5738GSM133857 sample	GSE5738GSM133857 extract	total_RNA	GSE5738GSM133857 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Newbury_1-24_Petraea-highZn-leaves(PLH)_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Newbury_1-24_Petraea-highZn-leaves(PLH)_Rep3_ATH1	GSM133857.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5738/E-GEOD-5738.raw.1.zip	E-GEOD-5738-processed-data-1628754717.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5738/E-GEOD-5738.processed.1.zip	25 uM zinc	Arabidopsis lyrata subsp. petraea	rosette leaves
