Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics[ecotype]	Characteristics[developmental stage]	Characteristics[age]	Unit[time unit]	Characteristics[genotype]	Description	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[genotype]	FactorValue[growth condition]
GSE630GSM9631	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	seedling	7	day	arf2-6	"Light grown liquid cultured seedlings (7-day old):  Surface-sterile seeds were germinated in liquid Murashige and Skoog medium containing 1.5% sucrose and cultured in a 16 h light/ 8 h dark cycle with gentle shaking. After 7 days culture period, seedlings were treated with 5ÂµM IAA (IAA treated) or EtOH (control) for 2 h at 24 Â°C.   Line: arf2-6 (ecotype Columbia) Treatment: Control."	GSE630GSM9631 sample	GSE630GSM9631 extract	total_RNA	GSE630GSM9631 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	arf2-6_control_2	A-AFFY-2	P-AFFY-6	arf2-6_control_2	GSM9631.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-630/E-GEOD-630.raw.1.zip	E-GEOD-630-processed-data-1628964653.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-630/E-GEOD-630.processed.1.zip	arf2-6	none
GSE630GSM9633	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	seedling	7	day	arf2-6	"Light grown liquid cultured seedlings (7-day old):  Surface-sterile seeds were germinated in liquid Murashige and Skoog medium containing 1.5% sucrose and cultured in a 16 h light/ 8 h dark cycle with gentle shaking. After 7 days culture period, seedlings were treated with 5ÂµM IAA (IAA treated) or EtOH (control) for 2 h at 24 Â°C.   Line: arf2-6 (ecotype Columbia) Treatment: Control."	GSE630GSM9633 sample	GSE630GSM9633 extract	total_RNA	GSE630GSM9633 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	arf2-6_control_3	A-AFFY-2	P-AFFY-6	arf2-6_control_3	GSM9633.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-630/E-GEOD-630.raw.1.zip	E-GEOD-630-processed-data-1628964653.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-630/E-GEOD-630.processed.1.zip	arf2-6	none
GSE630GSM9613	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	seedling	7	day	axr3-1	"Light grown liquid cultured seedlings (7-day old):  Surface-sterile seeds were germinated in liquid Murashige and Skoog medium containing 1.5% sucrose and cultured in a 16 h light/ 8 h dark cycle with gentle shaking. After 7 days culture period, seedlings were treated with 5ï¿½M IAA (IAA treated) or EtOH (control) for 2 h at 24 ï¿½C. Line: axr3-1 (ecotype Columbia) Treatment: IAA treated Replicate 3."	GSE630GSM9613 sample	GSE630GSM9613 extract	total_RNA	GSE630GSM9613 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	axr3-1_+IAA_3	A-AFFY-2	P-AFFY-6	axr3-1_+IAA_3	GSM9613.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-630/E-GEOD-630.raw.1.zip	E-GEOD-630-processed-data-1628964653.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-630/E-GEOD-630.processed.1.zip	axr3-1	indole-3-acetic acid
GSE630GSM9612	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	seedling	7	day	axr3-1	"Light grown liquid cultured seedlings (7-day old):  Surface-sterile seeds were germinated in liquid Murashige and Skoog medium containing 1.5% sucrose and cultured in a 16 h light/ 8 h dark cycle with gentle shaking. After 7 days culture period, seedlings were treated with 5ï¿½M IAA (IAA treated) or EtOH (control) for 2 h at 24 ï¿½C. Line: axr3-1 (ecotype Columbia) Treatment: IAA treated Replicate 2."	GSE630GSM9612 sample	GSE630GSM9612 extract	total_RNA	GSE630GSM9612 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	axr3-1_+IAA_2	A-AFFY-2	P-AFFY-6	axr3-1_+IAA_2	GSM9612.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-630/E-GEOD-630.raw.1.zip	E-GEOD-630-processed-data-1628964653.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-630/E-GEOD-630.processed.1.zip	axr3-1	indole-3-acetic acid
GSE630GSM9611	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	seedling	7	day	axr3-1	"Light grown liquid cultured seedlings (7-day old):  Surface-sterile seeds were germinated in liquid Murashige and Skoog medium containing 1.5% sucrose and cultured in a 16 h light/ 8 h dark cycle with gentle shaking. After 7 days culture period, seedlings were treated with 5ï¿½M IAA (IAA treated) or EtOH (control) for 2 h at 24 ï¿½C. Line: axr3-1 (ecotype Columbia) Treatment: IAA treated Replicate 1."	GSE630GSM9611 sample	GSE630GSM9611 extract	total_RNA	GSE630GSM9611 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	axr3-1_+IAA_1	A-AFFY-2	P-AFFY-6	axr3-1_+IAA_1	GSM9611.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-630/E-GEOD-630.raw.1.zip	E-GEOD-630-processed-data-1628964653.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-630/E-GEOD-630.processed.1.zip	axr3-1	indole-3-acetic acid
GSE630GSM9610	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	seedling	7	day	axr3-1	"Light grown liquid cultured seedlings (7-day old):  Surface-sterile seeds were germinated in liquid Murashige and Skoog medium containing 1.5% sucrose and cultured in a 16 h light/ 8 h dark cycle with gentle shaking. After 7 days culture period, seedlings were treated with 5ï¿½M IAA (IAA treated) or EtOH (control) for 2 h at 24 ï¿½C. Line: axr3-1 (ecotype Columbia) Treatment: Control Replicate 3."	GSE630GSM9610 sample	GSE630GSM9610 extract	total_RNA	GSE630GSM9610 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	axr3-1_control_3	A-AFFY-2	P-AFFY-6	axr3-1_control_3	GSM9610.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-630/E-GEOD-630.raw.1.zip	E-GEOD-630-processed-data-1628964653.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-630/E-GEOD-630.processed.1.zip	axr3-1	none
GSE630GSM9609	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	seedling	7	day	axr3-1	"Light grown liquid cultured seedlings (7-day old):  Surface-sterile seeds were germinated in liquid Murashige and Skoog medium containing 1.5% sucrose and cultured in a 16 h light/ 8 h dark cycle with gentle shaking. After 7 days culture period, seedlings were treated with 5ï¿½M IAA (IAA treated) or EtOH (control) for 2 h at 24 ï¿½C. Line: axr3-1 (ecotype Columbia) Treatment: Control Replicate 2."	GSE630GSM9609 sample	GSE630GSM9609 extract	total_RNA	GSE630GSM9609 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	axr3-1_control_2	A-AFFY-2	P-AFFY-6	axr3-1_control_2	GSM9609.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-630/E-GEOD-630.raw.1.zip	E-GEOD-630-processed-data-1628964653.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-630/E-GEOD-630.processed.1.zip	axr3-1	none
GSE630GSM9608	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	seedling	7	day	axr3-1	"Light grown liquid cultured seedlings (7-day old):  Surface-sterile seeds were germinated in liquid Murashige and Skoog medium containing 1.5% sucrose and cultured in a 16 h light/ 8 h dark cycle with gentle shaking. After 7 days culture period, seedlings were treated with 5ï¿½M IAA (IAA treated) or EtOH (control) for 2 h at 24 ï¿½C. Line: axr3-1 (ecotype Columbia) Treatment: Control Replicate 1."	GSE630GSM9608 sample	GSE630GSM9608 extract	total_RNA	GSE630GSM9608 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	arx3-1_control_1	A-AFFY-2	P-AFFY-6	arx3-1_control_1	GSM9608.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-630/E-GEOD-630.raw.1.zip	E-GEOD-630-processed-data-1628964653.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-630/E-GEOD-630.processed.1.zip	axr3-1	none
GSE630GSM9605	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	seedling	7	day	iaa17-6	"Light grown liquid cultured seedlings (7-day old):  Surface-sterile seeds were germinated in liquid Murashige and Skoog medium containing 1.5% sucrose and cultured in a 16 h light/ 8 h dark cycle with gentle shaking. After 7 days culture period, seedlings were treated with 5ï¿½M IAA (IAA treated) or EtOH (control) for 2 h at 24 ï¿½C. Line: iaa17-6  (ecotype Columbia) Treatment: IAA treated Replicate 1."	GSE630GSM9605 sample	GSE630GSM9605 extract	total_RNA	GSE630GSM9605 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	iaa17-6_+IAA_1	A-AFFY-2	P-AFFY-6	iaa17-6_+IAA_1	GSM9605.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-630/E-GEOD-630.raw.1.zip	E-GEOD-630-processed-data-1628964653.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-630/E-GEOD-630.processed.1.zip	iaa17-6	indole-3-acetic acid
GSE630GSM9606	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	seedling	7	day	iaa17-6	"Light grown liquid cultured seedlings (7-day old):  Surface-sterile seeds were germinated in liquid Murashige and Skoog medium containing 1.5% sucrose and cultured in a 16 h light/ 8 h dark cycle with gentle shaking. After 7 days culture period, seedlings were treated with 5ï¿½M IAA (IAA treated) or EtOH (control) for 2 h at 24 ï¿½C. Line: iaa17-6  (ecotype Columbia) Treatment: IAA treated Replicate 2."	GSE630GSM9606 sample	GSE630GSM9606 extract	total_RNA	GSE630GSM9606 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	iaa17-6_+IAA_2	A-AFFY-2	P-AFFY-6	iaa17-6_+IAA_2	GSM9606.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-630/E-GEOD-630.raw.1.zip	E-GEOD-630-processed-data-1628964653.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-630/E-GEOD-630.processed.1.zip	iaa17-6	indole-3-acetic acid
GSE630GSM9607	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	seedling	7	day	iaa17-6	"Light grown liquid cultured seedlings (7-day old):  Surface-sterile seeds were germinated in liquid Murashige and Skoog medium containing 1.5% sucrose and cultured in a 16 h light/ 8 h dark cycle with gentle shaking. After 7 days culture period, seedlings were treated with 5ï¿½M IAA (IAA treated) or EtOH (control) for 2 h at 24 ï¿½C. Line: iaa17-6 (ecotype Columbia) Treatment: IAA treated Replicate 3."	GSE630GSM9607 sample	GSE630GSM9607 extract	total_RNA	GSE630GSM9607 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	iaa17-6_+IAA_3	A-AFFY-2	P-AFFY-6	iaa17-6_+IAA_3	GSM9607.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-630/E-GEOD-630.raw.1.zip	E-GEOD-630-processed-data-1628964653.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-630/E-GEOD-630.processed.1.zip	iaa17-6	indole-3-acetic acid
GSE630GSM9603	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	seedling	7	day	iaa17-6	"Light grown liquid cultured seedlings (7-day old):  Surface-sterile seeds were germinated in liquid Murashige and Skoog medium containing 1.5% sucrose and cultured in a 16 h light/ 8 h dark cycle with gentle shaking. After 7 days culture period, seedlings were treated with 5ï¿½M IAA (IAA treated) or EtOH (control) for 2 h at 24 ï¿½C. Line: iaa17-6  (ecotype Columbia) Treatment: Control Replicate 3."	GSE630GSM9603 sample	GSE630GSM9603 extract	total_RNA	GSE630GSM9603 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	iaa17-6_control_3	A-AFFY-2	P-AFFY-6	iaa17-6_control_3	GSM9603.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-630/E-GEOD-630.raw.1.zip	E-GEOD-630-processed-data-1628964653.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-630/E-GEOD-630.processed.1.zip	iaa17-6	none
GSE630GSM9601	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	seedling	7	day	iaa17-6	"Light grown liquid cultured seedlings (7-day old):  Surface-sterile seeds were germinated in liquid Murashige and Skoog medium containing 1.5% sucrose and cultured in a 16 h light/ 8 h dark cycle with gentle shaking. After 7 days culture period, seedlings were treated with 5ï¿½M IAA (IAA treated) or EtOH (control) for 2 h at 24 ï¿½C. Line: iaa17-6  (ecotype Columbia) Treatment: Control Replicate 1."	GSE630GSM9601 sample	GSE630GSM9601 extract	total_RNA	GSE630GSM9601 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	iaa17-6_control_1	A-AFFY-2	P-AFFY-6	iaa17-6_control_1	GSM9601.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-630/E-GEOD-630.raw.1.zip	E-GEOD-630-processed-data-1628964653.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-630/E-GEOD-630.processed.1.zip	iaa17-6	none
GSE630GSM9602	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	seedling	7	day	iaa17-6	"Light grown liquid cultured seedlings (7-day old):  Surface-sterile seeds were germinated in liquid Murashige and Skoog medium containing 1.5% sucrose and cultured in a 16 h light/ 8 h dark cycle with gentle shaking. After 7 days culture period, seedlings were treated with 5ï¿½M IAA (IAA treated) or EtOH (control) for 2 h at 24 ï¿½C. Line: iaa17-6  (ecotype Columbia) Treatment: Control Replicate 2."	GSE630GSM9602 sample	GSE630GSM9602 extract	total_RNA	GSE630GSM9602 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	iaa17-6_control_2	A-AFFY-2	P-AFFY-6	iaa17-6_control_2	GSM9602.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-630/E-GEOD-630.raw.1.zip	E-GEOD-630-processed-data-1628964653.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-630/E-GEOD-630.processed.1.zip	iaa17-6	none
