Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[accession]	Characteristics[ecotype]	Characteristics[organism part]	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	FactorValue [ACCESSION]	FactorValue [ECOTYPE]
GSM680432 1	gDNA hybridizations to explore sequence polymorphisms	rosette leaf	leaf_gDNA_Got22_2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS22609	Got22	rosette leaf	EFO	EFO_0001984	P-GSE27551-1	P-GSE27551-2	GSM680432 extract 1	genomic DNA	P-GSE27551-3	GSM680432 LE 1	biotin	P-GSE27551-4	GSM680432	A-AFFY-2	  	P-GSE27551-5	P-GSE27551-6	GSM680432.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27551/E-GEOD-27551.raw.1.zip	CS22609	Got22
GSM680431 1	gDNA hybridizations to explore sequence polymorphisms	rosette leaf	leaf_gDNA_Got22_1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS22609	Got22	rosette leaf	EFO	EFO_0001984	P-GSE27551-1	P-GSE27551-2	GSM680431 extract 1	genomic DNA	P-GSE27551-3	GSM680431 LE 1	biotin	P-GSE27551-4	GSM680431	A-AFFY-2	  	P-GSE27551-5	P-GSE27551-6	GSM680431.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27551/E-GEOD-27551.raw.1.zip	CS22609	Got22
GSM680430 1	gDNA hybridizations to explore sequence polymorphisms	rosette leaf	leaf_gDNA_Eden1_3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS22572	Eden1	rosette leaf	EFO	EFO_0001984	P-GSE27551-1	P-GSE27551-2	GSM680430 extract 1	genomic DNA	P-GSE27551-3	GSM680430 LE 1	biotin	P-GSE27551-4	GSM680430	A-AFFY-2	  	P-GSE27551-5	P-GSE27551-6	GSM680430.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27551/E-GEOD-27551.raw.1.zip	CS22572	Eden1
GSM680429 1	gDNA hybridizations to explore sequence polymorphisms	rosette leaf	leaf_gDNA_Eden1_2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS22572	Eden1	rosette leaf	EFO	EFO_0001984	P-GSE27551-1	P-GSE27551-2	GSM680429 extract 1	genomic DNA	P-GSE27551-3	GSM680429 LE 1	biotin	P-GSE27551-4	GSM680429	A-AFFY-2	  	P-GSE27551-5	P-GSE27551-6	GSM680429.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27551/E-GEOD-27551.raw.1.zip	CS22572	Eden1
GSM680428 1	gDNA hybridizations to explore sequence polymorphisms	rosette leaf	leaf_gDNA_Eden1_1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS22572	Eden1	rosette leaf	EFO	EFO_0001984	P-GSE27551-1	P-GSE27551-2	GSM680428 extract 1	genomic DNA	P-GSE27551-3	GSM680428 LE 1	biotin	P-GSE27551-4	GSM680428	A-AFFY-2	  	P-GSE27551-5	P-GSE27551-6	GSM680428.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27551/E-GEOD-27551.raw.1.zip	CS22572	Eden1
GSM680427 1	gDNA hybridizations to explore sequence polymorphisms	rosette leaf	leaf_gDNA_Bil5_3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS22578	Bil5	rosette leaf	EFO	EFO_0001984	P-GSE27551-1	P-GSE27551-2	GSM680427 extract 1	genomic DNA	P-GSE27551-3	GSM680427 LE 1	biotin	P-GSE27551-4	GSM680427	A-AFFY-2	  	P-GSE27551-5	P-GSE27551-6	GSM680427.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27551/E-GEOD-27551.raw.1.zip	CS22578	Bil5
GSM680426 1	gDNA hybridizations to explore sequence polymorphisms	rosette leaf	leaf_gDNA_Bil5_2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS22578	Bil5	rosette leaf	EFO	EFO_0001984	P-GSE27551-1	P-GSE27551-2	GSM680426 extract 1	genomic DNA	P-GSE27551-3	GSM680426 LE 1	biotin	P-GSE27551-4	GSM680426	A-AFFY-2	  	P-GSE27551-5	P-GSE27551-6	GSM680426.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27551/E-GEOD-27551.raw.1.zip	CS22578	Bil5
GSM680425 1	gDNA hybridizations to explore sequence polymorphisms	rosette leaf	leaf_gDNA_Bil5_1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS22578	Bil5	rosette leaf	EFO	EFO_0001984	P-GSE27551-1	P-GSE27551-2	GSM680425 extract 1	genomic DNA	P-GSE27551-3	GSM680425 LE 1	biotin	P-GSE27551-4	GSM680425	A-AFFY-2	  	P-GSE27551-5	P-GSE27551-6	GSM680425.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27551/E-GEOD-27551.raw.1.zip	CS22578	Bil5
GSM680424 1	gDNA hybridizations to explore sequence polymorphisms	rosette leaf	leaf_gDNA_Ag0_3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS6601	Ag0	rosette leaf	EFO	EFO_0001984	P-GSE27551-1	P-GSE27551-2	GSM680424 extract 1	genomic DNA	P-GSE27551-3	GSM680424 LE 1	biotin	P-GSE27551-4	GSM680424	A-AFFY-2	  	P-GSE27551-5	P-GSE27551-6	GSM680424.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27551/E-GEOD-27551.raw.1.zip	CS6601	Ag0
GSM680423 1	gDNA hybridizations to explore sequence polymorphisms	rosette leaf	leaf_gDNA_Ag0_2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS6601	Ag0	rosette leaf	EFO	EFO_0001984	P-GSE27551-1	P-GSE27551-2	GSM680423 extract 1	genomic DNA	P-GSE27551-3	GSM680423 LE 1	biotin	P-GSE27551-4	GSM680423	A-AFFY-2	  	P-GSE27551-5	P-GSE27551-6	GSM680423.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27551/E-GEOD-27551.raw.1.zip	CS6601	Ag0
GSM680422 1	gDNA hybridizations to explore sequence polymorphisms	rosette leaf	leaf_gDNA_Ag0_1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS6601	Ag0	rosette leaf	EFO	EFO_0001984	P-GSE27551-1	P-GSE27551-2	GSM680422 extract 1	genomic DNA	P-GSE27551-3	GSM680422 LE 1	biotin	P-GSE27551-4	GSM680422	A-AFFY-2	  	P-GSE27551-5	P-GSE27551-6	GSM680422.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27551/E-GEOD-27551.raw.1.zip	CS6601	Ag0
GSM680421 1	gDNA hybridizations to explore sequence polymorphisms	rosette leaf	leaf_gDNA_C24_3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS906	C24	rosette leaf	EFO	EFO_0001984	P-GSE27551-1	P-GSE27551-2	GSM680421 extract 1	genomic DNA	P-GSE27551-3	GSM680421 LE 1	biotin	P-GSE27551-4	GSM680421	A-AFFY-2	  	P-GSE27551-5	P-GSE27551-6	GSM680421.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27551/E-GEOD-27551.raw.1.zip	CS906	C24
GSM680420 1	gDNA hybridizations to explore sequence polymorphisms	rosette leaf	leaf_gDNA_C24_2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS906	C24	rosette leaf	EFO	EFO_0001984	P-GSE27551-1	P-GSE27551-2	GSM680420 extract 1	genomic DNA	P-GSE27551-3	GSM680420 LE 1	biotin	P-GSE27551-4	GSM680420	A-AFFY-2	  	P-GSE27551-5	P-GSE27551-6	GSM680420.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27551/E-GEOD-27551.raw.1.zip	CS906	C24
GSM680419 1	gDNA hybridizations to explore sequence polymorphisms	rosette leaf	leaf_gDNA_C24_1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS906	C24	rosette leaf	EFO	EFO_0001984	P-GSE27551-1	P-GSE27551-2	GSM680419 extract 1	genomic DNA	P-GSE27551-3	GSM680419 LE 1	biotin	P-GSE27551-4	GSM680419	A-AFFY-2	  	P-GSE27551-5	P-GSE27551-6	GSM680419.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27551/E-GEOD-27551.raw.1.zip	CS906	C24
