Source Name	Characteristics[organism]	Characteristics[ecotype]	Characteristics[genotype]	Characteristics[organism part]	Characteristics[developmental stage]	Characteristics[environmental history]	Characteristics[stimulus]	Characteristics[growth condition]	Characteristics[temperature]	Unit[temperature unit]	Characteristics[sampling time point]	Unit[time unit]	Term Source REF	Term Accession Number	Material Type	Description	Protocol REF	Performer	Protocol REF	Performer	Extract Name	Protocol REF	Labeled Extract Name	Label	Protocol REF	Assay Name	Technology Type	Array Design REF	Term Source REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Performer	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[genotype]	Factor Value[environmental history]	Factor Value[sampling time point]	Unit[time unit]	Term Source REF	Term Accession Number
05_sly1-2D0h2	Arabidopsis thaliana	Landsberg erecta	sly1-2 mutant	seed	seed imbibition stage	2 weeks dry after-ripening	4 days at 4°C in the dark	light regimen	22	degree celsius	0	hour	EFO	UO_0000032	whole organism	sly1-2(D) 0h, rep 2	P-MTAB-50207	Sven Nelson	P-MTAB-50208	Sven Nelson	05_sly1-2D0h2	P-MTAB-50210	05_sly1-2D0h2:biotin	biotin	P-MTAB-50211	05_sly1_2D0h2	array assay	A-AFFY-2	ArrayExpress	P-MTAB-50212	05_sly1_2D0h2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4782/E-MTAB-4782.raw.1.zip	P-MTAB-50209	Sven Nelson	05_sly1_2D0h2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4782/E-MTAB-4782.processed.1.zip	sly1-2 mutant	2 weeks dry after-ripening	0	hour	EFO	UO_0000032
06_sly1-2D0h3	Arabidopsis thaliana	Landsberg erecta	sly1-2 mutant	seed	seed imbibition stage	2 weeks dry after-ripening	4 days at 4°C in the dark	light regimen	22	degree celsius	0	hour	EFO	UO_0000032	whole organism	sly1-2(D) 0h, rep 3	P-MTAB-50207	Sven Nelson	P-MTAB-50208	Sven Nelson	06_sly1-2D0h3	P-MTAB-50210	06_sly1-2D0h3:biotin	biotin	P-MTAB-50211	06_sly1_2D0h3	array assay	A-AFFY-2	ArrayExpress	P-MTAB-50212	06_sly1_2D0h3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4782/E-MTAB-4782.raw.1.zip	P-MTAB-50209	Sven Nelson	06_sly1_2D0h3.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4782/E-MTAB-4782.processed.1.zip	sly1-2 mutant	2 weeks dry after-ripening	0	hour	EFO	UO_0000032
10_sly1-2GID1b0h1	Arabidopsis thaliana	Landsberg erecta	GID1b over expression in sly1-2 mutant	seed	seed imbibition stage	2 weeks dry after-ripening	4 days at 4°C in the dark	light regimen	22	degree celsius	0	hour	EFO	UO_0000032	whole organism	sly1-2 GID1b-OE 0h, rep 1	P-MTAB-50207	Sven Nelson	P-MTAB-50208	Sven Nelson	10_sly1-2GID1b0h1	P-MTAB-50210	10_sly1-2GID1b0h1:biotin	biotin	P-MTAB-50211	10_sly1_2GID1b0h1	array assay	A-AFFY-2	ArrayExpress	P-MTAB-50212	10_sly1_2GID1b0h1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4782/E-MTAB-4782.raw.1.zip	P-MTAB-50209	Sven Nelson	10_sly1_2GID1b0h1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4782/E-MTAB-4782.processed.1.zip	GID1b over expression in sly1-2 mutant	2 weeks dry after-ripening	0	hour	EFO	UO_0000032
11_sly1-2GID1b0h2	Arabidopsis thaliana	Landsberg erecta	GID1b over expression in sly1-2 mutant	seed	seed imbibition stage	2 weeks dry after-ripening	4 days at 4°C in the dark	light regimen	22	degree celsius	0	hour	EFO	UO_0000032	whole organism	sly1-2 GID1b-OE 0h, rep 2	P-MTAB-50207	Sven Nelson	P-MTAB-50208	Sven Nelson	11_sly1-2GID1b0h2	P-MTAB-50210	11_sly1-2GID1b0h2:biotin	biotin	P-MTAB-50211	11_sly1_2GID1b0h2	array assay	A-AFFY-2	ArrayExpress	P-MTAB-50212	11_sly1_2GID1b0h2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4782/E-MTAB-4782.raw.1.zip	P-MTAB-50209	Sven Nelson	11_sly1_2GID1b0h2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4782/E-MTAB-4782.processed.1.zip	GID1b over expression in sly1-2 mutant	2 weeks dry after-ripening	0	hour	EFO	UO_0000032
12_sly1-2GID1b0h3	Arabidopsis thaliana	Landsberg erecta	GID1b over expression in sly1-2 mutant	seed	seed imbibition stage	2 weeks dry after-ripening	4 days at 4°C in the dark	light regimen	22	degree celsius	0	hour	EFO	UO_0000032	whole organism	sly1-2 GID1b-OE 0h, rep 3	P-MTAB-50207	Sven Nelson	P-MTAB-50208	Sven Nelson	12_sly1-2GID1b0h3	P-MTAB-50210	12_sly1-2GID1b0h3:biotin	biotin	P-MTAB-50211	12_sly1_2GID1b0h3	array assay	A-AFFY-2	ArrayExpress	P-MTAB-50212	12_sly1_2GID1b0h3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4782/E-MTAB-4782.raw.1.zip	P-MTAB-50209	Sven Nelson	12_sly1_2GID1b0h3.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4782/E-MTAB-4782.processed.1.zip	GID1b over expression in sly1-2 mutant	2 weeks dry after-ripening	0	hour	EFO	UO_0000032
13_Ler12h1	Arabidopsis thaliana	Landsberg erecta	wild type genotype	seed	seed imbibition stage	2 weeks dry after-ripening	4 days at 4°C in the dark	light regimen	22	degree celsius	12	hour	EFO	UO_0000032	whole organism	Ler wt 12h, rep 1	P-MTAB-50207	Sven Nelson	P-MTAB-50208	Sven Nelson	13_Ler12h1	P-MTAB-50210	13_Ler12h1:biotin	biotin	P-MTAB-50211	13_Ler12h1	array assay	A-AFFY-2	ArrayExpress	P-MTAB-50212	13_Ler12h1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4782/E-MTAB-4782.raw.1.zip	P-MTAB-50209	Sven Nelson	13_Ler12h1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4782/E-MTAB-4782.processed.1.zip	wild type genotype	2 weeks dry after-ripening	12	hour	EFO	UO_0000032
14_Ler12h2	Arabidopsis thaliana	Landsberg erecta	wild type genotype	seed	seed imbibition stage	2 weeks dry after-ripening	4 days at 4°C in the dark	light regimen	22	degree celsius	12	hour	EFO	UO_0000032	whole organism	Ler wt 12h, rep 2	P-MTAB-50207	Sven Nelson	P-MTAB-50208	Sven Nelson	14_Ler12h2	P-MTAB-50210	14_Ler12h2:biotin	biotin	P-MTAB-50211	14_Ler12h2	array assay	A-AFFY-2	ArrayExpress	P-MTAB-50212	14_Ler12h2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4782/E-MTAB-4782.raw.1.zip	P-MTAB-50209	Sven Nelson	14_Ler12h2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4782/E-MTAB-4782.processed.1.zip	wild type genotype	2 weeks dry after-ripening	12	hour	EFO	UO_0000032
15_Ler12h3	Arabidopsis thaliana	Landsberg erecta	wild type genotype	seed	seed imbibition stage	2 weeks dry after-ripening	4 days at 4°C in the dark	light regimen	22	degree celsius	12	hour	EFO	UO_0000032	whole organism	Ler wt 12h, rep 3	P-MTAB-50207	Sven Nelson	P-MTAB-50208	Sven Nelson	15_Ler12h3	P-MTAB-50210	15_Ler12h3:biotin	biotin	P-MTAB-50211	15_Ler12h3	array assay	A-AFFY-2	ArrayExpress	P-MTAB-50212	15_Ler12h3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4782/E-MTAB-4782.raw.1.zip	P-MTAB-50209	Sven Nelson	15_Ler12h3.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4782/E-MTAB-4782.processed.1.zip	wild type genotype	2 weeks dry after-ripening	12	hour	EFO	UO_0000032
16_sly1-2D12h1	Arabidopsis thaliana	Landsberg erecta	sly1-2 mutant	seed	seed imbibition stage	2 weeks dry after-ripening	4 days at 4°C in the dark	light regimen	22	degree celsius	12	hour	EFO	UO_0000032	whole organism	sly1-2(D) 12h, rep 1	P-MTAB-50207	Sven Nelson	P-MTAB-50208	Sven Nelson	16_sly1-2D12h1	P-MTAB-50210	16_sly1-2D12h1:biotin	biotin	P-MTAB-50211	16_sly1_2D12h1	array assay	A-AFFY-2	ArrayExpress	P-MTAB-50212	16_sly1_2D12h1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4782/E-MTAB-4782.raw.1.zip	P-MTAB-50209	Sven Nelson	16_sly1_2D12h1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4782/E-MTAB-4782.processed.1.zip	sly1-2 mutant	2 weeks dry after-ripening	12	hour	EFO	UO_0000032
17_sly1-2D12h2	Arabidopsis thaliana	Landsberg erecta	sly1-2 mutant	seed	seed imbibition stage	2 weeks dry after-ripening	4 days at 4°C in the dark	light regimen	22	degree celsius	12	hour	EFO	UO_0000032	whole organism	sly1-2(D) 12h, rep 2	P-MTAB-50207	Sven Nelson	P-MTAB-50208	Sven Nelson	17_sly1-2D12h2	P-MTAB-50210	17_sly1-2D12h2:biotin	biotin	P-MTAB-50211	17_sly1_2D12h2	array assay	A-AFFY-2	ArrayExpress	P-MTAB-50212	17_sly1_2D12h2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4782/E-MTAB-4782.raw.1.zip	P-MTAB-50209	Sven Nelson	17_sly1_2D12h2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4782/E-MTAB-4782.processed.1.zip	sly1-2 mutant	2 weeks dry after-ripening	12	hour	EFO	UO_0000032
18_sly1-2D12h3	Arabidopsis thaliana	Landsberg erecta	sly1-2 mutant	seed	seed imbibition stage	2 weeks dry after-ripening	4 days at 4°C in the dark	light regimen	22	degree celsius	12	hour	EFO	UO_0000032	whole organism	sly1-2(D) 12h, rep 3	P-MTAB-50207	Sven Nelson	P-MTAB-50208	Sven Nelson	18_sly1-2D12h3	P-MTAB-50210	18_sly1-2D12h3:biotin	biotin	P-MTAB-50211	18_sly1_2D12h3	array assay	A-AFFY-2	ArrayExpress	P-MTAB-50212	18_sly1_2D12h3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4782/E-MTAB-4782.raw.1.zip	P-MTAB-50209	Sven Nelson	18_sly1_2D12h3.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4782/E-MTAB-4782.processed.1.zip	sly1-2 mutant	2 weeks dry after-ripening	12	hour	EFO	UO_0000032
22_sly1-2GID1b12h1	Arabidopsis thaliana	Landsberg erecta	GID1b over expression in sly1-2 mutant	seed	seed imbibition stage	2 weeks dry after-ripening	4 days at 4°C in the dark	light regimen	22	degree celsius	12	hour	EFO	UO_0000032	whole organism	sly1-2 GID1b-OE 12h, rep 1	P-MTAB-50207	Sven Nelson	P-MTAB-50208	Sven Nelson	22_sly1-2GID1b12h1	P-MTAB-50210	22_sly1-2GID1b12h1:biotin	biotin	P-MTAB-50211	22_sly1_2GID1b12h1	array assay	A-AFFY-2	ArrayExpress	P-MTAB-50212	22_sly1_2GID1b12h1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4782/E-MTAB-4782.raw.1.zip	P-MTAB-50209	Sven Nelson	22_sly1_2GID1b12h1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4782/E-MTAB-4782.processed.1.zip	GID1b over expression in sly1-2 mutant	2 weeks dry after-ripening	12	hour	EFO	UO_0000032
23_sly1-2GID1b12h2	Arabidopsis thaliana	Landsberg erecta	GID1b over expression in sly1-2 mutant	seed	seed imbibition stage	2 weeks dry after-ripening	4 days at 4°C in the dark	light regimen	22	degree celsius	12	hour	EFO	UO_0000032	whole organism	sly1-2 GID1b-OE 12h, rep 2	P-MTAB-50207	Sven Nelson	P-MTAB-50208	Sven Nelson	23_sly1-2GID1b12h2	P-MTAB-50210	23_sly1-2GID1b12h2:biotin	biotin	P-MTAB-50211	23_sly1_2GID1b12h2	array assay	A-AFFY-2	ArrayExpress	P-MTAB-50212	23_sly1_2GID1b12h2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4782/E-MTAB-4782.raw.1.zip	P-MTAB-50209	Sven Nelson	23_sly1_2GID1b12h2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4782/E-MTAB-4782.processed.1.zip	GID1b over expression in sly1-2 mutant	2 weeks dry after-ripening	12	hour	EFO	UO_0000032
24_sly1-2GID1b12h3	Arabidopsis thaliana	Landsberg erecta	GID1b over expression in sly1-2 mutant	seed	seed imbibition stage	2 weeks dry after-ripening	4 days at 4°C in the dark	light regimen	22	degree celsius	12	hour	EFO	UO_0000032	whole organism	sly1-2 GID1b-OE 12h, rep 3	P-MTAB-50207	Sven Nelson	P-MTAB-50208	Sven Nelson	24_sly1-2GID1b12h3	P-MTAB-50210	24_sly1-2GID1b12h3:biotin	biotin	P-MTAB-50211	24_sly1_2GID1b12h3	array assay	A-AFFY-2	ArrayExpress	P-MTAB-50212	24_sly1_2GID1b12h3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4782/E-MTAB-4782.raw.1.zip	P-MTAB-50209	Sven Nelson	24_sly1_2GID1b12h3.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4782/E-MTAB-4782.processed.1.zip	GID1b over expression in sly1-2 mutant	2 weeks dry after-ripening	12	hour	EFO	UO_0000032
