Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics[Genotype]	Characteristics[OrganismPart]	Characteristics[Ecotype]	Description	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[GENOTYPE]	FactorValue[ECOTYPE]
GSE5749GSM133976	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	root	Columbia	Stage I:  Media: MS + 4.5% sucrose Light: 16h light 8h dark. Tissue: Where the root tip reaches its full diameter (about 0.15 mm from the root tip); Genetic background: Columbia	GSE5749GSM133976 sample	GSE5749GSM133976 extract	total_RNA	GSE5749GSM133976 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Birnbaum_1-6_StageI-3_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Birnbaum_1-6_StageI-3_Rep3_ATH1	GSM133976.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5749/E-GEOD-5749.raw.1.zip	E-GEOD-5749-processed-data-1628594032.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5749/E-GEOD-5749.processed.1.zip	wild_type	Columbia
GSE5749GSM133991	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	GL2:GFP	root	Columbia	GL2:GFP:  Media: MS + 4.5% sucrose Light: 16h light 8h dark. Tissue: Marks atrichoblasts from the QC up.; Genetic background: Columbia	GSE5749GSM133991 sample	GSE5749GSM133991 extract	total_RNA	GSE5749GSM133991 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Birnbaum_1-24_gl2-3_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Birnbaum_1-24_gl2-3_Rep3_ATH1	GSM133991.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5749/E-GEOD-5749.raw.1.zip	E-GEOD-5749-processed-data-1628594032.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5749/E-GEOD-5749.processed.1.zip	GL2:GFP	Columbia
GSE5749GSM133982	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	root	Columbia	Stage III:  Media: MS + 4.5% sucrose Light: 16h light 8h dark. Tissue: Where root hairs are fully elongated (about 0.45 to 2 mm from the root tip); Genetic background: Columbia	GSE5749GSM133982 sample	GSE5749GSM133982 extract	total_RNA	GSE5749GSM133982 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Birnbaum_1-12_StageIII-1_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Birnbaum_1-12_StageIII-1_Rep1_ATH1	GSM133982.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5749/E-GEOD-5749.raw.1.zip	E-GEOD-5749-processed-data-1628594032.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5749/E-GEOD-5749.processed.1.zip	wild_type	Columbia
GSE5749GSM133986	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	WOL:GFP	root	Columbia	WOL:GFP:  Media: MS + 4.5% sucrose Light: 16h light 8h dark. Tissue: Marks cells in stele and starts to fade from the elongation zone; Genetic background: Columbia	GSE5749GSM133986 sample	GSE5749GSM133986 extract	total_RNA	GSE5749GSM133986 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Birnbaum_1-16_wol-1_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Birnbaum_1-16_wol-1_Rep1_ATH1	GSM133986.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5749/E-GEOD-5749.raw.1.zip	E-GEOD-5749-processed-data-1628594032.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5749/E-GEOD-5749.processed.1.zip	WOL:GFP	Columbia
GSE5749GSM133968	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	J3411:GFP	root	C24	J3411:GFP:  Media: MS + 4.5% sucrose Light: 16h light 8h dark. Tissue: Lateral root cap plus epidermis; Genetic background: C24	GSE5749GSM133968 sample	GSE5749GSM133968 extract	total_RNA	GSE5749GSM133968 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Birnbaum_1-19_LRC-1_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Birnbaum_1-19_LRC-1_Rep1_ATH1	GSM133968.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5749/E-GEOD-5749.raw.1.zip	E-GEOD-5749-processed-data-1628594032.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5749/E-GEOD-5749.processed.1.zip	J3411:GFP	C24
GSE5749GSM133971	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	SCR:GFP	root	Landsberg	SCR:GFP:  Media: MS + 4.5% sucrose Light: 16h light 8h dark. Genetic background: Landsberg	GSE5749GSM133971 sample	GSE5749GSM133971 extract	total_RNA	GSE5749GSM133971 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Birnbaum_1-1_src5-1_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Birnbaum_1-1_src5-1_Rep1_ATH1	GSM133971.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5749/E-GEOD-5749.raw.1.zip	E-GEOD-5749-processed-data-1628594032.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5749/E-GEOD-5749.processed.1.zip	SCR:GFP	Landsberg
GSE5749GSM133970	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	J3411:GFP	root	C24	J3411:GFP:  Media: MS + 4.5% sucrose Light: 16h light 8h dark. Tissue: Lateral root cap plus epidermis; Genetic background: C24	GSE5749GSM133970 sample	GSE5749GSM133970 extract	total_RNA	GSE5749GSM133970 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Birnbaum_1-21_LRC-3_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Birnbaum_1-21_LRC-3_Rep3_ATH1	GSM133970.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5749/E-GEOD-5749.raw.1.zip	E-GEOD-5749-processed-data-1628594032.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5749/E-GEOD-5749.processed.1.zip	J3411:GFP	C24
GSE5749GSM133985	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	root	Columbia	Stage III:  Media: MS + 4.5% sucrose Light: 16h light 8h dark. Tissue: Where root hairs are fully elongated (about 0.45 to 2 mm from the root tip); Genetic background: Columbia	GSE5749GSM133985 sample	GSE5749GSM133985 extract	total_RNA	GSE5749GSM133985 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Birnbaum_1-15_StageIII-4_Rep4_ATH1	A-AFFY-2	P-AFFY-6	Birnbaum_1-15_StageIII-4_Rep4_ATH1	GSM133985.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5749/E-GEOD-5749.raw.1.zip	E-GEOD-5749-processed-data-1628594032.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5749/E-GEOD-5749.processed.1.zip	wild_type	Columbia
GSE5749GSM133974	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	root	Columbia	Stage I:  Media: MS + 4.5% sucrose Light: 16h light 8h dark. Tissue: Where the root tip reaches its full diameter (about 0.15 mm from the root tip); Genetic background: Columbia	GSE5749GSM133974 sample	GSE5749GSM133974 extract	total_RNA	GSE5749GSM133974 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Birnbaum_1-4_StageI-1_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Birnbaum_1-4_StageI-1_Rep1_ATH1	GSM133974.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5749/E-GEOD-5749.raw.1.zip	E-GEOD-5749-processed-data-1628594032.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5749/E-GEOD-5749.processed.1.zip	wild_type	Columbia
GSE5749GSM133994	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	J0571:GFP	root	Columbia	J0571:GFP:  Media: MS + 4.5% sucrose Light: 16h light 8h dark. Tissue: Marks ground tissue (endodermis and cortex) and the QC; Genetic background: Columbia	GSE5749GSM133994 sample	GSE5749GSM133994 extract	total_RNA	GSE5749GSM133994 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Birnbaum_1-27_J0571-3_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Birnbaum_1-27_J0571-3_Rep3_ATH1	GSM133994.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5749/E-GEOD-5749.raw.1.zip	E-GEOD-5749-processed-data-1628594032.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5749/E-GEOD-5749.processed.1.zip	J0571:GFP	Columbia
GSE5749GSM133972	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	SCR:GFP	root	Landsberg	SCR:GFP:  Media: MS + 4.5% sucrose Light: 16h light 8h dark. Tissue: Marks the QC and the endodermis at least past the mature hair zone; Genetic background: Landsberg	GSE5749GSM133972 sample	GSE5749GSM133972 extract	total_RNA	GSE5749GSM133972 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Birnbaum_1-2_src5-2_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Birnbaum_1-2_src5-2_Rep2_ATH1	GSM133972.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5749/E-GEOD-5749.raw.1.zip	E-GEOD-5749-processed-data-1628594032.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5749/E-GEOD-5749.processed.1.zip	SCR:GFP	Landsberg
GSE5749GSM133969	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	J3411:GFP	root	C24	J3411:GFP:  Media: MS + 4.5% sucrose Light: 16h light 8h dark. Tissue: Lateral root cap plus epidermis; Genetic background: C24	GSE5749GSM133969 sample	GSE5749GSM133969 extract	total_RNA	GSE5749GSM133969 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Birnbaum_1-20_LRC-2_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Birnbaum_1-20_LRC-2_Rep2_ATH1	GSM133969.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5749/E-GEOD-5749.raw.1.zip	E-GEOD-5749-processed-data-1628594032.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5749/E-GEOD-5749.processed.1.zip	J3411:GFP	C24
GSE5749GSM133992	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	J0571:GFP	root	Columbia	J0571:GFP:  Media: MS + 4.5% sucrose Light: 16h light 8h dark. Tissue: Marks ground tissue (endodermis and cortex) and the QC; Genetic background: Columbia	GSE5749GSM133992 sample	GSE5749GSM133992 extract	total_RNA	GSE5749GSM133992 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Birnbaum_1-25_J0571-1_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Birnbaum_1-25_J0571-1_Rep1_ATH1	GSM133992.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5749/E-GEOD-5749.raw.1.zip	E-GEOD-5749-processed-data-1628594032.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5749/E-GEOD-5749.processed.1.zip	J0571:GFP	Columbia
GSE5749GSM133979	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	root	Columbia	Stage II:  Media: MS + 4.5% sucrose Light: 16h light 8h dark. Tissue: Where cells transition from being optically dense to a more transparent appearance as they begin longitudinal expansion (about 0.30 mm from the root tip); Genetic background: Columbia	GSE5749GSM133979 sample	GSE5749GSM133979 extract	total_RNA	GSE5749GSM133979 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Birnbaum_1-9_StageII-2_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Birnbaum_1-9_StageII-2_Rep2_ATH1	GSM133979.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5749/E-GEOD-5749.raw.1.zip	E-GEOD-5749-processed-data-1628594032.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5749/E-GEOD-5749.processed.1.zip	wild_type	Columbia
GSE5749GSM133993	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	J0571:GFP	root	Columbia	J0571:GFP:  Media: MS + 4.5% sucrose Light: 16h light 8h dark. Tissue: Marks ground tissue (endodermis and cortex) and the QC; Genetic background: Columbia	GSE5749GSM133993 sample	GSE5749GSM133993 extract	total_RNA	GSE5749GSM133993 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Birnbaum_1-26_J0571-2_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Birnbaum_1-26_J0571-2_Rep2_ATH1	GSM133993.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5749/E-GEOD-5749.raw.1.zip	E-GEOD-5749-processed-data-1628594032.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5749/E-GEOD-5749.processed.1.zip	J0571:GFP	Columbia
GSE5749GSM133990	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	GL2:GFP	root	Columbia	GL2:GFP:  Media: MS + 4.5% sucrose Light: 16h light 8h dark. Tissue: Marks atrichoblasts from the QC up.; Genetic background: Columbia	GSE5749GSM133990 sample	GSE5749GSM133990 extract	total_RNA	GSE5749GSM133990 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Birnbaum_1-23_gl2-2_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Birnbaum_1-23_gl2-2_Rep2_ATH1	GSM133990.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5749/E-GEOD-5749.raw.1.zip	E-GEOD-5749-processed-data-1628594032.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5749/E-GEOD-5749.processed.1.zip	GL2:GFP	Columbia
GSE5749GSM133988	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	WOL:GFP	root	Columbia	WOL:GFP:  Media: MS + 4.5% sucrose Light: 16h light 8h dark. Tissue: Marks cells in stele and starts to fade from the elongation zone; Genetic background: Columbia	GSE5749GSM133988 sample	GSE5749GSM133988 extract	total_RNA	GSE5749GSM133988 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Birnbaum_1-18_wol-3_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Birnbaum_1-18_wol-3_Rep3_ATH1	GSM133988.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5749/E-GEOD-5749.raw.1.zip	E-GEOD-5749-processed-data-1628594032.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5749/E-GEOD-5749.processed.1.zip	WOL:GFP	Columbia
