Source Name	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[biological replicate]	Characteristics[genotype]	Characteristics[organism part]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [BIOLOGICAL REPLICATE]	FactorValue [GENOTYPE]	FactorValue [TREATMENT]
GSM840963 1	WT-elf	WT-elf-1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	1	wild type	mature leaf	P-GSE34047-3	P-GSE34047-2	P-GSE34047-4	GSM840963 extract 1	total RNA	P-GSE34047-5	GSM840963 LE 1	biotin	P-GSE34047-6	GSM840963	A-AFFY-2	  	P-GSE34047-7	P-GSE34047-8	GSM840963.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34047/E-GEOD-34047.raw.1.zip	P-GSE34047-1	GSM840963_sample_table.txt norm	GSM840963_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34047/E-GEOD-34047.processed.1.zip	1	wild type	10 µM elf18 for 2 hrs (infiltration into leaves)
GSM840962 1	WT-melf	WT-melf-3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	3	wild type	mature leaf	P-GSE34047-3	P-GSE34047-2	P-GSE34047-4	GSM840962 extract 1	total RNA	P-GSE34047-5	GSM840962 LE 1	biotin	P-GSE34047-6	GSM840962	A-AFFY-2	  	P-GSE34047-7	P-GSE34047-8	GSM840962.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34047/E-GEOD-34047.raw.1.zip	P-GSE34047-1	GSM840962_sample_table.txt norm	GSM840962_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34047/E-GEOD-34047.processed.1.zip	3	wild type	water for 2 hrs (infiltration into leaves)
GSM840961 1	WT-melf	WT-melf-2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2	wild type	mature leaf	P-GSE34047-3	P-GSE34047-2	P-GSE34047-4	GSM840961 extract 1	total RNA	P-GSE34047-5	GSM840961 LE 1	biotin	P-GSE34047-6	GSM840961	A-AFFY-2	  	P-GSE34047-7	P-GSE34047-8	GSM840961.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34047/E-GEOD-34047.raw.1.zip	P-GSE34047-1	GSM840961_sample_table.txt norm	GSM840961_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34047/E-GEOD-34047.processed.1.zip	2	wild type	water for 2 hrs (infiltration into leaves)
GSM840960 1	WT-melf	WT-melf-1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	1	wild type	mature leaf	P-GSE34047-3	P-GSE34047-2	P-GSE34047-4	GSM840960 extract 1	total RNA	P-GSE34047-5	GSM840960 LE 1	biotin	P-GSE34047-6	GSM840960	A-AFFY-2	  	P-GSE34047-7	P-GSE34047-8	GSM840960.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34047/E-GEOD-34047.raw.1.zip	P-GSE34047-1	GSM840960_sample_table.txt norm	GSM840960_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34047/E-GEOD-34047.processed.1.zip	1	wild type	water for 2 hrs (infiltration into leaves)
GSM840959 1	WT-SA	WT-SA-3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	3	wild type	mature leaf	P-GSE34047-3	P-GSE34047-2	P-GSE34047-4	GSM840959 extract 1	total RNA	P-GSE34047-5	GSM840959 LE 1	biotin	P-GSE34047-6	GSM840959	A-AFFY-2	  	P-GSE34047-7	P-GSE34047-8	GSM840959.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34047/E-GEOD-34047.raw.1.zip	P-GSE34047-1	GSM840959_sample_table.txt norm	GSM840959_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34047/E-GEOD-34047.processed.1.zip	3	wild type	1 mM SA for 6 hrs (spray)
GSM840958 1	WT-SA	WT-SA-2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2	wild type	mature leaf	P-GSE34047-3	P-GSE34047-2	P-GSE34047-4	GSM840958 extract 1	total RNA	P-GSE34047-5	GSM840958 LE 1	biotin	P-GSE34047-6	GSM840958	A-AFFY-2	  	P-GSE34047-7	P-GSE34047-8	GSM840958.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34047/E-GEOD-34047.raw.1.zip	P-GSE34047-1	GSM840958_sample_table.txt norm	GSM840958_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34047/E-GEOD-34047.processed.1.zip	2	wild type	1 mM SA for 6 hrs (spray)
GSM840957 1	WT-SA	WT-SA-1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	1	wild type	mature leaf	P-GSE34047-3	P-GSE34047-2	P-GSE34047-4	GSM840957 extract 1	total RNA	P-GSE34047-5	GSM840957 LE 1	biotin	P-GSE34047-6	GSM840957	A-AFFY-2	  	P-GSE34047-7	P-GSE34047-8	GSM840957.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34047/E-GEOD-34047.raw.1.zip	P-GSE34047-1	GSM840957_sample_table.txt norm	GSM840957_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34047/E-GEOD-34047.processed.1.zip	1	wild type	1 mM SA for 6 hrs (spray)
GSM840956 1	WT-mSA	WT-mSA-3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	3	wild type	mature leaf	P-GSE34047-3	P-GSE34047-2	P-GSE34047-4	GSM840956 extract 1	total RNA	P-GSE34047-5	GSM840956 LE 1	biotin	P-GSE34047-6	GSM840956	A-AFFY-2	  	P-GSE34047-7	P-GSE34047-8	GSM840956.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34047/E-GEOD-34047.raw.1.zip	P-GSE34047-1	GSM840956_sample_table.txt norm	GSM840956_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34047/E-GEOD-34047.processed.1.zip	3	wild type	water for 6 hrs (spray)
GSM840955 1	WT-mSA	WT-mSA-2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2	wild type	mature leaf	P-GSE34047-3	P-GSE34047-2	P-GSE34047-4	GSM840955 extract 1	total RNA	P-GSE34047-5	GSM840955 LE 1	biotin	P-GSE34047-6	GSM840955	A-AFFY-2	  	P-GSE34047-7	P-GSE34047-8	GSM840955.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34047/E-GEOD-34047.raw.1.zip	P-GSE34047-1	GSM840955_sample_table.txt norm	GSM840955_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34047/E-GEOD-34047.processed.1.zip	2	wild type	water for 6 hrs (spray)
GSM840954 1	WT-mSA	WT-mSA-1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	1	wild type	mature leaf	P-GSE34047-3	P-GSE34047-2	P-GSE34047-4	GSM840954 extract 1	total RNA	P-GSE34047-5	GSM840954 LE 1	biotin	P-GSE34047-6	GSM840954	A-AFFY-2	  	P-GSE34047-7	P-GSE34047-8	GSM840954.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34047/E-GEOD-34047.raw.1.zip	P-GSE34047-1	GSM840954_sample_table.txt norm	GSM840954_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34047/E-GEOD-34047.processed.1.zip	1	wild type	water for 6 hrs (spray)
