Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics[Ecotype]	Characteristics[OrganismPart]	Characteristics[DevelopmentalStage]	Characteristics[SamplingTimePoint]	Unit[TimeUnit]	Description	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[SAMPLING TIME POINT]	Unit[TimeUnit]
GSE6174GSM142809	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	3.90	0	hours	smith-00h_SRC_REP2:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 66.60 Background Stdev (float) = 1.54 Background Max (float) = 71.1 Background Min (float) = 63.3 Noise Avg (float) = 3.53 Noise Stdev (float) = 0.13 Noise Max (float) = 3.8 Noise Min (float) = 3.2 RawQ (float) = 2.56 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 418 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: SS002_ATH1_A1-smith-00h.DAT. OrganismPart: leaves; Age time point: 0h timepoint; Ecotype: Col-0; NASC:Growth Stage: 3.90; NASC:StockCode: N3176	P-G6174-4	GSE6174GSM142809 sample	P-G6174-3	GSE6174GSM142809 extract	total_RNA	P-G6174-2	GSE6174GSM142809 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	SS002_ATH1_A1-smith-00h	A-AFFY-2	P-AFFY-6	SS002_ATH1_A1-smith-00h	GSM142809.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6174/E-GEOD-6174.raw.1.zip	E-GEOD-6174-processed-data-1628849134.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6174/E-GEOD-6174.processed.1.zip	0	hours
GSE6174GSM142813	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	3.90	8	hours	smith-08h_SRC_REP2:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 69.19 Background Stdev (float) = 0.79 Background Max (float) = 72.7 Background Min (float) = 67.2 Noise Avg (float) = 3.39 Noise Stdev (float) = 0.09 Noise Max (float) = 3.6 Noise Min (float) = 3.1 RawQ (float) = 2.77 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 425 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: SS002_ATH1_A5-smith-08h.DAT. OrganismPart: leaves; Age time point: 5h timepoint; Ecotype: Col-0; NASC:Growth Stage: 3.90; NASC:StockCode: N3176	P-G6174-4	GSE6174GSM142813 sample	P-G6174-3	GSE6174GSM142813 extract	total_RNA	P-G6174-2	GSE6174GSM142813 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	SS002_ATH1_A5-smith-08h	A-AFFY-2	P-AFFY-6	SS002_ATH1_A5-smith-08h	GSM142813.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6174/E-GEOD-6174.raw.1.zip	E-GEOD-6174-processed-data-1628849134.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6174/E-GEOD-6174.processed.1.zip	8	hours
GSE6174GSM142811	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	3.90	2	hours	smith-02h_SRC_REP2:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 94.31 Background Stdev (float) = 2.33 Background Max (float) = 100.2 Background Min (float) = 89.3 Noise Avg (float) = 4.82 Noise Stdev (float) = 0.17 Noise Max (float) = 5.4 Noise Min (float) = 4.3 RawQ (float) = 3.25 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 334 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: SS002_ATH1_A3-smith-02h.DAT. OrganismPart: leaves; Age time point: 2h timepoint; Ecotype: Col-0; NASC:Growth Stage: 3.90; NASC:StockCode: N3176	P-G6174-4	GSE6174GSM142811 sample	P-G6174-3	GSE6174GSM142811 extract	total_RNA	P-G6174-2	GSE6174GSM142811 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	SS002_ATH1_A3-smith-02h	A-AFFY-2	P-AFFY-6	SS002_ATH1_A3-smith-02h	GSM142811.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6174/E-GEOD-6174.raw.1.zip	E-GEOD-6174-processed-data-1628849134.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6174/E-GEOD-6174.processed.1.zip	2	hours
GSE6174GSM142812	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	3.90	4	hours	smith-04h_SRC_REP2:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 76.08 Background Stdev (float) = 2.97 Background Max (float) = 82.6 Background Min (float) = 70.7 Noise Avg (float) = 3.91 Noise Stdev (float) = 0.23 Noise Max (float) = 4.8 Noise Min (float) = 3.4 RawQ (float) = 2.79 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 392 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944. OrganismPart: leaves; Age time point: 4h timepoint; Ecotype: Col-0; NASC:Growth Stage: 3.90; NASC:StockCode: N3176	P-G6174-4	GSE6174GSM142812 sample	P-G6174-3	GSE6174GSM142812 extract	total_RNA	P-G6174-2	GSE6174GSM142812 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	SS002_ATH1_A4-smith-04h	A-AFFY-2	P-AFFY-6	SS002_ATH1_A4-smith-04h	GSM142812.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6174/E-GEOD-6174.raw.1.zip	E-GEOD-6174-processed-data-1628849134.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6174/E-GEOD-6174.processed.1.zip	4	hours
GSE6174GSM142818	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	3.90	20	hours	smith-20h_SRC_REP2:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 109.13 Background Stdev (float) = 3.65 Background Max (float) = 120.3 Background Min (float) = 103.0 Noise Avg (float) = 9.06 Noise Stdev (float) = 0.68 Noise Max (float) = 11.3 Noise Min (float) = 7.8 RawQ (float) = 3.89 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 533 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: SS002_ATH1_A10-smith-20h.DAT. OrganismPart: leaves; Age time point: 20h timepoint; Ecotype: Col-0; NASC:Growth Stage: 3.90; NASC:StockCode: N3176	P-G6174-4	GSE6174GSM142818 sample	P-G6174-3	GSE6174GSM142818 extract	total_RNA	P-G6174-2	GSE6174GSM142818 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	SS002_ATH1_A10-smith-20h	A-AFFY-2	P-AFFY-6	SS002_ATH1_A10-smith-20h	GSM142818.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6174/E-GEOD-6174.raw.1.zip	E-GEOD-6174-processed-data-1628849134.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6174/E-GEOD-6174.processed.1.zip	20	hours
GSE6174GSM142805	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	3.90	14	hours	smith-14h_SRC:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 67.54 Background Stdev (float) = 1.75 Background Max (float) = 73.0 Background Min (float) = 63.2 Noise Avg (float) = 4.09 Noise Stdev (float) = 0.24 Noise Max (float) = 5.0 Noise Min (float) = 3.6 RawQ (float) = 2.74 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 297 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: SS001_ATH1_A8-Smith-11.DAT. OrganismPart: leaves; Age time point: 14h timepoint; Ecotype: Col-0; NASC:Growth Stage: 3.90; NASC:StockCode: N3176	P-G6174-4	GSE6174GSM142805 sample	P-G6174-3	GSE6174GSM142805 extract	total_RNA	P-G6174-2	GSE6174GSM142805 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	SS001_ATH1_A8-Smith-11	A-AFFY-2	P-AFFY-6	SS001_ATH1_A8-Smith-11	GSM142805.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6174/E-GEOD-6174.raw.1.zip	E-GEOD-6174-processed-data-1628849134.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6174/E-GEOD-6174.processed.1.zip	14	hours
GSE6174GSM142799	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	3.90	1	hours	smith-01h_SRC:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 80.64 Background Stdev (float) = 1.93 Background Max (float) = 87.5 Background Min (float) = 76.7 Noise Avg (float) = 5.38 Noise Stdev (float) = 0.45 Noise Max (float) = 7.3 Noise Min (float) = 4.6 RawQ (float) = 3.35 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 168 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: SS001_ATH1_A2-Smith-22.DAT. OrganismPart: leaves; Age time point: 1h timepoint; Ecotype: Col-0; NASC:Growth Stage: 3.90; NASC:StockCode: N3176	P-G6174-1	GSE6174GSM142799 sample	P-G6174-3	GSE6174GSM142799 extract	total_RNA	P-G6174-2	GSE6174GSM142799 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	SS001_ATH1_A2-Smith-22	A-AFFY-2	P-AFFY-6	SS001_ATH1_A2-Smith-22	GSM142799.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6174/E-GEOD-6174.raw.1.zip	E-GEOD-6174-processed-data-1628849134.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6174/E-GEOD-6174.processed.1.zip	1	hours
GSE6174GSM142803	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	3.90	12	hours	smith-12h_SRC:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 67.92 Background Stdev (float) = 2.11 Background Max (float) = 74.2 Background Min (float) = 64.5 Noise Avg (float) = 3.93 Noise Stdev (float) = 0.28 Noise Max (float) = 4.9 Noise Min (float) = 3.4 RawQ (float) = 2.83 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 386 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: SS001_ATH1_A6-Smith-8-45.DAT. OrganismPart: leaves; Age time point: 12h timepoint; Ecotype: Col-0; NASC:Growth Stage: 3.90; NASC:StockCode: N3176	P-G6174-1	GSE6174GSM142803 sample	P-G6174-3	GSE6174GSM142803 extract	total_RNA	P-G6174-2	GSE6174GSM142803 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	SS001_ATH1_A6-Smith-8-45	A-AFFY-2	P-AFFY-6	SS001_ATH1_A6-Smith-8-45	GSM142803.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6174/E-GEOD-6174.raw.1.zip	E-GEOD-6174-processed-data-1628849134.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6174/E-GEOD-6174.processed.1.zip	12	hours
GSE6174GSM142817	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	3.90	16	hours	smith-16h_SRC_REP2:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 74.36 Background Stdev (float) = 1.80 Background Max (float) = 80.5 Background Min (float) = 69.8 Noise Avg (float) = 4.30 Noise Stdev (float) = 0.22 Noise Max (float) = 5.0 Noise Min (float) = 3.8 RawQ (float) = 2.81 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 777 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: SS002_ATH1_A9-smith-16h.DAT. OrganismPart: leaves; Age time point: 14h timepoint; Ecotype: Col-0; NASC:Growth Stage: 3.90; NASC:StockCode: N3176	P-G6174-4	GSE6174GSM142817 sample	P-G6174-3	GSE6174GSM142817 extract	total_RNA	P-G6174-2	GSE6174GSM142817 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	SS002_ATH1_A9-smith-16h	A-AFFY-2	P-AFFY-6	SS002_ATH1_A9-smith-16h	GSM142817.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6174/E-GEOD-6174.raw.1.zip	E-GEOD-6174-processed-data-1628849134.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6174/E-GEOD-6174.processed.1.zip	16	hours
GSE6174GSM142807	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	3.90	20	hours	smith-20h_SRC:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 73.01 Background Stdev (float) = 1.67 Background Max (float) = 78.7 Background Min (float) = 69.8 Noise Avg (float) = 4.27 Noise Stdev (float) = 0.39 Noise Max (float) = 6.7 Noise Min (float) = 3.6 RawQ (float) = 3.00 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 498 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: SS001_ATH1_A10-Smith-17.DAT. OrganismPart: leaves; Age time point: 20h timepoint; Ecotype: Col-0; NASC:Growth Stage: 3.90; NASC:StockCode: N3176	P-G6174-4	GSE6174GSM142807 sample	P-G6174-3	GSE6174GSM142807 extract	total_RNA	P-G6174-2	GSE6174GSM142807 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	SS001_ATH1_A10-Smith-17	A-AFFY-2	P-AFFY-6	SS001_ATH1_A10-Smith-17	GSM142807.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6174/E-GEOD-6174.raw.1.zip	E-GEOD-6174-processed-data-1628849134.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6174/E-GEOD-6174.processed.1.zip	20	hours
GSE6174GSM142801	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	3.90	4	hours	smith-04h_SRC:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 68.38 Background Stdev (float) = 0.75 Background Max (float) = 70.8 Background Min (float) = 66.3 Noise Avg (float) = 3.86 Noise Stdev (float) = 0.24 Noise Max (float) = 4.4 Noise Min (float) = 3.3 RawQ (float) = 2.68 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 487 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: SS001_ATH1_A4-Smith-1.DAT. OrganismPart: leaves; Age time point: 4h timepoint; Ecotype: Col-0; NASC:Growth Stage: 3.90; NASC:StockCode: N3176	P-G6174-1	GSE6174GSM142801 sample	P-G6174-3	GSE6174GSM142801 extract	total_RNA	P-G6174-2	GSE6174GSM142801 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	SS001_ATH1_A4-Smith-1	A-AFFY-2	P-AFFY-6	SS001_ATH1_A4-Smith-1	GSM142801.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6174/E-GEOD-6174.raw.1.zip	E-GEOD-6174-processed-data-1628849134.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6174/E-GEOD-6174.processed.1.zip	4	hours
GSE6174GSM142802	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	3.90	8	hours	smith-08h_SRC:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 70.16 Background Stdev (float) = 1.67 Background Max (float) = 75.1 Background Min (float) = 66.6 Noise Avg (float) = 4.20 Noise Stdev (float) = 0.23 Noise Max (float) = 5.0 Noise Min (float) = 3.6 RawQ (float) = 2.84 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 541 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: SS001_ATH1_A5-Smith-5.DAT. OrganismPart: leaves; Age time point: 5h timepoint; Ecotype: Col-0; NASC:Growth Stage: 3.90; NASC:StockCode: N3176	P-G6174-1	GSE6174GSM142802 sample	P-G6174-3	GSE6174GSM142802 extract	total_RNA	P-G6174-2	GSE6174GSM142802 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	SS001_ATH1_A5-Smith-5	A-AFFY-2	P-AFFY-6	SS001_ATH1_A5-Smith-5	GSM142802.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6174/E-GEOD-6174.raw.1.zip	E-GEOD-6174-processed-data-1628849134.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6174/E-GEOD-6174.processed.1.zip	8	hours
