Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[organism]	Characteristics[genotype]	Characteristics[organism part]	Comment[tissue collection method]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [organism part]	FactorValue [growth condition]	FactorValue [treatment time]	Unit[time unit]
GSM566567 1	Gene expression data from stem starch sheath incubated for 2 days in MS media in-vitro (2dMS-SS2_Rep2)	Arabidopsis stem starch sheath after 2 days MS incubation	Arabidopsis thaliana	wild type	starch sheath	laser capture microdissection	P-GSE22947-2	P-GSE22947-3	P-GSE22947-4	GSM566567 extract 1	total RNA	P-GSE22947-5	GSM566567 LE 1	biotin	P-GSE22947-6	GSM566567	A-AFFY-2	P-GSE22947-7	P-GSE22947-8	GSM566567.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22947/E-GEOD-22947.raw.1.zip	P-GSE22947-1	GSM566567_sample_table.txt norm	GSM566567_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22947/E-GEOD-22947.processed.1.zip	starch sheath	MS media	2	day
GSM566566 1	Gene expression data from stem starch sheath incubated for 2 days in MS media in-vitro (2dMS-SS1_Rep1)	Arabidopsis stem starch sheath after 2 days MS incubation	Arabidopsis thaliana	wild type	starch sheath	laser capture microdissection	P-GSE22947-2	P-GSE22947-3	P-GSE22947-4	GSM566566 extract 1	total RNA	P-GSE22947-5	GSM566566 LE 1	biotin	P-GSE22947-6	GSM566566	A-AFFY-2	P-GSE22947-7	P-GSE22947-8	GSM566566.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22947/E-GEOD-22947.raw.1.zip	P-GSE22947-1	GSM566566_sample_table.txt norm	GSM566566_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22947/E-GEOD-22947.processed.1.zip	starch sheath	MS media	2	day
GSM566565 1	Gene expression data from stem tissue treated with NAA for 2 days in vitro not containing starch sheath or vascular bundles (2dNAA-C3_Rep3)	Arabidopsis stem tissue except the starch sheath and the vascular bundles after 2 days of NAA in vitro treatment	Arabidopsis thaliana	wild type	stem tissue	laser capture microdissection	P-GSE22947-2	P-GSE22947-3	P-GSE22947-4	GSM566565 extract 1	total RNA	P-GSE22947-5	GSM566565 LE 1	biotin	P-GSE22947-6	GSM566565	A-AFFY-2	P-GSE22947-7	P-GSE22947-8	GSM566565.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22947/E-GEOD-22947.raw.1.zip	P-GSE22947-1	GSM566565_sample_table.txt norm	GSM566565_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22947/E-GEOD-22947.processed.1.zip	stem tissue	naphthaleneacetic acid	2	day
GSM566564 1	Gene expression data from stem tissue treated with NAA for 2 days in vitro not containing starch sheath or vascular bundles (2dNAA-C2_Rep2)	Arabidopsis stem tissue except the starch sheath and the vascular bundles after 2 days of NAA in vitro treatment	Arabidopsis thaliana	wild type	stem tissue	laser capture microdissection	P-GSE22947-2	P-GSE22947-3	P-GSE22947-4	GSM566564 extract 1	total RNA	P-GSE22947-5	GSM566564 LE 1	biotin	P-GSE22947-6	GSM566564	A-AFFY-2	P-GSE22947-7	P-GSE22947-8	GSM566564.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22947/E-GEOD-22947.raw.1.zip	P-GSE22947-1	GSM566564_sample_table.txt norm	GSM566564_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22947/E-GEOD-22947.processed.1.zip	stem tissue	naphthaleneacetic acid	2	day
GSM566563 1	Gene expression data from stem tissue treated with NAA for 2 days in vitro not containing starch sheath or vascular bundles (2dNAA-C1_Rep1)	Arabidopsis stem tissue except the starch sheath and the vascular bundles after 2 days of NAA in vitro treatment	Arabidopsis thaliana	wild type	stem tissue	laser capture microdissection	P-GSE22947-2	P-GSE22947-3	P-GSE22947-4	GSM566563 extract 1	total RNA	P-GSE22947-5	GSM566563 LE 1	biotin	P-GSE22947-6	GSM566563	A-AFFY-2	P-GSE22947-7	P-GSE22947-8	GSM566563.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22947/E-GEOD-22947.raw.1.zip	P-GSE22947-1	GSM566563_sample_table.txt norm	GSM566563_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22947/E-GEOD-22947.processed.1.zip	stem tissue	naphthaleneacetic acid	2	day
GSM566562 1	Gene expression data from stem starch sheath treated for 2 days with NAA in-vitro (2dNAA-SS3_Rep3)	Arabidopsis stem starch sheath after 2 days NAA in vitro treatment	Arabidopsis thaliana	wild type	starch sheath	laser capture microdissection	P-GSE22947-2	P-GSE22947-3	P-GSE22947-4	GSM566562 extract 1	total RNA	P-GSE22947-5	GSM566562 LE 1	biotin	P-GSE22947-6	GSM566562	A-AFFY-2	P-GSE22947-7	P-GSE22947-8	GSM566562.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22947/E-GEOD-22947.raw.1.zip	P-GSE22947-1	GSM566562_sample_table.txt norm	GSM566562_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22947/E-GEOD-22947.processed.1.zip	starch sheath	naphthaleneacetic acid	2	day
GSM566561 1	Gene expression data from stem starch sheath treated for 2 days with NAA in-vitro (2dNAA-SS2_Rep2)	Arabidopsis stem starch sheath after 2 days NAA in vitro treatment	Arabidopsis thaliana	wild type	starch sheath	laser capture microdissection	P-GSE22947-2	P-GSE22947-3	P-GSE22947-4	GSM566561 extract 1	total RNA	P-GSE22947-5	GSM566561 LE 1	biotin	P-GSE22947-6	GSM566561	A-AFFY-2	P-GSE22947-7	P-GSE22947-8	GSM566561.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22947/E-GEOD-22947.raw.1.zip	P-GSE22947-1	GSM566561_sample_table.txt norm	GSM566561_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22947/E-GEOD-22947.processed.1.zip	starch sheath	naphthaleneacetic acid	2	day
GSM566560 1	Gene expression data from stem starch sheath treated for 2 days with NAA in-vitro (2dNAA-SS1_Rep1)	Arabidopsis stem starch sheath after 2 days NAA in vitro treatment	Arabidopsis thaliana	wild type	starch sheath	laser capture microdissection	P-GSE22947-2	P-GSE22947-3	P-GSE22947-4	GSM566560 extract 1	total RNA	P-GSE22947-5	GSM566560 LE 1	biotin	P-GSE22947-6	GSM566560	A-AFFY-2	P-GSE22947-7	P-GSE22947-8	GSM566560.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22947/E-GEOD-22947.raw.1.zip	P-GSE22947-1	GSM566560_sample_table.txt norm	GSM566560_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22947/E-GEOD-22947.processed.1.zip	starch sheath	naphthaleneacetic acid	2	day
GSM566559 1	Gene expression data from stem tissue not containing starch sheath or vascular bundles (0dC3_Rep3)	Arabidopsis stem tissue except the starch sheath and the vascular bundles	Arabidopsis thaliana	wild type	stem tissue	laser capture microdissection	P-GSE22947-2	P-GSE22947-3	P-GSE22947-4	GSM566559 extract 1	total RNA	P-GSE22947-5	GSM566559 LE 1	biotin	P-GSE22947-6	GSM566559	A-AFFY-2	P-GSE22947-7	P-GSE22947-8	GSM566559.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22947/E-GEOD-22947.raw.1.zip	P-GSE22947-1	GSM566559_sample_table.txt norm	GSM566559_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22947/E-GEOD-22947.processed.1.zip	stem tissue	control	0	day
GSM566558 1	Gene expression data from stem tissue not containing starch sheath or vascular bundles (0dC2_Rep2)	Arabidopsis stem tissue except the starch sheath and the vascular bundles	Arabidopsis thaliana	wild type	stem tissue	laser capture microdissection	P-GSE22947-2	P-GSE22947-3	P-GSE22947-4	GSM566558 extract 1	total RNA	P-GSE22947-5	GSM566558 LE 1	biotin	P-GSE22947-6	GSM566558	A-AFFY-2	P-GSE22947-7	P-GSE22947-8	GSM566558.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22947/E-GEOD-22947.raw.1.zip	P-GSE22947-1	GSM566558_sample_table.txt norm	GSM566558_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22947/E-GEOD-22947.processed.1.zip	stem tissue	control	0	day
GSM566557 1	Gene expression data from stem tissue not containing starch sheath or vascular bundles (0dC1_Rep1)	Arabidopsis stem tissue except the starch sheath and the vascular bundles	Arabidopsis thaliana	wild type	stem tissue	laser capture microdissection	P-GSE22947-2	P-GSE22947-3	P-GSE22947-4	GSM566557 extract 1	total RNA	P-GSE22947-5	GSM566557 LE 1	biotin	P-GSE22947-6	GSM566557	A-AFFY-2	P-GSE22947-7	P-GSE22947-8	GSM566557.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22947/E-GEOD-22947.raw.1.zip	P-GSE22947-1	GSM566557_sample_table.txt norm	GSM566557_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22947/E-GEOD-22947.processed.1.zip	stem tissue	control	0	day
GSM566556 1	Gene expression data from stem starch sheath (0dSS3_Rep3)	Arabidopsis stem starch sheath	Arabidopsis thaliana	wild type	starch sheath	laser capture microdissection	P-GSE22947-2	P-GSE22947-3	P-GSE22947-4	GSM566556 extract 1	total RNA	P-GSE22947-5	GSM566556 LE 1	biotin	P-GSE22947-6	GSM566556	A-AFFY-2	P-GSE22947-7	P-GSE22947-8	GSM566556.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22947/E-GEOD-22947.raw.1.zip	P-GSE22947-1	GSM566556_sample_table.txt norm	GSM566556_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22947/E-GEOD-22947.processed.1.zip	starch sheath	control	0	day
GSM566555 1	Gene expression data from stem starch sheath (0dSS2_Rep2)	Arabidopsis stem starch sheath	Arabidopsis thaliana	wild type	starch sheath	laser capture microdissection	P-GSE22947-2	P-GSE22947-3	P-GSE22947-4	GSM566555 extract 1	total RNA	P-GSE22947-5	GSM566555 LE 1	biotin	P-GSE22947-6	GSM566555	A-AFFY-2	P-GSE22947-7	P-GSE22947-8	GSM566555.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22947/E-GEOD-22947.raw.1.zip	P-GSE22947-1	GSM566555_sample_table.txt norm	GSM566555_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22947/E-GEOD-22947.processed.1.zip	starch sheath	control	0	day
GSM566554 1	Gene expression data from stem starch sheath (0dSS1_Rep1)	Arabidopsis stem starch sheath	Arabidopsis thaliana	wild type	starch sheath	laser capture microdissection	P-GSE22947-2	P-GSE22947-3	P-GSE22947-4	GSM566554 extract 1	total RNA	P-GSE22947-5	GSM566554 LE 1	biotin	P-GSE22947-6	GSM566554	A-AFFY-2	P-GSE22947-7	P-GSE22947-8	GSM566554.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22947/E-GEOD-22947.raw.1.zip	P-GSE22947-1	GSM566554_sample_table.txt norm	GSM566554_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22947/E-GEOD-22947.processed.1.zip	starch sheath	control	0	day
