Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [age]	Unit [time unit]	Characteristics [developmental stage]	Characteristics [organism part]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [ecotype]	Characteristics [genotype]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue [compound]	FactorValue [dose]	Unit [concentration unit]
GSM1009051 1	gene expression data from anac017-1 arabidopsis 14-day-old seedlings treated with water control for 3h	leaf tissue water treated 3h	anac017-1_mutant_14-day-seedling-leaf_water_treated_3h_rep2	14	day	seedling	leaf	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	anac017-1	P-GSE41136-2	ArrayExpress	P-GSE41136-3	ArrayExpress	P-GSE41136-4	ArrayExpress	GSM1009051 extract 1	total RNA	P-GSE41136-5	ArrayExpress	GSM1009051 LE 1	biotin	P-GSE41136-6	ArrayExpress	GSM1009051	A-AFFY-2	ArrayExpress	array assay	P-GSE41136-7	ArrayExpress	P-GSE41136-8	ArrayExpress	GSM1009051_TDNA1_water_2_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.raw.1.zip	P-GSE41136-1	ArrayExpress	GSM1009051_sample_table.txt norm	GSM1009051_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.processed.1.zip	anac017-1	water	  	        
GSM1009050 1	gene expression data from anac017-1 arabidopsis 14-day-old seedlings treated with water control for 3h	leaf tissue water treated 3h	anac017-1_mutant_14-day-seedling-leaf_water_treated_3h_rep1	14	day	seedling	leaf	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	anac017-1	P-GSE41136-2	ArrayExpress	P-GSE41136-3	ArrayExpress	P-GSE41136-4	ArrayExpress	GSM1009050 extract 1	total RNA	P-GSE41136-5	ArrayExpress	GSM1009050 LE 1	biotin	P-GSE41136-6	ArrayExpress	GSM1009050	A-AFFY-2	ArrayExpress	array assay	P-GSE41136-7	ArrayExpress	P-GSE41136-8	ArrayExpress	GSM1009050_TDNA1_water_1_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.raw.1.zip	P-GSE41136-1	ArrayExpress	GSM1009050_sample_table.txt norm	GSM1009050_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.processed.1.zip	anac017-1	water	  	        
GSM1009049 1	gene expression data from anac017-1 arabidopsis 14-day-old seedlings treated with 20 mM H2O2 for 3h	leaf tissue H2O2 treated 3h	anac017-1_mutant_14-day-seedling-leaf_H2O2_treated_3h_rep3	14	day	seedling	leaf	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	anac017-1	P-GSE41136-2	ArrayExpress	P-GSE41136-3	ArrayExpress	P-GSE41136-4	ArrayExpress	GSM1009049 extract 1	total RNA	P-GSE41136-5	ArrayExpress	GSM1009049 LE 1	biotin	P-GSE41136-6	ArrayExpress	GSM1009049	A-AFFY-2	ArrayExpress	array assay	P-GSE41136-7	ArrayExpress	P-GSE41136-8	ArrayExpress	GSM1009049_TDNA1_H2O2_3_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.raw.1.zip	P-GSE41136-1	ArrayExpress	GSM1009049_sample_table.txt norm	GSM1009049_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.processed.1.zip	anac017-1	hydrogen peroxide	20	millimolar
GSM1009048 1	gene expression data from anac017-1 arabidopsis 14-day-old seedlings treated with 20 mM H2O2 for 3h	leaf tissue H2O2 treated 3h	anac017-1_mutant_14-day-seedling-leaf_H2O2_treated_3h_rep2	14	day	seedling	leaf	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	anac017-1	P-GSE41136-2	ArrayExpress	P-GSE41136-3	ArrayExpress	P-GSE41136-4	ArrayExpress	GSM1009048 extract 1	total RNA	P-GSE41136-5	ArrayExpress	GSM1009048 LE 1	biotin	P-GSE41136-6	ArrayExpress	GSM1009048	A-AFFY-2	ArrayExpress	array assay	P-GSE41136-7	ArrayExpress	P-GSE41136-8	ArrayExpress	GSM1009048_TDNA1_H2O2_2_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.raw.1.zip	P-GSE41136-1	ArrayExpress	GSM1009048_sample_table.txt norm	GSM1009048_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.processed.1.zip	anac017-1	hydrogen peroxide	20	millimolar
GSM1009047 1	gene expression data from anac017-1 arabidopsis 14-day-old seedlings treated with 20 mM H2O2 for 3h	leaf tissue H2O2 treated 3h	anac017-1_mutant_14-day-seedling-leaf_H2O2_treated_3h_rep1	14	day	seedling	leaf	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	anac017-1	P-GSE41136-2	ArrayExpress	P-GSE41136-3	ArrayExpress	P-GSE41136-4	ArrayExpress	GSM1009047 extract 1	total RNA	P-GSE41136-5	ArrayExpress	GSM1009047 LE 1	biotin	P-GSE41136-6	ArrayExpress	GSM1009047	A-AFFY-2	ArrayExpress	array assay	P-GSE41136-7	ArrayExpress	P-GSE41136-8	ArrayExpress	GSM1009047_TDNA1_H2O2_1_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.raw.1.zip	P-GSE41136-1	ArrayExpress	GSM1009047_sample_table.txt norm	GSM1009047_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.processed.1.zip	anac017-1	hydrogen peroxide	20	millimolar
GSM1009046 1	gene expression data from anac017-1 arabidopsis 14-day-old seedlings treated with 50 uM Antimycin A for 3h	leaf tissue AntimycinA treated 3h	anac017-1_mutant_14-day-seedling-leaf_AntimycinA_treated_3h_rep3	14	day	seedling	leaf	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	anac017-1	P-GSE41136-2	ArrayExpress	P-GSE41136-3	ArrayExpress	P-GSE41136-4	ArrayExpress	GSM1009046 extract 1	total RNA	P-GSE41136-5	ArrayExpress	GSM1009046 LE 1	biotin	P-GSE41136-6	ArrayExpress	GSM1009046	A-AFFY-2	ArrayExpress	array assay	P-GSE41136-7	ArrayExpress	P-GSE41136-8	ArrayExpress	GSM1009046_TDNA1_AA_3_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.raw.1.zip	P-GSE41136-1	ArrayExpress	GSM1009046_sample_table.txt norm	GSM1009046_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.processed.1.zip	anac017-1	antimycin A	50	micromolar
GSM1009045 1	gene expression data from anac017-1 arabidopsis 14-day-old seedlings treated with 50 uM Antimycin A for 3h	leaf tissue AntimycinA treated 3h	anac017-1_mutant_14-day-seedling-leaf_AntimycinA_treated_3h_rep2	14	day	seedling	leaf	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	anac017-1	P-GSE41136-2	ArrayExpress	P-GSE41136-3	ArrayExpress	P-GSE41136-4	ArrayExpress	GSM1009045 extract 1	total RNA	P-GSE41136-5	ArrayExpress	GSM1009045 LE 1	biotin	P-GSE41136-6	ArrayExpress	GSM1009045	A-AFFY-2	ArrayExpress	array assay	P-GSE41136-7	ArrayExpress	P-GSE41136-8	ArrayExpress	GSM1009045_TDNA1_AA_2_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.raw.1.zip	P-GSE41136-1	ArrayExpress	GSM1009045_sample_table.txt norm	GSM1009045_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.processed.1.zip	anac017-1	antimycin A	50	micromolar
GSM1009044 1	gene expression data from anac017-1 arabidopsis 14-day-old seedlings treated with 50 uM Antimycin A for 3h	leaf tissue AntimycinA treated 3h	anac017-1_mutant_14-day-seedling-leaf_AntimycinA_treated_3h_rep1	14	day	seedling	leaf	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	anac017-1	P-GSE41136-2	ArrayExpress	P-GSE41136-3	ArrayExpress	P-GSE41136-4	ArrayExpress	GSM1009044 extract 1	total RNA	P-GSE41136-5	ArrayExpress	GSM1009044 LE 1	biotin	P-GSE41136-6	ArrayExpress	GSM1009044	A-AFFY-2	ArrayExpress	array assay	P-GSE41136-7	ArrayExpress	P-GSE41136-8	ArrayExpress	GSM1009044_TDNA1_AA_1_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.raw.1.zip	P-GSE41136-1	ArrayExpress	GSM1009044_sample_table.txt norm	GSM1009044_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.processed.1.zip	anac017-1	antimycin A	50	micromolar
GSM1009043 1	gene expression data from rao2 arabidopsis 14-day-old seedlings treated with water control for 3h	leaf tissue water treated 3h	rao2_EMS_mutant_14-day-seedling-leaf_water_treated_3h_rep3	14	day	seedling	leaf	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	rao2_EMS_mutant	P-GSE41136-2	ArrayExpress	P-GSE41136-3	ArrayExpress	P-GSE41136-4	ArrayExpress	GSM1009043 extract 1	total RNA	P-GSE41136-5	ArrayExpress	GSM1009043 LE 1	biotin	P-GSE41136-6	ArrayExpress	GSM1009043	A-AFFY-2	ArrayExpress	array assay	P-GSE41136-7	ArrayExpress	P-GSE41136-8	ArrayExpress	GSM1009043_rao2-1_water_3_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.raw.1.zip	P-GSE41136-1	ArrayExpress	GSM1009043_sample_table.txt norm	GSM1009043_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.processed.1.zip	rao2_EMS_mutant	water	  	        
GSM1009042 1	gene expression data from rao2 arabidopsis 14-day-old seedlings treated with water control for 3h	leaf tissue water treated 3h	rao2_EMS_mutant_14-day-seedling-leaf_water_treated_3h_rep2	14	day	seedling	leaf	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	rao2_EMS_mutant	P-GSE41136-2	ArrayExpress	P-GSE41136-3	ArrayExpress	P-GSE41136-4	ArrayExpress	GSM1009042 extract 1	total RNA	P-GSE41136-5	ArrayExpress	GSM1009042 LE 1	biotin	P-GSE41136-6	ArrayExpress	GSM1009042	A-AFFY-2	ArrayExpress	array assay	P-GSE41136-7	ArrayExpress	P-GSE41136-8	ArrayExpress	GSM1009042_rao2-1_water_2_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.raw.1.zip	P-GSE41136-1	ArrayExpress	GSM1009042_sample_table.txt norm	GSM1009042_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.processed.1.zip	rao2_EMS_mutant	water	  	        
GSM1009041 1	gene expression data from rao2 arabidopsis 14-day-old seedlings treated with water control for 3h	leaf tissue water treated 3h	rao2_EMS_mutant_14-day-seedling-leaf_water_treated_3h_rep1	14	day	seedling	leaf	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	rao2_EMS_mutant	P-GSE41136-2	ArrayExpress	P-GSE41136-3	ArrayExpress	P-GSE41136-4	ArrayExpress	GSM1009041 extract 1	total RNA	P-GSE41136-5	ArrayExpress	GSM1009041 LE 1	biotin	P-GSE41136-6	ArrayExpress	GSM1009041	A-AFFY-2	ArrayExpress	array assay	P-GSE41136-7	ArrayExpress	P-GSE41136-8	ArrayExpress	GSM1009041_rao2-1_water_1_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.raw.1.zip	P-GSE41136-1	ArrayExpress	GSM1009041_sample_table.txt norm	GSM1009041_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.processed.1.zip	rao2_EMS_mutant	water	  	        
GSM1009040 1	gene expression data from rao2 arabidopsis 14-day-old seedlings treated with 20 mM H2O2 for 3h	leaf tissue H2O2 treated 3h	rao2_EMS_mutant_14-day-seedling-leaf_H2O2_treated_3h_rep3	14	day	seedling	leaf	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	rao2_EMS_mutant	P-GSE41136-2	ArrayExpress	P-GSE41136-3	ArrayExpress	P-GSE41136-4	ArrayExpress	GSM1009040 extract 1	total RNA	P-GSE41136-5	ArrayExpress	GSM1009040 LE 1	biotin	P-GSE41136-6	ArrayExpress	GSM1009040	A-AFFY-2	ArrayExpress	array assay	P-GSE41136-7	ArrayExpress	P-GSE41136-8	ArrayExpress	GSM1009040_rao2-1_H2O2_3_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.raw.1.zip	P-GSE41136-1	ArrayExpress	GSM1009040_sample_table.txt norm	GSM1009040_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.processed.1.zip	rao2_EMS_mutant	hydrogen peroxide	20	millimolar
