Source Name	Characteristics [age]	Unit [time unit]	Characteristics [initial time point]	Characteristics [genotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Term Source REF	Term Accession Number	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Factor Value [growth condition]	Factor Value [time]	Unit [time unit]	Factor Value [genotype]
JHS-HacL2	3.5	week	planting	tnr4 mutant	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	P-MTAB-17197	JHS-HacL2	polyA_RNA	P-AFFY-2	JHS-HacL2	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	JHS-HacL2	A-AFFY-2	P-AFFY-6	JHS-HacL2.CEL	JHS-HacL2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-392/E-MTAB-392.raw.1.zip	low light	0	hour	tnr4 mutant
JHS-HacL1	3.5	week	planting	tnr4 mutant	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	P-MTAB-17197	JHS-HacL1	polyA_RNA	P-AFFY-2	JHS-HacL1	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	JHS-HacL1	A-AFFY-2	P-AFFY-6	JHS-HacL1.CEL	JHS-HacL1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-392/E-MTAB-392.raw.1.zip	low light	0	hour	tnr4 mutant
JHS-Hac30m1	3.5	week	planting	tnr4 mutant	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	P-MTAB-17197	JHS-Hac30m1	polyA_RNA	P-AFFY-2	JHS-Hac30m1	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	JHS-Hac30m1	A-AFFY-2	P-AFFY-6	JHS-Hac30m1.CEL	JHS-Hac30m1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-392/E-MTAB-392.raw.1.zip	excess light	0.5	hour	tnr4 mutant
JHS-Hac30m3	3.5	week	planting	tnr4 mutant	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	P-MTAB-17197	JHS-Hac30m3	polyA_RNA	P-AFFY-2	JHS-Hac30m3	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	JHS-Hac30m3	A-AFFY-2	P-AFFY-6	JHS-Hac30m3.CEL	JHS-Hac30m3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-392/E-MTAB-392.raw.1.zip	excess light	0.5	hour	tnr4 mutant
JHS-Hac30m2	3.5	week	planting	tnr4 mutant	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	P-MTAB-17197	JHS-Hac30m2	polyA_RNA	P-AFFY-2	JHS-Hac30m2	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	JHS-Hac30m2	A-AFFY-2	P-AFFY-6	JHS-Hac30m2.CEL	JHS-Hac30m2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-392/E-MTAB-392.raw.1.zip	excess light	0.5	hour	tnr4 mutant
JHS-Hac2h3	3.5	week	planting	tnr4 mutant	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	P-MTAB-17197	JHS-Hac2h3	polyA_RNA	P-AFFY-2	JHS-Hac2h3	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	JHS-Hac2h3	A-AFFY-2	P-AFFY-6	JHS-Hac2h3.CEL	JHS-Hac2h3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-392/E-MTAB-392.raw.1.zip	excess light	2	hour	tnr4 mutant
JHS-Hac2h2	3.5	week	planting	tnr4 mutant	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	P-MTAB-17197	JHS-Hac2h2	polyA_RNA	P-AFFY-2	JHS-Hac2h2	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	JHS-Hac2h2	A-AFFY-2	P-AFFY-6	JHS-Hac2h2.CEL	JHS-Hac2h2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-392/E-MTAB-392.raw.1.zip	excess light	2	hour	tnr4 mutant
JHS-Hac2h1	3.5	week	planting	tnr4 mutant	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	P-MTAB-17197	JHS-Hac2h1	polyA_RNA	P-AFFY-2	JHS-Hac2h1	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	JHS-Hac2h1	A-AFFY-2	P-AFFY-6	JHS-Hac2h1.CEL	JHS-Hac2h1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-392/E-MTAB-392.raw.1.zip	excess light	2	hour	tnr4 mutant
JHS-ColL2	3.5	week	planting	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	P-MTAB-17197	JHS-ColL2	polyA_RNA	P-AFFY-2	JHS-ColL2	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	JHS-ColL2	A-AFFY-2	P-AFFY-6	JHS-ColL2.CEL	JHS-ColL2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-392/E-MTAB-392.raw.1.zip	low light	0	hour	wild type
JHS-ColL1	3.5	week	planting	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	P-MTAB-17197	JHS-ColL1	polyA_RNA	P-AFFY-2	JHS-ColL1	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	JHS-ColL1	A-AFFY-2	P-AFFY-6	JHS-ColL1.CEL	JHS-ColL1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-392/E-MTAB-392.raw.1.zip	low light	0	hour	wild type
JHS-ColL3	3.5	week	planting	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	P-MTAB-17197	JHS-ColL3	polyA_RNA	P-AFFY-2	JHS-ColL3	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	JHS-ColL3	A-AFFY-2	P-AFFY-6	JHS-ColL3.CEL	JHS-ColL3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-392/E-MTAB-392.raw.1.zip	low light	0	hour	wild type
JHS-Col30m3	3.5	week	planting	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	P-MTAB-17197	JHS-Col30m3	polyA_RNA	P-AFFY-2	JHS-Col30m3	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	JHS-Col30m3	A-AFFY-2	P-AFFY-6	JHS-Col30m3.CEL	JHS-Col30m3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-392/E-MTAB-392.raw.1.zip	excess light	0.5	hour	wild type
JHS-Col30m2	3.5	week	planting	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	P-MTAB-17197	JHS-Col30m2	polyA_RNA	P-AFFY-2	JHS-Col30m2	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	JHS-Col30m2	A-AFFY-2	P-AFFY-6	JHS-Col30m2.CEL	JHS-Col30m2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-392/E-MTAB-392.raw.1.zip	excess light	0.5	hour	wild type
JHS-Col30m1	3.5	week	planting	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	P-MTAB-17197	JHS-Col30m1	polyA_RNA	P-AFFY-2	JHS-Col30m1	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	JHS-Col30m1	A-AFFY-2	P-AFFY-6	JHS-Col30m1.CEL	JHS-Col30m1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-392/E-MTAB-392.raw.1.zip	excess light	0.5	hour	wild type
JHS-Col2h3	3.5	week	planting	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	P-MTAB-17197	JHS-Col2h3	polyA_RNA	P-AFFY-2	JHS-Col2h3	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	JHS-Col2h3	A-AFFY-2	P-AFFY-6	JHS-Col2h3.CEL	JHS-Col2h3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-392/E-MTAB-392.raw.1.zip	excess light	2	hour	wild type
JHS-Col2h1	3.5	week	planting	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	P-MTAB-17197	JHS-Col2h1	polyA_RNA	P-AFFY-2	JHS-Col2h1	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	JHS-Col2h1	A-AFFY-2	P-AFFY-6	JHS-Col2h1.CEL	JHS-Col2h1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-392/E-MTAB-392.raw.1.zip	excess light	2	hour	wild type
JHS-Col2h2	3.5	week	planting	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	P-MTAB-17197	JHS-Col2h2	polyA_RNA	P-AFFY-2	JHS-Col2h2	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	JHS-Col2h2	A-AFFY-2	P-AFFY-6	JHS-Col2h2.CEL	JHS-Col2h2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-392/E-MTAB-392.raw.1.zip	excess light	2	hour	wild type
