Source Name	Characteristics [Age]	Characteristics [TimeUnit]	Characteristics [DevelopmentalStage]	Term Source REF	Term Accession Number	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [OrganismPart]	Term Source REF	Term Accession Number	Characteristics [Ecotype]	Characteristics [BioSourceType]	Protocol REF	Protocol REF	Parameter Value [media]	Parameter Value [max temperature]	Parameter Value [min temperature]	Parameter Value [stop time]	Parameter Value [start time]	Sample Name	Protocol REF	Protocol REF	Parameter Value [Extracted product]	Parameter Value [Amplification]	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Factor Value [time]	Unit [TimeUnit]	Factor Value [strain]	Factor Value [temperature]	Unit [TemperatureUnit]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
CHIP_269_A	44	days	adult	EFO	EFO_0001272	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	shoot apex	EFO	EFO_0001947	Columbia-0	frozen_sample	P-MEXP-24904	P-MEXP-24903	Soil	25	16	44	35	CHIP_269_A	P-MEXP-24905	P-MEXP-24906	total RNA	none	E_CHIP_269_A	total_RNA	P-AFFY-2	L_CHIP_269_A	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_CHIP_269_A	A-AFFY-2	P-AFFY-6	9	d	Columbia-0	25	degree_C	H_CHIP_269_A	CHIP_269_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-728/E-MEXP-728.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-728-processed-data-1343525470.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-728/E-MEXP-728.processed.1.zip
CHIP_263_A	35	days	adult	EFO	EFO_0001272	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	shoot apex	EFO	EFO_0001947	Columbia-0	frozen_sample	P-MEXP-24904	P-MEXP-24903	Soil	25	16	44	35	CHIP_263_A	P-MEXP-24905	P-MEXP-24906	total RNA	none	E_CHIP_263_A	total_RNA	P-AFFY-2	L_CHIP_263_A	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_CHIP_263_A	A-AFFY-2	P-AFFY-6	0	d	Columbia-0	16	degree_C	H_CHIP_263_A	CHIP_263_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-728/E-MEXP-728.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-728-processed-data-1343525470.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-728/E-MEXP-728.processed.1.zip
CHIP_294_A	44	days	adult	EFO	EFO_0001272	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	shoot apex	EFO	EFO_0001947	Landsberg erecta	frozen_sample	P-MEXP-24904	P-MEXP-24903	Soil	25	16	44	35	CHIP_294_A	P-MEXP-24905	P-MEXP-24906	total RNA	none	E_CHIP_294_A	total_RNA	P-AFFY-2	L_CHIP_294_A	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_CHIP_294_A	A-AFFY-2	P-AFFY-6	9	d	Landsberg erecta	25	degree_C	H_CHIP_294_A	CHIP_294_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-728/E-MEXP-728.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-728-processed-data-1343525470.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-728/E-MEXP-728.processed.1.zip
CHIP_292_B	37	days	adult	EFO	EFO_0001272	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	shoot apex	EFO	EFO_0001947	Landsberg erecta	frozen_sample	P-MEXP-24904	P-MEXP-24903	Soil	25	16	44	35	CHIP_292_B	P-MEXP-24905	P-MEXP-24906	total RNA	none	E_CHIP_292_B	total_RNA	P-AFFY-2	L_CHIP_292_B	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_CHIP_292_B	A-AFFY-2	P-AFFY-6	2	d	Landsberg erecta	25	degree_C	H_CHIP_292_B	CHIP_292_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-728/E-MEXP-728.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-728-processed-data-1343525470.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-728/E-MEXP-728.processed.1.zip
CHIP_265_B	40	days	adult	EFO	EFO_0001272	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	shoot apex	EFO	EFO_0001947	Columbia-0	frozen_sample	P-MEXP-24904	P-MEXP-24903	Soil	25	16	44	35	CHIP_265_B	P-MEXP-24905	P-MEXP-24906	total RNA	none	E_CHIP_265_B	total_RNA	P-AFFY-2	L_CHIP_265_B	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_CHIP_265_B	A-AFFY-2	P-AFFY-6	5	d	Columbia-0	16	degree_C	H_CHIP_265_B	CHIP_265_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-728/E-MEXP-728.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-728-processed-data-1343525470.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-728/E-MEXP-728.processed.1.zip
CHIP_268_B	40	days	adult	EFO	EFO_0001272	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	shoot apex	EFO	EFO_0001947	Columbia-0	frozen_sample	P-MEXP-24904	P-MEXP-24903	Soil	25	16	44	35	CHIP_268_B	P-MEXP-24905	P-MEXP-24906	total RNA	none	E_CHIP_268_B	total_RNA	P-AFFY-2	L_CHIP_268_B	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_CHIP_268_B	A-AFFY-2	P-AFFY-6	5	d	Columbia-0	25	degree_C	H_CHIP_268_B	CHIP_268_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-728/E-MEXP-728.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-728-processed-data-1343525470.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-728/E-MEXP-728.processed.1.zip
CHIP_288_B	35	days	adult	EFO	EFO_0001272	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	shoot apex	EFO	EFO_0001947	Landsberg erecta	frozen_sample	P-MEXP-24904	P-MEXP-24903	Soil	25	16	44	35	CHIP_288_B	P-MEXP-24905	P-MEXP-24906	total RNA	none	E_CHIP_288_B	total_RNA	P-AFFY-2	L_CHIP_288_B	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_CHIP_288_B	A-AFFY-2	P-AFFY-6	0	d	Landsberg erecta	16	degree_C	H_CHIP_288_B	CHIP_288_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-728/E-MEXP-728.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-728-processed-data-1343525470.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-728/E-MEXP-728.processed.1.zip
CHIP_265_A	40	days	adult	EFO	EFO_0001272	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	shoot apex	EFO	EFO_0001947	Columbia-0	frozen_sample	P-MEXP-24904	P-MEXP-24903	Soil	25	16	44	35	CHIP_265_A	P-MEXP-24905	P-MEXP-24906	total RNA	none	E_CHIP_265_A	total_RNA	P-AFFY-2	L_CHIP_265_A	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_CHIP_265_A	A-AFFY-2	P-AFFY-6	5	d	Columbia-0	16	degree_C	H_CHIP_265_A	CHIP_265_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-728/E-MEXP-728.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-728-processed-data-1343525470.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-728/E-MEXP-728.processed.1.zip
CHIP_268_A	40	days	adult	EFO	EFO_0001272	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	shoot apex	EFO	EFO_0001947	Columbia-0	frozen_sample	P-MEXP-24904	P-MEXP-24903	Soil	25	16	44	35	CHIP_268_A	P-MEXP-24905	P-MEXP-24906	total RNA	none	E_CHIP_268_A	total_RNA	P-AFFY-2	L_CHIP_268_A	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_CHIP_268_A	A-AFFY-2	P-AFFY-6	5	d	Columbia-0	25	degree_C	H_CHIP_268_A	CHIP_268_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-728/E-MEXP-728.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-728-processed-data-1343525470.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-728/E-MEXP-728.processed.1.zip
CHIP_293_B	40	days	adult	EFO	EFO_0001272	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	shoot apex	EFO	EFO_0001947	Landsberg erecta	frozen_sample	P-MEXP-24904	P-MEXP-24903	Soil	25	16	44	35	CHIP_293_B	P-MEXP-24905	P-MEXP-24906	total RNA	none	E_CHIP_293_B	total_RNA	P-AFFY-2	L_CHIP_293_B	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_CHIP_293_B	A-AFFY-2	P-AFFY-6	5	d	Landsberg erecta	25	degree_C	H_CHIP_293_B	CHIP_293_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-728/E-MEXP-728.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-728-processed-data-1343525470.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-728/E-MEXP-728.processed.1.zip
CHIP_267_B	37	days	adult	EFO	EFO_0001272	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	shoot apex	EFO	EFO_0001947	Columbia-0	frozen_sample	P-MEXP-24904	P-MEXP-24903	Soil	25	16	44	35	CHIP_267_B	P-MEXP-24905	P-MEXP-24906	total RNA	none	E_CHIP_267_B	total_RNA	P-AFFY-2	L_CHIP_267_B	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_CHIP_267_B	A-AFFY-2	P-AFFY-6	2	d	Columbia-0	25	degree_C	H_CHIP_267_B	CHIP_267_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-728/E-MEXP-728.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-728-processed-data-1343525470.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-728/E-MEXP-728.processed.1.zip
CHIP_291_A	44	days	adult	EFO	EFO_0001272	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	shoot apex	EFO	EFO_0001947	Landsberg erecta	frozen_sample	P-MEXP-24904	P-MEXP-24903	Soil	25	16	44	35	CHIP_291_A	P-MEXP-24905	P-MEXP-24906	total RNA	none	E_CHIP_291_A	total_RNA	P-AFFY-2	L_CHIP_291_A	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_CHIP_291_A	A-AFFY-2	P-AFFY-6	9	d	Landsberg erecta	16	degree_C	H_CHIP_291_A	CHIP_291_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-728/E-MEXP-728.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-728-processed-data-1343525470.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-728/E-MEXP-728.processed.1.zip
CHIP_264_A	35	days	adult	EFO	EFO_0001272	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	shoot apex	EFO	EFO_0001947	Columbia-0	frozen_sample	P-MEXP-24904	P-MEXP-24903	Soil	25	16	44	35	CHIP_264_A	P-MEXP-24905	P-MEXP-24906	total RNA	none	E_CHIP_264_A	total_RNA	P-AFFY-2	L_CHIP_264_A	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_CHIP_264_A	A-AFFY-2	P-AFFY-6	2	d	Columbia-0	16	degree_C	H_CHIP_264_A	CHIP_264_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-728/E-MEXP-728.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-728-processed-data-1343525470.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-728/E-MEXP-728.processed.1.zip
CHIP_292_A	37	days	adult	EFO	EFO_0001272	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	shoot apex	EFO	EFO_0001947	Landsberg erecta	frozen_sample	P-MEXP-24904	P-MEXP-24903	Soil	25	16	44	35	CHIP_292_A	P-MEXP-24905	P-MEXP-24906	total RNA	none	E_CHIP_292_A	total_RNA	P-AFFY-2	L_CHIP_292_A	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_CHIP_292_A	A-AFFY-2	P-AFFY-6	2	d	Landsberg erecta	25	degree_C	H_CHIP_292_A	CHIP_292_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-728/E-MEXP-728.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-728-processed-data-1343525470.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-728/E-MEXP-728.processed.1.zip
CHIP_288_A	35	days	adult	EFO	EFO_0001272	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	shoot apex	EFO	EFO_0001947	Landsberg erecta	frozen_sample	P-MEXP-24904	P-MEXP-24903	Soil	25	16	44	35	CHIP_288_A	P-MEXP-24905	P-MEXP-24906	total RNA	none	E_CHIP_288_A	total_RNA	P-AFFY-2	L_CHIP_288_A	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_CHIP_288_A	A-AFFY-2	P-AFFY-6	0	d	Landsberg erecta	16	degree_C	H_CHIP_288_A	CHIP_288_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-728/E-MEXP-728.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-728-processed-data-1343525470.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-728/E-MEXP-728.processed.1.zip
CHIP_267_A	37	days	adult	EFO	EFO_0001272	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	shoot apex	EFO	EFO_0001947	Columbia-0	frozen_sample	P-MEXP-24904	P-MEXP-24903	Soil	25	16	44	35	CHIP_267_A	P-MEXP-24905	P-MEXP-24906	total RNA	none	E_CHIP_267_A	total_RNA	P-AFFY-2	L_CHIP_267_A	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_CHIP_267_A	A-AFFY-2	P-AFFY-6	2	s	Columbia-0	25	degree_C	H_CHIP_267_A	CHIP_267_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-728/E-MEXP-728.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-728-processed-data-1343525470.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-728/E-MEXP-728.processed.1.zip
