Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics[Ecotype]	Characteristics[OrganismPart]	Description	Protocol REF	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[INOCULATION]	FactorValue[DOSE]	Unit[ConcentrationUnit]
GSE5520GSM128658	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-5	leaf	Col-5:  stratification: Stratified 3 days at 4degC growth protocol: Arabidopsis thaliana accession Col-0 plants were grown in soil in growth chambers with a day/night cycle of 12 h/12 h, a light intensity of 100 ÂµE, and a constant temperature of 20Â°C. Four- to 5-week-old plants were used for experiments. Location: Growth chamber Growth  substrate: Commercial soil Watering: flats were watered every 2-3 days. Stock Code: N1644; Tissue: Leaves	P-G5520-4	GSE5520GSM128658 sample	GSE5520GSM128658 extract	total_RNA	GSE5520GSM128658 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Underwood_1-11_Mock-Inoculum-24h_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Underwood_1-11_Mock-Inoculum-24h_Rep2_ATH1	GSM128658.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5520/E-GEOD-5520.raw.1.zip	E-GEOD-5520-processed-data-1628427237.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5520/E-GEOD-5520.processed.1.zip	water	n/a	cfu/ml
GSE5520GSM128657	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-5	leaf	Col-5:  stratification: Stratified 3 days at 4degC growth protocol: Arabidopsis thaliana accession Col-0 plants were grown in soil in growth chambers with a day/night cycle of 12 h/12 h, a light intensity of 100 ÂµE, and a constant temperature of 20Â°C. Four- to 5-week-old plants were used for experiments. Location: Growth chamber Growth  substrate: Commercial soil Watering: flats were watered every 2-3 days. Stock Code: N1644; Tissue: Leaves	P-G5520-4	GSE5520GSM128657 sample	GSE5520GSM128657 extract	total_RNA	GSE5520GSM128657 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Underwood_1-10_Mock-Inoculum-24h_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Underwood_1-10_Mock-Inoculum-24h_Rep1_ATH1	GSM128657.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5520/E-GEOD-5520.raw.1.zip	E-GEOD-5520-processed-data-1628427237.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5520/E-GEOD-5520.processed.1.zip	water	n/a	cfu/ml
GSE5520GSM128660	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-5	leaf	Col-5:  stratification: Stratified 3 days at 4degC growth protocol: Arabidopsis thaliana accession Col-0 plants were grown in soil in growth chambers with a day/night cycle of 12 h/12 h, a light intensity of 100 ÂµE, and a constant temperature of 20Â°C. Four- to 5-week-old plants were used for experiments. Location: Growth chamber Growth  substrate: Commercial soil Watering: flats were watered every 2-3 days. Stock Code: N1644; Tissue: Leaves	P-G5520-5	GSE5520GSM128660 sample	GSE5520GSM128660 extract	total_RNA	GSE5520GSM128660 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Underwood_1-13_Cor-5x10e7-10h_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Underwood_1-13_Cor-5x10e7-10h_Rep1_ATH1	GSM128660.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5520/E-GEOD-5520.raw.1.zip	E-GEOD-5520-processed-data-1628427237.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5520/E-GEOD-5520.processed.1.zip	Pseudomonas syringae pv. tomato DC3118 Coronatine negative	5x10^-7	cfu/ml
GSE5520GSM128661	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-5	leaf	Col-5:  stratification: Stratified 3 days at 4degC growth protocol: Arabidopsis thaliana accession Col-0 plants were grown in soil in growth chambers with a day/night cycle of 12 h/12 h, a light intensity of 100 ÂµE, and a constant temperature of 20Â°C. Four- to 5-week-old plants were used for experiments. Location: Growth chamber Growth  substrate: Commercial soil Watering: flats were watered every 2-3 days. Stock Code: N1644; Tissue: Leaves	P-G5520-5	GSE5520GSM128661 sample	GSE5520GSM128661 extract	total_RNA	GSE5520GSM128661 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Underwood_1-14_Cor-5x10e7-10h_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Underwood_1-14_Cor-5x10e7-10h_Rep2_ATH1	GSM128661.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5520/E-GEOD-5520.raw.1.zip	E-GEOD-5520-processed-data-1628427237.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5520/E-GEOD-5520.processed.1.zip	Pseudomonas syringae pv. tomato DC3118 Coronatine negative	5x10^-7	cfu/ml
GSE5520GSM128662	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-5	leaf	Col-5:  stratification: Stratified 3 days at 4degC growth protocol: Arabidopsis thaliana accession Col-0 plants were grown in soil in growth chambers with a day/night cycle of 12 h/12 h, a light intensity of 100 ÂµE, and a constant temperature of 20Â°C. Four- to 5-week-old plants were used for experiments. Location: Growth chamber Growth  substrate: Commercial soil Watering: flats were watered every 2-3 days. Stock Code: N1644; Tissue: Leaves	P-G5520-5	GSE5520GSM128662 sample	GSE5520GSM128662 extract	total_RNA	GSE5520GSM128662 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Underwood_1-15_Cor-5x10e7-10h_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Underwood_1-15_Cor-5x10e7-10h_Rep3_ATH1	GSM128662.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5520/E-GEOD-5520.raw.1.zip	E-GEOD-5520-processed-data-1628427237.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5520/E-GEOD-5520.processed.1.zip	Pseudomonas syringae pv. tomato DC3118 Coronatine negative	5x10^-7	cfu/ml
GSE5520GSM128663	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-5	leaf	Col-5:  stratification: Stratified 3 days at 4degC growth protocol: Arabidopsis thaliana accession Col-0 plants were grown in soil in growth chambers with a day/night cycle of 12 h/12 h, a light intensity of 100 ÂµE, and a constant temperature of 20Â°C. Four- to 5-week-old plants were used for experiments. Location: Growth chamber Growth  substrate: Commercial soil Watering: flats were watered every 2-3 days. Stock Code: N1644; Tissue: Leaves	P-G5520-6	GSE5520GSM128663 sample	GSE5520GSM128663 extract	total_RNA	GSE5520GSM128663 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Underwood_1-16_Cor-hrpS-5x10e7-10h_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Underwood_1-16_Cor-hrpS-5x10e7-10h_Rep1_ATH1	GSM128663.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5520/E-GEOD-5520.raw.1.zip	E-GEOD-5520-processed-data-1628427237.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5520/E-GEOD-5520.processed.1.zip	Pseudomonas syringae pv. tomato DC3118 COR-hrpS double mutant	5x10^-7	cfu/ml
GSE5520GSM128664	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-5	leaf	Col-5:  stratification: Stratified 3 days at 4degC growth protocol: Arabidopsis thaliana accession Col-0 plants were grown in soil in growth chambers with a day/night cycle of 12 h/12 h, a light intensity of 100 ÂµE, and a constant temperature of 20Â°C. Four- to 5-week-old plants were used for experiments. Location: Growth chamber Growth  substrate: Commercial soil Watering: flats were watered every 2-3 days. Stock Code: N1644; Tissue: Leaves	P-G5520-6	GSE5520GSM128664 sample	GSE5520GSM128664 extract	total_RNA	GSE5520GSM128664 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Underwood_1-18_Cor-hrpS-5x10e7-10h_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Underwood_1-18_Cor-hrpS-5x10e7-10h_Rep3_ATH1	GSM128664.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5520/E-GEOD-5520.raw.1.zip	E-GEOD-5520-processed-data-1628427237.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5520/E-GEOD-5520.processed.1.zip	Pseudomonas syringae pv. tomato DC3118 COR-hrpS double mutant	5x10^-7	cfu/ml
GSE5520GSM128665	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-5	leaf	Col-5:  stratification: Stratified 3 days at 4degC growth protocol: Arabidopsis thaliana accession Col-0 plants were grown in soil in growth chambers with a day/night cycle of 12 h/12 h, a light intensity of 100 ÂµE, and a constant temperature of 20Â°C. Four- to 5-week-old plants were used for experiments. Location: Growth chamber Growth  substrate: Commercial soil Watering: flats were watered every 2-3 days. Stock Code: N1644; Tissue: Leaves	P-G5520-6	GSE5520GSM128665 sample	GSE5520GSM128665 extract	total_RNA	GSE5520GSM128665 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Underwood_1-17_Cor-hrpS-5x10e7-10h_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Underwood_1-17_Cor-hrpS-5x10e7-10h_Rep2_ATH1	GSM128665.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5520/E-GEOD-5520.raw.1.zip	E-GEOD-5520-processed-data-1628427237.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5520/E-GEOD-5520.processed.1.zip	Pseudomonas syringae pv. tomato DC3118 COR-hrpS double mutant	5x10^-7	cfu/ml
GSE5520GSM128666	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-5	leaf	Col-5:  stratification: Stratified 3 days at 4degC growth protocol: Arabidopsis thaliana accession Col-0 plants were grown in soil in growth chambers with a day/night cycle of 12 h/12 h, a light intensity of 100 ÂµE, and a constant temperature of 20Â°C. Four- to 5-week-old plants were used for experiments. Location: Growth chamber Growth  substrate: Commercial soil Watering: flats were watered every 2-3 days. Stock Code: N1644; Tissue: Leaves	P-G5520-7	GSE5520GSM128666 sample	GSE5520GSM128666 extract	total_RNA	GSE5520GSM128666 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Underwood_1-19_Mock-Inoculum-10h_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Underwood_1-19_Mock-Inoculum-10h_Rep1_ATH1	GSM128666.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5520/E-GEOD-5520.raw.1.zip	E-GEOD-5520-processed-data-1628427237.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5520/E-GEOD-5520.processed.1.zip	water	n/a	cfu/ml
GSE5520GSM128668	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-5	leaf	Col-5:  stratification: Stratified 3 days at 4degC growth protocol: Arabidopsis thaliana accession Col-0 plants were grown in soil in growth chambers with a day/night cycle of 12 h/12 h, a light intensity of 100 ÂµE, and a constant temperature of 20Â°C. Four- to 5-week-old plants were used for experiments. Location: Growth chamber Growth  substrate: Commercial soil Watering: flats were watered every 2-3 days. Stock Code: N1644; Tissue: Leaves	P-G5520-7	GSE5520GSM128668 sample	GSE5520GSM128668 extract	total_RNA	GSE5520GSM128668 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Underwood_1-21_Mock-Inoculum-10h_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Underwood_1-21_Mock-Inoculum-10h_Rep3_ATH1	GSM128668.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5520/E-GEOD-5520.raw.1.zip	E-GEOD-5520-processed-data-1628427237.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5520/E-GEOD-5520.processed.1.zip	water	n/a	cfu/ml
GSE5520GSM128667	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-5	leaf	Col-5:  stratification: Stratified 3 days at 4degC growth protocol: Arabidopsis thaliana accession Col-0 plants were grown in soil in growth chambers with a day/night cycle of 12 h/12 h, a light intensity of 100 ÂµE, and a constant temperature of 20Â°C. Four- to 5-week-old plants were used for experiments. Location: Growth chamber Growth  substrate: Commercial soil Watering: flats were watered every 2-3 days. Stock Code: N1644; Tissue: Leaves	P-G5520-7	GSE5520GSM128667 sample	GSE5520GSM128667 extract	total_RNA	GSE5520GSM128667 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Underwood_1-20_Mock-Inoculum-10h_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Underwood_1-20_Mock-Inoculum-10h_Rep2_ATH1	GSM128667.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5520/E-GEOD-5520.raw.1.zip	E-GEOD-5520-processed-data-1628427237.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5520/E-GEOD-5520.processed.1.zip	water	n/a	cfu/ml
