Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[genotype]	Characteristics [age]	Unit[time unit]	Characteristics[organism part]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [organism part]	FactorValue[growth condition]	FactorValue[genotype]
GSM600275 1	Roots of quadruple nasT-DNA insertionmutant in background of ecotype Columbia, grown under Fe supply	nas4x-1, Roots grown under + Fe	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	nas4x-1 mutant	5	week	root	P-GSE24348-2	P-GSE24348-3	P-GSE24348-4	GSM600275 extract 1	total RNA	P-GSE24348-5	GSM600275 LE 1	Biotin	P-GSE24348-6	GSM600275	A-AFFY-2	P-GSE24348-7	P-GSE24348-8	GSM600275.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24348/E-GEOD-24348.raw.1.zip	P-GSE24348-1	GSM600275_sample_table.txt norm	GSM600275_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24348/E-GEOD-24348.processed.1.zip	root	control	nas4x-1 mutant
GSM600274 1	Roots of quadruple nasT-DNA insertionmutant in background of ecotype Columbia, grown under Fe supply	nas4x-1, Roots grown under + Fe	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	nas4x-1 mutant	5	week	root	P-GSE24348-2	P-GSE24348-3	P-GSE24348-4	GSM600274 extract 1	total RNA	P-GSE24348-5	GSM600274 LE 1	Biotin	P-GSE24348-6	GSM600274	A-AFFY-2	P-GSE24348-7	P-GSE24348-8	GSM600274.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24348/E-GEOD-24348.raw.1.zip	P-GSE24348-1	GSM600274_sample_table.txt norm	GSM600274_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24348/E-GEOD-24348.processed.1.zip	root	control	nas4x-1 mutant
GSM600273 1	leaves of wild-type, ecotype Columbia, grown under Fe deficiency	wild-type, leaves grown under - Fe, ecotype Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild type	5	week	rosette leaf	P-GSE24348-2	P-GSE24348-3	P-GSE24348-4	GSM600273 extract 1	total RNA	P-GSE24348-5	GSM600273 LE 1	Biotin	P-GSE24348-6	GSM600273	A-AFFY-2	P-GSE24348-7	P-GSE24348-8	GSM600273.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24348/E-GEOD-24348.raw.1.zip	P-GSE24348-1	GSM600273_sample_table.txt norm	GSM600273_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24348/E-GEOD-24348.processed.1.zip	rosette leaf	iron deprivation	wild type
GSM600272 1	leaves of wild-type, ecotype Columbia, grown under Fe deficiency	wild-type, leaves grown under - Fe, ecotype Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild type	5	week	rosette leaf	P-GSE24348-2	P-GSE24348-3	P-GSE24348-4	GSM600272 extract 1	total RNA	P-GSE24348-5	GSM600272 LE 1	Biotin	P-GSE24348-6	GSM600272	A-AFFY-2	P-GSE24348-7	P-GSE24348-8	GSM600272.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24348/E-GEOD-24348.raw.1.zip	P-GSE24348-1	GSM600272_sample_table.txt norm	GSM600272_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24348/E-GEOD-24348.processed.1.zip	rosette leaf	iron deprivation	wild type
GSM600271 1	leaves of wild-type, ecotype Columbia, grown under Fe deficiency	wild-type, leaves grown under - Fe, ecotype Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild type	5	week	rosette leaf	P-GSE24348-2	P-GSE24348-3	P-GSE24348-4	GSM600271 extract 1	total RNA	P-GSE24348-5	GSM600271 LE 1	Biotin	P-GSE24348-6	GSM600271	A-AFFY-2	P-GSE24348-7	P-GSE24348-8	GSM600271.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24348/E-GEOD-24348.raw.1.zip	P-GSE24348-1	GSM600271_sample_table.txt norm	GSM600271_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24348/E-GEOD-24348.processed.1.zip	rosette leaf	iron deprivation	wild type
GSM600270 1	leaves of wild-type, ecotype Columbia, grown under Fe supply	wild-type, leaves grown under + Fe, ecotype Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild type	5	week	rosette leaf	P-GSE24348-2	P-GSE24348-3	P-GSE24348-4	GSM600270 extract 1	total RNA	P-GSE24348-5	GSM600270 LE 1	Biotin	P-GSE24348-6	GSM600270	A-AFFY-2	P-GSE24348-7	P-GSE24348-8	GSM600270.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24348/E-GEOD-24348.raw.1.zip	P-GSE24348-1	GSM600270_sample_table.txt norm	GSM600270_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24348/E-GEOD-24348.processed.1.zip	rosette leaf	control	wild type
GSM600269 1	leaves of wild-type, ecotype Columbia, grown under Fe supply	wild-type, leaves grown under + Fe, ecotype Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild type	5	week	rosette leaf	P-GSE24348-2	P-GSE24348-3	P-GSE24348-4	GSM600269 extract 1	total RNA	P-GSE24348-5	GSM600269 LE 1	Biotin	P-GSE24348-6	GSM600269	A-AFFY-2	P-GSE24348-7	P-GSE24348-8	GSM600269.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24348/E-GEOD-24348.raw.1.zip	P-GSE24348-1	GSM600269_sample_table.txt norm	GSM600269_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24348/E-GEOD-24348.processed.1.zip	rosette leaf	control	wild type
GSM600268 1	leaves of wild-type, ecotype Columbia, grown under Fe supply	wild-type, leaves grown under + Fe, ecotype Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild type	5	week	rosette leaf	P-GSE24348-2	P-GSE24348-3	P-GSE24348-4	GSM600268 extract 1	total RNA	P-GSE24348-5	GSM600268 LE 1	Biotin	P-GSE24348-6	GSM600268	A-AFFY-2	P-GSE24348-7	P-GSE24348-8	GSM600268.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24348/E-GEOD-24348.raw.1.zip	P-GSE24348-1	GSM600268_sample_table.txt norm	GSM600268_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24348/E-GEOD-24348.processed.1.zip	rosette leaf	control	wild type
GSM600267 1	leaves of quadruple nasT-DNA insertionmutant in background of ecotype Columbia, grown under Fe deficiency	nas4x-1, leaves grown under - Fe	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	nas4x-1 mutant	5	week	rosette leaf	P-GSE24348-2	P-GSE24348-3	P-GSE24348-4	GSM600267 extract 1	total RNA	P-GSE24348-5	GSM600267 LE 1	Biotin	P-GSE24348-6	GSM600267	A-AFFY-2	P-GSE24348-7	P-GSE24348-8	GSM600267.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24348/E-GEOD-24348.raw.1.zip	P-GSE24348-1	GSM600267_sample_table.txt norm	GSM600267_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24348/E-GEOD-24348.processed.1.zip	rosette leaf	iron deprivation	nas4x-1 mutant
GSM600266 1	leaves of quadruple nasT-DNA insertionmutant in background of ecotype Columbia, grown under Fe deficiency	nas4x-1, leaves grown under - Fe	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	nas4x-1 mutant	5	week	rosette leaf	P-GSE24348-2	P-GSE24348-3	P-GSE24348-4	GSM600266 extract 1	total RNA	P-GSE24348-5	GSM600266 LE 1	Biotin	P-GSE24348-6	GSM600266	A-AFFY-2	P-GSE24348-7	P-GSE24348-8	GSM600266.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24348/E-GEOD-24348.raw.1.zip	P-GSE24348-1	GSM600266_sample_table.txt norm	GSM600266_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24348/E-GEOD-24348.processed.1.zip	rosette leaf	iron deprivation	nas4x-1 mutant
GSM600265 1	leaves of quadruple nasT-DNA insertionmutant in background of ecotype Columbia, grown under Fe deficiency	nas4x-1, leaves grown under - Fe	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	nas4x-1 mutant	5	week	rosette leaf	P-GSE24348-2	P-GSE24348-3	P-GSE24348-4	GSM600265 extract 1	total RNA	P-GSE24348-5	GSM600265 LE 1	Biotin	P-GSE24348-6	GSM600265	A-AFFY-2	P-GSE24348-7	P-GSE24348-8	GSM600265.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24348/E-GEOD-24348.raw.1.zip	P-GSE24348-1	GSM600265_sample_table.txt norm	GSM600265_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24348/E-GEOD-24348.processed.1.zip	rosette leaf	iron deprivation	nas4x-1 mutant
GSM600264 1	leaves of quadruple nasT-DNA insertionmutant in background of ecotype Columbia, grown under Fe supply	nas4x-1, leaves grown under + Fe	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	nas4x-1 mutant	5	week	rosette leaf	P-GSE24348-2	P-GSE24348-3	P-GSE24348-4	GSM600264 extract 1	total RNA	P-GSE24348-5	GSM600264 LE 1	Biotin	P-GSE24348-6	GSM600264	A-AFFY-2	P-GSE24348-7	P-GSE24348-8	GSM600264.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24348/E-GEOD-24348.raw.1.zip	P-GSE24348-1	GSM600264_sample_table.txt norm	GSM600264_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24348/E-GEOD-24348.processed.1.zip	rosette leaf	control	nas4x-1 mutant
GSM600263 1	leaves of quadruple nasT-DNA insertionmutant in background of ecotype Columbia, grown under Fe supply	nas4x-1, leaves grown under + Fe	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	nas4x-1 mutant	5	week	rosette leaf	P-GSE24348-2	P-GSE24348-3	P-GSE24348-4	GSM600263 extract 1	total RNA	P-GSE24348-5	GSM600263 LE 1	Biotin	P-GSE24348-6	GSM600263	A-AFFY-2	P-GSE24348-7	P-GSE24348-8	GSM600263.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24348/E-GEOD-24348.raw.1.zip	P-GSE24348-1	GSM600263_sample_table.txt norm	GSM600263_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24348/E-GEOD-24348.processed.1.zip	rosette leaf	control	nas4x-1 mutant
GSM600262 1	leaves of quadruple nasT-DNA insertionmutant in background of ecotype Columbia, grown under Fe supply	nas4x-1, leaves grown under + Fe	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	nas4x-1 mutant	5	week	rosette leaf	P-GSE24348-2	P-GSE24348-3	P-GSE24348-4	GSM600262 extract 1	total RNA	P-GSE24348-5	GSM600262 LE 1	Biotin	P-GSE24348-6	GSM600262	A-AFFY-2	P-GSE24348-7	P-GSE24348-8	GSM600262.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24348/E-GEOD-24348.raw.1.zip	P-GSE24348-1	GSM600262_sample_table.txt norm	GSM600262_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24348/E-GEOD-24348.processed.1.zip	rosette leaf	control	nas4x-1 mutant
