Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [age]	Characteristics [genotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [AGE]	FactorValue [GENOTYPE]
GSM1511314 1	Biological replicate 2 of 3. Controls for abi3-6 examination. ColD12-2.CEL	wild-type (Col-0)	wild-type (Col-0) 12 DAF Seed 2-2	12-DAF	wild-type (Col-0)	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	developing seeds dissected from sliques	P-GSE61686-4	ArrayExpress	P-GSE61686-3	ArrayExpress	P-GSE61686-5	ArrayExpress	GSM1511314 extract 1	total RNA	P-GSE61686-6	ArrayExpress	GSM1511314 LE 1	biotin	P-GSE61686-7	ArrayExpress	GSM1511314	A-AFFY-2	ArrayExpress	array assay	P-GSE61686-9	ArrayExpress	GSM1511314_ColD12-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61686/E-GEOD-61686.raw.1.zip	P-GSE61686-2	ArrayExpress	GSM1511314_sample_table.txt norm	GSM1511314_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61686/E-GEOD-61686.processed.1.zip	12-DAF	wild-type (Col-0)
GSM1511313 1	Biological replicate 1 of 3. Controls for abi3-6 examination. ColD12-1.CEL	wild-type (Col-0)	wild-type (Col-0) 12 DAF Seed 2-1	12-DAF	wild-type (Col-0)	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	developing seeds dissected from sliques	P-GSE61686-4	ArrayExpress	P-GSE61686-3	ArrayExpress	P-GSE61686-5	ArrayExpress	GSM1511313 extract 1	total RNA	P-GSE61686-6	ArrayExpress	GSM1511313 LE 1	biotin	P-GSE61686-7	ArrayExpress	GSM1511313	A-AFFY-2	ArrayExpress	array assay	P-GSE61686-9	ArrayExpress	GSM1511313_ColD12-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61686/E-GEOD-61686.raw.1.zip	P-GSE61686-2	ArrayExpress	GSM1511313_sample_table.txt norm	GSM1511313_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61686/E-GEOD-61686.processed.1.zip	12-DAF	wild-type (Col-0)
GSM1511312 1	Biological replicate 3 of 3. lec2-12-3.CEL	lec2-1_12 DAF Seed	lec2-1  12 DAF Seed 3	12-DAF	lec2-1 mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	developing seeds dissected from sliques	P-GSE61686-4	ArrayExpress	P-GSE61686-3	ArrayExpress	P-GSE61686-5	ArrayExpress	GSM1511312 extract 1	total RNA	P-GSE61686-6	ArrayExpress	GSM1511312 LE 1	biotin	P-GSE61686-7	ArrayExpress	GSM1511312	A-AFFY-2	ArrayExpress	array assay	P-GSE61686-8	ArrayExpress	GSM1511312_lec2-12-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61686/E-GEOD-61686.raw.1.zip	P-GSE61686-1	ArrayExpress	GSM1511312_sample_table.txt norm	GSM1511312_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61686/E-GEOD-61686.processed.1.zip	12-DAF	lec2-1 mutant
GSM1511311 1	Biological replicate 2 of 3. lec2-12-2.CEL	lec2-1_12 DAF Seed	lec2-1  12 DAF Seed 2	12-DAF	lec2-1 mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	developing seeds dissected from sliques	P-GSE61686-4	ArrayExpress	P-GSE61686-3	ArrayExpress	P-GSE61686-5	ArrayExpress	GSM1511311 extract 1	total RNA	P-GSE61686-6	ArrayExpress	GSM1511311 LE 1	biotin	P-GSE61686-7	ArrayExpress	GSM1511311	A-AFFY-2	ArrayExpress	array assay	P-GSE61686-8	ArrayExpress	GSM1511311_lec2-12-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61686/E-GEOD-61686.raw.1.zip	P-GSE61686-1	ArrayExpress	GSM1511311_sample_table.txt norm	GSM1511311_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61686/E-GEOD-61686.processed.1.zip	12-DAF	lec2-1 mutant
GSM1511310 1	Biological replicate 1 of 3. lec2-12-1.CEL	lec2-1_12 DAF Seed	lec2-1  12 DAF Seed 1	12-DAF	lec2-1 mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	developing seeds dissected from sliques	P-GSE61686-4	ArrayExpress	P-GSE61686-3	ArrayExpress	P-GSE61686-5	ArrayExpress	GSM1511310 extract 1	total RNA	P-GSE61686-6	ArrayExpress	GSM1511310 LE 1	biotin	P-GSE61686-7	ArrayExpress	GSM1511310	A-AFFY-2	ArrayExpress	array assay	P-GSE61686-8	ArrayExpress	GSM1511310_lec2-12-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61686/E-GEOD-61686.raw.1.zip	P-GSE61686-1	ArrayExpress	GSM1511310_sample_table.txt norm	GSM1511310_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61686/E-GEOD-61686.processed.1.zip	12-DAF	lec2-1 mutant
GSM1511309 1	Biological replicate 3 of 3. lec1-12-3.CEL	lec1-1_12 DAF Seed	lec1-1  12 DAF Seed 3	12-DAF	lec1-1 mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	developing seeds dissected from sliques	P-GSE61686-4	ArrayExpress	P-GSE61686-3	ArrayExpress	P-GSE61686-5	ArrayExpress	GSM1511309 extract 1	total RNA	P-GSE61686-6	ArrayExpress	GSM1511309 LE 1	biotin	P-GSE61686-7	ArrayExpress	GSM1511309	A-AFFY-2	ArrayExpress	array assay	P-GSE61686-8	ArrayExpress	GSM1511309_lec1-12-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61686/E-GEOD-61686.raw.1.zip	P-GSE61686-1	ArrayExpress	GSM1511309_sample_table.txt norm	GSM1511309_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61686/E-GEOD-61686.processed.1.zip	12-DAF	lec1-1 mutant
GSM1511308 1	Biological replicate 2 of 3. lec1-12-2.CEL	lec1-1_12 DAF Seed	lec1-1  12 DAF Seed 2	12-DAF	lec1-1 mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	developing seeds dissected from sliques	P-GSE61686-4	ArrayExpress	P-GSE61686-3	ArrayExpress	P-GSE61686-5	ArrayExpress	GSM1511308 extract 1	total RNA	P-GSE61686-6	ArrayExpress	GSM1511308 LE 1	biotin	P-GSE61686-7	ArrayExpress	GSM1511308	A-AFFY-2	ArrayExpress	array assay	P-GSE61686-8	ArrayExpress	GSM1511308_lec1-12-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61686/E-GEOD-61686.raw.1.zip	P-GSE61686-1	ArrayExpress	GSM1511308_sample_table.txt norm	GSM1511308_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61686/E-GEOD-61686.processed.1.zip	12-DAF	lec1-1 mutant
GSM1511307 1	Biological replicate 1 of 3. lec1-12-1.CEL	lec1-1_12 DAF Seed	lec1-1  12 DAF Seed 1	12-DAF	lec1-1 mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	developing seeds dissected from sliques	P-GSE61686-4	ArrayExpress	P-GSE61686-3	ArrayExpress	P-GSE61686-5	ArrayExpress	GSM1511307 extract 1	total RNA	P-GSE61686-6	ArrayExpress	GSM1511307 LE 1	biotin	P-GSE61686-7	ArrayExpress	GSM1511307	A-AFFY-2	ArrayExpress	array assay	P-GSE61686-8	ArrayExpress	GSM1511307_lec1-12-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61686/E-GEOD-61686.raw.1.zip	P-GSE61686-1	ArrayExpress	GSM1511307_sample_table.txt norm	GSM1511307_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61686/E-GEOD-61686.processed.1.zip	12-DAF	lec1-1 mutant
GSM1511306 1	Biological replicate 3 of 3. Controls for lec1-1 and lec2-1 examination. WS12-3.CEL	wild-type (WS)_12 DAF Seed	wild-type (WS) 12 DAF Seed 3	12-DAF	wild-type (WS)	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	developing seeds dissected from sliques	P-GSE61686-4	ArrayExpress	P-GSE61686-3	ArrayExpress	P-GSE61686-5	ArrayExpress	GSM1511306 extract 1	total RNA	P-GSE61686-6	ArrayExpress	GSM1511306 LE 1	biotin	P-GSE61686-7	ArrayExpress	GSM1511306	A-AFFY-2	ArrayExpress	array assay	P-GSE61686-8	ArrayExpress	GSM1511306_WS12-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61686/E-GEOD-61686.raw.1.zip	P-GSE61686-1	ArrayExpress	GSM1511306_sample_table.txt norm	GSM1511306_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61686/E-GEOD-61686.processed.1.zip	12-DAF	wild-type (WS)
GSM1511305 1	Biological replicate 2 of 3. Controls for lec1-1 and lec2-1 examination. WS12-2.CEL	wild-type (WS)_12 DAF Seed	wild-type (WS) 12 DAF Seed 2	12-DAF	wild-type (WS)	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	developing seeds dissected from sliques	P-GSE61686-4	ArrayExpress	P-GSE61686-3	ArrayExpress	P-GSE61686-5	ArrayExpress	GSM1511305 extract 1	total RNA	P-GSE61686-6	ArrayExpress	GSM1511305 LE 1	biotin	P-GSE61686-7	ArrayExpress	GSM1511305	A-AFFY-2	ArrayExpress	array assay	P-GSE61686-8	ArrayExpress	GSM1511305_WS12-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61686/E-GEOD-61686.raw.1.zip	P-GSE61686-1	ArrayExpress	GSM1511305_sample_table.txt norm	GSM1511305_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61686/E-GEOD-61686.processed.1.zip	12-DAF	wild-type (WS)
GSM1511304 1	Biological replicate 1 of 3. Controls for lec1-1 and lec2-1 examination. WS12-1.CEL	wild-type (WS)_12 DAF Seed	wild-type (WS) 12 DAF Seed 1	12-DAF	wild-type (WS)	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	developing seeds dissected from sliques	P-GSE61686-4	ArrayExpress	P-GSE61686-3	ArrayExpress	P-GSE61686-5	ArrayExpress	GSM1511304 extract 1	total RNA	P-GSE61686-6	ArrayExpress	GSM1511304 LE 1	biotin	P-GSE61686-7	ArrayExpress	GSM1511304	A-AFFY-2	ArrayExpress	array assay	P-GSE61686-8	ArrayExpress	GSM1511304_WS12-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61686/E-GEOD-61686.raw.1.zip	P-GSE61686-1	ArrayExpress	GSM1511304_sample_table.txt norm	GSM1511304_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61686/E-GEOD-61686.processed.1.zip	12-DAF	wild-type (WS)
GSM1511303 1	Biological replicate 3 of 3. lec2-8-3.CEL	lec2-1_8 DAF Seed	lec2-1  8 DAF Seed 3	8-DAF	lec2-1 mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	developing seeds dissected from sliques	P-GSE61686-4	ArrayExpress	P-GSE61686-3	ArrayExpress	P-GSE61686-5	ArrayExpress	GSM1511303 extract 1	total RNA	P-GSE61686-6	ArrayExpress	GSM1511303 LE 1	biotin	P-GSE61686-7	ArrayExpress	GSM1511303	A-AFFY-2	ArrayExpress	array assay	P-GSE61686-8	ArrayExpress	GSM1511303_lec2-8-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61686/E-GEOD-61686.raw.1.zip	P-GSE61686-1	ArrayExpress	GSM1511303_sample_table.txt norm	GSM1511303_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61686/E-GEOD-61686.processed.1.zip	8-DAF	lec2-1 mutant
GSM1511302 1	Biological replicate 2 of 3. lec2-8-2.CEL	lec2-1_8 DAF Seed	lec2-1  8 DAF Seed 2	8-DAF	lec2-1 mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	developing seeds dissected from sliques	P-GSE61686-4	ArrayExpress	P-GSE61686-3	ArrayExpress	P-GSE61686-5	ArrayExpress	GSM1511302 extract 1	total RNA	P-GSE61686-6	ArrayExpress	GSM1511302 LE 1	biotin	P-GSE61686-7	ArrayExpress	GSM1511302	A-AFFY-2	ArrayExpress	array assay	P-GSE61686-8	ArrayExpress	GSM1511302_lec2-8-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61686/E-GEOD-61686.raw.1.zip	P-GSE61686-1	ArrayExpress	GSM1511302_sample_table.txt norm	GSM1511302_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61686/E-GEOD-61686.processed.1.zip	8-DAF	lec2-1 mutant
GSM1511301 1	Biological replicate 1 of 3. lec2-8-1.CEL	lec2-1_8 DAF Seed	lec2-1  8 DAF Seed 1	8-DAF	lec2-1 mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	developing seeds dissected from sliques	P-GSE61686-4	ArrayExpress	P-GSE61686-3	ArrayExpress	P-GSE61686-5	ArrayExpress	GSM1511301 extract 1	total RNA	P-GSE61686-6	ArrayExpress	GSM1511301 LE 1	biotin	P-GSE61686-7	ArrayExpress	GSM1511301	A-AFFY-2	ArrayExpress	array assay	P-GSE61686-8	ArrayExpress	GSM1511301_lec2-8-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61686/E-GEOD-61686.raw.1.zip	P-GSE61686-1	ArrayExpress	GSM1511301_sample_table.txt norm	GSM1511301_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61686/E-GEOD-61686.processed.1.zip	8-DAF	lec2-1 mutant
GSM1511300 1	Biological replicate 3 of 3. lec1-8-3.CEL	lec1-1_8 DAF Seed	lec1-1  8 DAF Seed 3	8-DAF	lec1-1 mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	developing seeds dissected from sliques	P-GSE61686-4	ArrayExpress	P-GSE61686-3	ArrayExpress	P-GSE61686-5	ArrayExpress	GSM1511300 extract 1	total RNA	P-GSE61686-6	ArrayExpress	GSM1511300 LE 1	biotin	P-GSE61686-7	ArrayExpress	GSM1511300	A-AFFY-2	ArrayExpress	array assay	P-GSE61686-8	ArrayExpress	GSM1511300_lec1-8-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61686/E-GEOD-61686.raw.1.zip	P-GSE61686-1	ArrayExpress	GSM1511300_sample_table.txt norm	GSM1511300_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61686/E-GEOD-61686.processed.1.zip	8-DAF	lec1-1 mutant
