Source Name	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[ecotype]	Characteristics[age]	Unit[time unit]	Characteristics[developmental stage]	Characteristics[organism part]	Characteristics[genotype]	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue [light]
GSM784831 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg ecotype 	4	day	seedling	whole organism	phyABDE quadruple mutant	gene expression data from Rc50-grown phyABDE mutant	Arabidopsis 4-day-old seedling	phyABDE, Rc50, biol rep 1	P-GSE31587-3	P-GSE31587-2	P-GSE31587-4	GSM784831 extract 1	total RNA	P-GSE31587-5	GSM784831 LE 1	biotin	P-GSE31587-6	GSM784831	A-AFFY-2	P-GSE31587-7	P-GSE31587-8	GSM784831_phyABDE-R50-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31587/E-GEOD-31587.raw.1.zip	P-GSE31587-1	GSM784831_sample_table.txt norm	GSM784831_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31587/E-GEOD-31587.processed.1.zip	phyABDE quadruple mutant	red light regimen
GSM784830 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg ecotype 	4	day	seedling	whole organism	phyABDE quadruple mutant	gene expression data from dark-grown phyABDE mutant	Arabidopsis 4-day-old seedling	phyABDE, Dark, biol rep 3	P-GSE31587-3	P-GSE31587-2	P-GSE31587-4	GSM784830 extract 1	total RNA	P-GSE31587-5	GSM784830 LE 1	biotin	P-GSE31587-6	GSM784830	A-AFFY-2	P-GSE31587-7	P-GSE31587-8	GSM784830_phyABDE-D-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31587/E-GEOD-31587.raw.1.zip	P-GSE31587-1	GSM784830_sample_table.txt norm	GSM784830_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31587/E-GEOD-31587.processed.1.zip	phyABDE quadruple mutant	continuous dark (no light) regimen
GSM784829 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg ecotype 	4	day	seedling	whole organism	phyABDE quadruple mutant	gene expression data from dark-grown phyABDE mutant	Arabidopsis 4-day-old seedling	phyABDE, Dark, biol rep 2	P-GSE31587-3	P-GSE31587-2	P-GSE31587-4	GSM784829 extract 1	total RNA	P-GSE31587-5	GSM784829 LE 1	biotin	P-GSE31587-6	GSM784829	A-AFFY-2	P-GSE31587-7	P-GSE31587-8	GSM784829_phyABDE-D-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31587/E-GEOD-31587.raw.1.zip	P-GSE31587-1	GSM784829_sample_table.txt norm	GSM784829_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31587/E-GEOD-31587.processed.1.zip	phyABDE quadruple mutant	continuous dark (no light) regimen
GSM784828 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg ecotype 	4	day	seedling	whole organism	phyABDE quadruple mutant	gene expression data from dark-grown phyABDE mutant	Arabidopsis 4-day-old seedling	phyABDE, Dark, biol rep 1	P-GSE31587-3	P-GSE31587-2	P-GSE31587-4	GSM784828 extract 1	total RNA	P-GSE31587-5	GSM784828 LE 1	biotin	P-GSE31587-6	GSM784828	A-AFFY-2	P-GSE31587-7	P-GSE31587-8	GSM784828_phyABDE-D-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31587/E-GEOD-31587.raw.1.zip	P-GSE31587-1	GSM784828_sample_table.txt norm	GSM784828_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31587/E-GEOD-31587.processed.1.zip	phyABDE quadruple mutant	continuous dark (no light) regimen
GSM784827 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg ecotype 	4	day	seedling	whole organism	phyABCDE quintuple mutant	gene expression data from dark-grown and 2hr Rc-treated phyABCDE mutant	Arabidopsis 4-day-old seedling	phyABCDE, 4-day dark growth followed by 2 hours of Rc50, biol rep 2	P-GSE31587-3	P-GSE31587-2	P-GSE31587-4	GSM784827 extract 1	total RNA	P-GSE31587-5	GSM784827 LE 1	biotin	P-GSE31587-6	GSM784827	A-AFFY-2	P-GSE31587-7	P-GSE31587-8	GSM784827_phyABCDE-DR2h-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31587/E-GEOD-31587.raw.1.zip	P-GSE31587-1	GSM784827_sample_table.txt norm	GSM784827_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31587/E-GEOD-31587.processed.1.zip	phyABCDE quintuple mutant	4 days dark regimen and 2 hours of red light regimen
GSM784826 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg ecotype 	4	day	seedling	whole organism	phyABCDE quintuple mutant	gene expression data from dark-grown and 2hr Rc-treated phyABCDE mutant	Arabidopsis 4-day-old seedling	phyABCDE, 4-day dark growth followed by 2 hours of Rc50, biol rep 1	P-GSE31587-3	P-GSE31587-2	P-GSE31587-4	GSM784826 extract 1	total RNA	P-GSE31587-5	GSM784826 LE 1	biotin	P-GSE31587-6	GSM784826	A-AFFY-2	P-GSE31587-7	P-GSE31587-8	GSM784826_phyABCDE-DR2h-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31587/E-GEOD-31587.raw.1.zip	P-GSE31587-1	GSM784826_sample_table.txt norm	GSM784826_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31587/E-GEOD-31587.processed.1.zip	phyABCDE quintuple mutant	4 days dark regimen and 2 hours of red light regimen
GSM784825 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg ecotype 	4	day	seedling	whole organism	phyABCDE quintuple mutant	gene expression data from Rc50-grown phyABCDE mutant	Arabidopsis 4-day-old seedling	phyABCDE, Rc50, biol rep 3	P-GSE31587-3	P-GSE31587-2	P-GSE31587-4	GSM784825 extract 1	total RNA	P-GSE31587-5	GSM784825 LE 1	biotin	P-GSE31587-6	GSM784825	A-AFFY-2	P-GSE31587-7	P-GSE31587-8	GSM784825_phyABCDE-R50-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31587/E-GEOD-31587.raw.1.zip	P-GSE31587-1	GSM784825_sample_table.txt norm	GSM784825_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31587/E-GEOD-31587.processed.1.zip	phyABCDE quintuple mutant	red light regimen
GSM784824 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg ecotype 	4	day	seedling	whole organism	phyABCDE quintuple mutant	gene expression data from Rc50-grown phyABCDE mutant	Arabidopsis 4-day-old seedling	phyABCDE, Rc50, biol rep 2	P-GSE31587-3	P-GSE31587-2	P-GSE31587-4	GSM784824 extract 1	total RNA	P-GSE31587-5	GSM784824 LE 1	biotin	P-GSE31587-6	GSM784824	A-AFFY-2	P-GSE31587-7	P-GSE31587-8	GSM784824_phyABCDE-R50-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31587/E-GEOD-31587.raw.1.zip	P-GSE31587-1	GSM784824_sample_table.txt norm	GSM784824_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31587/E-GEOD-31587.processed.1.zip	phyABCDE quintuple mutant	red light regimen
GSM784823 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg ecotype 	4	day	seedling	whole organism	phyABCDE quintuple mutant	gene expression data from Rc50-grown phyABCDE mutant	Arabidopsis 4-day-old seedling	phyABCDE, Rc50, biol rep 1	P-GSE31587-3	P-GSE31587-2	P-GSE31587-4	GSM784823 extract 1	total RNA	P-GSE31587-5	GSM784823 LE 1	biotin	P-GSE31587-6	GSM784823	A-AFFY-2	P-GSE31587-7	P-GSE31587-8	GSM784823_phyABCDE-R50-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31587/E-GEOD-31587.raw.1.zip	P-GSE31587-1	GSM784823_sample_table.txt norm	GSM784823_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31587/E-GEOD-31587.processed.1.zip	phyABCDE quintuple mutant	red light regimen
GSM784822 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg ecotype 	4	day	seedling	whole organism	phyABCDE quintuple mutant	gene expression data from dark-grown phyABCDE mutant	Arabidopsis 4-day-old seedling	phyABCDE, Dark, biol rep 3	P-GSE31587-3	P-GSE31587-2	P-GSE31587-4	GSM784822 extract 1	total RNA	P-GSE31587-5	GSM784822 LE 1	biotin	P-GSE31587-6	GSM784822	A-AFFY-2	P-GSE31587-7	P-GSE31587-8	GSM784822_phyABCDE-D-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31587/E-GEOD-31587.raw.1.zip	P-GSE31587-1	GSM784822_sample_table.txt norm	GSM784822_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31587/E-GEOD-31587.processed.1.zip	phyABCDE quintuple mutant	continuous dark (no light) regimen
GSM784821 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg ecotype 	4	day	seedling	whole organism	phyABCDE quintuple mutant	gene expression data from dark-grown phyABCDE mutant	Arabidopsis 4-day-old seedling	phyABCDE, Dark, biol rep 2	P-GSE31587-3	P-GSE31587-2	P-GSE31587-4	GSM784821 extract 1	total RNA	P-GSE31587-5	GSM784821 LE 1	biotin	P-GSE31587-6	GSM784821	A-AFFY-2	P-GSE31587-7	P-GSE31587-8	GSM784821_phyABCDE-D-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31587/E-GEOD-31587.raw.1.zip	P-GSE31587-1	GSM784821_sample_table.txt norm	GSM784821_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31587/E-GEOD-31587.processed.1.zip	phyABCDE quintuple mutant	continuous dark (no light) regimen
GSM784820 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg ecotype 	4	day	seedling	whole organism	phyABCDE quintuple mutant	gene expression data from dark-grown phyABCDE mutant	Arabidopsis 4-day-old seedling	phyABCDE, Dark, biol rep 1	P-GSE31587-3	P-GSE31587-2	P-GSE31587-4	GSM784820 extract 1	total RNA	P-GSE31587-5	GSM784820 LE 1	biotin	P-GSE31587-6	GSM784820	A-AFFY-2	P-GSE31587-7	P-GSE31587-8	GSM784820_phyABCDE-D-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31587/E-GEOD-31587.raw.1.zip	P-GSE31587-1	GSM784820_sample_table.txt norm	GSM784820_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31587/E-GEOD-31587.processed.1.zip	phyABCDE quintuple mutant	continuous dark (no light) regimen
