Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [age]	Characteristics [ecotype]	Term Source REF	Term Accession Number	Characteristics [genotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Term Source REF	Term Accession Number	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [GENOTYPE]
GSM1409283 1	BAM7-Lig_Ox_B Gene expression data from 3-week-old shoots; untreated plants.	shoots, BAM7-Lig_Ox, untreated	BAM7-Lig_Ox, untreated, biological rep2	3 weeks	Col-0	EFO	EFO_0005148	BAM7-Lig_Ox	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	shoot	EFO	EFO_0000992	P-GSE58370-2	ArrayExpress	P-GSE58370-3	ArrayExpress	P-GSE58370-4	ArrayExpress	GSM1409283 extract 1	total RNA	P-GSE58370-5	ArrayExpress	GSM1409283 LE 1	biotin	P-GSE58370-6	ArrayExpress	GSM1409283	A-AFFY-2	ArrayExpress	array assay	P-GSE58370-7	ArrayExpress	GSM1409283_b7-618_rep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58370/E-GEOD-58370.raw.1.zip	P-GSE58370-1	ArrayExpress	GSM1409283_sample_table.txt norm	GSM1409283_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58370/E-GEOD-58370.processed.1.zip	BAM7-Lig_Ox
GSM1409282 1	BAM7-Lig_Ox_A Gene expression data from 3-week-old shoots; untreated plants.	shoots, BAM7-Lig_Ox, untreated	BAM7-Lig_Ox, untreated, biological rep1	3 weeks	Col-0	EFO	EFO_0005148	BAM7-Lig_Ox	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	shoot	EFO	EFO_0000992	P-GSE58370-2	ArrayExpress	P-GSE58370-3	ArrayExpress	P-GSE58370-4	ArrayExpress	GSM1409282 extract 1	total RNA	P-GSE58370-5	ArrayExpress	GSM1409282 LE 1	biotin	P-GSE58370-6	ArrayExpress	GSM1409282	A-AFFY-2	ArrayExpress	array assay	P-GSE58370-7	ArrayExpress	GSM1409282_b7-618_rep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58370/E-GEOD-58370.raw.1.zip	P-GSE58370-1	ArrayExpress	GSM1409282_sample_table.txt norm	GSM1409282_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58370/E-GEOD-58370.processed.1.zip	BAM7-Lig_Ox
GSM1409281 1	BAM8-Cat_Ox_B Gene expression data from 3-week-old shoots; untreated plants.	shoots, BAM8-Cat_Ox, untreated	BAM8-Cat_Ox, untreated, biological rep2	3 weeks	Col-0	EFO	EFO_0005148	BAM8-Cat_Ox	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	shoot	EFO	EFO_0000992	P-GSE58370-2	ArrayExpress	P-GSE58370-3	ArrayExpress	P-GSE58370-4	ArrayExpress	GSM1409281 extract 1	total RNA	P-GSE58370-5	ArrayExpress	GSM1409281 LE 1	biotin	P-GSE58370-6	ArrayExpress	GSM1409281	A-AFFY-2	ArrayExpress	array assay	P-GSE58370-7	ArrayExpress	GSM1409281_b8-429_rep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58370/E-GEOD-58370.raw.1.zip	P-GSE58370-1	ArrayExpress	GSM1409281_sample_table.txt norm	GSM1409281_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58370/E-GEOD-58370.processed.1.zip	BAM8-Cat_Ox
GSM1409280 1	BAM8-Cat_Ox_A Gene expression data from 3-week-old shoots; untreated plants.	shoots, BAM8-Cat_Ox, untreated	BAM8-Cat_Ox, untreated, biological rep1	3 weeks	Col-0	EFO	EFO_0005148	BAM8-Cat_Ox	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	shoot	EFO	EFO_0000992	P-GSE58370-2	ArrayExpress	P-GSE58370-3	ArrayExpress	P-GSE58370-4	ArrayExpress	GSM1409280 extract 1	total RNA	P-GSE58370-5	ArrayExpress	GSM1409280 LE 1	biotin	P-GSE58370-6	ArrayExpress	GSM1409280	A-AFFY-2	ArrayExpress	array assay	P-GSE58370-7	ArrayExpress	GSM1409280_b8-429_rep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58370/E-GEOD-58370.raw.1.zip	P-GSE58370-1	ArrayExpress	GSM1409280_sample_table.txt norm	GSM1409280_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58370/E-GEOD-58370.processed.1.zip	BAM8-Cat_Ox
GSM1409279 1	BAM7-Cat_Ox_B Gene expression data from 3-week-old shoots; untreated plants.	shoots, BAM7-Cat_Ox, untreated	BAM7-Cat_Ox, untreated, biological rep2	3 weeks	Col-0	EFO	EFO_0005148	BAM7-Cat_Ox	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	shoot	EFO	EFO_0000992	P-GSE58370-2	ArrayExpress	P-GSE58370-3	ArrayExpress	P-GSE58370-4	ArrayExpress	GSM1409279 extract 1	total RNA	P-GSE58370-5	ArrayExpress	GSM1409279 LE 1	biotin	P-GSE58370-6	ArrayExpress	GSM1409279	A-AFFY-2	ArrayExpress	array assay	P-GSE58370-7	ArrayExpress	GSM1409279_b7-422_rep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58370/E-GEOD-58370.raw.1.zip	P-GSE58370-1	ArrayExpress	GSM1409279_sample_table.txt norm	GSM1409279_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58370/E-GEOD-58370.processed.1.zip	BAM7-Cat_Ox
GSM1409278 1	BAM7-Cat_Ox_A Gene expression data from 3-week-old shoots; untreated plants.	shoots, BAM7-Cat_Ox, untreated	BAM7-Cat_Ox, untreated, biological rep1	3 weeks	Col-0	EFO	EFO_0005148	BAM7-Cat_Ox	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	shoot	EFO	EFO_0000992	P-GSE58370-2	ArrayExpress	P-GSE58370-3	ArrayExpress	P-GSE58370-4	ArrayExpress	GSM1409278 extract 1	total RNA	P-GSE58370-5	ArrayExpress	GSM1409278 LE 1	biotin	P-GSE58370-6	ArrayExpress	GSM1409278	A-AFFY-2	ArrayExpress	array assay	P-GSE58370-7	ArrayExpress	GSM1409278_b7-422_rep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58370/E-GEOD-58370.raw.1.zip	P-GSE58370-1	ArrayExpress	GSM1409278_sample_table.txt norm	GSM1409278_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58370/E-GEOD-58370.processed.1.zip	BAM7-Cat_Ox
GSM1409277 1	BAM8-DNA_Ox_B Gene expression data from 3-week-old shoots; untreated plants.	shoots, BAM8-DNA_Ox, untreated	BAM8-DNA_Ox, untreated, biological rep2	3 weeks	Col-0	EFO	EFO_0005148	BAM8-DNA_Ox	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	shoot	EFO	EFO_0000992	P-GSE58370-2	ArrayExpress	P-GSE58370-3	ArrayExpress	P-GSE58370-4	ArrayExpress	GSM1409277 extract 1	total RNA	P-GSE58370-5	ArrayExpress	GSM1409277 LE 1	biotin	P-GSE58370-6	ArrayExpress	GSM1409277	A-AFFY-2	ArrayExpress	array assay	P-GSE58370-7	ArrayExpress	GSM1409277_b8-101_rep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58370/E-GEOD-58370.raw.1.zip	P-GSE58370-1	ArrayExpress	GSM1409277_sample_table.txt norm	GSM1409277_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58370/E-GEOD-58370.processed.1.zip	BAM8-DNA_Ox
GSM1409276 1	BAM8-DNA_Ox_A Gene expression data from 3-week-old shoots; untreated plants.	shoots, BAM8-DNA_Ox, untreated	BAM8-DNA_Ox, untreated, biological rep1	3 weeks	Col-0	EFO	EFO_0005148	BAM8-DNA_Ox	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	shoot	EFO	EFO_0000992	P-GSE58370-2	ArrayExpress	P-GSE58370-3	ArrayExpress	P-GSE58370-4	ArrayExpress	GSM1409276 extract 1	total RNA	P-GSE58370-5	ArrayExpress	GSM1409276 LE 1	biotin	P-GSE58370-6	ArrayExpress	GSM1409276	A-AFFY-2	ArrayExpress	array assay	P-GSE58370-7	ArrayExpress	GSM1409276_b8-101_rep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58370/E-GEOD-58370.raw.1.zip	P-GSE58370-1	ArrayExpress	GSM1409276_sample_table.txt norm	GSM1409276_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58370/E-GEOD-58370.processed.1.zip	BAM8-DNA_Ox
GSM1409275 1	BAM7-DNA_Ox_B Gene expression data from 3-week-old shoots; untreated plants.	shoots, BAM7-DNA_Ox, untreated	BAM7-DNA_Ox, untreated, biological rep2	3 weeks	Col-0	EFO	EFO_0005148	BAM7-DNA_Ox	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	shoot	EFO	EFO_0000992	P-GSE58370-2	ArrayExpress	P-GSE58370-3	ArrayExpress	P-GSE58370-4	ArrayExpress	GSM1409275 extract 1	total RNA	P-GSE58370-5	ArrayExpress	GSM1409275 LE 1	biotin	P-GSE58370-6	ArrayExpress	GSM1409275	A-AFFY-2	ArrayExpress	array assay	P-GSE58370-7	ArrayExpress	GSM1409275_b7-83_rep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58370/E-GEOD-58370.raw.1.zip	P-GSE58370-1	ArrayExpress	GSM1409275_sample_table.txt norm	GSM1409275_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58370/E-GEOD-58370.processed.1.zip	BAM7-DNA_Ox
GSM1409274 1	BAM7-DNA_Ox_A Gene expression data from 3-week-old shoots; untreated plants.	shoots, BAM7-DNA_Ox, untreated	BAM7-DNA_Ox, untreated, biological rep1	3 weeks	Col-0	EFO	EFO_0005148	BAM7-DNA_Ox	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	shoot	EFO	EFO_0000992	P-GSE58370-2	ArrayExpress	P-GSE58370-3	ArrayExpress	P-GSE58370-4	ArrayExpress	GSM1409274 extract 1	total RNA	P-GSE58370-5	ArrayExpress	GSM1409274 LE 1	biotin	P-GSE58370-6	ArrayExpress	GSM1409274	A-AFFY-2	ArrayExpress	array assay	P-GSE58370-7	ArrayExpress	GSM1409274_b7-83_rep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58370/E-GEOD-58370.raw.1.zip	P-GSE58370-1	ArrayExpress	GSM1409274_sample_table.txt norm	GSM1409274_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58370/E-GEOD-58370.processed.1.zip	BAM7-DNA_Ox
GSM1409273 1	bam7_bam8_B Gene expression data from 3-week-old shoots; untreated plants.	shoots, bam7 bam8, untreated	bam7 bam8, untreated, biological rep2	3 weeks	Col-0	EFO	EFO_0005148	bam7 bam8	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	shoot	EFO	EFO_0000992	P-GSE58370-2	ArrayExpress	P-GSE58370-3	ArrayExpress	P-GSE58370-4	ArrayExpress	GSM1409273 extract 1	total RNA	P-GSE58370-5	ArrayExpress	GSM1409273 LE 1	biotin	P-GSE58370-6	ArrayExpress	GSM1409273	A-AFFY-2	ArrayExpress	array assay	P-GSE58370-7	ArrayExpress	GSM1409273_b78_rep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58370/E-GEOD-58370.raw.1.zip	P-GSE58370-1	ArrayExpress	GSM1409273_sample_table.txt norm	GSM1409273_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58370/E-GEOD-58370.processed.1.zip	bam7 bam8
GSM1409272 1	bam7_bam8_A Gene expression data from 3-week-old shoots; untreated plants.	shoots, bam7 bam8, untreated	bam7 bam8, untreated, biological rep1	3 weeks	Col-0	EFO	EFO_0005148	bam7 bam8	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	shoot	EFO	EFO_0000992	P-GSE58370-2	ArrayExpress	P-GSE58370-3	ArrayExpress	P-GSE58370-4	ArrayExpress	GSM1409272 extract 1	total RNA	P-GSE58370-5	ArrayExpress	GSM1409272 LE 1	biotin	P-GSE58370-6	ArrayExpress	GSM1409272	A-AFFY-2	ArrayExpress	array assay	P-GSE58370-7	ArrayExpress	GSM1409272_b78_rep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58370/E-GEOD-58370.raw.1.zip	P-GSE58370-1	ArrayExpress	GSM1409272_sample_table.txt norm	GSM1409272_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58370/E-GEOD-58370.processed.1.zip	bam7 bam8
GSM1409271 1	bam8_B Gene expression data from 3-week-old shoots; untreated plants.	shoots, bam8, untreated	bam8, untreated, biological rep2	3 weeks	Col-0	EFO	EFO_0005148	bam8	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	shoot	EFO	EFO_0000992	P-GSE58370-2	ArrayExpress	P-GSE58370-3	ArrayExpress	P-GSE58370-4	ArrayExpress	GSM1409271 extract 1	total RNA	P-GSE58370-5	ArrayExpress	GSM1409271 LE 1	biotin	P-GSE58370-6	ArrayExpress	GSM1409271	A-AFFY-2	ArrayExpress	array assay	P-GSE58370-7	ArrayExpress	GSM1409271_b8_rep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58370/E-GEOD-58370.raw.1.zip	P-GSE58370-1	ArrayExpress	GSM1409271_sample_table.txt norm	GSM1409271_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58370/E-GEOD-58370.processed.1.zip	bam8
