Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Description	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
GSE8934GSM226532	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root tissue:  Arabidopsis, root cells, cross-section, 1/6 of meristematic zone, second meristematic section from root tip, root 1 Gene expression data from a cross-section of 1/6 of the root meristematic zone, the second section from the root tip. Columbia ecotype; Age: Seedling roots, 7 days after germination; Growth media: standard media	P-G8934-2	P-G8934-1	GSE8934GSM226532 sample	P-G8934-4	GSE8934GSM226532 extract	total_RNA	P-G8934-3	GSE8934GSM226532 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	L2SB	A-AFFY-2	P-AFFY-6	L2SB	GSM226532.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8934/E-GEOD-8934.raw.1.zip	E-GEOD-8934-processed-data-1631705588.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8934/E-GEOD-8934.processed.1.zip
GSE8934GSM226554	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root tissue:  Arabidopsis, root cells, cross-section, cross-section 4 (approx 500 Âµm) of maturation section from root tip, root 2 Gene expression data from a cross-section (approximately 500 Âµm) of the root maturation zone, the fourth section from the root tip. Columbia ecotype; Age: Seedling roots, 7 days after germination; Growth media: standard media	P-G8934-2	P-G8934-1	GSE8934GSM226554 sample	P-G8934-4	GSE8934GSM226554 extract	total_RNA	P-G8934-3	GSE8934GSM226554 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Slice12JW	A-AFFY-2	P-AFFY-6	Slice12JW	GSM226554.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8934/E-GEOD-8934.raw.1.zip	E-GEOD-8934-processed-data-1631705588.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8934/E-GEOD-8934.processed.1.zip
GSE8934GSM226531	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root tissue:  Arabidopsis, root cells, cross-section, 1/6 of meristematic zone, first meristematic section from root tip, contains QC, root 1 Gene expression data from a cross section of 1/6 of the meristematic zone, the first section from the root tip. Columbia ecotype; Age: Seedling roots, 7 days after germination; Growth media: standard media	P-G8934-2	P-G8934-1	GSE8934GSM226531 sample	P-G8934-4	GSE8934GSM226531 extract	total_RNA	P-G8934-3	GSE8934GSM226531 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	L1SB	A-AFFY-2	P-AFFY-6	L1SB	GSM226531.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8934/E-GEOD-8934.raw.1.zip	E-GEOD-8934-processed-data-1631705588.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8934/E-GEOD-8934.processed.1.zip
GSE8934GSM226534	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root tissue:  Arabidopsis, root cells, cross-section, 1/6 of meristematic zone, fourth meristematic section from root tip, root 1 Gene expression data from a cross-section of 1/6 of the root meristematic zone, the fourth section from the root tip. Columbia ecotype; Age: Seedling roots, 7 days after germination; Growth media: standard media	P-G8934-2	P-G8934-1	GSE8934GSM226534 sample	P-G8934-4	GSE8934GSM226534 extract	total_RNA	P-G8934-3	GSE8934GSM226534 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	L4SB	A-AFFY-2	P-AFFY-6	L4SB	GSM226534.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8934/E-GEOD-8934.raw.1.zip	E-GEOD-8934-processed-data-1631705588.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8934/E-GEOD-8934.processed.1.zip
GSE8934GSM226530	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root tissue:  Arabidopsis, root cells, cross-section of columella below QC, replicate 1 Gene expression data from a cross section of the root tip containing columella cells. Columbia ecotype; Age: Seedling roots, 7 days after germination; Growth media: standard media	P-G8934-2	P-G8934-1	GSE8934GSM226530 sample	P-G8934-4	GSE8934GSM226530 extract	total_RNA	P-G8934-3	GSE8934GSM226530 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	LCOLUMELLASB	A-AFFY-2	P-AFFY-6	LCOLUMELLASB	GSM226530.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8934/E-GEOD-8934.raw.1.zip	E-GEOD-8934-processed-data-1631705588.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8934/E-GEOD-8934.processed.1.zip
GSE8934GSM226541	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root tissue:  Arabidopsis, root cells, cross-section, cross-section 3 (approx 500 Âµm) of maturation section from root tip, root 1 Gene expression data from a cross-section (approximately 500 Âµm) of the root maturation zone, the third section from the root tip. Columbia ecotype; Age: Seedling roots, 7 days after germination; Growth media: standard media	P-G8934-2	P-G8934-1	GSE8934GSM226541 sample	P-G8934-4	GSE8934GSM226541 extract	total_RNA	P-G8934-3	GSE8934GSM226541 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	L11SB	A-AFFY-2	P-AFFY-6	L11SB	GSM226541.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8934/E-GEOD-8934.raw.1.zip	E-GEOD-8934-processed-data-1631705588.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8934/E-GEOD-8934.processed.1.zip
GSE8934GSM226544	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root tissue:  Arabidopsis, root cells, cross-section, 1/6 of meristematic zone, second meristematic section from root tip, root 2 Gene expression data from a cross-section of 1/6 of the root meristematic zone, the second section from the root tip. Columbia ecotype; Age: Seedling roots, 7 days after germination; Growth media: standard media	P-G8934-2	P-G8934-1	GSE8934GSM226544 sample	P-G8934-4	GSE8934GSM226544 extract	total_RNA	P-G8934-3	GSE8934GSM226544 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Slice2JW	A-AFFY-2	P-AFFY-6	Slice2JW	GSM226544.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8934/E-GEOD-8934.raw.1.zip	E-GEOD-8934-processed-data-1631705588.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8934/E-GEOD-8934.processed.1.zip
GSE8934GSM226542	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root tissue:  Arabidopsis, root cells, cross-section, cross-section 4 (approx 500 Âµm) of maturation section from root tip, root 1 Gene expression data from a cross-section (approximately 500 Âµm) of the root maturation zone, the fourth section from the root tip. Columbia ecotype; Age: Seedling roots, 7 days after germination; Growth media: standard media	P-G8934-2	P-G8934-1	GSE8934GSM226542 sample	P-G8934-4	GSE8934GSM226542 extract	total_RNA	P-G8934-3	GSE8934GSM226542 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	L12SB	A-AFFY-2	P-AFFY-6	L12SB	GSM226542.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8934/E-GEOD-8934.raw.1.zip	E-GEOD-8934-processed-data-1631705588.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8934/E-GEOD-8934.processed.1.zip
GSE8934GSM226550	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root tissue:  Arabidopsis, root cells, cross-section, 1/2 of elongation zone, second elongation section from root tip, standard conditions, root2 Gene expression data from a cross-section of 1/2 of the root elongation zone, the second section from the root tip. Columbia ecotype; Age: Seedling roots, 7 days after germination; Growth media: standard media	P-G8934-2	P-G8934-1	GSE8934GSM226550 sample	P-G8934-4	GSE8934GSM226550 extract	total_RNA	P-G8934-3	GSE8934GSM226550 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Slice8JW	A-AFFY-2	P-AFFY-6	Slice8JW	GSM226550.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8934/E-GEOD-8934.raw.1.zip	E-GEOD-8934-processed-data-1631705588.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8934/E-GEOD-8934.processed.1.zip
GSE8934GSM226545	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root tissue:  Arabidopsis, root cells, cross-section, 1/6 of meristematic zone, third meristematic section from root tip,  root 2 Gene expression data from a cross-section of 1/6 of the root meristematic zone, the third section from the root tip. Columbia ecotype; Age: Seedling roots, 7 days after germination; Growth media: standard media	P-G8934-2	P-G8934-1	GSE8934GSM226545 sample	P-G8934-4	GSE8934GSM226545 extract	total_RNA	P-G8934-3	GSE8934GSM226545 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Slice3JW	A-AFFY-2	P-AFFY-6	Slice3JW	GSM226545.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8934/E-GEOD-8934.raw.1.zip	E-GEOD-8934-processed-data-1631705588.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8934/E-GEOD-8934.processed.1.zip
GSE8934GSM226540	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root tissue:  Arabidopsis, root cells, cross-section, cross-section 2 (approx 500 Âµm) of maturation section from root tip, root 1 Gene expression data from a cross-section (approximately 500 Âµm) of the root maturation zone, the second section from the root tip. Columbia ecotype; Age: Seedling roots, 7 days after germination; Growth media: standard media	P-G8934-2	P-G8934-1	GSE8934GSM226540 sample	P-G8934-4	GSE8934GSM226540 extract	total_RNA	P-G8934-3	GSE8934GSM226540 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	L10SB	A-AFFY-2	P-AFFY-6	L10SB	GSM226540.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8934/E-GEOD-8934.raw.1.zip	E-GEOD-8934-processed-data-1631705588.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8934/E-GEOD-8934.processed.1.zip
GSE8934GSM226524	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Protoplasted and FACS sorted root cells:  Arabidopsis, root cells, hair cells, standard conditions, replicate 1 Gene expression data from isolated hair cells. Columbia ecotype; Age: Seedling roots, 5-6 days after germination; Growth media: standard media; GFP reporter: COBL9	P-G8934-2	P-G8934-1	GSE8934GSM226524 sample	P-G8934-4	GSE8934GSM226524 extract	total_RNA	P-G8934-3	GSE8934GSM226524 LE	biotin	synthetic_RNA	  	COBL9	A-AFFY-2	  	COBL9	  	  	E-GEOD-8934-processed-data-1631705588.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8934/E-GEOD-8934.processed.1.zip
GSE8934GSM226552	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root tissue:  Arabidopsis, root cells, cross-section, cross-section 2 (approx 500 Âµm) of maturation section from root tip, root 2 Gene expression data from a cross-section (approximately 500 Âµm) of the root maturation zone, the second section from the root tip. Columbia ecotype; Age: Seedling roots, 7 days after germination; Growth media: standard media	P-G8934-2	P-G8934-1	GSE8934GSM226552 sample	P-G8934-4	GSE8934GSM226552 extract	total_RNA	P-G8934-3	GSE8934GSM226552 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Slice10JW	A-AFFY-2	P-AFFY-6	Slice10JW	GSM226552.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8934/E-GEOD-8934.raw.1.zip	E-GEOD-8934-processed-data-1631705588.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8934/E-GEOD-8934.processed.1.zip
GSE8934GSM226551	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root tissue:  Arabidopsis, root cells, cross-section, cross-section 1 (approx 500 Âµm) of maturation section from root tip, root 2 Gene expression data from a cross-section (approximately 500 Âµm) of the root maturation zone, the first section of the root maturation zone. Columbia ecotype; Age: Seedling roots, 7 days after germination; Growth media: standard media	P-G8934-2	P-G8934-1	GSE8934GSM226551 sample	P-G8934-4	GSE8934GSM226551 extract	total_RNA	P-G8934-3	GSE8934GSM226551 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Slice9JW	A-AFFY-2	P-AFFY-6	Slice9JW	GSM226551.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8934/E-GEOD-8934.raw.1.zip	E-GEOD-8934-processed-data-1631705588.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8934/E-GEOD-8934.processed.1.zip
GSE8934GSM226538	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root tissue:  Arabidopsis, root cells, cross-section, 1/2 of elongation zone, second elongation section from root tip, standard conditions, root2 Gene expression data from a cross-section of 1/2 of the root elongation zone, the second section from the root tip. Columbia ecotype; Age: Seedling roots, 7 days after germination; Growth media: standard media	P-G8934-2	P-G8934-1	GSE8934GSM226538 sample	P-G8934-4	GSE8934GSM226538 extract	total_RNA	P-G8934-3	GSE8934GSM226538 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	L8SB	A-AFFY-2	P-AFFY-6	L8SB	GSM226538.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8934/E-GEOD-8934.raw.1.zip	E-GEOD-8934-processed-data-1631705588.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8934/E-GEOD-8934.processed.1.zip
GSE8934GSM226528	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Protoplasted and FACS sorted root cells:  Arabidopsis, root cells, pericycle, protoxylem, metaxylem, phloem, standard conditions, replicate 1 Gene expression data from isolated pericycle, protoxylem, metaxylem and phloem cells. Columbia ecotype; Age: Seedling roots, 5-6 days after germination; Growth media: standard media; GFP reporter: J2501	P-G8934-2	P-G8934-1	GSE8934GSM226528 sample	P-G8934-4	GSE8934GSM226528 extract	total_RNA	P-G8934-3	GSE8934GSM226528 LE	biotin	synthetic_RNA	  	J2501	A-AFFY-2	  	J2501	  	  	E-GEOD-8934-processed-data-1631705588.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8934/E-GEOD-8934.processed.1.zip
GSE8934GSM226549	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root tissue:  Arabidopsis, root cells, cross-section, 1/2 of elongation zone, first elongation section from root tip, standard conditions, root 2 Gene expression data from a cross-section of 1/2 of the root elongation zone, the first section from the root tip. Columbia ecotype; Age: Seedling roots, 7 days after germination; Growth media: standard media	P-G8934-2	P-G8934-1	GSE8934GSM226549 sample	P-G8934-4	GSE8934GSM226549 extract	total_RNA	P-G8934-3	GSE8934GSM226549 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Slice7JW	A-AFFY-2	P-AFFY-6	Slice7JW	GSM226549.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8934/E-GEOD-8934.raw.1.zip	E-GEOD-8934-processed-data-1631705588.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8934/E-GEOD-8934.processed.1.zip
GSE8934GSM226553	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root tissue:  Arabidopsis, root cells, cross-section, cross-section 3 (approx 500 Âµm) of maturation section from root tip, root 2 Gene expression data from a cross-section (approximately 500 Âµm) of the root maturation zone, the third section from the root tip. Columbia ecotype; Age: Seedling roots, 7 days after germination; Growth media: standard media	P-G8934-2	P-G8934-1	GSE8934GSM226553 sample	P-G8934-4	GSE8934GSM226553 extract	total_RNA	P-G8934-3	GSE8934GSM226553 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Slice11JW	A-AFFY-2	P-AFFY-6	Slice11JW	GSM226553.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8934/E-GEOD-8934.raw.1.zip	E-GEOD-8934-processed-data-1631705588.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8934/E-GEOD-8934.processed.1.zip
