Source Name	Material Type	Characteristics[organism]	Characteristics[ecotype]	Characteristics[genotype]	Characteristics[organism part]	Comment [Sample_description]	Comment [Sample_source_name]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Assay Name	Technology Type	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue [organism part]	FactorValue[compound]	Factor Value [dose]	Unit[concentration unit]
GSM486929 1	organism part	Arabidopsis thaliana	Col-0	wild type genotype	leaf	Gene expression data from wild type (Col) leaves treated with ABA (50 μM) for 3 hrs	Columbia wild-type leaves, abscisic acid treatment	P-GSE19520-2	P-GSE19520-3	P-GSE19520-4	GSM486929 extract 1	total RNA	P-GSE19520-5	GSM486929 LE 1	biotin	P-GSE19520-6	GSM486929	array assay	A-AFFY-2	P-GSE19520-7	P-GSE19520-8	GSM486929.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.raw.1.zip	P-GSE19520-1	GSM486929_sample_table.txt norm	GSM486929_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.processed.1.zip	wild type genotype	leaf	abscisic acid	50	micromolar
GSM486928 1	organism part	Arabidopsis thaliana	Col-0	wild type genotype	leaf	Gene expression data from wild type (Col) leaves treated with ABA (50 μM) for 3 hrs	Columbia wild-type leaves, abscisic acid treatment	P-GSE19520-2	P-GSE19520-3	P-GSE19520-4	GSM486928 extract 1	total RNA	P-GSE19520-5	GSM486928 LE 1	biotin	P-GSE19520-6	GSM486928	array assay	A-AFFY-2	P-GSE19520-7	P-GSE19520-8	GSM486928.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.raw.1.zip	P-GSE19520-1	GSM486928_sample_table.txt norm	GSM486928_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.processed.1.zip	wild type genotype	leaf	abscisic acid	50	micromolar
GSM486927 1	organism part	Arabidopsis thaliana	Col-0	agb1-2 gpa1-4 double mutant	leaf	Gene expression data from agb1 gpa1 mutant leaves treated with EtOH (solvent control) for 3 hrs	agb1 gpa1 mutant leaves, no treatment	P-GSE19520-2	P-GSE19520-3	P-GSE19520-4	GSM486927 extract 1	total RNA	P-GSE19520-5	GSM486927 LE 1	biotin	P-GSE19520-6	GSM486927	array assay	A-AFFY-2	P-GSE19520-7	P-GSE19520-8	GSM486927.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.raw.1.zip	P-GSE19520-1	GSM486927_sample_table.txt norm	GSM486927_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.processed.1.zip	agb1-2 gpa1-4 double mutant	leaf	control (ethanol vehicle)	  	        
GSM486926 1	organism part	Arabidopsis thaliana	Col-0	agb1-2 gpa1-4 double mutant	leaf	Gene expression data from agb1 gpa1 mutant leaves treated with EtOH (solvent control) for 3 hrs	agb1 gpa1 mutant leaves, no treatment	P-GSE19520-2	P-GSE19520-3	P-GSE19520-4	GSM486926 extract 1	total RNA	P-GSE19520-5	GSM486926 LE 1	biotin	P-GSE19520-6	GSM486926	array assay	A-AFFY-2	P-GSE19520-7	P-GSE19520-8	GSM486926.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.raw.1.zip	P-GSE19520-1	GSM486926_sample_table.txt norm	GSM486926_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.processed.1.zip	agb1-2 gpa1-4 double mutant	leaf	control (ethanol vehicle)	  	        
GSM486925 1	organism part	Arabidopsis thaliana	Col-0	agb1-2 gpa1-4 double mutant	leaf	Gene expression data from agb1 gpa1 mutant leaves treated with EtOH (solvent control) for 3 hrs	agb1 gpa1 mutant leaves, no treatment	P-GSE19520-2	P-GSE19520-3	P-GSE19520-4	GSM486925 extract 1	total RNA	P-GSE19520-5	GSM486925 LE 1	biotin	P-GSE19520-6	GSM486925	array assay	A-AFFY-2	P-GSE19520-7	P-GSE19520-8	GSM486925.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.raw.1.zip	P-GSE19520-1	GSM486925_sample_table.txt norm	GSM486925_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.processed.1.zip	agb1-2 gpa1-4 double mutant	leaf	control (ethanol vehicle)	  	        
GSM486924 1	organism part	Arabidopsis thaliana	Col-0	gpa1-4 mutant	leaf	Gene expression data from gpa1 mutant leaves treated with EtOH (solvent control) for 3 hrs	gpa1 mutant leaves, no treatment	P-GSE19520-2	P-GSE19520-3	P-GSE19520-4	GSM486924 extract 1	total RNA	P-GSE19520-5	GSM486924 LE 1	biotin	P-GSE19520-6	GSM486924	array assay	A-AFFY-2	P-GSE19520-7	P-GSE19520-8	GSM486924.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.raw.1.zip	P-GSE19520-1	GSM486924_sample_table.txt norm	GSM486924_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.processed.1.zip	gpa1-4 mutant	leaf	control (ethanol vehicle)	  	        
GSM486923 1	organism part	Arabidopsis thaliana	Col-0	gpa1-4 mutant	leaf	Gene expression data from gpa1 mutant leaves treated with EtOH (solvent control) for 3 hrs	gpa1 mutant leaves, no treatment	P-GSE19520-2	P-GSE19520-3	P-GSE19520-4	GSM486923 extract 1	total RNA	P-GSE19520-5	GSM486923 LE 1	biotin	P-GSE19520-6	GSM486923	array assay	A-AFFY-2	P-GSE19520-7	P-GSE19520-8	GSM486923.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.raw.1.zip	P-GSE19520-1	GSM486923_sample_table.txt norm	GSM486923_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.processed.1.zip	gpa1-4 mutant	leaf	control (ethanol vehicle)	  	        
GSM486922 1	organism part	Arabidopsis thaliana	Col-0	gpa1-4 mutant	leaf	Gene expression data from gpa1 mutant leaves treated with EtOH (solvent control) for 3 hrs	gpa1 mutant leaves, no treatment	P-GSE19520-2	P-GSE19520-3	P-GSE19520-4	GSM486922 extract 1	total RNA	P-GSE19520-5	GSM486922 LE 1	biotin	P-GSE19520-6	GSM486922	array assay	A-AFFY-2	P-GSE19520-7	P-GSE19520-8	GSM486922.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.raw.1.zip	P-GSE19520-1	GSM486922_sample_table.txt norm	GSM486922_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.processed.1.zip	gpa1-4 mutant	leaf	control (ethanol vehicle)	  	        
GSM486921 1	organism part	Arabidopsis thaliana	Col-0	agb1-2 mutant	leaf	Gene expression data from agb1 mutant leaves treated with EtOH (solvent control) for 3 hrs	agb1 mutant leaves, no treatment	P-GSE19520-2	P-GSE19520-3	P-GSE19520-4	GSM486921 extract 1	total RNA	P-GSE19520-5	GSM486921 LE 1	biotin	P-GSE19520-6	GSM486921	array assay	A-AFFY-2	P-GSE19520-7	P-GSE19520-8	GSM486921.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.raw.1.zip	P-GSE19520-1	GSM486921_sample_table.txt norm	GSM486921_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.processed.1.zip	agb1-2 mutant	leaf	control (ethanol vehicle)	  	        
GSM486920 1	organism part	Arabidopsis thaliana	Col-0	agb1-2 mutant	leaf	Gene expression data from agb1 mutant leaves treated with EtOH (solvent control) for 3 hrs	agb1 mutant leaves, no treatment	P-GSE19520-2	P-GSE19520-3	P-GSE19520-4	GSM486920 extract 1	total RNA	P-GSE19520-5	GSM486920 LE 1	biotin	P-GSE19520-6	GSM486920	array assay	A-AFFY-2	P-GSE19520-7	P-GSE19520-8	GSM486920.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.raw.1.zip	P-GSE19520-1	GSM486920_sample_table.txt norm	GSM486920_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.processed.1.zip	agb1-2 mutant	leaf	control (ethanol vehicle)	  	        
GSM486919 1	organism part	Arabidopsis thaliana	Col-0	agb1-2 mutant	leaf	Gene expression data from agb1 mutant leaves treated with EtOH (solvent control) for 3 hrs	agb1 mutant leaves, no treatment	P-GSE19520-2	P-GSE19520-3	P-GSE19520-4	GSM486919 extract 1	total RNA	P-GSE19520-5	GSM486919 LE 1	biotin	P-GSE19520-6	GSM486919	array assay	A-AFFY-2	P-GSE19520-7	P-GSE19520-8	GSM486919.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.raw.1.zip	P-GSE19520-1	GSM486919_sample_table.txt norm	GSM486919_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.processed.1.zip	agb1-2 mutant	leaf	control (ethanol vehicle)	  	        
GSM486918 1	organism part	Arabidopsis thaliana	Col-0	wild type genotype	leaf	Gene expression data from wild type (Col) leaves treated with EtOH (solvent control) for 3 hrs	Columbia wild-type leaves, no treatment	P-GSE19520-2	P-GSE19520-3	P-GSE19520-4	GSM486918 extract 1	total RNA	P-GSE19520-5	GSM486918 LE 1	biotin	P-GSE19520-6	GSM486918	array assay	A-AFFY-2	P-GSE19520-7	P-GSE19520-8	GSM486918.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.raw.1.zip	P-GSE19520-1	GSM486918_sample_table.txt norm	GSM486918_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.processed.1.zip	wild type genotype	leaf	control (ethanol vehicle)	  	        
GSM486917 1	organism part	Arabidopsis thaliana	Col-0	wild type genotype	leaf	Gene expression data from wild type (Col) leaves treated with EtOH (solvent control) for 3 hrs	Columbia wild-type leaves, no treatment	P-GSE19520-2	P-GSE19520-3	P-GSE19520-4	GSM486917 extract 1	total RNA	P-GSE19520-5	GSM486917 LE 1	biotin	P-GSE19520-6	GSM486917	array assay	A-AFFY-2	P-GSE19520-7	P-GSE19520-8	GSM486917.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.raw.1.zip	P-GSE19520-1	GSM486917_sample_table.txt norm	GSM486917_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.processed.1.zip	wild type genotype	leaf	control (ethanol vehicle)	  	        
GSM486916 1	organism part	Arabidopsis thaliana	Col-0	wild type genotype	leaf	Gene expression data from wild type (Col) leaves treated with EtOH (solvent control) for 3 hrs	Columbia wild-type leaves, no treatment	P-GSE19520-2	P-GSE19520-3	P-GSE19520-4	GSM486916 extract 1	total RNA	P-GSE19520-5	GSM486916 LE 1	biotin	P-GSE19520-6	GSM486916	array assay	A-AFFY-2	P-GSE19520-7	P-GSE19520-8	GSM486916.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.raw.1.zip	P-GSE19520-1	GSM486916_sample_table.txt norm	GSM486916_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.processed.1.zip	wild type genotype	leaf	control (ethanol vehicle)	  	        
GSM486915 1	organism part	Arabidopsis thaliana	Col-0	agb1-2 gpa1-4 double mutant	guard cells	Gene expression data from agb1 gpa1 mutant guard cells treated with ABA (50 μM) for 3 hrs	agb1 gpa1 mutant guard cells, abscisic acid treatment	P-GSE19520-2	P-GSE19520-3	P-GSE19520-4	GSM486915 extract 1	total RNA	P-GSE19520-5	GSM486915 LE 1	biotin	P-GSE19520-6	GSM486915	array assay	A-AFFY-2	P-GSE19520-7	P-GSE19520-8	GSM486915.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.raw.1.zip	P-GSE19520-1	GSM486915_sample_table.txt norm	GSM486915_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.processed.1.zip	agb1-2 gpa1-4 double mutant	guard cells	abscisic acid	50	micromolar
GSM486914 1	organism part	Arabidopsis thaliana	Col-0	agb1-2 gpa1-4 double mutant	guard cells	Gene expression data from agb1 gpa1 mutant guard cells treated with ABA (50 μM) for 3 hrs	agb1 gpa1 mutant guard cells, abscisic acid treatment	P-GSE19520-2	P-GSE19520-3	P-GSE19520-4	GSM486914 extract 1	total RNA	P-GSE19520-5	GSM486914 LE 1	biotin	P-GSE19520-6	GSM486914	array assay	A-AFFY-2	P-GSE19520-7	P-GSE19520-8	GSM486914.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.raw.1.zip	P-GSE19520-1	GSM486914_sample_table.txt norm	GSM486914_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.processed.1.zip	agb1-2 gpa1-4 double mutant	guard cells	abscisic acid	50	micromolar
GSM486913 1	organism part	Arabidopsis thaliana	Col-0	agb1-2 gpa1-4 double mutant	guard cells	Gene expression data from agb1 gpa1 mutant guard cells treated with ABA (50 μM) for 3 hrs	agb1 gpa1 mutant guard cells, abscisic acid treatment	P-GSE19520-2	P-GSE19520-3	P-GSE19520-4	GSM486913 extract 1	total RNA	P-GSE19520-5	GSM486913 LE 1	biotin	P-GSE19520-6	GSM486913	array assay	A-AFFY-2	P-GSE19520-7	P-GSE19520-8	GSM486913.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.raw.1.zip	P-GSE19520-1	GSM486913_sample_table.txt norm	GSM486913_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.processed.1.zip	agb1-2 gpa1-4 double mutant	guard cells	abscisic acid	50	micromolar
GSM486912 1	organism part	Arabidopsis thaliana	Col-0	gpa1-4 mutant	guard cells	Gene expression data from gpa1 mutant guard cells treated with ABA (50 μM) for 3 hrs	gpa1 mutant guard cells, abscisic acid treatment	P-GSE19520-2	P-GSE19520-3	P-GSE19520-4	GSM486912 extract 1	total RNA	P-GSE19520-5	GSM486912 LE 1	biotin	P-GSE19520-6	GSM486912	array assay	A-AFFY-2	P-GSE19520-7	P-GSE19520-8	GSM486912.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.raw.1.zip	P-GSE19520-1	GSM486912_sample_table.txt norm	GSM486912_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.processed.1.zip	gpa1-4 mutant	guard cells	abscisic acid	50	micromolar
GSM486911 1	organism part	Arabidopsis thaliana	Col-0	gpa1-4 mutant	guard cells	Gene expression data from gpa1 mutant guard cells treated with ABA (50 μM) for 3 hrs	gpa1 mutant guard cells, abscisic acid treatment	P-GSE19520-2	P-GSE19520-3	P-GSE19520-4	GSM486911 extract 1	total RNA	P-GSE19520-5	GSM486911 LE 1	biotin	P-GSE19520-6	GSM486911	array assay	A-AFFY-2	P-GSE19520-7	P-GSE19520-8	GSM486911.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.raw.1.zip	P-GSE19520-1	GSM486911_sample_table.txt norm	GSM486911_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.processed.1.zip	gpa1-4 mutant	guard cells	abscisic acid	50	micromolar
GSM486910 1	organism part	Arabidopsis thaliana	Col-0	gpa1-4 mutant	guard cells	Gene expression data from gpa1 mutant guard cells treated with ABA (50 μM) for 3 hrs	gpa1 mutant guard cells, abscisic acid treatment	P-GSE19520-2	P-GSE19520-3	P-GSE19520-4	GSM486910 extract 1	total RNA	P-GSE19520-5	GSM486910 LE 1	biotin	P-GSE19520-6	GSM486910	array assay	A-AFFY-2	P-GSE19520-7	P-GSE19520-8	GSM486910.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.raw.1.zip	P-GSE19520-1	GSM486910_sample_table.txt norm	GSM486910_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.processed.1.zip	gpa1-4 mutant	guard cells	abscisic acid	50	micromolar
