Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [age]	Characteristics [ecotype background]	Characteristics [genotype]	Characteristics [harvested at]	Characteristics [molecule subtype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Term Source REF	Term Accession Number	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [harvested at]	FactorValue [molecule subtype]
GSM1516743 1	6am_S_3	CCA1-ox_6am_small polysomal	CCA1-ox, 6am, small polysomal, replicate 3	10 days	Columbia	CCA1-ox	6am	Small polysomal RNA	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61898-2	ArrayExpress	P-GSE61898-3	ArrayExpress	GSM1516743 extract 1	total RNA	P-GSE61898-4	ArrayExpress	GSM1516743 LE 1	biotin	P-GSE61898-5	ArrayExpress	GSM1516743	A-AFFY-2	ArrayExpress	array assay	P-GSE61898-6	ArrayExpress	GSM1516743_AVA228_SP_6AM.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.raw.1.zip	P-GSE61898-1	ArrayExpress	GSM1516743_sample_table.txt norm	GSM1516743_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.processed.1.zip	6am	Small polysomal RNA
GSM1516742 1	6am_N_3	CCA1-ox_6am_non-polysomal	CCA1-ox, 6am, non-polysomal, replicate 3	10 days	Columbia	CCA1-ox	6am	Non-polysomal RNA	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61898-2	ArrayExpress	P-GSE61898-3	ArrayExpress	GSM1516742 extract 1	total RNA	P-GSE61898-4	ArrayExpress	GSM1516742 LE 1	biotin	P-GSE61898-5	ArrayExpress	GSM1516742	A-AFFY-2	ArrayExpress	array assay	P-GSE61898-6	ArrayExpress	GSM1516742_AVA227_NP_6AM.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.raw.1.zip	P-GSE61898-1	ArrayExpress	GSM1516742_sample_table.txt norm	GSM1516742_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.processed.1.zip	6am	Non-polysomal RNA
GSM1516741 1	12am_L_2	CCA1-ox_12am_large polysomal	CCA1-ox, 12am, large polysomal, replicate 2	10 days	Columbia	CCA1-ox	12am	Large polysomal RNA	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61898-2	ArrayExpress	P-GSE61898-3	ArrayExpress	GSM1516741 extract 1	total RNA	P-GSE61898-4	ArrayExpress	GSM1516741 LE 1	biotin	P-GSE61898-5	ArrayExpress	GSM1516741	A-AFFY-2	ArrayExpress	array assay	P-GSE61898-6	ArrayExpress	GSM1516741_AVA221_LP_12AM.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.raw.1.zip	P-GSE61898-1	ArrayExpress	GSM1516741_sample_table.txt norm	GSM1516741_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.processed.1.zip	12am	Large polysomal RNA
GSM1516740 1	12am_S_2	CCA1-ox_12am_small polysomal	CCA1-ox, 12am, small polysomal, replicate 2	10 days	Columbia	CCA1-ox	12am	Small polysomal RNA	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61898-2	ArrayExpress	P-GSE61898-3	ArrayExpress	GSM1516740 extract 1	total RNA	P-GSE61898-4	ArrayExpress	GSM1516740 LE 1	biotin	P-GSE61898-5	ArrayExpress	GSM1516740	A-AFFY-2	ArrayExpress	array assay	P-GSE61898-6	ArrayExpress	GSM1516740_AVA220_SP_12AM.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.raw.1.zip	P-GSE61898-1	ArrayExpress	GSM1516740_sample_table.txt norm	GSM1516740_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.processed.1.zip	12am	Small polysomal RNA
GSM1516739 1	12am_N_2	CCA1-ox_12am_non-polysomal	CCA1-ox, 12am, non-polysomal, replicate 2	10 days	Columbia	CCA1-ox	12am	Non-polysomal RNA	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61898-2	ArrayExpress	P-GSE61898-3	ArrayExpress	GSM1516739 extract 1	total RNA	P-GSE61898-4	ArrayExpress	GSM1516739 LE 1	biotin	P-GSE61898-5	ArrayExpress	GSM1516739	A-AFFY-2	ArrayExpress	array assay	P-GSE61898-6	ArrayExpress	GSM1516739_AVA219_NP_12AM.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.raw.1.zip	P-GSE61898-1	ArrayExpress	GSM1516739_sample_table.txt norm	GSM1516739_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.processed.1.zip	12am	Non-polysomal RNA
GSM1516738 1	6pm_L_2	CCA1-ox_6pm_large polysomal	CCA1-ox, 6pm, large polysomal, replicate 2	10 days	Columbia	CCA1-ox	6pm	Large polysomal RNA	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61898-2	ArrayExpress	P-GSE61898-3	ArrayExpress	GSM1516738 extract 1	total RNA	P-GSE61898-4	ArrayExpress	GSM1516738 LE 1	biotin	P-GSE61898-5	ArrayExpress	GSM1516738	A-AFFY-2	ArrayExpress	array assay	P-GSE61898-6	ArrayExpress	GSM1516738_AVA217_LP_6PM.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.raw.1.zip	P-GSE61898-1	ArrayExpress	GSM1516738_sample_table.txt norm	GSM1516738_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.processed.1.zip	6pm	Large polysomal RNA
GSM1516737 1	6pm_S_2	CCA1-ox_6pm_small polysomal	CCA1-ox, 6pm, small polysomal, replicate 2	10 days	Columbia	CCA1-ox	6pm	Small polysomal RNA	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61898-2	ArrayExpress	P-GSE61898-3	ArrayExpress	GSM1516737 extract 1	total RNA	P-GSE61898-4	ArrayExpress	GSM1516737 LE 1	biotin	P-GSE61898-5	ArrayExpress	GSM1516737	A-AFFY-2	ArrayExpress	array assay	P-GSE61898-6	ArrayExpress	GSM1516737_AVA216_SP_6PM.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.raw.1.zip	P-GSE61898-1	ArrayExpress	GSM1516737_sample_table.txt norm	GSM1516737_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.processed.1.zip	6pm	Small polysomal RNA
GSM1516736 1	6pm_N_2	CCA1-ox_6pm_non-polysomal	CCA1-ox, 6pm, non-polysomal, replicate 2	10 days	Columbia	CCA1-ox	6pm	Non-polysomal RNA	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61898-2	ArrayExpress	P-GSE61898-3	ArrayExpress	GSM1516736 extract 1	total RNA	P-GSE61898-4	ArrayExpress	GSM1516736 LE 1	biotin	P-GSE61898-5	ArrayExpress	GSM1516736	A-AFFY-2	ArrayExpress	array assay	P-GSE61898-6	ArrayExpress	GSM1516736_AVA215_NP_6PM.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.raw.1.zip	P-GSE61898-1	ArrayExpress	GSM1516736_sample_table.txt norm	GSM1516736_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.processed.1.zip	6pm	Non-polysomal RNA
GSM1516735 1	12pm_L_2	CCA1-ox_12pm_large polysomal	CCA1-ox, 12pm, large polysomal, replicate 2	10 days	Columbia	CCA1-ox	12pm	Large polysomal RNA	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61898-2	ArrayExpress	P-GSE61898-3	ArrayExpress	GSM1516735 extract 1	total RNA	P-GSE61898-4	ArrayExpress	GSM1516735 LE 1	biotin	P-GSE61898-5	ArrayExpress	GSM1516735	A-AFFY-2	ArrayExpress	array assay	P-GSE61898-6	ArrayExpress	GSM1516735_AVA213_LP_12PM.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.raw.1.zip	P-GSE61898-1	ArrayExpress	GSM1516735_sample_table.txt norm	GSM1516735_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.processed.1.zip	12pm	Large polysomal RNA
GSM1516734 1	12pm_S_2	CCA1-ox_12pm_small polysomal	CCA1-ox, 12pm, small polysomal, replicate 2	10 days	Columbia	CCA1-ox	12pm	Small polysomal RNA	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61898-2	ArrayExpress	P-GSE61898-3	ArrayExpress	GSM1516734 extract 1	total RNA	P-GSE61898-4	ArrayExpress	GSM1516734 LE 1	biotin	P-GSE61898-5	ArrayExpress	GSM1516734	A-AFFY-2	ArrayExpress	array assay	P-GSE61898-6	ArrayExpress	GSM1516734_AVA212_SP_12PM.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.raw.1.zip	P-GSE61898-1	ArrayExpress	GSM1516734_sample_table.txt norm	GSM1516734_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.processed.1.zip	12pm	Small polysomal RNA
GSM1516733 1	12pm_N_2	CCA1-ox_12pm_non-polysomal	CCA1-ox, 12pm, non-polysomal, replicate 2	10 days	Columbia	CCA1-ox	12pm	Non-polysomal RNA	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61898-2	ArrayExpress	P-GSE61898-3	ArrayExpress	GSM1516733 extract 1	total RNA	P-GSE61898-4	ArrayExpress	GSM1516733 LE 1	biotin	P-GSE61898-5	ArrayExpress	GSM1516733	A-AFFY-2	ArrayExpress	array assay	P-GSE61898-6	ArrayExpress	GSM1516733_AVA211_NP_12PM.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.raw.1.zip	P-GSE61898-1	ArrayExpress	GSM1516733_sample_table.txt norm	GSM1516733_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.processed.1.zip	12pm	Non-polysomal RNA
GSM1516732 1	6am_L_2	CCA1-ox_6am_large polysomal	CCA1-ox, 6am, large polysomal, replicate 2	10 days	Columbia	CCA1-ox	6am	Large polysomal RNA	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61898-2	ArrayExpress	P-GSE61898-3	ArrayExpress	GSM1516732 extract 1	total RNA	P-GSE61898-4	ArrayExpress	GSM1516732 LE 1	biotin	P-GSE61898-5	ArrayExpress	GSM1516732	A-AFFY-2	ArrayExpress	array assay	P-GSE61898-6	ArrayExpress	GSM1516732_AVA209_LP_6AM.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.raw.1.zip	P-GSE61898-1	ArrayExpress	GSM1516732_sample_table.txt norm	GSM1516732_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.processed.1.zip	6am	Large polysomal RNA
GSM1516731 1	6am_S_2	CCA1-ox_6am_small polysomal	CCA1-ox, 6am, small polysomal, replicate 2	10 days	Columbia	CCA1-ox	6am	Small polysomal RNA	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61898-2	ArrayExpress	P-GSE61898-3	ArrayExpress	GSM1516731 extract 1	total RNA	P-GSE61898-4	ArrayExpress	GSM1516731 LE 1	biotin	P-GSE61898-5	ArrayExpress	GSM1516731	A-AFFY-2	ArrayExpress	array assay	P-GSE61898-6	ArrayExpress	GSM1516731_AVA208_SP_6AM.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.raw.1.zip	P-GSE61898-1	ArrayExpress	GSM1516731_sample_table.txt norm	GSM1516731_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.processed.1.zip	6am	Small polysomal RNA
GSM1516730 1	6am_N_2	CCA1-ox_6am_non-polysomal	CCA1-ox, 6am, non-polysomal, replicate 2	10 days	Columbia	CCA1-ox	6am	Non-polysomal RNA	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61898-2	ArrayExpress	P-GSE61898-3	ArrayExpress	GSM1516730 extract 1	total RNA	P-GSE61898-4	ArrayExpress	GSM1516730 LE 1	biotin	P-GSE61898-5	ArrayExpress	GSM1516730	A-AFFY-2	ArrayExpress	array assay	P-GSE61898-6	ArrayExpress	GSM1516730_AVA207_NP_6AM.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.raw.1.zip	P-GSE61898-1	ArrayExpress	GSM1516730_sample_table.txt norm	GSM1516730_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.processed.1.zip	6am	Non-polysomal RNA
GSM1516729 1	12am_L_1	CCA1-ox_12am_large polysomal	CCA1-ox, 12am, large polysomal, replicate 1	10 days	Columbia	CCA1-ox	12am	Large polysomal RNA	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61898-2	ArrayExpress	P-GSE61898-3	ArrayExpress	GSM1516729 extract 1	total RNA	P-GSE61898-4	ArrayExpress	GSM1516729 LE 1	biotin	P-GSE61898-5	ArrayExpress	GSM1516729	A-AFFY-2	ArrayExpress	array assay	P-GSE61898-6	ArrayExpress	GSM1516729_15CCA_LP_12AM.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.raw.1.zip	P-GSE61898-1	ArrayExpress	GSM1516729_sample_table.txt norm	GSM1516729_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.processed.1.zip	12am	Large polysomal RNA
