Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [ecotype]	Characteristics [age]	Unit [time unit]	Characteristics [organism part]	Characteristics [genotype]	Characteristics[genetic modification]	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue [compound]	FactorValue [dose]	Unit[concentration unit]	FactorValue[time]	Unit [time unit]
GSM1824879 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	6	week	root	bzip1, bzip53 double knockout	gene knock out	S14_KO_C.CEL	KO_seedling_NaCl_Control	KO_C Biological Rep 2	P-GSE71001-2	ArrayExpress	P-GSE71001-3	ArrayExpress	P-GSE71001-4	ArrayExpress	GSM1824879 extract 1	total RNA	P-GSE71001-5	ArrayExpress	GSM1824879 LE 1	biotin	P-GSE71001-6	ArrayExpress	GSM1824879	A-AFFY-2	ArrayExpress	array assay	P-GSE71001-7	ArrayExpress	GSM1824879_S14_KO_C.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71001/E-GEOD-71001.raw.1.zip	P-GSE71001-1	ArrayExpress	GSM1824879_sample_table.txt norm	GSM1824879_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71001/E-GEOD-71001.processed.1.zip	bzip1, bzip53 double knockout	control	0	millimolar	0	hour
GSM1824878 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	6	week	root	bzip1, bzip53 double knockout	gene knock out	S13_KO_C.CEL	KO_seedling_NaCl_Control	KO_C Biological Rep 1	P-GSE71001-2	ArrayExpress	P-GSE71001-3	ArrayExpress	P-GSE71001-4	ArrayExpress	GSM1824878 extract 1	total RNA	P-GSE71001-5	ArrayExpress	GSM1824878 LE 1	biotin	P-GSE71001-6	ArrayExpress	GSM1824878	A-AFFY-2	ArrayExpress	array assay	P-GSE71001-7	ArrayExpress	GSM1824878_S13_KO_C.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71001/E-GEOD-71001.raw.1.zip	P-GSE71001-1	ArrayExpress	GSM1824878_sample_table.txt norm	GSM1824878_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71001/E-GEOD-71001.processed.1.zip	bzip1, bzip53 double knockout	control	0	millimolar	0	hour
GSM1824877 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	6	week	root	wild type	none	S12_WT_6.CEL	WT_seedling_NaCl_6 h	WT_6 Biological Rep 3	P-GSE71001-2	ArrayExpress	P-GSE71001-3	ArrayExpress	P-GSE71001-4	ArrayExpress	GSM1824877 extract 1	total RNA	P-GSE71001-5	ArrayExpress	GSM1824877 LE 1	biotin	P-GSE71001-6	ArrayExpress	GSM1824877	A-AFFY-2	ArrayExpress	array assay	P-GSE71001-7	ArrayExpress	GSM1824877_S12_WT_6.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71001/E-GEOD-71001.raw.1.zip	P-GSE71001-1	ArrayExpress	GSM1824877_sample_table.txt norm	GSM1824877_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71001/E-GEOD-71001.processed.1.zip	wild type	sodium chloride	150	millimolar	6	hour
GSM1824876 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	6	week	root	wild type	none	S11_WT_6.CEL	WT_seedling_NaCl_6 h	WT_6 Biological Rep 2	P-GSE71001-2	ArrayExpress	P-GSE71001-3	ArrayExpress	P-GSE71001-4	ArrayExpress	GSM1824876 extract 1	total RNA	P-GSE71001-5	ArrayExpress	GSM1824876 LE 1	biotin	P-GSE71001-6	ArrayExpress	GSM1824876	A-AFFY-2	ArrayExpress	array assay	P-GSE71001-7	ArrayExpress	GSM1824876_S11_WT_6.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71001/E-GEOD-71001.raw.1.zip	P-GSE71001-1	ArrayExpress	GSM1824876_sample_table.txt norm	GSM1824876_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71001/E-GEOD-71001.processed.1.zip	wild type	sodium chloride	150	millimolar	6	hour
GSM1824875 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	6	week	root	wild type	none	S10_WT_6.CEL	WT_seedling_NaCl_6 h	WT_6 Biological Rep 1	P-GSE71001-2	ArrayExpress	P-GSE71001-3	ArrayExpress	P-GSE71001-4	ArrayExpress	GSM1824875 extract 1	total RNA	P-GSE71001-5	ArrayExpress	GSM1824875 LE 1	biotin	P-GSE71001-6	ArrayExpress	GSM1824875	A-AFFY-2	ArrayExpress	array assay	P-GSE71001-7	ArrayExpress	GSM1824875_S10_WT_6.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71001/E-GEOD-71001.raw.1.zip	P-GSE71001-1	ArrayExpress	GSM1824875_sample_table.txt norm	GSM1824875_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71001/E-GEOD-71001.processed.1.zip	wild type	sodium chloride	150	millimolar	6	hour
GSM1824874 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	6	week	root	wild type	none	S09_WT_3.CEL	WT_seedling_NaCl_3 h	WT_3 Biological Rep 3	P-GSE71001-2	ArrayExpress	P-GSE71001-3	ArrayExpress	P-GSE71001-4	ArrayExpress	GSM1824874 extract 1	total RNA	P-GSE71001-5	ArrayExpress	GSM1824874 LE 1	biotin	P-GSE71001-6	ArrayExpress	GSM1824874	A-AFFY-2	ArrayExpress	array assay	P-GSE71001-7	ArrayExpress	GSM1824874_S09_WT_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71001/E-GEOD-71001.raw.1.zip	P-GSE71001-1	ArrayExpress	GSM1824874_sample_table.txt norm	GSM1824874_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71001/E-GEOD-71001.processed.1.zip	wild type	sodium chloride	150	millimolar	3	hour
GSM1824873 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	6	week	root	wild type	none	S08_WT_3.CEL	WT_seedling_NaCl_3 h	WT_3 Biological Rep 2	P-GSE71001-2	ArrayExpress	P-GSE71001-3	ArrayExpress	P-GSE71001-4	ArrayExpress	GSM1824873 extract 1	total RNA	P-GSE71001-5	ArrayExpress	GSM1824873 LE 1	biotin	P-GSE71001-6	ArrayExpress	GSM1824873	A-AFFY-2	ArrayExpress	array assay	P-GSE71001-7	ArrayExpress	GSM1824873_S08_WT_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71001/E-GEOD-71001.raw.1.zip	P-GSE71001-1	ArrayExpress	GSM1824873_sample_table.txt norm	GSM1824873_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71001/E-GEOD-71001.processed.1.zip	wild type	sodium chloride	150	millimolar	3	hour
GSM1824872 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	6	week	root	wild type	none	S07_WT_3.CEL	WT_seedling_NaCl_3 h	WT_3 Biological Rep 1	P-GSE71001-2	ArrayExpress	P-GSE71001-3	ArrayExpress	P-GSE71001-4	ArrayExpress	GSM1824872 extract 1	total RNA	P-GSE71001-5	ArrayExpress	GSM1824872 LE 1	biotin	P-GSE71001-6	ArrayExpress	GSM1824872	A-AFFY-2	ArrayExpress	array assay	P-GSE71001-7	ArrayExpress	GSM1824872_S07_WT_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71001/E-GEOD-71001.raw.1.zip	P-GSE71001-1	ArrayExpress	GSM1824872_sample_table.txt norm	GSM1824872_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71001/E-GEOD-71001.processed.1.zip	wild type	sodium chloride	150	millimolar	3	hour
GSM1824871 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	6	week	root	wild type	none	S06_WT_1.CEL	WT_seedling_NaCl_1 h	WT_1 Biological Rep 3	P-GSE71001-2	ArrayExpress	P-GSE71001-3	ArrayExpress	P-GSE71001-4	ArrayExpress	GSM1824871 extract 1	total RNA	P-GSE71001-5	ArrayExpress	GSM1824871 LE 1	biotin	P-GSE71001-6	ArrayExpress	GSM1824871	A-AFFY-2	ArrayExpress	array assay	P-GSE71001-7	ArrayExpress	GSM1824871_S06_WT_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71001/E-GEOD-71001.raw.1.zip	P-GSE71001-1	ArrayExpress	GSM1824871_sample_table.txt norm	GSM1824871_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71001/E-GEOD-71001.processed.1.zip	wild type	sodium chloride	150	millimolar	1	hour
GSM1824870 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	6	week	root	wild type	none	S05_WT_1.CEL	WT_seedling_NaCl_1 h	WT_1 Biological Rep 2	P-GSE71001-2	ArrayExpress	P-GSE71001-3	ArrayExpress	P-GSE71001-4	ArrayExpress	GSM1824870 extract 1	total RNA	P-GSE71001-5	ArrayExpress	GSM1824870 LE 1	biotin	P-GSE71001-6	ArrayExpress	GSM1824870	A-AFFY-2	ArrayExpress	array assay	P-GSE71001-7	ArrayExpress	GSM1824870_S05_WT_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71001/E-GEOD-71001.raw.1.zip	P-GSE71001-1	ArrayExpress	GSM1824870_sample_table.txt norm	GSM1824870_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71001/E-GEOD-71001.processed.1.zip	wild type	sodium chloride	150	millimolar	1	hour
GSM1824869 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	6	week	root	wild type	none	S04_WT_1.CEL	WT_seedling_NaCl_1 h	WT_1 Biological Rep 1	P-GSE71001-2	ArrayExpress	P-GSE71001-3	ArrayExpress	P-GSE71001-4	ArrayExpress	GSM1824869 extract 1	total RNA	P-GSE71001-5	ArrayExpress	GSM1824869 LE 1	biotin	P-GSE71001-6	ArrayExpress	GSM1824869	A-AFFY-2	ArrayExpress	array assay	P-GSE71001-7	ArrayExpress	GSM1824869_S04_WT_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71001/E-GEOD-71001.raw.1.zip	P-GSE71001-1	ArrayExpress	GSM1824869_sample_table.txt norm	GSM1824869_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71001/E-GEOD-71001.processed.1.zip	wild type	sodium chloride	150	millimolar	1	hour
GSM1824868 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	6	week	root	wild type	none	S03_WT_C.CEL	WT_seedling_NaCl_Control	WT_C Biological Rep 3	P-GSE71001-2	ArrayExpress	P-GSE71001-3	ArrayExpress	P-GSE71001-4	ArrayExpress	GSM1824868 extract 1	total RNA	P-GSE71001-5	ArrayExpress	GSM1824868 LE 1	biotin	P-GSE71001-6	ArrayExpress	GSM1824868	A-AFFY-2	ArrayExpress	array assay	P-GSE71001-7	ArrayExpress	GSM1824868_S03_WT_C.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71001/E-GEOD-71001.raw.1.zip	P-GSE71001-1	ArrayExpress	GSM1824868_sample_table.txt norm	GSM1824868_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71001/E-GEOD-71001.processed.1.zip	wild type	control	0	millimolar	0	hour
GSM1824867 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	6	week	root	wild type	none	S02_WT_C.CEL	WT_seedling_NaCl_Control	WT_C Biological Rep 2	P-GSE71001-2	ArrayExpress	P-GSE71001-3	ArrayExpress	P-GSE71001-4	ArrayExpress	GSM1824867 extract 1	total RNA	P-GSE71001-5	ArrayExpress	GSM1824867 LE 1	biotin	P-GSE71001-6	ArrayExpress	GSM1824867	A-AFFY-2	ArrayExpress	array assay	P-GSE71001-7	ArrayExpress	GSM1824867_S02_WT_C.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71001/E-GEOD-71001.raw.1.zip	P-GSE71001-1	ArrayExpress	GSM1824867_sample_table.txt norm	GSM1824867_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71001/E-GEOD-71001.processed.1.zip	wild type	control	0	millimolar	0	hour
GSM1824866 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	6	week	root	wild type	none	S01_WT_C.CEL	WT_seedling_NaCl_Control	WT_C Biological Rep 1	P-GSE71001-2	ArrayExpress	P-GSE71001-3	ArrayExpress	P-GSE71001-4	ArrayExpress	GSM1824866 extract 1	total RNA	P-GSE71001-5	ArrayExpress	GSM1824866 LE 1	biotin	P-GSE71001-6	ArrayExpress	GSM1824866	A-AFFY-2	ArrayExpress	array assay	P-GSE71001-7	ArrayExpress	GSM1824866_S01_WT_C.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71001/E-GEOD-71001.raw.1.zip	P-GSE71001-1	ArrayExpress	GSM1824866_sample_table.txt norm	GSM1824866_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71001/E-GEOD-71001.processed.1.zip	wild type	control	0	millimolar	0	hour
