Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics[ecotype]	Characteristics[developmental stage]	Characteristics[organism part]	Description	Protocol REF	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[organism part]	FactorValue[time]	Unit[time unit]
GSE5637GSM131781	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.19-1.21	developing leaf insertions	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: developing leaf insertions 19-21	P-G5637-7	GSE5637GSM131781 sample	GSE5637GSM131781 extract	total_RNA	GSE5637GSM131781 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A29_2-2hr_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Quick_A29_2-2hr_Rep2_ATH1	GSM131781.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5637/E-GEOD-5637.raw.1.zip	E-GEOD-5637-processed-data-1628509306.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5637/E-GEOD-5637.processed.1.zip	developing leaf insertions	2	hour
GSE5637GSM131784	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.19-1.21	developing leaf insertions	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: developing leaf insertions 19-21	P-G5637-10	GSE5637GSM131784 sample	GSE5637GSM131784 extract	total_RNA	GSE5637GSM131784 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A41_2-24hr_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Quick_A41_2-24hr_Rep2_ATH1	GSM131784.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5637/E-GEOD-5637.raw.1.zip	E-GEOD-5637-processed-data-1628509306.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5637/E-GEOD-5637.processed.1.zip	developing leaf insertions	24	hour
GSE5637GSM131793	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.19-1.21	developing leaf insertions	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: developing leaf insertions 19-21	P-G5637-19	GSE5637GSM131793 sample	GSE5637GSM131793 extract	total_RNA	GSE5637GSM131793 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A81_2-2hr_Rep4_ATH1	A-AFFY-2	P-AFFY-6	Quick_A81_2-2hr_Rep4_ATH1	GSM131793.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5637/E-GEOD-5637.raw.1.zip	E-GEOD-5637-processed-data-1628509306.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5637/E-GEOD-5637.processed.1.zip	developing leaf insertions	2	hour
GSE5637GSM131785	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.19-1.21	developing leaf insertions	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: developing leaf insertions 19-21	P-G5637-11	GSE5637GSM131785 sample	GSE5637GSM131785 extract	total_RNA	GSE5637GSM131785 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A45_2-48hr_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Quick_A45_2-48hr_Rep2_ATH1	GSM131785.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5637/E-GEOD-5637.raw.1.zip	E-GEOD-5637-processed-data-1628509306.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5637/E-GEOD-5637.processed.1.zip	developing leaf insertions	48	hour
GSE5637GSM131799	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.19-1.21	mature leaf	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: mature leaves	P-G5637-25	GSE5637GSM131799 sample	GSE5637GSM131799 extract	total_RNA	GSE5637GSM131799 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A106_2-24hr_Rep1m_ATH1	A-AFFY-2	P-AFFY-6	Quick_A106_2-24hr_Rep1m_ATH1	GSM131799.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5637/E-GEOD-5637.raw.1.zip	E-GEOD-5637-processed-data-1628509306.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5637/E-GEOD-5637.processed.1.zip	mature leaf	24	hour
GSE5637GSM131777	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.19-1.21	developing leaf insertions	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: developing leaf insertions 19-21	P-G5637-3	GSE5637GSM131777 sample	GSE5637GSM131777 extract	total_RNA	GSE5637GSM131777 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A11_2-12hr_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Quick_A11_2-12hr_Rep1_ATH1	GSM131777.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5637/E-GEOD-5637.raw.1.zip	E-GEOD-5637-processed-data-1628509306.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5637/E-GEOD-5637.processed.1.zip	developing leaf insertions	12	hour
GSE5637GSM131797	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.19-1.21	developing leaf insertions	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: developing leaf insertions 19-21	P-G5637-23	GSE5637GSM131797 sample	GSE5637GSM131797 extract	total_RNA	GSE5637GSM131797 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A97_2-48hr_Rep4_ATH1	A-AFFY-2	P-AFFY-6	Quick_A97_2-48hr_Rep4_ATH1	GSM131797.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5637/E-GEOD-5637.raw.1.zip	E-GEOD-5637-processed-data-1628509306.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5637/E-GEOD-5637.processed.1.zip	developing leaf insertions	48	hour
GSE5637GSM131775	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.19-1.21	developing leaf insertions	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: developing leaf insertions 19-21	P-G5637-1	GSE5637GSM131775 sample	GSE5637GSM131775 extract	total_RNA	GSE5637GSM131775 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A3_2-2hr_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Quick_A3_2-2hr_Rep1_ATH1	GSM131775.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5637/E-GEOD-5637.raw.1.zip	E-GEOD-5637-processed-data-1628509306.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5637/E-GEOD-5637.processed.1.zip	developing leaf insertions	2	hour
GSE5637GSM131779	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.19-1.21	developing leaf insertions	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: developing leaf insertions 19-21	P-G5637-5	GSE5637GSM131779 sample	GSE5637GSM131779 extract	total_RNA	GSE5637GSM131779 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A19_2-48hr_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Quick_A19_2-48hr_Rep1_ATH1	GSM131779.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5637/E-GEOD-5637.raw.1.zip	E-GEOD-5637-processed-data-1628509306.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5637/E-GEOD-5637.processed.1.zip	developing leaf insertions	48	hour
GSE5637GSM131786	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.19-1.21	developing leaf insertions	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: developing leaf insertions 19-21	P-G5637-12	GSE5637GSM131786 sample	GSE5637GSM131786 extract	total_RNA	GSE5637GSM131786 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A49_2-96hr_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Quick_A49_2-96hr_Rep2_ATH1	GSM131786.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5637/E-GEOD-5637.raw.1.zip	E-GEOD-5637-processed-data-1628509306.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5637/E-GEOD-5637.processed.1.zip	developing leaf insertions	96	hour
GSE5637GSM131788	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.19-1.21	developing leaf insertions	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: developing leaf insertions 19-21	P-G5637-14	GSE5637GSM131788 sample	GSE5637GSM131788 extract	total_RNA	GSE5637GSM131788 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A59_2-4hr-Rep3_ATH1	A-AFFY-2	P-AFFY-6	Quick_A59_2-4hr-Rep3_ATH1	GSM131788.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5637/E-GEOD-5637.raw.1.zip	E-GEOD-5637-processed-data-1628509306.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5637/E-GEOD-5637.processed.1.zip	developing leaf insertions	4	hour
GSE5637GSM131796	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.19-1.21	developing leaf insertions	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: developing leaf insertions 19-21	P-G5637-22	GSE5637GSM131796 sample	GSE5637GSM131796 extract	total_RNA	GSE5637GSM131796 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A93_2-24hr_Rep4_ATH1	A-AFFY-2	P-AFFY-6	Quick_A93_2-24hr_Rep4_ATH1	GSM131796.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5637/E-GEOD-5637.raw.1.zip	E-GEOD-5637-processed-data-1628509306.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5637/E-GEOD-5637.processed.1.zip	developing leaf insertions	24	hour
GSE5637GSM131783	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.19-1.21	developing leaf insertions	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: developing leaf insertions 19-21	P-G5637-9	GSE5637GSM131783 sample	GSE5637GSM131783 extract	total_RNA	GSE5637GSM131783 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A37_2-12hr_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Quick_A37_2-12hr_Rep2_ATH1	GSM131783.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5637/E-GEOD-5637.raw.1.zip	E-GEOD-5637-processed-data-1628509306.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5637/E-GEOD-5637.processed.1.zip	developing leaf insertions	12	hour
GSE5637GSM131792	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.19-1.21	developing leaf insertions	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: developing leaf insertions 19-21	P-G5637-18	GSE5637GSM131792 sample	GSE5637GSM131792 extract	total_RNA	GSE5637GSM131792 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A75_2-96hr_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Quick_A75_2-96hr_Rep3_ATH1	GSM131792.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5637/E-GEOD-5637.raw.1.zip	E-GEOD-5637-processed-data-1628509306.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5637/E-GEOD-5637.processed.1.zip	developing leaf insertions	96	hour
GSE5637GSM131800	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.19-1.21	mature leaf	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: mature leaves	P-G5637-26	GSE5637GSM131800 sample	GSE5637GSM131800 extract	total_RNA	GSE5637GSM131800 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A110_2-24hr_Rep2m_ATH1	A-AFFY-2	P-AFFY-6	Quick_A110_2-24hr_Rep2m_ATH1	GSM131800.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5637/E-GEOD-5637.raw.1.zip	E-GEOD-5637-processed-data-1628509306.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5637/E-GEOD-5637.processed.1.zip	mature leaf	24	hour
