Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics[developmental stage]	Characteristics[organism part]	Characteristics[ecotype]	Characteristics[genotype]	Description	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[compound]	FactorValue[genotype]
GSE11852GSM299334	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seed	whole organism	Columbia	wild type	"Wild Type Germinating Seeds With Uniconazole Treatment Set 2 of 6:  Relative expression data from germinating seeds of Columbia (wt), the pkl mutant (pkl), Columbia plus uniconazole-P (Uwt) and the pkl-mutant plus uniconazole-P (Upkl). Each experimental condition (wt, pkl, Uwt and Upkl) has six biological replicates for a total of 24 chips. . Relative expression data from germinating seeds of Columbia treated with uniconazole (Uwt) after testa rupture and during endosperm rupture (radicle emergence)."	P-G11852-6	P-G11852-1	GSE11852GSM299334 sample	P-G11852-4	GSE11852GSM299334 extract	total_RNA	P-G11852-3	GSE11852GSM299334 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Wild Type Germinating Seeds With Uniconazole Treatment Set 2 of 6	A-AFFY-2	P-AFFY-6	Wild Type Germinating Seeds With Uniconazole Treatment Set 2 of 6	GSM299334.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11852/E-GEOD-11852.raw.1.zip	E-GEOD-11852-processed-data-1679308421.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11852/E-GEOD-11852.processed.1.zip	uniconazole	wild_type
GSE11852GSM299339	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seed	whole organism	Columbia	pkl mutant	"pkl Mutant Germinating Seeds With Uniconazole Treatment Set 1 of 6:  Relative expression data from germinating seeds of Columbia (wt), the pkl mutant (pkl), Columbia plus uniconazole-P (Uwt) and the pkl-mutant plus uniconazole-P (Upkl). Each experimental condition (wt, pkl, Uwt and Upkl) has six biological replicates for a total of 24 chips. . Relative expression data from germinating seeds of pkl mutant treated with uniconazole (Upkl) after testa rupture and during endosperm rupture (radicle emergence)."	P-G11852-5	P-G11852-1	GSE11852GSM299339 sample	P-G11852-4	GSE11852GSM299339 extract	total_RNA	P-G11852-3	GSE11852GSM299339 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	pkl Mutant Germinating Seeds With Uniconazole Treatment Set 1 of 6	A-AFFY-2	P-AFFY-6	pkl Mutant Germinating Seeds With Uniconazole Treatment Set 1 of 6	GSM299339.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11852/E-GEOD-11852.raw.1.zip	E-GEOD-11852-processed-data-1679308421.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11852/E-GEOD-11852.processed.1.zip	uniconazole	pkl mutant
GSE11852GSM299321	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seed	whole organism	Columbia	wild type	"Wild Type Germinating Seeds With Solvent Treatment Only Set 1 of 6:  Relative expression data from germinating seeds of Columbia (wt), the pkl mutant (pkl), Columbia plus uniconazole-P (Uwt) and the pkl-mutant plus uniconazole-P (Upkl). Each experimental condition (wt, pkl, Uwt and Upkl) has six biological replicates for a total of 24 chips. . Relative expression data from germinating seeds of Columbia (wt) after testa rupture and during endosperm rupture (radicle emergence)."	P-G11852-2	P-G11852-1	GSE11852GSM299321 sample	P-G11852-4	GSE11852GSM299321 extract	total_RNA	P-G11852-3	GSE11852GSM299321 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Wild Type Germinating Seeds With Solvent Treatment Only Set 1 of 6	A-AFFY-2	P-AFFY-6	Wild Type Germinating Seeds With Solvent Treatment Only Set 1 of 6	GSM299321.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11852/E-GEOD-11852.raw.1.zip	E-GEOD-11852-processed-data-1679308421.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11852/E-GEOD-11852.processed.1.zip	none	wild_type
GSE11852GSM299329	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seed	whole organism	Columbia	pkl mutant	"pkl Mutant Germinating Seeds With Solvent Treatment Only Set 3 of 6:  Relative expression data from germinating seeds of Columbia (wt), the pkl mutant (pkl), Columbia plus uniconazole-P (Uwt) and the pkl-mutant plus uniconazole-P (Upkl). Each experimental condition (wt, pkl, Uwt and Upkl) has six biological replicates for a total of 24 chips. . Relative expression data from germinating seeds of pkl mutant (pkl) after testa rupture and during endosperm rupture (radicle emergence)."	P-G11852-2	P-G11852-1	GSE11852GSM299329 sample	P-G11852-4	GSE11852GSM299329 extract	total_RNA	P-G11852-3	GSE11852GSM299329 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	pkl Mutant Germinating Seeds With Solvent Treatment Only Set 3 of 6	A-AFFY-2	P-AFFY-6	pkl Mutant Germinating Seeds With Solvent Treatment Only Set 3 of 6	GSM299329.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11852/E-GEOD-11852.raw.1.zip	E-GEOD-11852-processed-data-1679308421.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11852/E-GEOD-11852.processed.1.zip	none	pkl mutant
GSE11852GSM299331	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seed	whole organism	Columbia	pkl mutant	"pkl Mutant Germinating Seeds With Solvent Treatment Only Set 5 of 6:  Relative expression data from germinating seeds of Columbia (wt), the pkl mutant (pkl), Columbia plus uniconazole-P (Uwt) and the pkl-mutant plus uniconazole-P (Upkl). Each experimental condition (wt, pkl, Uwt and Upkl) has six biological replicates for a total of 24 chips. . Relative expression data from germinating seeds of pkl mutant (pkl) after testa rupture and during endosperm rupture (radicle emergence)."	P-G11852-2	P-G11852-1	GSE11852GSM299331 sample	P-G11852-4	GSE11852GSM299331 extract	total_RNA	P-G11852-3	GSE11852GSM299331 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	pkl Mutant Germinating Seeds With Solvent Treatment Only Set 5 of 6	A-AFFY-2	P-AFFY-6	pkl Mutant Germinating Seeds With Solvent Treatment Only Set 5 of 6	GSM299331.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11852/E-GEOD-11852.raw.1.zip	E-GEOD-11852-processed-data-1679308421.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11852/E-GEOD-11852.processed.1.zip	none	pkl mutant
GSE11852GSM299337	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seed	whole organism	Columbia	wild type	"Wild Type Germinating Seeds With Uniconazole Treatment Set 5 of 6:  Relative expression data from germinating seeds of Columbia (wt), the pkl mutant (pkl), Columbia plus uniconazole-P (Uwt) and the pkl-mutant plus uniconazole-P (Upkl). Each experimental condition (wt, pkl, Uwt and Upkl) has six biological replicates for a total of 24 chips. . Relative expression data from germinating seeds of Columbia treated with uniconazole (Uwt) after testa rupture and during endosperm rupture (radicle emergence)."	P-G11852-5	P-G11852-1	GSE11852GSM299337 sample	P-G11852-4	GSE11852GSM299337 extract	total_RNA	P-G11852-3	GSE11852GSM299337 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Wild Type Germinating Seeds With Uniconazole Treatment Set 5 of 6	A-AFFY-2	P-AFFY-6	Wild Type Germinating Seeds With Uniconazole Treatment Set 5 of 6	GSM299337.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11852/E-GEOD-11852.raw.1.zip	E-GEOD-11852-processed-data-1679308421.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11852/E-GEOD-11852.processed.1.zip	uniconazole	wild_type
GSE11852GSM299408	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seed	whole organism	Columbia	pkl mutant	"pkl Mutant Germinating Seeds With Uniconazole Treatment Set 4 of 6:  Relative expression data from germinating seeds of Columbia (wt), the pkl mutant (pkl), Columbia plus uniconazole-P (Uwt) and the pkl-mutant plus uniconazole-P (Upkl). Each experimental condition (wt, pkl, Uwt and Upkl) has six biological replicates for a total of 24 chips. . Relative expression data from germinating seeds of pkl mutant treated with uniconazole (Upkl) after testa rupture and during endosperm rupture (radicle emergence)."	P-G11852-5	P-G11852-1	GSE11852GSM299408 sample	P-G11852-4	GSE11852GSM299408 extract	total_RNA	P-G11852-3	GSE11852GSM299408 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	pkl Mutant Germinating Seeds With Uniconazole Treatment Set 4 of 6	A-AFFY-2	P-AFFY-6	pkl Mutant Germinating Seeds With Uniconazole Treatment Set 4 of 6	GSM299408.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11852/E-GEOD-11852.raw.1.zip	E-GEOD-11852-processed-data-1679308421.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11852/E-GEOD-11852.processed.1.zip	uniconazole	pkl mutant
GSE11852GSM299338	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seed	whole organism	Columbia	wild type	"Wild Type Germinating Seeds With Uniconazole Treatment Set 6 of 6:  Relative expression data from germinating seeds of Columbia (wt), the pkl mutant (pkl), Columbia plus uniconazole-P (Uwt) and the pkl-mutant plus uniconazole-P (Upkl). Each experimental condition (wt, pkl, Uwt and Upkl) has six biological replicates for a total of 24 chips. . Relative expression data from germinating seeds of Columbia treated with uniconazole (Uwt) after testa rupture and during endosperm rupture (radicle emergence)."	P-G11852-5	P-G11852-1	GSE11852GSM299338 sample	P-G11852-4	GSE11852GSM299338 extract	total_RNA	P-G11852-3	GSE11852GSM299338 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Wild Type Germinating Seeds With Uniconazole Treatment Set 6 of 6	A-AFFY-2	P-AFFY-6	Wild Type Germinating Seeds With Uniconazole Treatment Set 6 of 6	GSM299338.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11852/E-GEOD-11852.raw.1.zip	E-GEOD-11852-processed-data-1679308421.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11852/E-GEOD-11852.processed.1.zip	uniconazole	wild_type
GSE11852GSM299335	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seed	whole organism	Columbia	wild type	"Wild Type Germinating Seeds With Uniconazole Treatment Set 3 of 6:  Relative expression data from germinating seeds of Columbia (wt), the pkl mutant (pkl), Columbia plus uniconazole-P (Uwt) and the pkl-mutant plus uniconazole-P (Upkl). Each experimental condition (wt, pkl, Uwt and Upkl) has six biological replicates for a total of 24 chips. . Relative expression data from germinating seeds of Columbia treated with uniconazole (Uwt) after testa rupture and during endosperm rupture (radicle emergence)."	P-G11852-5	P-G11852-1	GSE11852GSM299335 sample	P-G11852-4	GSE11852GSM299335 extract	total_RNA	P-G11852-3	GSE11852GSM299335 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Wild Type Germinating Seeds With Uniconazole Treatment Set 3 of 6	A-AFFY-2	P-AFFY-6	Wild Type Germinating Seeds With Uniconazole Treatment Set 3 of 6	GSM299335.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11852/E-GEOD-11852.raw.1.zip	E-GEOD-11852-processed-data-1679308421.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11852/E-GEOD-11852.processed.1.zip	uniconazole	wild_type
GSE11852GSM299341	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seed	whole organism	Columbia	pkl mutant	"pkl Mutant Germinating Seeds With Uniconazole Treatment Set 3 of 6:  Relative expression data from germinating seeds of Columbia (wt), the pkl mutant (pkl), Columbia plus uniconazole-P (Uwt) and the pkl-mutant plus uniconazole-P (Upkl). Each experimental condition (wt, pkl, Uwt and Upkl) has six biological replicates for a total of 24 chips. . Relative expression data from germinating seeds of pkl mutant treated with uniconazole (Upkl) after testa rupture and during endosperm rupture (radicle emergence)."	P-G11852-5	P-G11852-1	GSE11852GSM299341 sample	P-G11852-4	GSE11852GSM299341 extract	total_RNA	P-G11852-3	GSE11852GSM299341 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	pkl Mutant Germinating Seeds With Uniconazole Treatment Set 3 of 6	A-AFFY-2	P-AFFY-6	pkl Mutant Germinating Seeds With Uniconazole Treatment Set 3 of 6	GSM299341.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11852/E-GEOD-11852.raw.1.zip	E-GEOD-11852-processed-data-1679308421.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11852/E-GEOD-11852.processed.1.zip	uniconazole	pkl mutant
