Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[accession]	Characteristics[ecotype]	Characteristics[organism part]	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [ACCESSION]	FactorValue [ECOTYPE]	FactorValue [ORGANISM PART]	Term Source REF	Term Accession Number	FactorValue [TREATMENT]
GSM680402 1	cRNA hybridizations to explore gene expression	rosette leaf	leaf_Ull2-5_dry_1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS22586	  	rosette leaf	EFO	EFO_0001984	P-GSE27552-3	P-GSE27552-2	P-GSE27552-4	GSM680402 extract 1	total RNA	P-GSE27552-5	GSM680402 LE 1	biotin	P-GSE27552-6	GSM680402	A-GEOD-13230	  	P-GSE27552-7	P-GSE27552-8	GSM680402.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27552/E-GEOD-27552.raw.1.zip	P-GSE27552-1	GSM680402_sample_table.txt norm	GSM680402_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27552/E-GEOD-27552.processed.1.zip	CS22586	not specified	rosette leaf	EFO	EFO_0001984	Dry
GSM680401 1	cRNA hybridizations to explore gene expression	rosette leaf	leaf_Tamm-2_wet_3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS22604	  	rosette leaf	EFO	EFO_0001984	P-GSE27552-3	P-GSE27552-2	P-GSE27552-4	GSM680401 extract 1	total RNA	P-GSE27552-5	GSM680401 LE 1	biotin	P-GSE27552-6	GSM680401	A-GEOD-13230	  	P-GSE27552-7	P-GSE27552-8	GSM680401.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27552/E-GEOD-27552.raw.1.zip	P-GSE27552-1	GSM680401_sample_table.txt norm	GSM680401_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27552/E-GEOD-27552.processed.1.zip	CS22604	not specified	rosette leaf	EFO	EFO_0001984	Wet
GSM680400 1	cRNA hybridizations to explore gene expression	rosette leaf	leaf_Tamm-2_dry_3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS22604	  	rosette leaf	EFO	EFO_0001984	P-GSE27552-3	P-GSE27552-2	P-GSE27552-4	GSM680400 extract 1	total RNA	P-GSE27552-5	GSM680400 LE 1	biotin	P-GSE27552-6	GSM680400	A-GEOD-13230	  	P-GSE27552-7	P-GSE27552-8	GSM680400.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27552/E-GEOD-27552.raw.1.zip	P-GSE27552-1	GSM680400_sample_table.txt norm	GSM680400_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27552/E-GEOD-27552.processed.1.zip	CS22604	not specified	rosette leaf	EFO	EFO_0001984	Dry
GSM680399 1	cRNA hybridizations to explore gene expression	rosette leaf	leaf_Tamm-2_wet_2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS22604	  	rosette leaf	EFO	EFO_0001984	P-GSE27552-3	P-GSE27552-2	P-GSE27552-4	GSM680399 extract 1	total RNA	P-GSE27552-5	GSM680399 LE 1	biotin	P-GSE27552-6	GSM680399	A-GEOD-13230	  	P-GSE27552-7	P-GSE27552-8	GSM680399.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27552/E-GEOD-27552.raw.1.zip	P-GSE27552-1	GSM680399_sample_table.txt norm	GSM680399_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27552/E-GEOD-27552.processed.1.zip	CS22604	not specified	rosette leaf	EFO	EFO_0001984	Wet
GSM680398 1	cRNA hybridizations to explore gene expression	rosette leaf	leaf_Tamm-2_dry_2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS22604	  	rosette leaf	EFO	EFO_0001984	P-GSE27552-3	P-GSE27552-2	P-GSE27552-4	GSM680398 extract 1	total RNA	P-GSE27552-5	GSM680398 LE 1	biotin	P-GSE27552-6	GSM680398	A-GEOD-13230	  	P-GSE27552-7	P-GSE27552-8	GSM680398.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27552/E-GEOD-27552.raw.1.zip	P-GSE27552-1	GSM680398_sample_table.txt norm	GSM680398_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27552/E-GEOD-27552.processed.1.zip	CS22604	not specified	rosette leaf	EFO	EFO_0001984	Dry
GSM680397 1	cRNA hybridizations to explore gene expression	rosette leaf	leaf_Tamm-2_wet_1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS22604	  	rosette leaf	EFO	EFO_0001984	P-GSE27552-3	P-GSE27552-2	P-GSE27552-4	GSM680397 extract 1	total RNA	P-GSE27552-5	GSM680397 LE 1	biotin	P-GSE27552-6	GSM680397	A-GEOD-13230	  	P-GSE27552-7	P-GSE27552-8	GSM680397.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27552/E-GEOD-27552.raw.1.zip	P-GSE27552-1	GSM680397_sample_table.txt norm	GSM680397_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27552/E-GEOD-27552.processed.1.zip	CS22604	not specified	rosette leaf	EFO	EFO_0001984	Wet
GSM680396 1	cRNA hybridizations to explore gene expression	rosette leaf	leaf_Tamm-2_dry_1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS22604	  	rosette leaf	EFO	EFO_0001984	P-GSE27552-3	P-GSE27552-2	P-GSE27552-4	GSM680396 extract 1	total RNA	P-GSE27552-5	GSM680396 LE 1	biotin	P-GSE27552-6	GSM680396	A-GEOD-13230	  	P-GSE27552-7	P-GSE27552-8	GSM680396.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27552/E-GEOD-27552.raw.1.zip	P-GSE27552-1	GSM680396_sample_table.txt norm	GSM680396_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27552/E-GEOD-27552.processed.1.zip	CS22604	not specified	rosette leaf	EFO	EFO_0001984	Dry
GSM680395 1	cRNA hybridizations to explore gene expression	rosette leaf	leaf_Omo2-3_wet_3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS22585	  	rosette leaf	EFO	EFO_0001984	P-GSE27552-3	P-GSE27552-2	P-GSE27552-4	GSM680395 extract 1	total RNA	P-GSE27552-5	GSM680395 LE 1	biotin	P-GSE27552-6	GSM680395	A-GEOD-13230	  	P-GSE27552-7	P-GSE27552-8	GSM680395.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27552/E-GEOD-27552.raw.1.zip	P-GSE27552-1	GSM680395_sample_table.txt norm	GSM680395_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27552/E-GEOD-27552.processed.1.zip	CS22585	not specified	rosette leaf	EFO	EFO_0001984	Wet
GSM680394 1	cRNA hybridizations to explore gene expression	rosette leaf	leaf_Omo2-3_dry_3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS22585	  	rosette leaf	EFO	EFO_0001984	P-GSE27552-3	P-GSE27552-2	P-GSE27552-4	GSM680394 extract 1	total RNA	P-GSE27552-5	GSM680394 LE 1	biotin	P-GSE27552-6	GSM680394	A-GEOD-13230	  	P-GSE27552-7	P-GSE27552-8	GSM680394.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27552/E-GEOD-27552.raw.1.zip	P-GSE27552-1	GSM680394_sample_table.txt norm	GSM680394_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27552/E-GEOD-27552.processed.1.zip	CS22585	not specified	rosette leaf	EFO	EFO_0001984	Dry
GSM680393 1	cRNA hybridizations to explore gene expression	rosette leaf	leaf_Omo2-3_wet_2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS22585	  	rosette leaf	EFO	EFO_0001984	P-GSE27552-3	P-GSE27552-2	P-GSE27552-4	GSM680393 extract 1	total RNA	P-GSE27552-5	GSM680393 LE 1	biotin	P-GSE27552-6	GSM680393	A-GEOD-13230	  	P-GSE27552-7	P-GSE27552-8	GSM680393.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27552/E-GEOD-27552.raw.1.zip	P-GSE27552-1	GSM680393_sample_table.txt norm	GSM680393_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27552/E-GEOD-27552.processed.1.zip	CS22585	not specified	rosette leaf	EFO	EFO_0001984	Wet
GSM680392 1	cRNA hybridizations to explore gene expression	rosette leaf	leaf_Omo2-3_dry_2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS22585	  	rosette leaf	EFO	EFO_0001984	P-GSE27552-3	P-GSE27552-2	P-GSE27552-4	GSM680392 extract 1	total RNA	P-GSE27552-5	GSM680392 LE 1	biotin	P-GSE27552-6	GSM680392	A-GEOD-13230	  	P-GSE27552-7	P-GSE27552-8	GSM680392.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27552/E-GEOD-27552.raw.1.zip	P-GSE27552-1	GSM680392_sample_table.txt norm	GSM680392_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27552/E-GEOD-27552.processed.1.zip	CS22585	not specified	rosette leaf	EFO	EFO_0001984	Dry
GSM680391 1	cRNA hybridizations to explore gene expression	rosette leaf	leaf_Omo2-3_wet_1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS22585	  	rosette leaf	EFO	EFO_0001984	P-GSE27552-3	P-GSE27552-2	P-GSE27552-4	GSM680391 extract 1	total RNA	P-GSE27552-5	GSM680391 LE 1	biotin	P-GSE27552-6	GSM680391	A-GEOD-13230	  	P-GSE27552-7	P-GSE27552-8	GSM680391.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27552/E-GEOD-27552.raw.1.zip	P-GSE27552-1	GSM680391_sample_table.txt norm	GSM680391_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27552/E-GEOD-27552.processed.1.zip	CS22585	not specified	rosette leaf	EFO	EFO_0001984	Wet
GSM680390 1	cRNA hybridizations to explore gene expression	rosette leaf	leaf_Omo2-3_dry_1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS22585	  	rosette leaf	EFO	EFO_0001984	P-GSE27552-3	P-GSE27552-2	P-GSE27552-4	GSM680390 extract 1	total RNA	P-GSE27552-5	GSM680390 LE 1	biotin	P-GSE27552-6	GSM680390	A-GEOD-13230	  	P-GSE27552-7	P-GSE27552-8	GSM680390.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27552/E-GEOD-27552.raw.1.zip	P-GSE27552-1	GSM680390_sample_table.txt norm	GSM680390_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27552/E-GEOD-27552.processed.1.zip	CS22585	not specified	rosette leaf	EFO	EFO_0001984	Dry
GSM680389 1	cRNA hybridizations to explore gene expression	rosette leaf	leaf_Got-22_wet_3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS22609	  	rosette leaf	EFO	EFO_0001984	P-GSE27552-3	P-GSE27552-2	P-GSE27552-4	GSM680389 extract 1	total RNA	P-GSE27552-5	GSM680389 LE 1	biotin	P-GSE27552-6	GSM680389	A-GEOD-13230	  	P-GSE27552-7	P-GSE27552-8	GSM680389.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27552/E-GEOD-27552.raw.1.zip	P-GSE27552-1	GSM680389_sample_table.txt norm	GSM680389_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27552/E-GEOD-27552.processed.1.zip	CS22609	not specified	rosette leaf	EFO	EFO_0001984	Wet
GSM680388 1	cRNA hybridizations to explore gene expression	rosette leaf	leaf_Got-22_dry_3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS22609	  	rosette leaf	EFO	EFO_0001984	P-GSE27552-3	P-GSE27552-2	P-GSE27552-4	GSM680388 extract 1	total RNA	P-GSE27552-5	GSM680388 LE 1	biotin	P-GSE27552-6	GSM680388	A-GEOD-13230	  	P-GSE27552-7	P-GSE27552-8	GSM680388.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27552/E-GEOD-27552.raw.1.zip	P-GSE27552-1	GSM680388_sample_table.txt norm	GSM680388_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27552/E-GEOD-27552.processed.1.zip	CS22609	not specified	rosette leaf	EFO	EFO_0001984	Dry
GSM680387 1	cRNA hybridizations to explore gene expression	rosette leaf	leaf_Got-22_wet_2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS22609	  	rosette leaf	EFO	EFO_0001984	P-GSE27552-3	P-GSE27552-2	P-GSE27552-4	GSM680387 extract 1	total RNA	P-GSE27552-5	GSM680387 LE 1	biotin	P-GSE27552-6	GSM680387	A-GEOD-13230	  	P-GSE27552-7	P-GSE27552-8	GSM680387.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27552/E-GEOD-27552.raw.1.zip	P-GSE27552-1	GSM680387_sample_table.txt norm	GSM680387_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27552/E-GEOD-27552.processed.1.zip	CS22609	not specified	rosette leaf	EFO	EFO_0001984	Wet
GSM680386 1	cRNA hybridizations to explore gene expression	rosette leaf	leaf_Got-22_dry_2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS22609	  	rosette leaf	EFO	EFO_0001984	P-GSE27552-3	P-GSE27552-2	P-GSE27552-4	GSM680386 extract 1	total RNA	P-GSE27552-5	GSM680386 LE 1	biotin	P-GSE27552-6	GSM680386	A-GEOD-13230	  	P-GSE27552-7	P-GSE27552-8	GSM680386.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27552/E-GEOD-27552.raw.1.zip	P-GSE27552-1	GSM680386_sample_table.txt norm	GSM680386_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27552/E-GEOD-27552.processed.1.zip	CS22609	not specified	rosette leaf	EFO	EFO_0001984	Dry
GSM680385 1	cRNA hybridizations to explore gene expression	rosette leaf	leaf_Got-22_wet_1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS22609	  	rosette leaf	EFO	EFO_0001984	P-GSE27552-3	P-GSE27552-2	P-GSE27552-4	GSM680385 extract 1	total RNA	P-GSE27552-5	GSM680385 LE 1	biotin	P-GSE27552-6	GSM680385	A-GEOD-13230	  	P-GSE27552-7	P-GSE27552-8	GSM680385.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27552/E-GEOD-27552.raw.1.zip	P-GSE27552-1	GSM680385_sample_table.txt norm	GSM680385_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27552/E-GEOD-27552.processed.1.zip	CS22609	not specified	rosette leaf	EFO	EFO_0001984	Wet
GSM680384 1	cRNA hybridizations to explore gene expression	rosette leaf	leaf_Got-22_dry_1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS22609	  	rosette leaf	EFO	EFO_0001984	P-GSE27552-3	P-GSE27552-2	P-GSE27552-4	GSM680384 extract 1	total RNA	P-GSE27552-5	GSM680384 LE 1	biotin	P-GSE27552-6	GSM680384	A-GEOD-13230	  	P-GSE27552-7	P-GSE27552-8	GSM680384.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27552/E-GEOD-27552.raw.1.zip	P-GSE27552-1	GSM680384_sample_table.txt norm	GSM680384_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27552/E-GEOD-27552.processed.1.zip	CS22609	not specified	rosette leaf	EFO	EFO_0001984	Dry
