Source Name	Characteristics [Age]	Characteristics [TimeUnit]	Characteristics [GeneticModification]	Term Source REF	Term Accession Number	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [Ecotype]	Characteristics [Genotype]	Characteristics [TargetedCellType]	Characteristics [OrganismPart]	Characteristics [DevelopmentalStage]	Term Source REF	Term Accession Number	Characteristics [BioSourceType]	Protocol REF	Parameter Value [min temperature]	Parameter Value [start time]	Protocol REF	Sample Name	Protocol REF	Parameter Value [Extracted product]	Parameter Value [Amplification]	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Factor Value [genotype]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
Wildtype batch 3b	5	weeks	  	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	wild_type	mature pollen grains	pollen grain	adult	EFO	EFO_0001272	fresh_sample	P-MEXP-64246	22	6	P-MEXP-64247	Wildtype batch 3b	P-MEXP-64259	total RNA	none	Wildtype batch 3b	total_RNA	P-AFFY-2	Wildtype batch 3b	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	Wildtype batch 3b	A-AFFY-2	P-AFFY-6	wild_type	Wildtype batch 3b	Wildtypebatch3b.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1138/E-MEXP-1138.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1138-processed-data-1593097161.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1138/E-MEXP-1138.processed.1.zip
Wildtype batch 1a	5	weeks	  	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	wild_type	mature pollen grains	pollen grain	adult	EFO	EFO_0001272	fresh_sample	P-MEXP-64246	22	6	P-MEXP-64247	Wildtype batch 1a	P-MEXP-64259	total RNA	none	Wildtype batch 1a	total_RNA	P-AFFY-2	Wildtype batch 1a	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	Wildtype batch 1a	A-AFFY-2	P-AFFY-6	wild_type	Wildtype batch 1a	Wildtypebatch1a.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1138/E-MEXP-1138.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1138-processed-data-1593097161.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1138/E-MEXP-1138.processed.1.zip
agl66 batch 1b	5	weeks	gene_knock_out	EFO	EFO_0000506	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	agl66 mutant SALK_072108	mature pollen grains	pollen grain	adult	EFO	EFO_0001272	fresh_sample	P-MEXP-64246	22	6	P-MEXP-64247	agl66 batch 1b	P-MEXP-64259	total RNA	none	agl66 batch 1b	total_RNA	P-AFFY-2	agl66 batch 1b	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	agl66 batch 1b	A-AFFY-2	P-AFFY-6	agl66 mutant SALK_072108	agl66 batch 1b	agl66batch1b.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1138/E-MEXP-1138.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-1138-processed-data-1593097161.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1138/E-MEXP-1138.processed.1.zip
Wildtype batch 2b	5	weeks	  	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	wild_type	mature pollen grains	pollen grain	adult	EFO	EFO_0001272	fresh_sample	P-MEXP-64246	22	6	P-MEXP-64247	Wildtype batch 2b	P-MEXP-64259	total RNA	none	Wildtype batch 2b	total_RNA	P-AFFY-2	Wildtype batch 2b	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	Wildtype batch 2b	A-AFFY-2	P-AFFY-6	wild_type	Wildtype batch 2b	Wildtypebatch2b.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1138/E-MEXP-1138.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-1138-processed-data-1593097161.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1138/E-MEXP-1138.processed.1.zip
agl65_66_104 batch 4c	5	weeks	gene_knock_out	EFO	EFO_0000506	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	agl65/agl66/agl104 triple mutant (SALK_009651, SALK_072108, SALK_098698)	mature pollen grains	pollen grain	adult	EFO	EFO_0001272	fresh_sample	P-MEXP-64246	22	6	P-MEXP-64247	agl65_66_104 batch 4c	P-MEXP-64259	total RNA	none	agl65_66_104 batch 4c	total_RNA	P-AFFY-2	agl65_66_104 batch 4c	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	agl65_66_104 batch 4c	A-AFFY-2	P-AFFY-6	agl65/agl66/agl104 triple mutant (SALK_009651, SALK_072108, SALK_098698)	agl65_66_104 batch 4c	agl65_66_104batch4c.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1138/E-MEXP-1138.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1138-processed-data-1593097161.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1138/E-MEXP-1138.processed.1.zip
agl94 batch 2a	5	weeks	gene_knock_out	EFO	EFO_0000506	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	agl94 mutant SALK_098698	mature pollen grains	pollen grain	adult	EFO	EFO_0001272	fresh_sample	P-MEXP-64246	22	6	P-MEXP-64247	agl94 batch 2a	P-MEXP-64259	total RNA	none	agl94 batch 2a	total_RNA	P-AFFY-2	agl94 batch 2a	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	agl94 batch 2a	A-AFFY-2	P-AFFY-6	agl94 mutant SALK_098698	agl94 batch 2a	agl94batch2a.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1138/E-MEXP-1138.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1138-processed-data-1593097161.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1138/E-MEXP-1138.processed.1.zip
agl65_66_104 batch 4b	5	weeks	gene_knock_out	EFO	EFO_0000506	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	agl65/agl66/agl104 triple mutant (SALK_009651, SALK_072108, SALK_098698)	mature pollen grains	pollen grain	adult	EFO	EFO_0001272	fresh_sample	P-MEXP-64246	22	6	P-MEXP-64247	agl65_66_104 batch 4b	P-MEXP-64259	total RNA	none	agl65_66_104 batch 4b	total_RNA	P-AFFY-2	agl65_66_104 batch 4b	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	agl65_66_104 batch 4b	A-AFFY-2	P-AFFY-6	agl65/agl66/agl104 triple mutant (SALK_009651, SALK_072108, SALK_098698)	agl65_66_104 batch 4b	agl65_66_104batch4b.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1138/E-MEXP-1138.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1138-processed-data-1593097161.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1138/E-MEXP-1138.processed.1.zip
Wildtype batch 3a	5	weeks	  	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	wild_type	mature pollen grains	pollen grain	adult	EFO	EFO_0001272	fresh_sample	P-MEXP-64246	22	6	P-MEXP-64247	Wildtype batch 3a	P-MEXP-64259	total RNA	none	Wildtype batch 3a	total_RNA	P-AFFY-2	Wildtype batch 3a	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	Wildtype batch 3a	A-AFFY-2	P-AFFY-6	wild_type	Wildtype batch 3a	Wildtypebatch3a.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1138/E-MEXP-1138.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-1138-processed-data-1593097161.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1138/E-MEXP-1138.processed.1.zip
Wildtype batch 4a	5	weeks	  	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	wild_type	mature pollen grains	pollen grain	adult	EFO	EFO_0001272	fresh_sample	P-MEXP-64246	22	6	P-MEXP-64247	Wildtype batch 4a	P-MEXP-64259	total RNA	none	Wildtype batch 4a	total_RNA	P-AFFY-2	Wildtype batch 4a	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	Wildtype batch 4a	A-AFFY-2	P-AFFY-6	wild_type	Wildtype batch 4a	Wildtypebatch4a.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1138/E-MEXP-1138.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-1138-processed-data-1593097161.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1138/E-MEXP-1138.processed.1.zip
agl66 batch 1a	5	weeks	gene_knock_out	EFO	EFO_0000506	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	agl66 mutant SALK_072108	mature pollen grains	pollen grain	adult	EFO	EFO_0001272	fresh_sample	P-MEXP-64246	22	6	P-MEXP-64247	agl66 batch 1a	P-MEXP-64259	total RNA	none	agl66 batch 1a	total_RNA	P-AFFY-2	agl66 batch 1a	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	agl66 batch 1a	A-AFFY-2	P-AFFY-6	agl66 mutant SALK_072108	agl66 batch 1a	agl66batch1a.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1138/E-MEXP-1138.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1138-processed-data-1593097161.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1138/E-MEXP-1138.processed.1.zip
Wildtype batch 2a	5	weeks	  	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	wild_type	mature pollen grains	pollen grain	adult	EFO	EFO_0001272	fresh_sample	P-MEXP-64246	22	6	P-MEXP-64247	Wildtype batch 2a	P-MEXP-64259	total RNA	none	Wildtype batch 2a	total_RNA	P-AFFY-2	Wildtype batch 2a	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	Wildtype batch 2a	A-AFFY-2	P-AFFY-6	wild_type	Wildtype batch 2a	Wildtypebatch2a.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1138/E-MEXP-1138.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-1138-processed-data-1593097161.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1138/E-MEXP-1138.processed.1.zip
agl65_66_104 batch 4a	5	weeks	gene_knock_out	EFO	EFO_0000506	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	agl65/agl66/agl104 triple mutant (SALK_009651, SALK_072108, SALK_098698)	mature pollen grains	pollen grain	adult	EFO	EFO_0001272	fresh_sample	P-MEXP-64246	22	6	P-MEXP-64247	agl65_66_104 batch 4a	P-MEXP-64259	total RNA	none	agl65_66_104 batch 4a	total_RNA	P-AFFY-2	agl65_66_104 batch 4a	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	agl65_66_104 batch 4a	A-AFFY-2	P-AFFY-6	agl65/agl66/agl104 triple mutant (SALK_009651, SALK_072108, SALK_098698)	agl65_66_104 batch 4a	agl65_66_104batch4a.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1138/E-MEXP-1138.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-1138-processed-data-1593097161.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1138/E-MEXP-1138.processed.1.zip
agl65 batch 2b	5	weeks	gene_knock_out	EFO	EFO_0000506	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	agl65 mutant SALK_009651	mature pollen grains	pollen grain	adult	EFO	EFO_0001272	fresh_sample	P-MEXP-64246	22	6	P-MEXP-64247	agl65 batch 2b	P-MEXP-64259	total RNA	none	agl65 batch 2b	total_RNA	P-AFFY-2	agl65 batch 2b	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	agl65 batch 2b	A-AFFY-2	P-AFFY-6	agl65 mutant SALK_009651	agl65 batch 2b	agl65batch2b.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1138/E-MEXP-1138.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1138-processed-data-1593097161.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1138/E-MEXP-1138.processed.1.zip
agl18 batch 3b	5	weeks	gene_knock_out	EFO	EFO_0000506	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	agl18 mutant SALK_144022	mature pollen grains	pollen grain	adult	EFO	EFO_0001272	fresh_sample	P-MEXP-64246	22	6	P-MEXP-64247	agl18 batch 3b	P-MEXP-64259	total RNA	none	agl18 batch 3b	total_RNA	P-AFFY-2	agl18 batch 3b	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	agl18 batch 3b	A-AFFY-2	P-AFFY-6	agl18 mutant SALK_144022	agl18 batch 3b	agl18batch3b.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1138/E-MEXP-1138.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1138-processed-data-1593097161.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1138/E-MEXP-1138.processed.1.zip
agl65_66 batch 2b	5	weeks	gene_knock_out	EFO	EFO_0000506	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	agl65/agl66 double mutant (SALK_009651, SALK_072108)	mature pollen grains	pollen grain	adult	EFO	EFO_0001272	fresh_sample	P-MEXP-64246	22	6	P-MEXP-64247	agl65_66 batch 2b	P-MEXP-64259	total RNA	none	agl65_66 batch 2b	total_RNA	P-AFFY-2	agl65_66 batch 2b	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	agl65_66 batch 2b	A-AFFY-2	P-AFFY-6	agl65/agl66 double mutant (SALK_009651, SALK_072108)	agl65_66 batch 2b	agl65_66batch2b.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1138/E-MEXP-1138.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1138-processed-data-1593097161.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1138/E-MEXP-1138.processed.1.zip
