Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics[developmental stage]	Characteristics[age]	Unit[time unit]	Characteristics[genotype]	Characteristics[ecotype]	Description	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[RNA]	FactorValue[growth condition]
GSE9719GSM245474	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	7	day	35S:His6FLAG-RPL18B 	Col-0	7 day old Arabidopsis Seedling  9hr Hypoxia Stress IP RNA:  Comparison of 2 and 9 hour hypoxia stress and 9 hour hypoxia stess with 1 hour recovery to non-stress seedlings. Age: 7 day old seedlings; Genotype: 35S:His6FLAG-RPL18B (Col-0)	P-G9719-2	P-G9719-1	GSE9719GSM245474 sample	P-G9719-4	GSE9719GSM245474 extract	polyA_RNA	P-G9719-3	GSE9719GSM245474 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	9 hr Hypoxia Stress IP RNA Rep 1	A-AFFY-2	P-AFFY-6	9 hr Hypoxia Stress IP RNA Rep 1	GSM245474.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9719/E-GEOD-9719.raw.1.zip	E-GEOD-9719-processed-data-1679141988.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9719/E-GEOD-9719.processed.1.zip	polysomal mRNA	9 hr hypoxia
GSE9719GSM245484	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	7	day	35S:His6FLAG-RPL18B 	Col-0	7 day old Arabidopsis Seedling  9hr Hypoxia Stress IP RNA:  Comparison of 2 and 9 hour hypoxia stress and 9 hour hypoxia stess with 1 hour recovery to non-stress seedlings. Age: 7 day old seedlings; Genotype: 35S:His6FLAG-RPL18B (Col-0)	P-G9719-2	P-G9719-1	GSE9719GSM245484 sample	P-G9719-4	GSE9719GSM245484 extract	polyA_RNA	P-G9719-3	GSE9719GSM245484 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	9 hr Hypoxia Stress IP RNA Rep 2	A-AFFY-2	P-AFFY-6	9 hr Hypoxia Stress IP RNA Rep 2	GSM245484.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9719/E-GEOD-9719.raw.1.zip	E-GEOD-9719-processed-data-1679141988.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9719/E-GEOD-9719.processed.1.zip	polysomal mRNA	9 hr hypoxia
GSE9719GSM245485	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	7	day	35S:His6FLAG-RPL18B 	Col-0	7 day old Arabidopsis Seedling  9hr Hypoxia Stress + 1 hr recovery IP RNA:  Comparison of 2 and 9 hour hypoxia stress and 9 hour hypoxia stess with 1 hour recovery to non-stress seedlings. Age: 7 day old seedlings; Genotype: 35S:His6FLAG-RPL18B (Col-0)	P-G9719-2	P-G9719-1	GSE9719GSM245485 sample	P-G9719-4	GSE9719GSM245485 extract	polyA_RNA	P-G9719-3	GSE9719GSM245485 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	9 hr Hypoxia Stress 1 hr recovery IP RNA Rep 2	A-AFFY-2	P-AFFY-6	9 hr Hypoxia Stress 1 hr recovery IP RNA Rep 2	GSM245485.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9719/E-GEOD-9719.raw.1.zip	E-GEOD-9719-processed-data-1679141988.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9719/E-GEOD-9719.processed.1.zip	polysomal mRNA	9 hr hypoxia + 1hr recovery
GSE9719GSM245495	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	7	day	35S:His6FLAG-RPL18B 	Col-0	7 day old Arabidopsis Seedling  9hr Hypoxia Stress + 1 hr recovery IP RNA:  Comparison of 2 and 9 hour hypoxia stress and 9 hour hypoxia stess with 1 hour recovery to non-stress seedlings. Age: 7 day old seedlings; Genotype: 35S:His6FLAG-RPL18B (Col-0)	P-G9719-2	P-G9719-1	GSE9719GSM245495 sample	P-G9719-4	GSE9719GSM245495 extract	polyA_RNA	P-G9719-3	GSE9719GSM245495 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	9 hr Hypoxia Stress 1 hr recovery IP RNA Rep 3	A-AFFY-2	P-AFFY-6	9 hr Hypoxia Stress 1 hr recovery IP RNA Rep 3	GSM245495.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9719/E-GEOD-9719.raw.1.zip	E-GEOD-9719-processed-data-1679141988.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9719/E-GEOD-9719.processed.1.zip	polysomal mRNA	9 hr hypoxia + 1hr recovery
GSE9719GSM245475	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	7	day	35S:His6FLAG-RPL18B 	Col-0	7 day old Arabidopsis Seedling  9hr Hypoxia Stress + 1 hr recovery IP RNA:  Comparison of 2 and 9 hour hypoxia stress and 9 hour hypoxia stess with 1 hour recovery to non-stress seedlings. Age: 7 day old seedlings; Genotype: 35S:His6FLAG-RPL18B (Col-0)	P-G9719-2	P-G9719-1	GSE9719GSM245475 sample	P-G9719-4	GSE9719GSM245475 extract	polyA_RNA	P-G9719-3	GSE9719GSM245475 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	9 hr Hypoxia Stress 1 hr recovery IP RNA Rep 1	A-AFFY-2	P-AFFY-6	9 hr Hypoxia Stress 1 hr recovery IP RNA Rep 1	GSM245475.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9719/E-GEOD-9719.raw.1.zip	E-GEOD-9719-processed-data-1679141988.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9719/E-GEOD-9719.processed.1.zip	polysomal mRNA	9 hr hypoxia + 1hr recovery
GSE9719GSM245486	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	7	day	35S:His6FLAG-RPL18B 	Col-0	7 day old Arabidopsis Seedling  2hr Non-Stress Total RNA:  Comparison of 2 and 9 hour hypoxia stress and 9 hour hypoxia stess with 1 hour recovery to non-stress seedlings. Age: 7 day old seedlings; Genotype: 35S:His6FLAG-RPL18B (Col-0)	P-G9719-2	P-G9719-1	GSE9719GSM245486 sample	P-G9719-4	GSE9719GSM245486 extract	polyA_RNA	P-G9719-3	GSE9719GSM245486 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	2 hr Non-Stress Total RNA Rep 3	A-AFFY-2	P-AFFY-6	2 hr Non-Stress Total RNA Rep 3	GSM245486.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9719/E-GEOD-9719.raw.1.zip	E-GEOD-9719-processed-data-1679141988.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9719/E-GEOD-9719.processed.1.zip	total mRNA	2 hr control
GSE9719GSM245466	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	7	day	35S:His6FLAG-RPL18B 	Col-0	7 day old Arabidopsis Seedling  2hr Non-Stress Total RNA:  Comparison of 2 and 9 hour hypoxia stress and 9 hour hypoxia stess with 1 hour recovery to non-stress seedlings. Age: 7 day old seedlings; Genotype: 35S:His6FLAG-RPL18B (Col-0)	P-G9719-2	P-G9719-1	GSE9719GSM245466 sample	P-G9719-4	GSE9719GSM245466 extract	polyA_RNA	P-G9719-3	GSE9719GSM245466 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	2 hr Non-Stress Total RNA Rep 1	A-AFFY-2	P-AFFY-6	2 hr Non-Stress Total RNA Rep 1	GSM245466.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9719/E-GEOD-9719.raw.1.zip	E-GEOD-9719-processed-data-1679141988.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9719/E-GEOD-9719.processed.1.zip	total mRNA	2 hr control
GSE9719GSM245476	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	7	day	35S:His6FLAG-RPL18B 	Col-0	7 day old Arabidopsis Seedling  2hr Non-Stress Total RNA:  Comparison of 2 and 9 hour hypoxia stress and 9 hour hypoxia stess with 1 hour recovery to non-stress seedlings. Age: 7 day old seedlings; Genotype: 35S:His6FLAG-RPL18B (Col-0)	P-G9719-2	P-G9719-1	GSE9719GSM245476 sample	P-G9719-4	GSE9719GSM245476 extract	polyA_RNA	P-G9719-3	GSE9719GSM245476 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	2 hr Non-Stress Total RNA Rep 2	A-AFFY-2	P-AFFY-6	2 hr Non-Stress Total RNA Rep 2	GSM245476.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9719/E-GEOD-9719.raw.1.zip	E-GEOD-9719-processed-data-1679141988.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9719/E-GEOD-9719.processed.1.zip	total mRNA	2 hr control
GSE9719GSM245467	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	7	day	35S:His6FLAG-RPL18B 	Col-0	7 day old Arabidopsis Seedling  2hr Hypoxia Stress Total RNA:  Comparison of 2 and 9 hour hypoxia stress and 9 hour hypoxia stess with 1 hour recovery to non-stress seedlings. Age: 7 day old seedlings; Genotype: 35S:His6FLAG-RPL18B (Col-0)	P-G9719-2	P-G9719-1	GSE9719GSM245467 sample	P-G9719-4	GSE9719GSM245467 extract	polyA_RNA	P-G9719-3	GSE9719GSM245467 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	2 hr Hypoxia Stress Total RNA Rep 1	A-AFFY-2	P-AFFY-6	2 hr Hypoxia Stress Total RNA Rep 1	GSM245467.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9719/E-GEOD-9719.raw.1.zip	E-GEOD-9719-processed-data-1679141988.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9719/E-GEOD-9719.processed.1.zip	total mRNA	2 hr hypoxia
GSE9719GSM245477	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	7	day	35S:His6FLAG-RPL18B 	Col-0	7 day old Arabidopsis Seedling  2hr Hypoxia Stress Total RNA:  Comparison of 2 and 9 hour hypoxia stress and 9 hour hypoxia stess with 1 hour recovery to non-stress seedlings. Age: 7 day old seedlings; Genotype: 35S:His6FLAG-RPL18B (Col-0)	P-G9719-2	P-G9719-1	GSE9719GSM245477 sample	P-G9719-4	GSE9719GSM245477 extract	polyA_RNA	P-G9719-3	GSE9719GSM245477 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	2 hr Hypoxia Stress Total RNA Rep 2	A-AFFY-2	P-AFFY-6	2 hr Hypoxia Stress Total RNA Rep 2	GSM245477.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9719/E-GEOD-9719.raw.1.zip	E-GEOD-9719-processed-data-1679141988.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9719/E-GEOD-9719.processed.1.zip	total mRNA	2 hr hypoxia
GSE9719GSM245487	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	7	day	35S:His6FLAG-RPL18B 	Col-0	7 day old Arabidopsis Seedling  2hr Hypoxia Stress Total RNA:  Comparison of 2 and 9 hour hypoxia stress and 9 hour hypoxia stess with 1 hour recovery to non-stress seedlings. Age: 7 day old seedlings; Genotype: 35S:His6FLAG-RPL18B (Col-0)	P-G9719-2	P-G9719-1	GSE9719GSM245487 sample	P-G9719-4	GSE9719GSM245487 extract	polyA_RNA	P-G9719-3	GSE9719GSM245487 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	2 hr Hypoxia Stress Total RNA Rep 3	A-AFFY-2	P-AFFY-6	2 hr Hypoxia Stress Total RNA Rep 3	GSM245487.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9719/E-GEOD-9719.raw.1.zip	E-GEOD-9719-processed-data-1679141988.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9719/E-GEOD-9719.processed.1.zip	total mRNA	2 hr hypoxia
GSE9719GSM245478	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	7	day	35S:His6FLAG-RPL18B 	Col-0	7 day old Arabidopsis Seedling  9hr Non-Stress Total RNA:  Comparison of 2 and 9 hour hypoxia stress and 9 hour hypoxia stess with 1 hour recovery to non-stress seedlings. Age: 7 day old seedlings; Genotype: 35S:His6FLAG-RPL18B (Col-0)	P-G9719-2	P-G9719-1	GSE9719GSM245478 sample	P-G9719-4	GSE9719GSM245478 extract	polyA_RNA	P-G9719-3	GSE9719GSM245478 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	9 hr Non-Stress Total RNA Rep 2	A-AFFY-2	P-AFFY-6	9 hr Non-Stress Total RNA Rep 2	GSM245478.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9719/E-GEOD-9719.raw.1.zip	E-GEOD-9719-processed-data-1679141988.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9719/E-GEOD-9719.processed.1.zip	total mRNA	9 hr control
GSE9719GSM245488	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	7	day	35S:His6FLAG-RPL18B 	Col-0	7 day old Arabidopsis Seedling  9hr Non-Stress Total RNA:  Comparison of 2 and 9 hour hypoxia stress and 9 hour hypoxia stess with 1 hour recovery to non-stress seedlings. Age: 7 day old seedlings; Genotype: 35S:His6FLAG-RPL18B (Col-0)	P-G9719-2	P-G9719-1	GSE9719GSM245488 sample	P-G9719-4	GSE9719GSM245488 extract	polyA_RNA	P-G9719-3	GSE9719GSM245488 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	9 hr Non-Stress Total RNA Rep 3	A-AFFY-2	P-AFFY-6	9 hr Non-Stress Total RNA Rep 3	GSM245488.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9719/E-GEOD-9719.raw.1.zip	E-GEOD-9719-processed-data-1679141988.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9719/E-GEOD-9719.processed.1.zip	total mRNA	9 hr control
