Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [age]	Characteristics [ecotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [organism part]
GSM2127766 1	Gene expression data from 29 days old rosette leaves exposed to millipore water	Arabidopsis plant, 29 day old	Millipore Water treated rosette leaves, biological rep2	29 days old	Columbia (Col-0)	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	rosette leaves	P-GSE80461-2	ArrayExpress	P-GSE80461-3	ArrayExpress	P-GSE80461-4	ArrayExpress	GSM2127766 extract 1	total RNA	P-GSE80461-5	ArrayExpress	GSM2127766 LE 1	biotin	P-GSE80461-6	ArrayExpress	GSM2127766	A-AFFY-2	ArrayExpress	array assay	P-GSE80461-7	ArrayExpress	GSM2127766_Arabidopsis_Rossete_Leaves_MPW_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-80461/E-GEOD-80461.raw.1.zip	P-GSE80461-1	ArrayExpress	GSM2127766_sample_table.txt norm	GSM2127766_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-80461/E-GEOD-80461.processed.1.zip	rosette leaves
GSM2127765 1	Gene expression data from 29 days old rosette leaves exposed to millipore water	Arabidopsis plant, 29 day old	Millipore Water treated rosette leaves, biological rep1	29 days old	Columbia (Col-0)	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	rosette leaves	P-GSE80461-2	ArrayExpress	P-GSE80461-3	ArrayExpress	P-GSE80461-4	ArrayExpress	GSM2127765 extract 1	total RNA	P-GSE80461-5	ArrayExpress	GSM2127765 LE 1	biotin	P-GSE80461-6	ArrayExpress	GSM2127765	A-AFFY-2	ArrayExpress	array assay	P-GSE80461-7	ArrayExpress	GSM2127765_Arabidopsis_Rossete_Leaves_MPW_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-80461/E-GEOD-80461.raw.1.zip	P-GSE80461-1	ArrayExpress	GSM2127765_sample_table.txt norm	GSM2127765_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-80461/E-GEOD-80461.processed.1.zip	rosette leaves
GSM2127764 1	Gene expression data from 29 days old roots exposed to 500mg/L TiO2	Arabidopsis plant, 29 day old	TiO2 treated roots, biological rep3	29 days old	Columbia (Col-0)	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	roots	P-GSE80461-2	ArrayExpress	P-GSE80461-3	ArrayExpress	P-GSE80461-4	ArrayExpress	GSM2127764 extract 1	total RNA	P-GSE80461-5	ArrayExpress	GSM2127764 LE 1	biotin	P-GSE80461-6	ArrayExpress	GSM2127764	A-AFFY-2	ArrayExpress	array assay	P-GSE80461-7	ArrayExpress	GSM2127764_Arabidopsis_Roots_TiO2_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-80461/E-GEOD-80461.raw.1.zip	P-GSE80461-1	ArrayExpress	GSM2127764_sample_table.txt norm	GSM2127764_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-80461/E-GEOD-80461.processed.1.zip	roots
GSM2127763 1	Gene expression data from 29 days old roots exposed to 500mg/L TiO2	Arabidopsis plant, 29 day old	TiO2 treated roots, biological rep2	29 days old	Columbia (Col-0)	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	roots	P-GSE80461-2	ArrayExpress	P-GSE80461-3	ArrayExpress	P-GSE80461-4	ArrayExpress	GSM2127763 extract 1	total RNA	P-GSE80461-5	ArrayExpress	GSM2127763 LE 1	biotin	P-GSE80461-6	ArrayExpress	GSM2127763	A-AFFY-2	ArrayExpress	array assay	P-GSE80461-7	ArrayExpress	GSM2127763_Arabidopsis_Roots_TiO2_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-80461/E-GEOD-80461.raw.1.zip	P-GSE80461-1	ArrayExpress	GSM2127763_sample_table.txt norm	GSM2127763_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-80461/E-GEOD-80461.processed.1.zip	roots
GSM2127762 1	Gene expression data from 29 days old roots exposed to 500mg/L TiO2	Arabidopsis plant, 29 day old	TiO2 treated roots, biological rep1	29 days old	Columbia (Col-0)	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	roots	P-GSE80461-2	ArrayExpress	P-GSE80461-3	ArrayExpress	P-GSE80461-4	ArrayExpress	GSM2127762 extract 1	total RNA	P-GSE80461-5	ArrayExpress	GSM2127762 LE 1	biotin	P-GSE80461-6	ArrayExpress	GSM2127762	A-AFFY-2	ArrayExpress	array assay	P-GSE80461-7	ArrayExpress	GSM2127762_Arabidopsis_Roots_TiO2_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-80461/E-GEOD-80461.raw.1.zip	P-GSE80461-1	ArrayExpress	GSM2127762_sample_table.txt norm	GSM2127762_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-80461/E-GEOD-80461.processed.1.zip	roots
GSM2127761 1	Gene expression data from 29 days old roots exposed to 0.1mM KCl	Arabidopsis plant, 29 day old	KCl treated roots, biological rep3	29 days old	Columbia (Col-0)	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	roots	P-GSE80461-2	ArrayExpress	P-GSE80461-3	ArrayExpress	P-GSE80461-4	ArrayExpress	GSM2127761 extract 1	total RNA	P-GSE80461-5	ArrayExpress	GSM2127761 LE 1	biotin	P-GSE80461-6	ArrayExpress	GSM2127761	A-AFFY-2	ArrayExpress	array assay	P-GSE80461-7	ArrayExpress	GSM2127761_Arabidopsis_Roots_KCl_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-80461/E-GEOD-80461.raw.1.zip	P-GSE80461-1	ArrayExpress	GSM2127761_sample_table.txt norm	GSM2127761_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-80461/E-GEOD-80461.processed.1.zip	roots
GSM2127760 1	Gene expression data from 29 days old roots exposed to 0.1mM KCl	Arabidopsis plant, 29 day old	KCl treated roots, biological rep2	29 days old	Columbia (Col-0)	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	roots	P-GSE80461-2	ArrayExpress	P-GSE80461-3	ArrayExpress	P-GSE80461-4	ArrayExpress	GSM2127760 extract 1	total RNA	P-GSE80461-5	ArrayExpress	GSM2127760 LE 1	biotin	P-GSE80461-6	ArrayExpress	GSM2127760	A-AFFY-2	ArrayExpress	array assay	P-GSE80461-7	ArrayExpress	GSM2127760_Arabidopsis_Roots_KCl_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-80461/E-GEOD-80461.raw.1.zip	P-GSE80461-1	ArrayExpress	GSM2127760_sample_table.txt norm	GSM2127760_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-80461/E-GEOD-80461.processed.1.zip	roots
GSM2127759 1	Gene expression data from 29 days old roots exposed to 0.1mM KCl	Arabidopsis plant, 29 day old	KCl treated roots, biological rep1	29 days old	Columbia (Col-0)	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	roots	P-GSE80461-2	ArrayExpress	P-GSE80461-3	ArrayExpress	P-GSE80461-4	ArrayExpress	GSM2127759 extract 1	total RNA	P-GSE80461-5	ArrayExpress	GSM2127759 LE 1	biotin	P-GSE80461-6	ArrayExpress	GSM2127759	A-AFFY-2	ArrayExpress	array assay	P-GSE80461-7	ArrayExpress	GSM2127759_Arabidopsis_Roots_KCl_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-80461/E-GEOD-80461.raw.1.zip	P-GSE80461-1	ArrayExpress	GSM2127759_sample_table.txt norm	GSM2127759_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-80461/E-GEOD-80461.processed.1.zip	roots
GSM2127758 1	Gene expression data from 29 days old rosette leaves exposed to 500mg/L TiO2	Arabidopsis plant, 29 day old	TiO2 treated rosette Leaves, biological rep3	29 days old	Columbia (Col-0)	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	rosette leaves	P-GSE80461-2	ArrayExpress	P-GSE80461-3	ArrayExpress	P-GSE80461-4	ArrayExpress	GSM2127758 extract 1	total RNA	P-GSE80461-5	ArrayExpress	GSM2127758 LE 1	biotin	P-GSE80461-6	ArrayExpress	GSM2127758	A-AFFY-2	ArrayExpress	array assay	P-GSE80461-7	ArrayExpress	GSM2127758_Arabidopsis_Rosette_Leaves_TiO2_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-80461/E-GEOD-80461.raw.1.zip	P-GSE80461-1	ArrayExpress	GSM2127758_sample_table.txt norm	GSM2127758_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-80461/E-GEOD-80461.processed.1.zip	rosette leaves
GSM2127757 1	Gene expression data from 29 days old rosette leaves exposed to 500mg/L TiO2	Arabidopsis plant, 29 day old	TiO2 treated rosette Leaves, biological rep2	29 days old	Columbia (Col-0)	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	rosette leaves	P-GSE80461-2	ArrayExpress	P-GSE80461-3	ArrayExpress	P-GSE80461-4	ArrayExpress	GSM2127757 extract 1	total RNA	P-GSE80461-5	ArrayExpress	GSM2127757 LE 1	biotin	P-GSE80461-6	ArrayExpress	GSM2127757	A-AFFY-2	ArrayExpress	array assay	P-GSE80461-7	ArrayExpress	GSM2127757_Arabidopsis_Rosette_Leaves_TiO2_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-80461/E-GEOD-80461.raw.1.zip	P-GSE80461-1	ArrayExpress	GSM2127757_sample_table.txt norm	GSM2127757_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-80461/E-GEOD-80461.processed.1.zip	rosette leaves
GSM2127756 1	Gene expression data from 29 days old rosette leaves exposed to 500mg/L TiO2	Arabidopsis plant, 29 day old	TiO2 treated rosette Leaves, biological rep1	29 days old	Columbia (Col-0)	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	rosette leaves	P-GSE80461-2	ArrayExpress	P-GSE80461-3	ArrayExpress	P-GSE80461-4	ArrayExpress	GSM2127756 extract 1	total RNA	P-GSE80461-5	ArrayExpress	GSM2127756 LE 1	biotin	P-GSE80461-6	ArrayExpress	GSM2127756	A-AFFY-2	ArrayExpress	array assay	P-GSE80461-7	ArrayExpress	GSM2127756_Arabidopsis_Rosette_Leaves_TiO2_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-80461/E-GEOD-80461.raw.1.zip	P-GSE80461-1	ArrayExpress	GSM2127756_sample_table.txt norm	GSM2127756_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-80461/E-GEOD-80461.processed.1.zip	rosette leaves
GSM2127755 1	Gene expression data from 29 days old rosette leaves exposed to 0.1mM KCl	Arabidopsis plant, 29 day old	KCl treated rosette leaves, biological rep3	29 days old	Columbia (Col-0)	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	rosette leaves	P-GSE80461-2	ArrayExpress	P-GSE80461-3	ArrayExpress	P-GSE80461-4	ArrayExpress	GSM2127755 extract 1	total RNA	P-GSE80461-5	ArrayExpress	GSM2127755 LE 1	biotin	P-GSE80461-6	ArrayExpress	GSM2127755	A-AFFY-2	ArrayExpress	array assay	P-GSE80461-7	ArrayExpress	GSM2127755_Arabidopsis_Rosette_Leaves_KCl_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-80461/E-GEOD-80461.raw.1.zip	P-GSE80461-1	ArrayExpress	GSM2127755_sample_table.txt norm	GSM2127755_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-80461/E-GEOD-80461.processed.1.zip	rosette leaves
GSM2127754 1	Gene expression data from 29 days old rosette leaves exposed to 0.1mM KCl	Arabidopsis plant, 29 day old	KCl treated rosette leaves, biological rep2	29 days old	Columbia (Col-0)	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	rosette leaves	P-GSE80461-2	ArrayExpress	P-GSE80461-3	ArrayExpress	P-GSE80461-4	ArrayExpress	GSM2127754 extract 1	total RNA	P-GSE80461-5	ArrayExpress	GSM2127754 LE 1	biotin	P-GSE80461-6	ArrayExpress	GSM2127754	A-AFFY-2	ArrayExpress	array assay	P-GSE80461-7	ArrayExpress	GSM2127754_Arabidopsis_Rosette_Leaves_KCl_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-80461/E-GEOD-80461.raw.1.zip	P-GSE80461-1	ArrayExpress	GSM2127754_sample_table.txt norm	GSM2127754_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-80461/E-GEOD-80461.processed.1.zip	rosette leaves
GSM2127753 1	Gene expression data from 29 days old rosette leaves exposed to 0.1mM KCl	Arabidopsis plant, 29 day old	KCl treated rosette leaves, biological rep1	29 days old	Columbia (Col-0)	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	rosette leaves	P-GSE80461-2	ArrayExpress	P-GSE80461-3	ArrayExpress	P-GSE80461-4	ArrayExpress	GSM2127753 extract 1	total RNA	P-GSE80461-5	ArrayExpress	GSM2127753 LE 1	biotin	P-GSE80461-6	ArrayExpress	GSM2127753	A-AFFY-2	ArrayExpress	array assay	P-GSE80461-7	ArrayExpress	GSM2127753_Arabidopsis_Rosette_Leaves_KCl_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-80461/E-GEOD-80461.raw.1.zip	P-GSE80461-1	ArrayExpress	GSM2127753_sample_table.txt norm	GSM2127753_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-80461/E-GEOD-80461.processed.1.zip	rosette leaves
