Source Name	Characteristics [organism]	Characteristics [ecotype]	Characteristics[genotype]	Characteristics[age]	Unit[time unit]	Characteristics[individual] 	Characteristics[growth condition] 	Characteristics [organism part]	Comment [experiment start date]	Material Type	Protocol REF	Performer	Sample Name	Protocol REF	Parameter Value [RNA quality (RIN)]	Extract Name 	Material Type	Protocol REF	Performer	Comment [system used]	Parameter Value [amount of RNA used]	Protocol REF	Performer	Comment [system used]	Parameter Value [amount of cDNA used]	Labeled Extract Name	Label	Protocol REF 	Parameter Value [hyb temperature] 	Unit [temperature unit] 	Parameter Value [hyb duration]	Unit [time unit] 	Hybridization Name	Array Design REF 	Array Data File 	Comment [ArrayExpress FTP file]	Protocol REF 	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [organism part]	FactorValue [growth condition] 
GCG2	Arabidopsis thaliana	Col-0	wild type	7	day	GROUND_BRICG_PDFU-2_355	Ground Control Orbiter Environmental Simulator at Kennedy Space Center	undifferentiated tissue culture	 04/10/2010	cell	P-MTAB-25688	Zupanska A.	GCG2	P-MTAB-25689	RIN	GCG2	total RNA	P-MTAB-25690	Zhang Y.	cDNA synthesis- Ovation Pico WTA System (NuGEN Technologies Inc.)	60 ng	P-MTAB-25691	Zhang Y.	labeling - Encore Biotin Module (NuGEN Technologies Inc.)	5 ug	GCG2	biotin	P-MTAB-25692	45	degree celsius	16	hour	8298_GCG2_12_Ferl.Paul_(ATH1-121501)	A-AFFY-2	8298_GCG2_12_Ferl.Paul_(ATH1-121501).CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1009/E-MTAB-1009.raw.1.zip	P-MTAB-25693	MAS5 Norm 	TissueMAS5.TXT	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1009/E-MTAB-1009.processed.1.zip	undifferentiated tissue culture	ground control
GCG3	Arabidopsis thaliana	Col-0	wild type	7	day	GROUND_BRICG_PDFU-3_334	Ground Control Orbiter Environmental Simulator at Kennedy Space Center	undifferentiated tissue culture	 04/10/2010	cell	P-MTAB-25688	Zupanska A.	GCG3	P-MTAB-25689	RIN	GCG3	total RNA	P-MTAB-25690	Zhang Y.	cDNA synthesis- Ovation Pico WTA System (NuGEN Technologies Inc.)	60 ng	P-MTAB-25691	Zhang Y.	labeling - Encore Biotin Module (NuGEN Technologies Inc.)	5 ug	GCG3	biotin	P-MTAB-25692	45	degree celsius	16	hour	8310_GCG3_24_Ferl.Paul_(ATH1-121501)	A-AFFY-2	8310_GCG3_24_Ferl.Paul_(ATH1-121501).CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1009/E-MTAB-1009.raw.1.zip	P-MTAB-25693	MAS5 Norm 	TissueMAS5.TXT	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1009/E-MTAB-1009.processed.1.zip	undifferentiated tissue culture	ground control
FLA1	Arabidopsis thaliana	Col-0	wild type	7	day	BRICA_PDFU-1_052	NASA BRIC spaceflight hardware	etiolated seedling	 04/10/2010	organism part	P-MTAB-25688	Zupanska A.	FLA1	P-MTAB-25689	RIN	FLA1	total RNA	P-MTAB-25690	Zhang Y.	cDNA synthesis- Ovation Pico WTA System (NuGEN Technologies Inc.)	60 ng	P-MTAB-25691	Zhang Y.	labeling - Encore Biotin Module (NuGEN Technologies Inc.)	5 ug	FLA1	biotin	P-MTAB-25692	45	degree celsius	16	hour	8287_FLA1_1_Ferl.Paul_(ATH1-121501)	A-AFFY-2	8287_FLA1_1_Ferl.Paul_(ATH1-121501).CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1009/E-MTAB-1009.raw.1.zip	P-MTAB-25693	MAS5 Norm 	SeedlingsMAS5.TXT	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1009/E-MTAB-1009.processed.1.zip	etiolated seedling	spaceflight environment
FLA2	Arabidopsis thaliana	Col-0	wild type	7	day	BRICA_PDFU-2_176	NASA BRIC spaceflight hardware	etiolated seedling	 04/10/2010	organism part	P-MTAB-25688	Zupanska A.	FLA2	P-MTAB-25689	RIN	FLA2	total RNA	P-MTAB-25690	Zhang Y.	cDNA synthesis- Ovation Pico WTA System (NuGEN Technologies Inc.)	60 ng	P-MTAB-25691	Zhang Y.	labeling - Encore Biotin Module (NuGEN Technologies Inc.)	5 ug	FLA2	biotin	P-MTAB-25692	45	degree celsius	16	hour	8299_FLA2_13_Ferl.Paul_(ATH1-121501)	A-AFFY-2	8299_FLA2_13_Ferl.Paul_(ATH1-121501).CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1009/E-MTAB-1009.raw.1.zip	P-MTAB-25693	MAS5 Norm 	SeedlingsMAS5.TXT	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1009/E-MTAB-1009.processed.1.zip	etiolated seedling	spaceflight environment
FLA3	Arabidopsis thaliana	Col-0	wild type	7	day	BRICA_PDFU-3_113	NASA BRIC spaceflight hardware	etiolated seedling	 04/10/2010	organism part	P-MTAB-25688	Zupanska A.	FLA3	P-MTAB-25689	RIN	FLA3	total RNA	P-MTAB-25690	Zhang Y.	cDNA synthesis- Ovation Pico WTA System (NuGEN Technologies Inc.)	60 ng	P-MTAB-25691	Zhang Y.	labeling - Encore Biotin Module (NuGEN Technologies Inc.)	5 ug	FLA3	biotin	P-MTAB-25692	45	degree celsius	16	hour	8288_FlightA3_2_Ferl.Paul_(ATH1-121501)	A-AFFY-2	8288_FlightA3_2_Ferl.Paul_(ATH1-121501).CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1009/E-MTAB-1009.raw.1.zip	P-MTAB-25693	MAS5 Norm 	SeedlingsMAS5.TXT	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1009/E-MTAB-1009.processed.1.zip	etiolated seedling	spaceflight environment
FLA4	Arabidopsis thaliana	Col-0	wild type	7	day	BRICA_PDFU-4_135	NASA BRIC spaceflight hardware	etiolated seedling	 04/10/2010	organism part	P-MTAB-25688	Zupanska A.	FLA4	P-MTAB-25689	RIN	FLA4	total RNA	P-MTAB-25690	Zhang Y.	cDNA synthesis- Ovation Pico WTA System (NuGEN Technologies Inc.)	60 ng	P-MTAB-25691	Zhang Y.	labeling - Encore Biotin Module (NuGEN Technologies Inc.)	5 ug	FLA4	biotin	P-MTAB-25692	45	degree celsius	16	hour	8300_FLA4_14_Ferl.Paul_(ATH1-121501)	A-AFFY-2	8300_FLA4_14_Ferl.Paul_(ATH1-121501).CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1009/E-MTAB-1009.raw.1.zip	P-MTAB-25693	MAS5 Norm 	SeedlingsMAS5.TXT	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1009/E-MTAB-1009.processed.1.zip	etiolated seedling	spaceflight environment
FLA5	Arabidopsis thaliana	Col-0	wild type	7	day	BRICA_PDFU-5_099	NASA BRIC spaceflight hardware	etiolated seedling	 04/10/2010	organism part	P-MTAB-25688	Zupanska A.	FLA5	P-MTAB-25689	RIN	FLA5	total RNA	P-MTAB-25690	Zhang Y.	cDNA synthesis- Ovation Pico WTA System (NuGEN Technologies Inc.)	60 ng	P-MTAB-25691	Zhang Y.	labeling - Encore Biotin Module (NuGEN Technologies Inc.)	5 ug	FLA5	biotin	P-MTAB-25692	45	degree celsius	16	hour	8289_FLA5_3_Ferl.Paul_(ATH1-121501)	A-AFFY-2	8289_FLA5_3_Ferl.Paul_(ATH1-121501).CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1009/E-MTAB-1009.raw.1.zip	P-MTAB-25693	MAS5 Norm 	SeedlingsMAS5.TXT	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1009/E-MTAB-1009.processed.1.zip	etiolated seedling	spaceflight environment
FLG1	Arabidopsis thaliana	Col-0	wild type	7	day	BRICG_PDFU-1_012	NASA BRIC spaceflight hardware	etiolated seedling	 04/10/2010	organism part	P-MTAB-25688	Zupanska A.	FLG1	P-MTAB-25689	RIN	FLG1	total RNA	P-MTAB-25690	Zhang Y.	cDNA synthesis- Ovation Pico WTA System (NuGEN Technologies Inc.)	60 ng	P-MTAB-25691	Zhang Y.	labeling - Encore Biotin Module (NuGEN Technologies Inc.)	5 ug	FLG1	biotin	P-MTAB-25692	45	degree celsius	16	hour	8301_FLG1_15_Ferl.Paul_(ATH1-121501)	A-AFFY-2	8301_FLG1_15_Ferl.Paul_(ATH1-121501).CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1009/E-MTAB-1009.raw.1.zip	P-MTAB-25693	MAS5 Norm 	SeedlingsMAS5.TXT	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1009/E-MTAB-1009.processed.1.zip	etiolated seedling	spaceflight environment
GCA1	Arabidopsis thaliana	Col-0	wild type	7	day	GROUND_BRICA_PDFU-1_168	Ground Control Orbiter Environmental Simulator at Kennedy Space Center	etiolated seedling	 04/10/2010	organism part	P-MTAB-25688	Zupanska A.	GCA1	P-MTAB-25689	RIN	GCA1	total RNA	P-MTAB-25690	Zhang Y.	cDNA synthesis- Ovation Pico WTA System (NuGEN Technologies Inc.)	60 ng	P-MTAB-25691	Zhang Y.	labeling - Encore Biotin Module (NuGEN Technologies Inc.)	5 ug	GCA1	biotin	P-MTAB-25692	45	degree celsius	16	hour	8290_GCA1_4_Ferl.Paul_(ATH1-121501)	A-AFFY-2	8290_GCA1_4_Ferl.Paul_(ATH1-121501).CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1009/E-MTAB-1009.raw.1.zip	P-MTAB-25693	MAS5 Norm 	SeedlingsMAS5.TXT	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1009/E-MTAB-1009.processed.1.zip	etiolated seedling	ground control
GCA2	Arabidopsis thaliana	Col-0	wild type	7	day	GROUND_BRICA_PDFU-2_315	Ground Control Orbiter Environmental Simulator at Kennedy Space Center	etiolated seedling	 04/10/2010	organism part	P-MTAB-25688	Zupanska A.	GCA2	P-MTAB-25689	RIN	GCA2	total RNA	P-MTAB-25690	Zhang Y.	cDNA synthesis- Ovation Pico WTA System (NuGEN Technologies Inc.)	60 ng	P-MTAB-25691	Zhang Y.	labeling - Encore Biotin Module (NuGEN Technologies Inc.)	5 ug	GCA2	biotin	P-MTAB-25692	45	degree celsius	16	hour	8302_GCA2_16_Ferl.Paul_(ATH1-121501)	A-AFFY-2	8302_GCA2_16_Ferl.Paul_(ATH1-121501).CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1009/E-MTAB-1009.raw.1.zip	P-MTAB-25693	MAS5 Norm 	SeedlingsMAS5.TXT	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1009/E-MTAB-1009.processed.1.zip	etiolated seedling	ground control
GCA3	Arabidopsis thaliana	Col-0	wild type	7	day	GROUND_BRICA_PDFU-3_320	Ground Control Orbiter Environmental Simulator at Kennedy Space Center	etiolated seedling	 04/10/2010	organism part	P-MTAB-25688	Zupanska A.	GCA3	P-MTAB-25689	RIN	GCA3	total RNA	P-MTAB-25690	Zhang Y.	cDNA synthesis- Ovation Pico WTA System (NuGEN Technologies Inc.)	60 ng	P-MTAB-25691	Zhang Y.	labeling - Encore Biotin Module (NuGEN Technologies Inc.)	5 ug	GCA3	biotin	P-MTAB-25692	45	degree celsius	16	hour	8291_GCA3_5_Ferl.Paul_(ATH1-121501)	A-AFFY-2	8291_GCA3_5_Ferl.Paul_(ATH1-121501).CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1009/E-MTAB-1009.raw.1.zip	P-MTAB-25693	MAS5 Norm 	SeedlingsMAS5.TXT	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1009/E-MTAB-1009.processed.1.zip	etiolated seedling	ground control
GCA4	Arabidopsis thaliana	Col-0	wild type	7	day	GROUND_BRICA_PDFU-4_314	Ground Control Orbiter Environmental Simulator at Kennedy Space Center	etiolated seedling	 04/10/2010	organism part	P-MTAB-25688	Zupanska A.	GCA4	P-MTAB-25689	RIN	GCA4	total RNA	P-MTAB-25690	Zhang Y.	cDNA synthesis- Ovation Pico WTA System (NuGEN Technologies Inc.)	60 ng	P-MTAB-25691	Zhang Y.	labeling - Encore Biotin Module (NuGEN Technologies Inc.)	5 ug	GCA4	biotin	P-MTAB-25692	45	degree celsius	16	hour	8303_GCA4_17_Ferl.Paul_(ATH1-121501)	A-AFFY-2	8303_GCA4_17_Ferl.Paul_(ATH1-121501).CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1009/E-MTAB-1009.raw.1.zip	P-MTAB-25693	MAS5 Norm 	SeedlingsMAS5.TXT	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1009/E-MTAB-1009.processed.1.zip	etiolated seedling	ground control
GCA5	Arabidopsis thaliana	Col-0	wild type	7	day	GROUND_BRICA_PDFU-5_319	Ground Control Orbiter Environmental Simulator at Kennedy Space Center	etiolated seedling	 04/10/2010	organism part	P-MTAB-25688	Zupanska A.	GCA5	P-MTAB-25689	RIN	GCA5	total RNA	P-MTAB-25690	Zhang Y.	cDNA synthesis- Ovation Pico WTA System (NuGEN Technologies Inc.)	60 ng	P-MTAB-25691	Zhang Y.	labeling - Encore Biotin Module (NuGEN Technologies Inc.)	5 ug	GCA5	biotin	P-MTAB-25692	45	degree celsius	16	hour	8292_GCA5_6_Ferl.Paul_(ATH1-121501)	A-AFFY-2	8292_GCA5_6_Ferl.Paul_(ATH1-121501).CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1009/E-MTAB-1009.raw.1.zip	P-MTAB-25693	MAS5 Norm 	SeedlingsMAS5.TXT	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1009/E-MTAB-1009.processed.1.zip	etiolated seedling	ground control
GCG1	Arabidopsis thaliana	Col-0	wild type	7	day	GORUND_BRICG_PDFU-1_335	Ground Control Orbiter Environmental Simulator at Kennedy Space Center	etiolated seedling	 04/10/2010	organism part	P-MTAB-25688	Zupanska A.	GCG1	P-MTAB-25689	RIN	GCG1	total RNA	P-MTAB-25690	Zhang Y.	cDNA synthesis- Ovation Pico WTA System (NuGEN Technologies Inc.)	60 ng	P-MTAB-25691	Zhang Y.	labeling - Encore Biotin Module (NuGEN Technologies Inc.)	5 ug	GCG1	biotin	P-MTAB-25692	45	degree celsius	16	hour	8304_GCG1_18_Ferl.Paul_(ATH1-121501)_2	A-AFFY-2	8304_GCG1_18_Ferl.Paul_(ATH1-121501)_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1009/E-MTAB-1009.raw.1.zip	P-MTAB-25693	MAS5 Norm 	SeedlingsMAS5.TXT	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1009/E-MTAB-1009.processed.1.zip	etiolated seedling	ground control
