Source Name	Characteristics [Organism]	Characteristics[OrganismPart]	Characteristics[OrganismStatus]	Characteristics[Line]	Characteristics[Genotype]	Characteristics[DevelopmentalStage]	Description	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[DEVELOPMENTAL STAGE]	FactorValue[ORGANISM STATUS]	FactorValue[LINE]	FactorValue[GENOTYPE]
GSE9721GSM245688	Brassica napus	flower bud	fertile	J10B	MsMsRfrf	from 1mm to 3mm that contain tetrad stage and uninucleate stage	middle flower buds, fertile plants, J10:  Gene expression data from floura during anther abortion. Homozygous DGMS two-type line J10B, Genotype: MsMsRfrf; flower buds from 1mm to 3mm that contain tetrad stage and uninucleate stage	P-G9721-2	P-G9721-1	GSE9721GSM245688 sample	P-G9721-4	GSE9721GSM245688 extract	total_RNA	P-G9721-3	GSE9721GSM245688 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	middle flower buds of J10B, biol_rep1	A-AFFY-2	P-AFFY-6	middle flower buds of J10B, biol_rep1	GSM245688.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9721/E-GEOD-9721.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-9721-processed-data-1632641192.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9721/E-GEOD-9721.processed.1.zip	from 1mm to 3mm that contain tetrad stage and uninucleate stage	fertile	J10B	MsMsRfrf
GSE9721GSM245697	Brassica napus	flower bud	sterile	J03A	Msmsrfrf	ess than 1mm, referred to anther development before meiosis	small flower buds, sterile plants, J03:  Gene expression data from floura before anther abortion. Heterozygous two-type line J03A, Genotype: Msmsrfrf; flower buds less than 1mm, referred to anther development before meiosis	P-G9721-2	P-G9721-1	GSE9721GSM245697 sample	P-G9721-4	GSE9721GSM245697 extract	total_RNA	P-G9721-3	GSE9721GSM245697 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	small flower buds of J03A, tech_rep1	A-AFFY-2	P-AFFY-6	small flower buds of J03A, tech_rep1	GSM245697.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9721/E-GEOD-9721.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-9721-processed-data-1632641192.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9721/E-GEOD-9721.processed.1.zip	ess than 1mm, referred to anther development before meiosis	sterile	J03A	Msmsrfrf
GSE9721GSM245684	Brassica napus	flower bud	fertile	J10B	MsMsRfrf	ess than 1mm, referred to anther development before meiosis	small flower buds, fertile plants, J10:  Gene expression data from floura before anther abortion. Homozygous DGMS two-type line J10B, Genotype: MsMsRfrf; flower buds less than 1mm, referred to anther development before meiosis	P-G9721-2	P-G9721-1	GSE9721GSM245684 sample	P-G9721-4	GSE9721GSM245684 extract	total_RNA	P-G9721-3	GSE9721GSM245684 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	small flower buds of J10B, biol_rep1	A-AFFY-2	P-AFFY-6	small flower buds of J10B, biol_rep1	GSM245684.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9721/E-GEOD-9721.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-9721-processed-data-1632641192.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9721/E-GEOD-9721.processed.1.zip	ess than 1mm, referred to anther development before meiosis	fertile	J10B	MsMsRfrf
GSE9721GSM245682	Brassica napus	flower bud	sterile	J10A	MsMsrfrf	bigger than 3mm, referred to anthers at trinucleate stage	large flower buds, sterile plants, J10:  Gene expression data from floura after anther abortion. Homozygous DGMS two-type line J10A, Genotype: MsMsrfrf; flower buds bigger than 3mm, referred to anthers at trinucleate stage	P-G9721-2	P-G9721-1	GSE9721GSM245682 sample	P-G9721-4	GSE9721GSM245682 extract	total_RNA	P-G9721-3	GSE9721GSM245682 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	large flower buds of J10A, biol_rep2	A-AFFY-2	P-AFFY-6	large flower buds of J10A, biol_rep2	GSM245682.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9721/E-GEOD-9721.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-9721-processed-data-1632641192.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9721/E-GEOD-9721.processed.1.zip	bigger than 3mm, referred to anthers at trinucleate stage	sterile	J10A	MsMsrfrf
GSE9721GSM245715	Brassica napus	flower bud	fertile	J03B	msmsrfrf	from 1mm to 3mm that contain tetrad stage and uninucleate stage	middle flower buds, fertile plants, J03:  Gene expression data from floura during anther abortion. Heterozygous two-type line J03B, Genotype: msmsrfrf; flower buds from 1mm to 3mm that contain tetrad stage and uninucleate stage	P-G9721-2	P-G9721-1	GSE9721GSM245715 sample	P-G9721-4	GSE9721GSM245715 extract	total_RNA	P-G9721-3	GSE9721GSM245715 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	middle flower buds of J03B, tech_rep2	A-AFFY-2	P-AFFY-6	middle flower buds of J03B, tech_rep2	GSM245715.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9721/E-GEOD-9721.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-9721-processed-data-1632641192.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9721/E-GEOD-9721.processed.1.zip	from 1mm to 3mm that contain tetrad stage and uninucleate stage	fertile	J03B	msmsrfrf
GSE9721GSM245717	Brassica napus	flower bud	fertile	J03B	msmsrfrf	bigger than 3mm, referred to anthers at trinucleate stage	large flower buds, fertile plants, J03:  Gene expression data from floura after anther abortion. Heterozygous two-type line J03B, Genotype: msmsrfrf; flower buds bigger than 3mm, referred to anthers at trinucleate stage	P-G9721-2	P-G9721-1	GSE9721GSM245717 sample	P-G9721-4	GSE9721GSM245717 extract	total_RNA	P-G9721-3	GSE9721GSM245717 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	large flower buds of J03B, tech_rep1	A-AFFY-2	P-AFFY-6	large flower buds of J03B, tech_rep1	GSM245717.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9721/E-GEOD-9721.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-9721-processed-data-1632641192.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9721/E-GEOD-9721.processed.1.zip	bigger than 3mm, referred to anthers at trinucleate stage	fertile	J03B	msmsrfrf
GSE9721GSM245692	Brassica napus	flower bud	fertile	J10B	MsMsRfrf	bigger than 3mm, referred to anthers at trinucleate stage	large flower buds, fertile plants, J10:  Gene expression data from floura after anther abortion. Homozygous DGMS two-type line J10B, Genotype: MsMsRfrf; flower buds bigger than 3mm, referred to anthers at trinucleate stage	P-G9721-2	P-G9721-1	GSE9721GSM245692 sample	P-G9721-4	GSE9721GSM245692 extract	total_RNA	P-G9721-3	GSE9721GSM245692 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	large flower buds of J10B, biol_rep1	A-AFFY-2	P-AFFY-6	large flower buds of J10B, biol_rep1	GSM245692.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9721/E-GEOD-9721.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-9721-processed-data-1632641192.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9721/E-GEOD-9721.processed.1.zip	bigger than 3mm, referred to anthers at trinucleate stage	fertile	J10B	MsMsRfrf
GSE9721GSM245711	Brassica napus	flower bud	fertile	J03B	msmsrfrf	ess than 1mm, referred to anther development before meiosis	small flower buds, fertile plants, J03:  Gene expression data from floura before anther abortion. Heterozygous two-type line J03B, Genotype: msmsrfrf; flower buds less than 1mm, referred to anther development before meiosis	P-G9721-2	P-G9721-1	GSE9721GSM245711 sample	P-G9721-4	GSE9721GSM245711 extract	total_RNA	P-G9721-3	GSE9721GSM245711 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	small flower buds of J03B, tech_rep2	A-AFFY-2	P-AFFY-6	small flower buds of J03B, tech_rep2	GSM245711.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9721/E-GEOD-9721.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-9721-processed-data-1632641192.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9721/E-GEOD-9721.processed.1.zip	ess than 1mm, referred to anther development before meiosis	fertile	J03B	msmsrfrf
GSE9721GSM245681	Brassica napus	flower bud	sterile	J10A	MsMsrfrf	bigger than 3mm, referred to anthers at trinucleate stage	large flower buds, sterile plants, J10:  Gene expression data from floura after anther abortion. Homozygous DGMS two-type line J10A, Genotype: MsMsrfrf; flower buds bigger than 3mm, referred to anthers at trinucleate stage	P-G9721-2	P-G9721-1	GSE9721GSM245681 sample	P-G9721-4	GSE9721GSM245681 extract	total_RNA	P-G9721-3	GSE9721GSM245681 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	large flower buds of J10A, tech_rep1	A-AFFY-2	P-AFFY-6	large flower buds of J10A, tech_rep1	GSM245681.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9721/E-GEOD-9721.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-9721-processed-data-1632641192.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9721/E-GEOD-9721.processed.1.zip	bigger than 3mm, referred to anthers at trinucleate stage	sterile	J10A	MsMsrfrf
GSE9721GSM245698	Brassica napus	flower bud	sterile	J03A	Msmsrfrf	ess than 1mm, referred to anther development before meiosis	small flower buds, sterile plants, J03:  Gene expression data from floura before anther abortion. Heterozygous two-type line J03A, Genotype: Msmsrfrf; flower buds less than 1mm, referred to anther development before meiosis	P-G9721-2	P-G9721-1	GSE9721GSM245698 sample	P-G9721-4	GSE9721GSM245698 extract	total_RNA	P-G9721-3	GSE9721GSM245698 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	small flower buds of J03A, biol_rep2	A-AFFY-2	P-AFFY-6	small flower buds of J03A, biol_rep2	GSM245698.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9721/E-GEOD-9721.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-9721-processed-data-1632641192.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9721/E-GEOD-9721.processed.1.zip	ess than 1mm, referred to anther development before meiosis	sterile	J03A	Msmsrfrf
GSE9721GSM245710	Brassica napus	flower bud	fertile	J03B	msmsrfrf	ess than 1mm, referred to anther development before meiosis	small flower buds, fertile plants, J03:  Gene expression data from floura before anther abortion. Heterozygous two-type line J03B, Genotype: msmsrfrf; flower buds less than 1mm, referred to anther development before meiosis	P-G9721-2	P-G9721-1	GSE9721GSM245710 sample	P-G9721-4	GSE9721GSM245710 extract	total_RNA	P-G9721-3	GSE9721GSM245710 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	small flower buds of J03B, biol_rep2	A-AFFY-2	P-AFFY-6	small flower buds of J03B, biol_rep2	GSM245710.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9721/E-GEOD-9721.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-9721-processed-data-1632641192.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9721/E-GEOD-9721.processed.1.zip	ess than 1mm, referred to anther development before meiosis	fertile	J03B	msmsrfrf
GSE9721GSM245673	Brassica napus	flower bud	sterile	J10A	MsMsrfrf	ess than 1mm, referred to anther development before meiosis	small flower buds, sterile plants, J10:  Gene expression data from floura before anther abortion. Homozygous DGMS two-type line J10A, Genotype: MsMsrfrf; flower buds less than 1mm, referred to anther development before meiosis	P-G9721-2	P-G9721-1	GSE9721GSM245673 sample	P-G9721-4	GSE9721GSM245673 extract	total_RNA	P-G9721-3	GSE9721GSM245673 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	small flower buds of J10A, tech_rep1	A-AFFY-2	P-AFFY-6	small flower buds of J10A, tech_rep1	GSM245673.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9721/E-GEOD-9721.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-9721-processed-data-1632641192.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9721/E-GEOD-9721.processed.1.zip	ess than 1mm, referred to anther development before meiosis	sterile	J10A	MsMsrfrf
GSE9721GSM245704	Brassica napus	flower bud	sterile	J03A	Msmsrfrf	bigger than 3mm, referred to anthers at trinucleate stage	large flower buds, sterile plants, J03:  Gene expression data from floura after anther abortion. Heterozygous two-type line J03A, Genotype: Msmsrfrf; flower buds bigger than 3mm, referred to anthers at trinucleate stage	P-G9721-2	P-G9721-1	GSE9721GSM245704 sample	P-G9721-4	GSE9721GSM245704 extract	total_RNA	P-G9721-3	GSE9721GSM245704 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	large flower buds of J03A, biol_rep1	A-AFFY-2	P-AFFY-6	large flower buds of J03A, biol_rep1	GSM245704.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9721/E-GEOD-9721.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-9721-processed-data-1632641192.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9721/E-GEOD-9721.processed.1.zip	bigger than 3mm, referred to anthers at trinucleate stage	sterile	J03A	Msmsrfrf
GSE9721GSM245675	Brassica napus	flower bud	sterile	J10A	MsMsrfrf	ess than 1mm, referred to anther development before meiosis	small flower buds, sterile plants, J10:  Gene expression data from floura before anther abortion. Homozygous DGMS two-type line J10A, Genotype: MsMsrfrf; flower buds less than 1mm, referred to anther development before meiosis	P-G9721-2	P-G9721-1	GSE9721GSM245675 sample	P-G9721-4	GSE9721GSM245675 extract	total_RNA	P-G9721-3	GSE9721GSM245675 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	small flower buds of J10A, tech_rep2	A-AFFY-2	P-AFFY-6	small flower buds of J10A, tech_rep2	GSM245675.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9721/E-GEOD-9721.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-9721-processed-data-1632641192.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9721/E-GEOD-9721.processed.1.zip	ess than 1mm, referred to anther development before meiosis	sterile	J10A	MsMsrfrf
