Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [Ecotype]	Characteristics [DevelopmentalStage]	Term Source REF	Term Accession Number	Description	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Hybridization Name	Array Design REF	Term Source REF	Term Accession Number	Scan Name	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	Factor Value [Time]	Unit [TimeUnit]	Factor Value [Dose]	Unit [ConcentrationUnit]	Factor Value [Compound]
GSE1111GSM18295	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	Exposure to 0.1micromolar IAA for 3h prior to harvest; biological replicate 1, hybridization 2; scaling factor 3.6.	GSE1111GSM18295 sample	GSE1111GSM18295 extract	total_RNA	GSE1111GSM18295 LE.biotin	biotin	synthetic_RNA	0.1uM_IAA_3h_1.2	A-AFFY-2	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16411	0.1uM_IAA_3h_1.2	E-GEOD-1110-processed-data-1442080006.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1110/E-GEOD-1110.processed.1.zip	3	hour	0.1	micromolar	indole-3-acetic acid
GSE1110GSM18301	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	Exposure to 1.0micromolar IAA for 1h prior to harvest; biological replicate 2, hybridization 2; scaling factor 2.7.	GSE1110GSM18301 sample	GSE1110GSM18301 extract	total_RNA	GSE1110GSM18301 LE.biotin	biotin	synthetic_RNA	1.0uM_IAA_1h_2.2	A-AFFY-2	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16411	1.0uM_IAA_1h_2.2	E-GEOD-1110-processed-data-1442080006.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1110/E-GEOD-1110.processed.1.zip	1	hour	1	micromolar	indole-3-acetic acid
GSE1110GSM18230	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	Untreated control: biological replicate 2, hybridization 1; scaling factor 5.1.	GSE1110GSM18230 sample	GSE1110GSM18230 extract	total_RNA	GSE1110GSM18230 LE.biotin	biotin	synthetic_RNA	Control_2.1	A-AFFY-2	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16411	Control_2.1	E-GEOD-1110-processed-data-1442080006.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1110/E-GEOD-1110.processed.1.zip	0	hour	0	micromolar	indole-3-acetic acid
GSE1110GSM18304	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	Exposure to 1.0micromolar IAA for 3h prior to harvest; biological replicate 2, hybridization 1; scaling factor 4.1.	GSE1110GSM18304 sample	GSE1110GSM18304 extract	total_RNA	GSE1110GSM18304 LE.biotin	biotin	synthetic_RNA	1.0uM_IAA_3h_2.1	A-AFFY-2	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16411	1.0uM_IAA_3h_2.1	E-GEOD-1110-processed-data-1442080006.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1110/E-GEOD-1110.processed.1.zip	3	hour	1	micromolar	indole-3-acetic acid
GSE1111GSM18228	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	Untreated control: biological replicate 1, hybridization 1 (first labeling); scaling factor 2.8.	GSE1111GSM18228 sample	GSE1111GSM18228 extract	total_RNA	GSE1111GSM18228 LE.biotin	biotin	synthetic_RNA	Control_1.1 (a)	A-AFFY-2	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16411	Control_1.1 (a)	E-GEOD-1110-processed-data-1442080006.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1110/E-GEOD-1110.processed.1.zip	0	hour	0	micromolar	indole-3-acetic acid
GSE1110GSM18303	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	Exposure to 1.0micromolar IAA for 3h prior to harvest; biological replicate 1, hybridization 2; scaling factor 5.3.	GSE1110GSM18303 sample	GSE1110GSM18303 extract	total_RNA	GSE1110GSM18303 LE.biotin	biotin	synthetic_RNA	1.0uM_IAA_3h_1.2	A-AFFY-2	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16411	1.0uM_IAA_3h_1.2	E-GEOD-1110-processed-data-1442080006.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1110/E-GEOD-1110.processed.1.zip	3	hour	1	micromolar	indole-3-acetic acid
GSE1110GSM18293	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	Exposure to 0.1micromolar IAA for 1h prior to harvest; biological replicate 2, hybridization 2; scaling factor 6.1.	GSE1110GSM18293 sample	GSE1110GSM18293 extract	total_RNA	GSE1110GSM18293 LE.biotin	biotin	synthetic_RNA	0.1uM_IAA_1h_2.2	A-AFFY-2	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16411	0.1uM_IAA_1h_2.2	E-GEOD-1110-processed-data-1442080006.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1110/E-GEOD-1110.processed.1.zip	1	hour	0.1	micromolar	indole-3-acetic acid
GSE1110GSM18299	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	Exposure to 1.0micromolar IAA for 1h prior to harvest; biological replicate 1, hybridization 2; scaling factor 4.5.	GSE1110GSM18299 sample	GSE1110GSM18299 extract	total_RNA	GSE1110GSM18299 LE.biotin	biotin	synthetic_RNA	1.0uM_IAA_1h_1.2	A-AFFY-2	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16411	1.0uM_IAA_1h_1.2	E-GEOD-1110-processed-data-1442080006.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1110/E-GEOD-1110.processed.1.zip	1	hour	1	micromolar	indole-3-acetic acid
GSE1110GSM18298	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	Exposure to 1.0micromolar IAA for 1h prior to harvest; biological replicate 1, hybridization 1; scaling factor 4.3.	GSE1110GSM18298 sample	GSE1110GSM18298 extract	total_RNA	GSE1110GSM18298 LE.biotin	biotin	synthetic_RNA	1.0uM_IAA_1h_1.1	A-AFFY-2	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16411	1.0uM_IAA_1h_1.1	E-GEOD-1110-processed-data-1442080006.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1110/E-GEOD-1110.processed.1.zip	1	hour	1	micromolar	indole-3-acetic acid
GSE1110GSM18232	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	Untreated control: biological replicate 3, hybridization 1; scaling factor 2.9.	GSE1110GSM18232 sample	GSE1110GSM18232 extract	total_RNA	GSE1110GSM18232 LE.biotin	biotin	synthetic_RNA	Control_3.1	A-AFFY-2	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16411	Control_3.1	E-GEOD-1110-processed-data-1442080006.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1110/E-GEOD-1110.processed.1.zip	0	hour	0	micromolar	indole-3-acetic acid
GSE1111GSM18290	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	Exposure to 0.1micromolar IAA for 1h prior to harvest; biological replicate 1, hybridization 1; scaling factor 6.5.	GSE1111GSM18290 sample	GSE1111GSM18290 extract	total_RNA	GSE1111GSM18290 LE.biotin	biotin	synthetic_RNA	0.1uM_IAA_1h_1.1	A-AFFY-2	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16411	0.1uM_IAA_1h_1.1	E-GEOD-1110-processed-data-1442080006.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1110/E-GEOD-1110.processed.1.zip	1	hour	0.1	micromolar	indole-3-acetic acid
GSE1110GSM18231	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	Untreated control: biological replicate 2, hybridization 2; scaling factor 5.0.	GSE1110GSM18231 sample	GSE1110GSM18231 extract	total_RNA	GSE1110GSM18231 LE.biotin	biotin	synthetic_RNA	Control_2.2	A-AFFY-2	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16411	Control_2.2	E-GEOD-1110-processed-data-1442080006.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1110/E-GEOD-1110.processed.1.zip	0	hour	0	micromolar	indole-3-acetic acid
