Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Age]	Unit[TimeUnit]	Characteristics[Ecotype]	Characteristics[Genotype]	Characteristics[OrganismPart]	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [ECOTYPE]	FactorValue [GENOTYPE]	FactorValue [COMPOUND]
GSM664656 1	Gene expression data in Col in the presence of salt	Col plant, 100mM NaCl, 6 d	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	20	days	Col-0	wild_type	leaf	EFO	EFO_0000993	P-GSE26983-2	P-GSE26983-3	P-GSE26983-4	GSM664656 extract 1	total RNA	P-GSE26983-5	GSM664656 LE 1	biotin	P-GSE26983-6	GSM664656	A-AFFY-2	P-GSE26983-7	P-GSE26983-8	GSM664656_Col-100mM-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26983/E-GEOD-26983.raw.1.zip	P-GSE26983-1	GSM664656_sample_table.txt norm	GSM664656_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26983/E-GEOD-26983.processed.1.zip	Col-0	wild_type	NaCl
GSM664655 1	Gene expression data in Col in the presence of salt	Col plant, 100mM NaCl, 6 d	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	20	days	Col-0	wild_type	leaf	EFO	EFO_0000993	P-GSE26983-2	P-GSE26983-3	P-GSE26983-4	GSM664655 extract 1	total RNA	P-GSE26983-5	GSM664655 LE 1	biotin	P-GSE26983-6	GSM664655	A-AFFY-2	P-GSE26983-7	P-GSE26983-8	GSM664655_Col-100mM-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26983/E-GEOD-26983.raw.1.zip	P-GSE26983-1	GSM664655_sample_table.txt norm	GSM664655_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26983/E-GEOD-26983.processed.1.zip	Col-0	wild_type	NaCl
GSM664654 1	Gene expression data in Ws in the absence of salt	M6PR OX plant, 0mM NaCl, 6 d	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	20	days	Col-0	35S::M6PR	leaf	EFO	EFO_0000993	P-GSE26983-2	P-GSE26983-3	P-GSE26983-4	GSM664654 extract 1	total RNA	P-GSE26983-5	GSM664654 LE 1	biotin	P-GSE26983-6	GSM664654	A-AFFY-2	P-GSE26983-7	P-GSE26983-8	GSM664654_M6PR-0mM-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26983/E-GEOD-26983.raw.1.zip	P-GSE26983-1	GSM664654_sample_table.txt norm	GSM664654_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26983/E-GEOD-26983.processed.1.zip	Col-0	35S::M6PR	none
GSM664653 1	Gene expression data in Ws in the absence of salt	M6PR OX plant, 0mM NaCl, 6 d	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	20	days	Col-0	35S::M6PR	leaf	EFO	EFO_0000993	P-GSE26983-2	P-GSE26983-3	P-GSE26983-4	GSM664653 extract 1	total RNA	P-GSE26983-5	GSM664653 LE 1	biotin	P-GSE26983-6	GSM664653	A-AFFY-2	P-GSE26983-7	P-GSE26983-8	GSM664653_M6PR-0mM-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26983/E-GEOD-26983.raw.1.zip	P-GSE26983-1	GSM664653_sample_table.txt norm	GSM664653_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26983/E-GEOD-26983.processed.1.zip	Col-0	35S::M6PR	none
GSM664652 1	Gene expression data in Col in the absence of salt	Col plant, 0mM NaCl, 6 d	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	20	days	Col-0	wild_type	leaf	EFO	EFO_0000993	P-GSE26983-2	P-GSE26983-3	P-GSE26983-4	GSM664652 extract 1	total RNA	P-GSE26983-5	GSM664652 LE 1	biotin	P-GSE26983-6	GSM664652	A-AFFY-2	P-GSE26983-7	P-GSE26983-8	GSM664652_Col-0mM-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26983/E-GEOD-26983.raw.1.zip	P-GSE26983-1	GSM664652_sample_table.txt norm	GSM664652_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26983/E-GEOD-26983.processed.1.zip	Col-0	wild_type	none
GSM664651 1	Gene expression data in Col in the absence of salt	Col plant, 0mM NaCl, 6 d	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	20	days	Col-0	wild_type	leaf	EFO	EFO_0000993	P-GSE26983-2	P-GSE26983-3	P-GSE26983-4	GSM664651 extract 1	total RNA	P-GSE26983-5	GSM664651 LE 1	biotin	P-GSE26983-6	GSM664651	A-AFFY-2	P-GSE26983-7	P-GSE26983-8	GSM664651_Col-0mM-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26983/E-GEOD-26983.raw.1.zip	P-GSE26983-1	GSM664651_sample_table.txt norm	GSM664651_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26983/E-GEOD-26983.processed.1.zip	Col-0	wild_type	none
GSM664650 1	Gene expression data in Col in the presence of salt	CBF3 OX plant, 100mM NaCl, 6 d	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	20	days	Ws	35S::CBF3	leaf	EFO	EFO_0000993	P-GSE26983-2	P-GSE26983-3	P-GSE26983-4	GSM664650 extract 1	total RNA	P-GSE26983-5	GSM664650 LE 1	biotin	P-GSE26983-6	GSM664650	A-AFFY-2	P-GSE26983-7	P-GSE26983-8	GSM664650_CBF3-100mM-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26983/E-GEOD-26983.raw.1.zip	P-GSE26983-1	GSM664650_sample_table.txt norm	GSM664650_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26983/E-GEOD-26983.processed.1.zip	Ws	35S::CBF3	NaCl
GSM664649 1	Gene expression data in Col in the presence of salt	CBF3 OX plant, 100mM NaCl, 6 d	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	20	days	Ws	35S::CBF3	leaf	EFO	EFO_0000993	P-GSE26983-2	P-GSE26983-3	P-GSE26983-4	GSM664649 extract 1	total RNA	P-GSE26983-5	GSM664649 LE 1	biotin	P-GSE26983-6	GSM664649	A-AFFY-2	P-GSE26983-7	P-GSE26983-8	GSM664649_CBF3-100mM-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26983/E-GEOD-26983.raw.1.zip	P-GSE26983-1	GSM664649_sample_table.txt norm	GSM664649_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26983/E-GEOD-26983.processed.1.zip	Ws	35S::CBF3	NaCl
GSM664648 1	Gene expression data in Ws in the presence of salt	Ws plant, 100mM NaCl, 6 d	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	20	days	Ws	wild_type	leaf	EFO	EFO_0000993	P-GSE26983-2	P-GSE26983-3	P-GSE26983-4	GSM664648 extract 1	total RNA	P-GSE26983-5	GSM664648 LE 1	biotin	P-GSE26983-6	GSM664648	A-AFFY-2	P-GSE26983-7	P-GSE26983-8	GSM664648_WS-100mM-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26983/E-GEOD-26983.raw.1.zip	P-GSE26983-1	GSM664648_sample_table.txt norm	GSM664648_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26983/E-GEOD-26983.processed.1.zip	Ws	wild_type	NaCl
GSM664647 1	Gene expression data in Ws in the presence of salt	Ws plant, 100mM NaCl, 6 d	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	20	days	Ws	wild_type	leaf	EFO	EFO_0000993	P-GSE26983-2	P-GSE26983-3	P-GSE26983-4	GSM664647 extract 1	total RNA	P-GSE26983-5	GSM664647 LE 1	biotin	P-GSE26983-6	GSM664647	A-AFFY-2	P-GSE26983-7	P-GSE26983-8	GSM664647_WS-100mM-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26983/E-GEOD-26983.raw.1.zip	P-GSE26983-1	GSM664647_sample_table.txt norm	GSM664647_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26983/E-GEOD-26983.processed.1.zip	Ws	wild_type	NaCl
GSM664646 1	Gene expression data in Col in the absence of salt	CBF3 OX plant, 0mM NaCl, 6 d	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	20	days	Ws	35S::CBF3	leaf	EFO	EFO_0000993	P-GSE26983-2	P-GSE26983-3	P-GSE26983-4	GSM664646 extract 1	total RNA	P-GSE26983-5	GSM664646 LE 1	biotin	P-GSE26983-6	GSM664646	A-AFFY-2	P-GSE26983-7	P-GSE26983-8	GSM664646_CBF3-0mM-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26983/E-GEOD-26983.raw.1.zip	P-GSE26983-1	GSM664646_sample_table.txt norm	GSM664646_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26983/E-GEOD-26983.processed.1.zip	Ws	35S::CBF3	none
GSM664645 1	Gene expression data in Col in the absence of salt	CBF3 OX plant, 0mM NaCl, 6 d	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	20	days	Ws	35S::CBF3	leaf	EFO	EFO_0000993	P-GSE26983-2	P-GSE26983-3	P-GSE26983-4	GSM664645 extract 1	total RNA	P-GSE26983-5	GSM664645 LE 1	biotin	P-GSE26983-6	GSM664645	A-AFFY-2	P-GSE26983-7	P-GSE26983-8	GSM664645_CBF3-0mM-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26983/E-GEOD-26983.raw.1.zip	P-GSE26983-1	GSM664645_sample_table.txt norm	GSM664645_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26983/E-GEOD-26983.processed.1.zip	Ws	35S::CBF3	none
GSM664644 1	Gene expression data in Ws in the absence of salt	Ws plant, 0mM NaCl, 6 d	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	20	days	Ws	wild_type	leaf	EFO	EFO_0000993	P-GSE26983-2	P-GSE26983-3	P-GSE26983-4	GSM664644 extract 1	total RNA	P-GSE26983-5	GSM664644 LE 1	biotin	P-GSE26983-6	GSM664644	A-AFFY-2	P-GSE26983-7	P-GSE26983-8	GSM664644_Ws-0mM-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26983/E-GEOD-26983.raw.1.zip	P-GSE26983-1	GSM664644_sample_table.txt norm	GSM664644_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26983/E-GEOD-26983.processed.1.zip	Ws	wild_type	none
GSM664643 1	Gene expression data in Ws in the absence of salt	Ws plant, 0mM NaCl, 6 d	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	20	days	Ws	wild_type	leaf	EFO	EFO_0000993	P-GSE26983-2	P-GSE26983-3	P-GSE26983-4	GSM664643 extract 1	total RNA	P-GSE26983-5	GSM664643 LE 1	biotin	P-GSE26983-6	GSM664643	A-AFFY-2	P-GSE26983-7	P-GSE26983-8	GSM664643_WS-0mM-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26983/E-GEOD-26983.raw.1.zip	P-GSE26983-1	GSM664643_sample_table.txt norm	GSM664643_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26983/E-GEOD-26983.processed.1.zip	Ws	wild_type	none
