Source Name	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Genotype]	Characteristics[tissue]	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [GENOTYPE]	FactorValue[GROWTH CONDITION]	FactorValue [ORGANISM PART]	Term Source REF	Term Accession Number
GSM771387 1	10 do mpk6 T-DNA insertion Knockout Arabidopsis Shoot 9 h Hypoxia	mpk6 T-DNA insertion Knockout Shoot Hypoxia Biological Rep 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	T-DNA insertion mpk6 knockout	shoot	EFO	EFO_0000992	P-GSE31158-2	P-GSE31158-3	P-GSE31158-4	GSM771387 extract 1	total RNA	P-GSE31158-5	GSM771387 LE 1	biotin	P-GSE31158-6	GSM771387	A-AFFY-2	P-GSE31158-7	P-GSE31158-8	GSM771387.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31158/E-GEOD-31158.raw.1.zip	P-GSE31158-1	GSM771387_sample_table.txt norm	GSM771387_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31158/E-GEOD-31158.processed.1.zip	T-DNA insertion mpk6 knockout	Hypoxia	shoot	EFO	EFO_0000992
GSM771386 1	10 do mpk6 T-DNA insertion Knockout Arabidopsis Root 9 h Hypoxia	mpk6 T-DNA insertion Knockout Root Hypoxia Biological Rep 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	T-DNA insertion mpk6 knockout	root	EFO	EFO_0000989	P-GSE31158-2	P-GSE31158-3	P-GSE31158-4	GSM771386 extract 1	total RNA	P-GSE31158-5	GSM771386 LE 1	biotin	P-GSE31158-6	GSM771386	A-AFFY-2	P-GSE31158-7	P-GSE31158-8	GSM771386.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31158/E-GEOD-31158.raw.1.zip	P-GSE31158-1	GSM771386_sample_table.txt norm	GSM771386_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31158/E-GEOD-31158.processed.1.zip	T-DNA insertion mpk6 knockout	Hypoxia	root	EFO	EFO_0000989
GSM771385 1	10 do mpk6 T-DNA insertion Knockout Arabidopsis Root 9 h Hypoxia	mpk6 T-DNA insertion Knockout Root Hypoxia Biological Rep 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	T-DNA insertion mpk6 knockout	root	EFO	EFO_0000989	P-GSE31158-2	P-GSE31158-3	P-GSE31158-4	GSM771385 extract 1	total RNA	P-GSE31158-5	GSM771385 LE 1	biotin	P-GSE31158-6	GSM771385	A-AFFY-2	P-GSE31158-7	P-GSE31158-8	GSM771385.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31158/E-GEOD-31158.raw.1.zip	P-GSE31158-1	GSM771385_sample_table.txt norm	GSM771385_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31158/E-GEOD-31158.processed.1.zip	T-DNA insertion mpk6 knockout	Hypoxia	root	EFO	EFO_0000989
GSM771384 1	10 do mpk6 T-DNA insertion Knockout Arabidopsis Shoot Normoxia (mock)	mpk6 T-DNA insertion Knockout Shoot Normoxia (mock) Biological Rep 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	T-DNA insertion mpk6 knockout	shoot	EFO	EFO_0000992	P-GSE31158-2	P-GSE31158-3	P-GSE31158-4	GSM771384 extract 1	total RNA	P-GSE31158-5	GSM771384 LE 1	biotin	P-GSE31158-6	GSM771384	A-AFFY-2	P-GSE31158-7	P-GSE31158-8	GSM771384.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31158/E-GEOD-31158.raw.1.zip	P-GSE31158-1	GSM771384_sample_table.txt norm	GSM771384_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31158/E-GEOD-31158.processed.1.zip	T-DNA insertion mpk6 knockout	Normoxia (mock)	shoot	EFO	EFO_0000992
GSM771383 1	10 do mpk6 T-DNA insertion Knockout Arabidopsis Shoot Normoxia (mock)	mpk6 T-DNA insertion Knockout Shoot Normoxia (mock) Biological Rep 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	T-DNA insertion mpk6 knockout	shoot	EFO	EFO_0000992	P-GSE31158-2	P-GSE31158-3	P-GSE31158-4	GSM771383 extract 1	total RNA	P-GSE31158-5	GSM771383 LE 1	biotin	P-GSE31158-6	GSM771383	A-AFFY-2	P-GSE31158-7	P-GSE31158-8	GSM771383.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31158/E-GEOD-31158.raw.1.zip	P-GSE31158-1	GSM771383_sample_table.txt norm	GSM771383_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31158/E-GEOD-31158.processed.1.zip	T-DNA insertion mpk6 knockout	Normoxia (mock)	shoot	EFO	EFO_0000992
GSM771382 1	10 do mpk6 T-DNA insertion Knockout Arabidopsis Root Normoxia (mock)	mpk6 T-DNA insertion Knockout Root Normoxia (mock) Biological Rep 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	T-DNA insertion mpk6 knockout	root	EFO	EFO_0000989	P-GSE31158-2	P-GSE31158-3	P-GSE31158-4	GSM771382 extract 1	total RNA	P-GSE31158-5	GSM771382 LE 1	biotin	P-GSE31158-6	GSM771382	A-AFFY-2	P-GSE31158-7	P-GSE31158-8	GSM771382.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31158/E-GEOD-31158.raw.1.zip	P-GSE31158-1	GSM771382_sample_table.txt norm	GSM771382_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31158/E-GEOD-31158.processed.1.zip	T-DNA insertion mpk6 knockout	Normoxia (mock)	root	EFO	EFO_0000989
GSM771381 1	10 do mpk6 T-DNA insertion Knockout Arabidopsis Root Normoxia (mock)	mpk6 T-DNA insertion Knockout Root Normoxia (mock) Biological Rep 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	T-DNA insertion mpk6 knockout	root	EFO	EFO_0000989	P-GSE31158-2	P-GSE31158-3	P-GSE31158-4	GSM771381 extract 1	total RNA	P-GSE31158-5	GSM771381 LE 1	biotin	P-GSE31158-6	GSM771381	A-AFFY-2	P-GSE31158-7	P-GSE31158-8	GSM771381.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31158/E-GEOD-31158.raw.1.zip	P-GSE31158-1	GSM771381_sample_table.txt norm	GSM771381_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31158/E-GEOD-31158.processed.1.zip	T-DNA insertion mpk6 knockout	Normoxia (mock)	root	EFO	EFO_0000989
GSM771380 1	10 do Wild Type Arabidopsis Shoot 9 h Hypoxia	Wild Type Shoot Hypoxia Biological Rep 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	shoot	EFO	EFO_0000992	P-GSE31158-2	P-GSE31158-3	P-GSE31158-4	GSM771380 extract 1	total RNA	P-GSE31158-5	GSM771380 LE 1	biotin	P-GSE31158-6	GSM771380	A-AFFY-2	P-GSE31158-7	P-GSE31158-8	GSM771380.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31158/E-GEOD-31158.raw.1.zip	P-GSE31158-1	GSM771380_sample_table.txt norm	GSM771380_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31158/E-GEOD-31158.processed.1.zip	Col-0	Hypoxia	shoot	EFO	EFO_0000992
GSM771379 1	10 do Wild Type Arabidopsis Shoot 9 h Hypoxia	Wild Type Shoot Hypoxia Biological Rep 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	shoot	EFO	EFO_0000992	P-GSE31158-2	P-GSE31158-3	P-GSE31158-4	GSM771379 extract 1	total RNA	P-GSE31158-5	GSM771379 LE 1	biotin	P-GSE31158-6	GSM771379	A-AFFY-2	P-GSE31158-7	P-GSE31158-8	GSM771379.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31158/E-GEOD-31158.raw.1.zip	P-GSE31158-1	GSM771379_sample_table.txt norm	GSM771379_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31158/E-GEOD-31158.processed.1.zip	Col-0	Hypoxia	shoot	EFO	EFO_0000992
GSM771378 1	10 do Wild Type Arabidopsis Root 9 h Hypoxia	Wild Type Root Hypoxia Biological Rep 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	root	EFO	EFO_0000989	P-GSE31158-2	P-GSE31158-3	P-GSE31158-4	GSM771378 extract 1	total RNA	P-GSE31158-5	GSM771378 LE 1	biotin	P-GSE31158-6	GSM771378	A-AFFY-2	P-GSE31158-7	P-GSE31158-8	GSM771378.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31158/E-GEOD-31158.raw.1.zip	P-GSE31158-1	GSM771378_sample_table.txt norm	GSM771378_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31158/E-GEOD-31158.processed.1.zip	Col-0	Hypoxia	root	EFO	EFO_0000989
GSM771377 1	10 do Wild Type Arabidopsis Root 9 h Hypoxia	Wild Type Root Hypoxia Biological Rep 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	root	EFO	EFO_0000989	P-GSE31158-2	P-GSE31158-3	P-GSE31158-4	GSM771377 extract 1	total RNA	P-GSE31158-5	GSM771377 LE 1	biotin	P-GSE31158-6	GSM771377	A-AFFY-2	P-GSE31158-7	P-GSE31158-8	GSM771377.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31158/E-GEOD-31158.raw.1.zip	P-GSE31158-1	GSM771377_sample_table.txt norm	GSM771377_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31158/E-GEOD-31158.processed.1.zip	Col-0	Hypoxia	root	EFO	EFO_0000989
GSM771376 1	10 do Wild Type Arabidopsis Shoot Normoxia (mock)	Wild Type Shoot Normoxia (mock) Biological Rep 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	shoot	EFO	EFO_0000992	P-GSE31158-2	P-GSE31158-3	P-GSE31158-4	GSM771376 extract 1	total RNA	P-GSE31158-5	GSM771376 LE 1	biotin	P-GSE31158-6	GSM771376	A-AFFY-2	P-GSE31158-7	P-GSE31158-8	GSM771376.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31158/E-GEOD-31158.raw.1.zip	P-GSE31158-1	GSM771376_sample_table.txt norm	GSM771376_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31158/E-GEOD-31158.processed.1.zip	Col-0	Normoxia (mock)	shoot	EFO	EFO_0000992
GSM771375 1	10 do Wild Type Arabidopsis Shoot Normoxia (mock)	Wild Type Shoot Normoxia (mock) Biological Rep 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	shoot	EFO	EFO_0000992	P-GSE31158-2	P-GSE31158-3	P-GSE31158-4	GSM771375 extract 1	total RNA	P-GSE31158-5	GSM771375 LE 1	biotin	P-GSE31158-6	GSM771375	A-AFFY-2	P-GSE31158-7	P-GSE31158-8	GSM771375.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31158/E-GEOD-31158.raw.1.zip	P-GSE31158-1	GSM771375_sample_table.txt norm	GSM771375_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31158/E-GEOD-31158.processed.1.zip	Col-0	Normoxia (mock)	shoot	EFO	EFO_0000992
GSM771374 1	10 do Wild Type Arabidopsis Root Normoxia (mock)	Wild Type Root Normoxia (mock) Biological Rep 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	root	EFO	EFO_0000989	P-GSE31158-2	P-GSE31158-3	P-GSE31158-4	GSM771374 extract 1	total RNA	P-GSE31158-5	GSM771374 LE 1	biotin	P-GSE31158-6	GSM771374	A-AFFY-2	P-GSE31158-7	P-GSE31158-8	GSM771374.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31158/E-GEOD-31158.raw.1.zip	P-GSE31158-1	GSM771374_sample_table.txt norm	GSM771374_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31158/E-GEOD-31158.processed.1.zip	Col-0	Normoxia (mock)	root	EFO	EFO_0000989
GSM771373 1	10 do Wild Type Arabidopsis Root Normoxia (mock)	Wild Type Root Normoxia (mock) Biological Rep 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	root	EFO	EFO_0000989	P-GSE31158-2	P-GSE31158-3	P-GSE31158-4	GSM771373 extract 1	total RNA	P-GSE31158-5	GSM771373 LE 1	biotin	P-GSE31158-6	GSM771373	A-AFFY-2	P-GSE31158-7	P-GSE31158-8	GSM771373.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31158/E-GEOD-31158.raw.1.zip	P-GSE31158-1	GSM771373_sample_table.txt norm	GSM771373_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31158/E-GEOD-31158.processed.1.zip	Col-0	Normoxia (mock)	root	EFO	EFO_0000989
