Source Name	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[ecotype]	Characteristics[organism part]	Characteristics[genotype]	Characteristics[genetic modification]	Comment [Sample_source_name]	Comment [Sample_title]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue [environmental stress]	FactorValue[time]	Unit [time unit]
GSM852933 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	gpa1-4, agb1-2 double mutant	gene knock out	Arabidopsis leaf, G-protein null mutant genotype, 125 ppb ozone, treated for 3 h	leaf_AB mutant_ozone_3h_biological rep2	P-GSE34667-3	P-GSE34667-2	P-GSE34667-4	GSM852933 extract 1	total RNA	P-GSE34667-5	GSM852933 LE 1	biotin	P-GSE34667-6	GSM852933	A-AFFY-2	P-GSE34667-7	P-GSE34667-8	GSM852933.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34667/E-GEOD-34667.raw.1.zip	P-GSE34667-1	GSM852933_sample_table.txt norm	GSM852933_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34667/E-GEOD-34667.processed.1.zip	G-protein knockout mutant	ozone	3	hour
GSM852932 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	gpa1-4, agb1-2 double mutant	gene knock out	Arabidopsis leaf, G-protein null mutant genotype, 125 ppb ozone, treated for 3 h	leaf_AB mutant_ozone_3h_biological rep1	P-GSE34667-3	P-GSE34667-2	P-GSE34667-4	GSM852932 extract 1	total RNA	P-GSE34667-5	GSM852932 LE 1	biotin	P-GSE34667-6	GSM852932	A-AFFY-2	P-GSE34667-7	P-GSE34667-8	GSM852932.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34667/E-GEOD-34667.raw.1.zip	P-GSE34667-1	GSM852932_sample_table.txt norm	GSM852932_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34667/E-GEOD-34667.processed.1.zip	G-protein knockout mutant	ozone	3	hour
GSM852931 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	gpa1-4, agb1-2 double mutant	gene knock out	Arabidopsis leaf, G-protein null mutant genotype, clean-air control, treated for 3 h	leaf_AB mutant_clean-air_3h_biological rep3	P-GSE34667-3	P-GSE34667-2	P-GSE34667-4	GSM852931 extract 1	total RNA	P-GSE34667-5	GSM852931 LE 1	biotin	P-GSE34667-6	GSM852931	A-AFFY-2	P-GSE34667-7	P-GSE34667-8	GSM852931.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34667/E-GEOD-34667.raw.1.zip	P-GSE34667-1	GSM852931_sample_table.txt norm	GSM852931_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34667/E-GEOD-34667.processed.1.zip	G-protein knockout mutant	control	3	hour
GSM852930 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	gpa1-4, agb1-2 double mutant	gene knock out	Arabidopsis leaf, G-protein null mutant genotype, clean-air control, treated for 3 h	leaf_AB mutant_clean-air_3h_biological rep2	P-GSE34667-3	P-GSE34667-2	P-GSE34667-4	GSM852930 extract 1	total RNA	P-GSE34667-5	GSM852930 LE 1	biotin	P-GSE34667-6	GSM852930	A-AFFY-2	P-GSE34667-7	P-GSE34667-8	GSM852930.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34667/E-GEOD-34667.raw.1.zip	P-GSE34667-1	GSM852930_sample_table.txt norm	GSM852930_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34667/E-GEOD-34667.processed.1.zip	G-protein knockout mutant	control	3	hour
GSM852929 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	gpa1-4, agb1-2 double mutant	gene knock out	Arabidopsis leaf, G-protein null mutant genotype, clean-air control, treated for 3 h	leaf_AB mutant_clean-air_3h_biological rep1	P-GSE34667-3	P-GSE34667-2	P-GSE34667-4	GSM852929 extract 1	total RNA	P-GSE34667-5	GSM852929 LE 1	biotin	P-GSE34667-6	GSM852929	A-AFFY-2	P-GSE34667-7	P-GSE34667-8	GSM852929.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34667/E-GEOD-34667.raw.1.zip	P-GSE34667-1	GSM852929_sample_table.txt norm	GSM852929_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34667/E-GEOD-34667.processed.1.zip	G-protein knockout mutant	control	3	hour
GSM852928 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	wild type	none	Arabidopsis leaf, Col-0 genotype, 125 ppb ozone, treated for 3 h	leaf_Col_ozone_3h_biological rep3	P-GSE34667-3	P-GSE34667-2	P-GSE34667-4	GSM852928 extract 1	total RNA	P-GSE34667-5	GSM852928 LE 1	biotin	P-GSE34667-6	GSM852928	A-AFFY-2	P-GSE34667-7	P-GSE34667-8	GSM852928.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34667/E-GEOD-34667.raw.1.zip	P-GSE34667-1	GSM852928_sample_table.txt norm	GSM852928_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34667/E-GEOD-34667.processed.1.zip	wild type	ozone	3	hour
GSM852927 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	wild type	none	Arabidopsis leaf, Col-0 genotype, 125 ppb ozone, treated for 3 h	leaf_Col_ozone_3h_biological rep2	P-GSE34667-3	P-GSE34667-2	P-GSE34667-4	GSM852927 extract 1	total RNA	P-GSE34667-5	GSM852927 LE 1	biotin	P-GSE34667-6	GSM852927	A-AFFY-2	P-GSE34667-7	P-GSE34667-8	GSM852927.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34667/E-GEOD-34667.raw.1.zip	P-GSE34667-1	GSM852927_sample_table.txt norm	GSM852927_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34667/E-GEOD-34667.processed.1.zip	wild type	ozone	3	hour
GSM852926 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	wild type	none	Arabidopsis leaf, Col-0 genotype, 125 ppb ozone, treated for 3 h	leaf_Col_ozone_3h_biological rep1	P-GSE34667-3	P-GSE34667-2	P-GSE34667-4	GSM852926 extract 1	total RNA	P-GSE34667-5	GSM852926 LE 1	biotin	P-GSE34667-6	GSM852926	A-AFFY-2	P-GSE34667-7	P-GSE34667-8	GSM852926.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34667/E-GEOD-34667.raw.1.zip	P-GSE34667-1	GSM852926_sample_table.txt norm	GSM852926_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34667/E-GEOD-34667.processed.1.zip	wild type	ozone	3	hour
GSM852925 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	wild type	none	Arabidopsis leaf, Col-0 genotype, clean-air control, treated for 3 h	leaf_Col_clean-air_3h_biological rep3	P-GSE34667-3	P-GSE34667-2	P-GSE34667-4	GSM852925 extract 1	total RNA	P-GSE34667-5	GSM852925 LE 1	biotin	P-GSE34667-6	GSM852925	A-AFFY-2	P-GSE34667-7	P-GSE34667-8	GSM852925.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34667/E-GEOD-34667.raw.1.zip	P-GSE34667-1	GSM852925_sample_table.txt norm	GSM852925_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34667/E-GEOD-34667.processed.1.zip	wild type	control	3	hour
GSM852924 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	wild type	none	Arabidopsis leaf, Col-0 genotype, clean-air control, treated for 3 h	leaf_Col_clean-air_3h_biological rep2	P-GSE34667-3	P-GSE34667-2	P-GSE34667-4	GSM852924 extract 1	total RNA	P-GSE34667-5	GSM852924 LE 1	biotin	P-GSE34667-6	GSM852924	A-AFFY-2	P-GSE34667-7	P-GSE34667-8	GSM852924.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34667/E-GEOD-34667.raw.1.zip	P-GSE34667-1	GSM852924_sample_table.txt norm	GSM852924_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34667/E-GEOD-34667.processed.1.zip	wild type	control	3	hour
GSM852923 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	wild type	none	Arabidopsis leaf, Col-0 genotype, clean-air control, treated for 3 h	leaf_Col_clean-air_3h_biological rep1	P-GSE34667-3	P-GSE34667-2	P-GSE34667-4	GSM852923 extract 1	total RNA	P-GSE34667-5	GSM852923 LE 1	biotin	P-GSE34667-6	GSM852923	A-AFFY-2	P-GSE34667-7	P-GSE34667-8	GSM852923.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34667/E-GEOD-34667.raw.1.zip	P-GSE34667-1	GSM852923_sample_table.txt norm	GSM852923_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34667/E-GEOD-34667.processed.1.zip	wild type	control	3	hour
