Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_description]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Age]	Unit[TimeUnit]	Characteristics[Genotype]	Characteristics[OrganismPart]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [GENOTYPE]
GSM572639 1	Gene expression data from rosette of vtc2.	Rosette of vtc2, 42 days old	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	42	days	vtc2 (vitamin C defective 2)	rosette	P-GSE23331-2	P-GSE23331-3	P-GSE23331-4	GSM572639 extract 1	total RNA	P-GSE23331-5	GSM572639 LE 1	Biotin	P-GSE23331-6	GSM572639	A-AFFY-2	P-GSE23331-7	P-GSE23331-8	P-GSE23331-9	GSM572639.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23331/E-GEOD-23331.raw.1.zip	P-GSE23331-1	GSM572639_sample_table.txt norm	GSM572639_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23331/E-GEOD-23331.processed.1.zip	vtc2 (vitamin C defective 2)
GSM572638 1	Gene expression data from rosette of vtc2.	Rosette of vtc2, 42 days old	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	42	days	vtc2 (vitamin C defective 2)	rosette	P-GSE23331-2	P-GSE23331-3	P-GSE23331-4	GSM572638 extract 1	total RNA	P-GSE23331-5	GSM572638 LE 1	Biotin	P-GSE23331-6	GSM572638	A-AFFY-2	P-GSE23331-7	P-GSE23331-8	P-GSE23331-9	GSM572638.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23331/E-GEOD-23331.raw.1.zip	P-GSE23331-1	GSM572638_sample_table.txt norm	GSM572638_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23331/E-GEOD-23331.processed.1.zip	vtc2 (vitamin C defective 2)
GSM572637 1	Gene expression data from rosette of vtc2.	Rosette of vtc2, 42 days old	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	42	days	vtc2 (vitamin C defective 2)	rosette	P-GSE23331-2	P-GSE23331-3	P-GSE23331-4	GSM572637 extract 1	total RNA	P-GSE23331-5	GSM572637 LE 1	Biotin	P-GSE23331-6	GSM572637	A-AFFY-2	P-GSE23331-7	P-GSE23331-8	P-GSE23331-9	GSM572637.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23331/E-GEOD-23331.raw.1.zip	P-GSE23331-1	GSM572637_sample_table.txt norm	GSM572637_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23331/E-GEOD-23331.processed.1.zip	vtc2 (vitamin C defective 2)
GSM572636 1	Gene expression data from rosette of abi4-102.	Rosette of abi4, 42 days old	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	42	days	abi4-102 (aba insensitive 4)	rosette	P-GSE23331-2	P-GSE23331-3	P-GSE23331-4	GSM572636 extract 1	total RNA	P-GSE23331-5	GSM572636 LE 1	Biotin	P-GSE23331-6	GSM572636	A-AFFY-2	P-GSE23331-7	P-GSE23331-8	P-GSE23331-9	GSM572636.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23331/E-GEOD-23331.raw.1.zip	P-GSE23331-1	GSM572636_sample_table.txt norm	GSM572636_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23331/E-GEOD-23331.processed.1.zip	abi4-102 (aba insensitive 4)
GSM572635 1	Gene expression data from rosette of abi4-102.	Rosette of abi4, 42 days old	Samples (I) and (II) only share the same Title between GSE23329 & GSE23330. They are different samples from two independent experiments, and do not represent the same Affymetrix hybridizations.	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	42	days	abi4-102 (aba insensitive 4)	rosette	P-GSE23331-2	P-GSE23331-3	P-GSE23331-4	GSM572635 extract 1	total RNA	P-GSE23331-5	GSM572635 LE 1	Biotin	P-GSE23331-6	GSM572635	A-AFFY-2	P-GSE23331-7	P-GSE23331-8	P-GSE23331-9	GSM572635.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23331/E-GEOD-23331.raw.1.zip	P-GSE23331-1	GSM572635_sample_table.txt norm	GSM572635_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23331/E-GEOD-23331.processed.1.zip	abi4-102 (aba insensitive 4)
GSM572634 1	Gene expression data from rosette of abi4-102.	Rosette of abi4, 42 days old	Samples (I) and (II) only share the same Title between GSE23329 & GSE23330. They are different samples from two independent experiments, and do not represent the same Affymetrix hybridizations.	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	42	days	abi4-102 (aba insensitive 4)	rosette	P-GSE23331-2	P-GSE23331-3	P-GSE23331-4	GSM572634 extract 1	total RNA	P-GSE23331-5	GSM572634 LE 1	Biotin	P-GSE23331-6	GSM572634	A-AFFY-2	P-GSE23331-7	P-GSE23331-8	P-GSE23331-9	GSM572634.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23331/E-GEOD-23331.raw.1.zip	P-GSE23331-1	GSM572634_sample_table.txt norm	GSM572634_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23331/E-GEOD-23331.processed.1.zip	abi4-102 (aba insensitive 4)
GSM572633 1	Gene expression data from rosette of abi4-102.	Rosette of abi4, 42 days old	Samples (I) and (II) only share the same Title between GSE23329 & GSE23330. They are different samples from two independent experiments, and do not represent the same Affymetrix hybridizations.	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	42	days	abi4-102 (aba insensitive 4)	rosette	P-GSE23331-2	P-GSE23331-3	P-GSE23331-4	GSM572633 extract 1	total RNA	P-GSE23331-5	GSM572633 LE 1	Biotin	P-GSE23331-6	GSM572633	A-AFFY-2	P-GSE23331-7	P-GSE23331-8	P-GSE23331-9	GSM572633.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23331/E-GEOD-23331.raw.1.zip	P-GSE23331-1	GSM572633_sample_table.txt norm	GSM572633_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23331/E-GEOD-23331.processed.1.zip	abi4-102 (aba insensitive 4)
GSM572632 1	Gene expression data from rosette of wild type Col 0.	Rosette of Col 0, 42 days old	Samples (I) and (II) only share the same Title between GSE23329 & GSE23330. They are different samples from two independent experiments, and do not represent the same Affymetrix hybridizations.	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	42	days	Col 0 (wild type)	rosette	P-GSE23331-2	P-GSE23331-3	P-GSE23331-4	GSM572632 extract 1	total RNA	P-GSE23331-5	GSM572632 LE 1	Biotin	P-GSE23331-6	GSM572632	A-AFFY-2	P-GSE23331-7	P-GSE23331-8	P-GSE23331-9	GSM572632.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23331/E-GEOD-23331.raw.1.zip	P-GSE23331-1	GSM572632_sample_table.txt norm	GSM572632_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23331/E-GEOD-23331.processed.1.zip	Col 0 (wild type)
GSM572631 1	Gene expression data from rosette of wild type Col 0.	Rosette of Col 0, 42 days old	Samples (I) and (II) only share the same Title between GSE23329 & GSE23330. They are different samples from two independent experiments, and do not represent the same Affymetrix hybridizations.	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	42	days	Col 0 (wild type)	rosette	P-GSE23331-2	P-GSE23331-3	P-GSE23331-4	GSM572631 extract 1	total RNA	P-GSE23331-5	GSM572631 LE 1	Biotin	P-GSE23331-6	GSM572631	A-AFFY-2	P-GSE23331-7	P-GSE23331-8	P-GSE23331-9	GSM572631.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23331/E-GEOD-23331.raw.1.zip	P-GSE23331-1	GSM572631_sample_table.txt norm	GSM572631_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23331/E-GEOD-23331.processed.1.zip	Col 0 (wild type)
GSM572630 1	Gene expression data from rosette of wild type Col 0.	Rosette of Col 0, 42 days old	Samples (I) and (II) only share the same Title between GSE23329 & GSE23330. They are different samples from two independent experiments, and do not represent the same Affymetrix hybridizations.	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	42	days	Col 0 (wild type)	rosette	P-GSE23331-2	P-GSE23331-3	P-GSE23331-4	GSM572630 extract 1	total RNA	P-GSE23331-5	GSM572630 LE 1	Biotin	P-GSE23331-6	GSM572630	A-AFFY-2	P-GSE23331-7	P-GSE23331-8	P-GSE23331-9	GSM572630.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23331/E-GEOD-23331.raw.1.zip	P-GSE23331-1	GSM572630_sample_table.txt norm	GSM572630_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23331/E-GEOD-23331.processed.1.zip	Col 0 (wild type)
