Source Name	Material Type	Characteristics [organism]	Term Source REF	Term Accession Number	Description	Comment[Sample_source_name]	Comment[Sample_characteristics]	Characteristics[age]	Unit[time unit]	Characteristics[organism part]	Characteristics[genotype]	Characteristics[ecotype]	Protocol REF	Protocol REF	Sample Name	Material Type	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Material Type	Label	Hybridization Name	Array Design REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Comment[CDF]	FactorValue[growth condition]	FactorValue[genotype]	FactorValue[time]	Unit[time unit]
GSE18071GSM451833	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2-week old WT rosette grown for 3 additional hours on -P medium, WT_3h_-P_rep2. tissue: seedlings without roots; age: 2 weeks + 3h; genotype: WT Col0; treatment: No phosphate medium	2-week old WT rosette grown for 3 additional hours on -P medium	tissue: seedlings without roots; age: 2 weeks + 3h; genotype: WT Col0; treatment: No phosphate medium	339	hour	aerial part	wild type	Columbia	P-G18071-1	P-G18071-2	GSE18071GSM451833 sample	organism_part	P-G18071-5	GSE18071GSM451833 extract	total_RNA	P-G18071-3	GSE18071GSM451833 LE biotin	synthetic_RNA	biotin	WT_3h_minus_P_rep2	A-AFFY-2	GSM451833	GSM451833.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18071/E-GEOD-18071.raw.1.zip	P-G18071-4	GSE18071GSM451833 Norm	GSM451833_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18071/E-GEOD-18071.processed.1.zip	ATH1-121501.CDF	nutrient medium minus phosphate	wild type	3	hour
GSE18071GSM451834	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2-week old WT rosette grown for 3 additional hours on -P medium, WT_3h_-P_rep3. tissue: seedlings without roots; age: 2 weeks + 3h; genotype: WT Col0; treatment: No phosphate medium	2-week old WT rosette grown for 3 additional hours on -P medium	tissue: seedlings without roots; age: 2 weeks + 3h; genotype: WT Col0; treatment: No phosphate medium	339	hour	aerial part	wild type	Columbia	P-G18071-1	P-G18071-2	GSE18071GSM451834 sample	organism_part	P-G18071-5	GSE18071GSM451834 extract	total_RNA	P-G18071-3	GSE18071GSM451834 LE biotin	synthetic_RNA	biotin	WT_3h_minus_P_rep3	A-AFFY-2	GSM451834	GSM451834.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18071/E-GEOD-18071.raw.1.zip	P-G18071-4	GSE18071GSM451834 Norm	GSM451834_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18071/E-GEOD-18071.processed.1.zip	ATH1-121501.CDF	nutrient medium minus phosphate	wild type	3	hour
GSE18071GSM451841	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2-week old pnp1-1 rosette grown for one additional week on +P medium, pnp1-1_1wk_+P_rep1. tissue: seedlings without roots; age: 3 weeks; genotype: pnp1-1 (SALK_013306); treatment: Full nutrient medium (+P)	2-week old pnp1-1 rosette grown for one additional week on +P medium	tissue: seedlings without roots; age: 3 weeks; genotype: pnp1-1 (SALK_013306); treatment: Full nutrient medium (+P)	3	week	aerial part	pnp1-1	Columbia	P-G18071-1	P-G18071-2	GSE18071GSM451841 sample	organism_part	P-G18071-5	GSE18071GSM451841 extract	total_RNA	P-G18071-3	GSE18071GSM451841 LE biotin	synthetic_RNA	biotin	pnp1-1_1wk_plus_P_rep1	A-AFFY-2	GSM451841	GSM451841.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18071/E-GEOD-18071.raw.1.zip	P-G18071-4	GSE18071GSM451841 Norm	GSM451841_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18071/E-GEOD-18071.processed.1.zip	ATH1-121501.CDF	full nutrient medium	pnp1-1	168	hour
GSE18071GSM451842	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2-week old pnp1-1 rosette grown for one additional week on +P medium, pnp1-1_1wk_+P_rep2. tissue: seedlings without roots; age: 3 weeks; genotype: pnp1-1 (SALK_013306); treatment: Full nutrient medium (+P)	2-week old pnp1-1 rosette grown for one additional week on +P medium	tissue: seedlings without roots; age: 3 weeks; genotype: pnp1-1 (SALK_013306); treatment: Full nutrient medium (+P)	3	week	aerial part	pnp1-1	Columbia	P-G18071-1	P-G18071-2	GSE18071GSM451842 sample	organism_part	P-G18071-5	GSE18071GSM451842 extract	total_RNA	P-G18071-3	GSE18071GSM451842 LE biotin	synthetic_RNA	biotin	pnp1-1_1wk_plus_P_rep2	A-AFFY-2	GSM451842	GSM451842.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18071/E-GEOD-18071.raw.1.zip	P-G18071-4	GSE18071GSM451842 Norm	GSM451842_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18071/E-GEOD-18071.processed.1.zip	ATH1-121501.CDF	full nutrient medium	pnp1-1	168	hour
GSE18071GSM451843	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2-week old pnp1-1 rosette grown for one additional week on +P medium, pnp1-1_1wk_+P_rep3. tissue: seedlings without roots; age: 3 weeks; genotype: pnp1-1 (SALK_013306); treatment: Full nutrient medium (+P)	2-week old pnp1-1 rosette grown for one additional week on +P medium	tissue: seedlings without roots; age: 3 weeks; genotype: pnp1-1 (SALK_013306); treatment: Full nutrient medium (+P)	3	week	aerial part	pnp1-1	Columbia	P-G18071-1	P-G18071-2	GSE18071GSM451843 sample	organism_part	P-G18071-5	GSE18071GSM451843 extract	total_RNA	P-G18071-3	GSE18071GSM451843 LE biotin	synthetic_RNA	biotin	pnp1-1_1wk_plus_P_rep3	A-AFFY-2	GSM451843	GSM451843.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18071/E-GEOD-18071.raw.1.zip	P-G18071-4	GSE18071GSM451843 Norm	GSM451843_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18071/E-GEOD-18071.processed.1.zip	ATH1-121501.CDF	full nutrient medium	pnp1-1	168	hour
GSE18071GSM451847	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2-week old pnp1-1 rosette grown for one additional week on -P medium, pnp1-1_1wk_-P_rep1. tissue: seedlings without roots; age: 3 weeks; genotype: pnp1-1 (SALK_013306); treatment: No phosphate medium	2-week old pnp1-1 rosette grown for one additional week on -P medium	tissue: seedlings without roots; age: 3 weeks; genotype: pnp1-1 (SALK_013306); treatment: No phosphate medium	3	week	aerial part	pnp1-1	Columbia	P-G18071-1	P-G18071-2	GSE18071GSM451847 sample	organism_part	P-G18071-5	GSE18071GSM451847 extract	total_RNA	P-G18071-3	GSE18071GSM451847 LE biotin	synthetic_RNA	biotin	pnp1-1_1wk_minus_P_rep1	A-AFFY-2	GSM451847	GSM451847.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18071/E-GEOD-18071.raw.1.zip	P-G18071-4	GSE18071GSM451847 Norm	GSM451847_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18071/E-GEOD-18071.processed.1.zip	ATH1-121501.CDF	nutrient medium minus phosphate	pnp1-1	168	hour
GSE18071GSM451848	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2-week old pnp1-1 rosette grown for one additional week on -P medium, pnp1-1_1wk_-P_rep2. tissue: seedlings without roots; age: 3 weeks; genotype: pnp1-1 (SALK_013306); treatment: No phosphate medium	2-week old pnp1-1 rosette grown for one additional week on -P medium	tissue: seedlings without roots; age: 3 weeks; genotype: pnp1-1 (SALK_013306); treatment: No phosphate medium	3	week	aerial part	pnp1-1	Columbia	P-G18071-1	P-G18071-2	GSE18071GSM451848 sample	organism_part	P-G18071-5	GSE18071GSM451848 extract	total_RNA	P-G18071-3	GSE18071GSM451848 LE biotin	synthetic_RNA	biotin	pnp1-1_1wk_minus_P_rep2	A-AFFY-2	GSM451848	GSM451848.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18071/E-GEOD-18071.raw.1.zip	P-G18071-4	GSE18071GSM451848 Norm	GSM451848_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18071/E-GEOD-18071.processed.1.zip	ATH1-121501.CDF	nutrient medium minus phosphate	pnp1-1	168	hour
GSE18071GSM451849	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2-week old pnp1-1 rosette grown for one additional week on -P medium, pnp1-1_1wk_-P_rep3. tissue: seedlings without roots; age: 3 weeks; genotype: pnp1-1 (SALK_013306); treatment: No phosphate medium	2-week old pnp1-1 rosette grown for one additional week on -P medium	tissue: seedlings without roots; age: 3 weeks; genotype: pnp1-1 (SALK_013306); treatment: No phosphate medium	3	week	aerial part	pnp1-1	Columbia	P-G18071-1	P-G18071-2	GSE18071GSM451849 sample	organism_part	P-G18071-5	GSE18071GSM451849 extract	total_RNA	P-G18071-3	GSE18071GSM451849 LE biotin	synthetic_RNA	biotin	pnp1-1_1wk_minus_P_rep3	A-AFFY-2	GSM451849	GSM451849.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18071/E-GEOD-18071.raw.1.zip	P-G18071-4	GSE18071GSM451849 Norm	GSM451849_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18071/E-GEOD-18071.processed.1.zip	ATH1-121501.CDF	nutrient medium minus phosphate	pnp1-1	168	hour
GSE18071GSM451838	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2-week old WT rosette grown for one additional week on +P medium, WT_1wk_+P_rep1. tissue: seedlings without roots; age: 3 weeks; genotype: WT Col0; treatment: Full nutrient medium (+P)	2-week old WT rosette grown for one additional week on +P medium	tissue: seedlings without roots; age: 3 weeks; genotype: WT Col0; treatment: Full nutrient medium (+P)	3	week	aerial part	wild type	Columbia	P-G18071-1	P-G18071-2	GSE18071GSM451838 sample	organism_part	P-G18071-5	GSE18071GSM451838 extract	total_RNA	P-G18071-3	GSE18071GSM451838 LE biotin	synthetic_RNA	biotin	WT_1wk_plus_P_rep1	A-AFFY-2	GSM451838	GSM451838.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18071/E-GEOD-18071.raw.1.zip	P-G18071-4	GSE18071GSM451838 Norm	GSM451838_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18071/E-GEOD-18071.processed.1.zip	ATH1-121501.CDF	full nutrient medium	wild type	168	hour
GSE18071GSM451839	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2-week old WT rosette grown for one additional week on +P medium, WT_1wk_+P_rep2. tissue: seedlings without roots; age: 3 weeks; genotype: WT Col0; treatment: Full nutrient medium (+P)	2-week old WT rosette grown for one additional week on +P medium	tissue: seedlings without roots; age: 3 weeks; genotype: WT Col0; treatment: Full nutrient medium (+P)	3	week	aerial part	wild type	Columbia	P-G18071-1	P-G18071-2	GSE18071GSM451839 sample	organism_part	P-G18071-5	GSE18071GSM451839 extract	total_RNA	P-G18071-3	GSE18071GSM451839 LE biotin	synthetic_RNA	biotin	WT_1wk_plus_P_rep2	A-AFFY-2	GSM451839	GSM451839.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18071/E-GEOD-18071.raw.1.zip	P-G18071-4	GSE18071GSM451839 Norm	GSM451839_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18071/E-GEOD-18071.processed.1.zip	ATH1-121501.CDF	full nutrient medium	wild type	168	hour
GSE18071GSM451840	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2-week old WT rosette grown for one additional week on +P medium, WT_1wk_+P_rep3. tissue: seedlings without roots; age: 3 weeks; genotype: WT Col0; treatment: Full nutrient medium (+P)	2-week old WT rosette grown for one additional week on +P medium	tissue: seedlings without roots; age: 3 weeks; genotype: WT Col0; treatment: Full nutrient medium (+P)	3	week	aerial part	wild type	Columbia	P-G18071-1	P-G18071-2	GSE18071GSM451840 sample	organism_part	P-G18071-5	GSE18071GSM451840 extract	total_RNA	P-G18071-3	GSE18071GSM451840 LE biotin	synthetic_RNA	biotin	WT_1wk_plus_P_rep3	A-AFFY-2	GSM451840	GSM451840.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18071/E-GEOD-18071.raw.1.zip	P-G18071-4	GSE18071GSM451840 Norm	GSM451840_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18071/E-GEOD-18071.processed.1.zip	ATH1-121501.CDF	full nutrient medium	wild type	168	hour
GSE18071GSM451844	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2-week old WT rosette grown for one additional week on -P medium, WT_1wk_-P_rep1. tissue: seedlings without roots; age: 3 weeks; genotype: WT Col0; treatment: No phosphate medium	2-week old WT rosette grown for one additional week on -P medium	tissue: seedlings without roots; age: 3 weeks; genotype: WT Col0; treatment: No phosphate medium	3	week	aerial part	wild type	Columbia	P-G18071-1	P-G18071-2	GSE18071GSM451844 sample	organism_part	P-G18071-5	GSE18071GSM451844 extract	total_RNA	P-G18071-3	GSE18071GSM451844 LE biotin	synthetic_RNA	biotin	WT_1wk_minus_P_rep1	A-AFFY-2	GSM451844	GSM451844.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18071/E-GEOD-18071.raw.1.zip	P-G18071-4	GSE18071GSM451844 Norm	GSM451844_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18071/E-GEOD-18071.processed.1.zip	ATH1-121501.CDF	nutrient medium minus phosphate	wild type	168	hour
