Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics[organism part]	Characteristics[ecotype]	Characteristics[age]	Unit[time unit]	Characteristics[developmental stage]	Characteristics[cell type]	Description	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[growth condition]	FactorValue[cell type]
GSE7641GSM184897	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	Columbia	6	day	seedling	cortex cells	"Protoplasted and FACS sorted root cells:  Gene expression data from isolated cortex cells. Ecotype: Columbia; Age: Seedling roots, 6 days after germination; GFP-reporter: CORTEX; Growth Media: Standard media"	P-G7641-2	P-G7641-1	GSE7641GSM184897 sample	P-G7641-4	GSE7641GSM184897 extract	total_RNA	P-G7641-3	GSE7641GSM184897 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"Arabidopsis, root cells, cortex, standard conditions, replicate 3"	A-AFFY-2	P-AFFY-6	"Arabidopsis, root cells, cortex, standard conditions, replicate 3"	GSM184897.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7641-processed-data-1630425564.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.processed.1.zip	none	cortex cells
GSE7641GSM184895	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	Columbia	6	day	seedling	cortex cells	"Protoplasted and FACS sorted root cells:  Gene expression data from isolated cortex cells. Ecotype: Columbia; Age: Seedling roots, 6 days after germination; GFP-reporter: CORTEX; Growth Media: Standard media"	P-G7641-2	P-G7641-1	GSE7641GSM184895 sample	P-G7641-4	GSE7641GSM184895 extract	total_RNA	P-G7641-3	GSE7641GSM184895 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"Arabidopsis, root cells, cortex, standard conditions, replicate 1"	A-AFFY-2	P-AFFY-6	"Arabidopsis, root cells, cortex, standard conditions, replicate 1"	GSM184895.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7641-processed-data-1630425564.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.processed.1.zip	none	cortex cells
GSE7641GSM184918	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	Columbia	6	day	seedling	endodermal and quiescent center cells	"Protoplasted and FACS sorted root cells:  Gene expression data from isolated endodermal and quiecent center cells after roots were treated with 140 mM NaCl for 1 hour. Ecotype: Columbia; Age: Seedling roots, 6 days after germination; GFP-reporter: SCR::GFP; Growth Media: Standard media for 6 days, transferred to media supplemented with 140mM NaCl for 1 hour before protoplasting"	P-G7641-2	P-G7641-1	GSE7641GSM184918 sample	P-G7641-4	GSE7641GSM184918 extract	total_RNA	P-G7641-3	GSE7641GSM184918 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"Arabidopsis, root cells, endodermis and quiescent center, 140 mM NaCl, replicate 3"	A-AFFY-2	P-AFFY-6	"Arabidopsis, root cells, endodermis and quiescent center, 140 mM NaCl, replicate 3"	GSM184918.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7641-processed-data-1630425564.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.processed.1.zip	NaCl	endodermal and quiescent center cells
GSE7641GSM184916	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	Columbia	6	day	seedling	endodermal and quiescent center cells	"Protoplasted and FACS sorted root cells:  Gene expression data from isolated endodermal and quiecent center cells after roots were treated with 140 mM NaCl for 1 hour. Ecotype: Columbia; Age: Seedling roots, 6 days after germination; GFP-reporter: SCR::GFP; Growth Media: Standard media for 6 days, transferred to media supplemented with 140mM NaCl for 1 hour before protoplasting"	P-G7641-2	P-G7641-1	GSE7641GSM184916 sample	P-G7641-4	GSE7641GSM184916 extract	total_RNA	P-G7641-3	GSE7641GSM184916 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"Arabidopsis, root cells, endodermis and quiescent center, 140 mM NaCl, replicate 1"	A-AFFY-2	P-AFFY-6	"Arabidopsis, root cells, endodermis and quiescent center, 140 mM NaCl, replicate 1"	GSM184916.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7641-processed-data-1630425564.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.processed.1.zip	NaCl	endodermal and quiescent center cells
GSE7641GSM184917	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	Columbia	6	day	seedling	endodermal and quiescent center cells	"Protoplasted and FACS sorted root cells:  Gene expression data from isolated endodermal and quiecent center cells after roots were treated with 140 mM NaCl for 1 hour. Ecotype: Columbia; Age: Seedling roots, 6 days after germination; GFP-reporter: SCR::GFP; Growth Media: Standard media for 6 days, transferred to media supplemented with 140mM NaCl for 1 hour before protoplasting"	P-G7641-2	P-G7641-1	GSE7641GSM184917 sample	P-G7641-4	GSE7641GSM184917 extract	total_RNA	P-G7641-3	GSE7641GSM184917 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"Arabidopsis, root cells, endodermis and quiescent center, 140 mM NaCl, replicate 2"	A-AFFY-2	P-AFFY-6	"Arabidopsis, root cells, endodermis and quiescent center, 140 mM NaCl, replicate 2"	GSM184917.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7641-processed-data-1630425564.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.processed.1.zip	NaCl	endodermal and quiescent center cells
GSE7641GSM184899	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	Columbia	6	day	seedling	endodermal and quiescent center cells	"Protoplasted and FACS sorted root cells:  Gene expression data from isolated endodermal and quiecent center cells. Ecotype: Columbia; Age: Seedling roots, 6 days after germination; GFP-reporter: SCR::GFP; Growth Media: Standard media"	P-G7641-2	P-G7641-1	GSE7641GSM184899 sample	P-G7641-4	GSE7641GSM184899 extract	total_RNA	P-G7641-3	GSE7641GSM184899 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"Arabidopsis, root cells, endodermis and quiescent center, standard conditions, replicate 2"	A-AFFY-2	P-AFFY-6	"Arabidopsis, root cells, endodermis and quiescent center, standard conditions, replicate 2"	GSM184899.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7641-processed-data-1630425564.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.processed.1.zip	none	endodermal and quiescent center cells
GSE7641GSM184900	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	Columbia	6	day	seedling	endodermal and quiescent center cells	"Protoplasted and FACS sorted root cells:  Gene expression data from isolated endodermal and quiecent center cells. Ecotype: Columbia; Age: Seedling roots, 6 days after germination; GFP-reporter: SCR::GFP; Growth Media: Standard media"	P-G7641-2	P-G7641-1	GSE7641GSM184900 sample	P-G7641-4	GSE7641GSM184900 extract	total_RNA	P-G7641-3	GSE7641GSM184900 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"Arabidopsis, root cells, endodermis and quiescent center, standard conditions, replicate 3"	A-AFFY-2	P-AFFY-6	"Arabidopsis, root cells, endodermis and quiescent center, standard conditions, replicate 3"	GSM184900.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7641-processed-data-1630425564.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.processed.1.zip	none	endodermal and quiescent center cells
GSE7641GSM184898	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	Columbia	6	day	seedling	endodermal and quiescent center cells	"Protoplasted and FACS sorted root cells:  Gene expression data from isolated endodermal and quiecent center cells. Ecotype: Columbia; Age: Seedling roots, 6 days after germination; GFP-reporter: SCR::GFP; Growth Media: Standard media"	P-G7641-2	P-G7641-1	GSE7641GSM184898 sample	P-G7641-4	GSE7641GSM184898 extract	total_RNA	P-G7641-3	GSE7641GSM184898 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"Arabidopsis, root cells, endodermis and quiescent center, standard conditions, replicate 1"	A-AFFY-2	P-AFFY-6	"Arabidopsis, root cells, endodermis and quiescent center, standard conditions, replicate 1"	GSM184898.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7641-processed-data-1630425564.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.processed.1.zip	none	endodermal and quiescent center cells
GSE7641GSM184907	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	Columbia	6	day	seedling	epidermal and lateral root cap cells	"Protoplasted and FACS sorted root cells:  Gene expression data from isolated epidermal and lateral root cap cells after roots were treated with 140 mM NaCl for 1 hour. Ecotype: Columbia; Age: Seedling roots, 6 days after germination; GFP-reporter: WER::GFP; Growth Media: Standard media for 6 days, transferred to media supplemented with 140mM NaCl for 1 hour before protoplasting"	P-G7641-2	P-G7641-1	GSE7641GSM184907 sample	P-G7641-4	GSE7641GSM184907 extract	total_RNA	P-G7641-3	GSE7641GSM184907 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"Arabidopsis, root cells, epidermis and lateral root cap, 140 mM NaCl, replicate 1"	A-AFFY-2	P-AFFY-6	"Arabidopsis, root cells, epidermis and lateral root cap, 140 mM NaCl, replicate 1"	GSM184907.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7641-processed-data-1630425564.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.processed.1.zip	NaCl	epidermal and lateral root cap cells
GSE7641GSM184908	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	Columbia	6	day	seedling	epidermal and lateral root cap cells	"Protoplasted and FACS sorted root cells:  Gene expression data from isolated epidermal and lateral root cap cells after roots were treated with 140 mM NaCl for 1 hour. Ecotype: Columbia; Age: Seedling roots, 6 days after germination; GFP-reporter: WER::GFP; Growth Media: Standard media for 6 days, transferred to media supplemented with 140mM NaCl for 1 hour before protoplasting"	P-G7641-2	P-G7641-1	GSE7641GSM184908 sample	P-G7641-4	GSE7641GSM184908 extract	total_RNA	P-G7641-3	GSE7641GSM184908 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"Arabidopsis, root cells, epidermis and lateral root cap, 140 mM NaCl, replicate 2"	A-AFFY-2	P-AFFY-6	"Arabidopsis, root cells, epidermis and lateral root cap, 140 mM NaCl, replicate 2"	GSM184908.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7641-processed-data-1630425564.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.processed.1.zip	NaCl	epidermal and lateral root cap cells
GSE7641GSM184909	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	Columbia	6	day	seedling	epidermal and lateral root cap cells	"Protoplasted and FACS sorted root cells:  Gene expression data from isolated epidermal and lateral root cap cells after roots were treated with 140 mM NaCl for 1 hour. Ecotype: Columbia; Age: Seedling roots, 6 days after germination; GFP-reporter: WER::GFP; Growth Media: Standard media for 6 days, transferred to media supplemented with 140mM NaCl for 1 hour before protoplasting"	P-G7641-2	P-G7641-1	GSE7641GSM184909 sample	P-G7641-4	GSE7641GSM184909 extract	total_RNA	P-G7641-3	GSE7641GSM184909 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"Arabidopsis, root cells, epidermis and lateral root cap, 140 mM NaCl, replicate 3"	A-AFFY-2	P-AFFY-6	"Arabidopsis, root cells, epidermis and lateral root cap, 140 mM NaCl, replicate 3"	GSM184909.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7641-processed-data-1630425564.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.processed.1.zip	NaCl	epidermal and lateral root cap cells
