Source Name	Characteristics [Organism]	Characteristics[Age]	Unit[TimeUnit]	Characteristics[OrganismPart]	Characteristics[CellType]	Characteristics[Genotype]	Description	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Comment [Array Design URI]	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[ORGANISM PART]	FactorValue[CELL TYPE]	FactorValue[GENOTYPE]	FactorValue[COMPOUND]
GSE10749GSM270814	Arabidopsis thaliana	n/a	days	n/a	mixotrophic	not specified	cell culture, 4 h treatment with 0.5% methanol in water (control), first replicate:  Three independent replicates were done for each treatment.. mixotrophic cell culture, 4 h treatment with 0.5 % methanol in water, control	GSE10749GSM270814 sample	P-G10749-2	GSE10749GSM270814 extract	total_RNA	P-G10749-1	GSE10749GSM270814 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis cell culture, 4 h_control_rep1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	Arabidopsis cell culture, 4 h_control_rep1	GSM270814.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10749/E-GEOD-10749.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10749-processed-data-1634562123.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10749/E-GEOD-10749.processed.1.zip	n/a	mixotrophic	not specified	none
GSE10749GSM271059	Arabidopsis thaliana	10	days	whole organism	n/a	Col-0	plant material (Col-0), 4h treatment with 75 ÂµM OPDA, second replicate:  Three independent replicates were done for each treatment.. 10 days old Arabidopsis plants (ecotype Col-0) were grown in Murashige and Skoog liquid medium; 4h treatment with 75 ÂµM OPDA, second replicate	GSE10749GSM271059 sample	P-G10749-2	GSE10749GSM271059 extract	total_RNA	P-G10749-1	GSE10749GSM271059 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis plant (Col-0), 4h_response to OPDA_rep2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	Arabidopsis plant (Col-0), 4h_response to OPDA_rep2	GSM271059.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10749/E-GEOD-10749.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10749-processed-data-1634561603.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10749/E-GEOD-10749.processed.1.zip	whole organism	n/a	Col-0	12-oxo-phytodienoic acid
GSE10749GSM271058	Arabidopsis thaliana	10	days	whole organism	n/a	Col-0	plant material (Col-0), 4h treatment with 75 ÂµM OPDA, first replicate:  Three independent replicates were done for each treatment.. 10 days old Arabidopsis plants (ecotype Col-0) were grown in Murashige and Skoog liquid medium; 4h treatment with 75 ÂµM OPDA, first replicate	GSE10749GSM271058 sample	P-G10749-2	GSE10749GSM271058 extract	total_RNA	P-G10749-1	GSE10749GSM271058 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis plant (Col-0), 4h_response to OPDA_rep1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	Arabidopsis plant (Col-0), 4h_response to OPDA_rep1	GSM271058.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10749/E-GEOD-10749.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10749-processed-data-1634561603.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10749/E-GEOD-10749.processed.1.zip	whole organism	n/a	Col-0	12-oxo-phytodienoic acid
GSE10749GSM271053	Arabidopsis thaliana	10	days	whole organism	n/a	Col-0	plant material (Col-0), 4h treatment with 0.5% methanol in water, second replicate:  Three independent replicates were done for each treatment.. 10 days old Arabidopsis plants (ecotype Col-0) was grown in Murashige and Skoog liquid medium; 4h treatment with 0.5% methanol in water (Control); second replicate	GSE10749GSM271053 sample	P-G10749-2	GSE10749GSM271053 extract	total_RNA	P-G10749-1	GSE10749GSM271053 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis plant (Col-0), 4h_control_rep2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	Arabidopsis plant (Col-0), 4h_control_rep2	GSM271053.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10749/E-GEOD-10749.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10749-processed-data-1634561603.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10749/E-GEOD-10749.processed.1.zip	whole organism	n/a	Col-0	none
GSE10749GSM271079	Arabidopsis thaliana	10	days	whole organism	n/a	tga2;tga5;tga6 mutant	plant material (tga2-5-6), 4h treatment with 75 ÂµM OPDA, first replictate:  Three independent replicates were done for each treatment.. 10 days old Arabidopsis plants (tga2-5-6) were grown in Murashige and Skoog liquid medium; 4h treatment with 75 ÂµM OPDA, first replicate	GSE10749GSM271079 sample	P-G10749-2	GSE10749GSM271079 extract	total_RNA	P-G10749-1	GSE10749GSM271079 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis plant (tga2-5-6), 4h_response to OPDA_rep1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	Arabidopsis plant (tga2-5-6), 4h_response to OPDA_rep1	GSM271079.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10749/E-GEOD-10749.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10749-processed-data-1634561603.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10749/E-GEOD-10749.processed.1.zip	whole organism	n/a	tga2;tga5;tga6 mutant	12-oxo-phytodienoic acid
GSE10749GSM271057	Arabidopsis thaliana	10	days	whole organism	n/a	Col-0	plant material (Col-0), 4h treatment with 75 ÂµM phytoprostane A1, third replicate:  Three independent replicates were done for each treatment.. 10 days old Arabidopsis plants (ecotype Col-0) were grown in Murashige and Skoog liquid medium; 4h treatment with 75 ÂµM phytoprostane A1, third replicate	GSE10749GSM271057 sample	P-G10749-2	GSE10749GSM271057 extract	total_RNA	P-G10749-1	GSE10749GSM271057 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis plant (Col-0), 4h_response to phytoprostane A1_rep3	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	Arabidopsis plant (Col-0), 4h_response to phytoprostane A1_rep3	GSM271057.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10749/E-GEOD-10749.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10749-processed-data-1634561603.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10749/E-GEOD-10749.processed.1.zip	whole organism	n/a	Col-0	phytoprostane
GSE10749GSM271074	Arabidopsis thaliana	10	days	whole organism	n/a	tga2;tga5;tga6 mutant	plant material (tga2-5-6), 4h treatment with 75 ÂµM phytoprostane A1, third replictate:  Three independent replicates were done for each treatment.. 10 days old Arabidopsis plants (tga2-5-6) were grown in Murashige and Skoog liquid medium; 4h treatment with 75 ÂµM phytoprostane A1, third replicate	GSE10749GSM271074 sample	P-G10749-2	GSE10749GSM271074 extract	total_RNA	P-G10749-1	GSE10749GSM271074 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis plant (tga2-5-6), 4h_response to phytoprostane A1_rep3	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	Arabidopsis plant (tga2-5-6), 4h_response to phytoprostane A1_rep3	GSM271074.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10749/E-GEOD-10749.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10749-processed-data-1634561603.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10749/E-GEOD-10749.processed.1.zip	whole organism	n/a	tga2;tga5;tga6 mutant	phytoprostane
GSE10749GSM271072	Arabidopsis thaliana	10	days	whole organism	n/a	tga2;tga5;tga6 mutant	plant material (tga2-5-6), 4h treatment with 75 ÂµM phytoprostane A1, first replictate:  Three independent replicates were done for each treatment.. 10 days old Arabidopsis plants (tga2-5-6) were grown in Murashige and Skoog liquid medium; 4h treatment with 75 ÂµM phytoprostane A1, first replicate	GSE10749GSM271072 sample	P-G10749-2	GSE10749GSM271072 extract	total_RNA	P-G10749-1	GSE10749GSM271072 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis plant (tga2-5-6), 4h_response to phytoprostane A1_rep1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	Arabidopsis plant (tga2-5-6), 4h_response to phytoprostane A1_rep1	GSM271072.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10749/E-GEOD-10749.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10749-processed-data-1634561603.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10749/E-GEOD-10749.processed.1.zip	whole organism	n/a	tga2;tga5;tga6 mutant	phytoprostane
GSE10749GSM270853	Arabidopsis thaliana	n/a	days	n/a	mixotrophic	not specified	cell culture, 4 h treatment with 0.5 % methanol in water (control), second replicate:  Three independent replicates were done for each treatment.. mixotrophic cell culture, 4 h treatment with 0.5 % methanol in water, control	GSE10749GSM270853 sample	P-G10749-2	GSE10749GSM270853 extract	total_RNA	P-G10749-1	GSE10749GSM270853 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis cell culture, 4 h_control_rep2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	Arabidopsis cell culture, 4 h_control_rep2	GSM270853.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10749/E-GEOD-10749.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10749-processed-data-1634562123.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10749/E-GEOD-10749.processed.1.zip	n/a	mixotrophic	not specified	none
GSE10749GSM270866	Arabidopsis thaliana	n/a	days	n/a	mixotrophic	not specified	cell culture, 4 h treatment with 75ÂµM phytoprostane A1, first replicate:  Three independent replicates were done for each treatment. . mixotrophic cell culture, 4 h treatment with 75 ÂµM phytoprostane A1	GSE10749GSM270866 sample	P-G10749-2	GSE10749GSM270866 extract	total_RNA	P-G10749-1	GSE10749GSM270866 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis cell culture, 4 h_response to phytoprostane A1_rep1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	Arabidopsis cell culture, 4 h_response to phytoprostane A1_rep1	GSM270866.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10749/E-GEOD-10749.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10749-processed-data-1634562123.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10749/E-GEOD-10749.processed.1.zip	n/a	mixotrophic	not specified	phytoprostane
GSE10749GSM271040	Arabidopsis thaliana	10	days	whole organism	n/a	Col-0	plant material (Col-0), 4h treatment with 0.5% methanol in water, first replicate:  Three independent replictates were done for each treatment. 10 days old Arabidopsis plants (ecotype Col-0) were grown in Murashige an Skoog liquid medium; 4h treatment with 0.5% methanol in water (Control); first replicate	GSE10749GSM271040 sample	P-G10749-2	GSE10749GSM271040 extract	total_RNA	P-G10749-1	GSE10749GSM271040 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis plant (Col-0), 4h_control_rep1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	Arabidopsis plant (Col-0), 4h_control_rep1	GSM271040.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10749/E-GEOD-10749.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10749-processed-data-1634561603.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10749/E-GEOD-10749.processed.1.zip	whole organism	n/a	Col-0	none
GSE10749GSM271080	Arabidopsis thaliana	10	days	whole organism	n/a	tga2;tga5;tga6 mutant	plant material (tga2-5-6), 4h treatment with 75 ÂµM OPDA, second replictate:  Three independent replicates were done for each treatment.. 10 days old Arabidopsis plants (tga2-5-6) were grown in Murashige and Skoog liquid medium; 4h treatment with 75 ÂµM OPDA, second replicate	GSE10749GSM271080 sample	P-G10749-2	GSE10749GSM271080 extract	total_RNA	P-G10749-1	GSE10749GSM271080 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis plant (tga2-5-6), 4h_response to OPDA_rep2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	Arabidopsis plant (tga2-5-6), 4h_response to OPDA_rep2	GSM271080.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10749/E-GEOD-10749.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10749-processed-data-1634561603.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10749/E-GEOD-10749.processed.1.zip	whole organism	n/a	tga2;tga5;tga6 mutant	12-oxo-phytodienoic acid
