Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [ecotype]	Characteristics [organism part]	Characteristics [genetic modification]	Characteristics [genotype]	Comment [biosource type]	Provider	Protocol REF	Protocol REF	Sample Name	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Factor Value [genotype]	Factor Value [organism part]
Flower_wt_5	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg ecotype	flower bud	none	wide type	frozen sample	Hui Cheng	P-MEXP-32107	P-MEXP-32162	Flower_wt_5	P-MEXP-32164	P-MEXP-32167	E_Flower_wt_5	total RNA	P-MEXP-32168	L_Flower_wt_5	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	Hybridization_Flower_wt_5	A-AFFY-2	P-AFFY-6	Hybridization_Flower_wt_5	PJR-WT-060104.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-849/E-MEXP-849.raw.1.zip	wide type	flower bud
Flower_wt_3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg ecotype	flower bud	none	wide type	frozen sample	Hui Cheng	P-MEXP-32107	P-MEXP-32162	Flower_wt_3	P-MEXP-32164	P-MEXP-32167	E_Flower_wt_3	total RNA	P-MEXP-32168	L_Flower_wt_3	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	Hybridization_Flower_wt_3	A-AFFY-2	P-AFFY-6	Hybridization_Flower_wt_3	PJR-wt-180803.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-849/E-MEXP-849.raw.1.zip	wide type	flower bud
Flower_wt_4	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg ecotype	flower bud	none	wide type	frozen sample	Hui Cheng	P-MEXP-32107	P-MEXP-32162	Flower_wt_4	P-MEXP-32164	P-MEXP-32167	E_Flower_wt_4	total RNA	P-MEXP-32168	L_Flower_wt_4	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	Hybridization_Flower_wt_4	A-AFFY-2	P-AFFY-6	Hybridization_Flower_wt_4	PJR-WT-131103.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-849/E-MEXP-849.raw.1.zip	wide type	flower bud
Seed_ga1-3_3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg ecotype	seed	gene knock out	ga1-3 mutant	frozen sample	Dongni Cao	P-MEXP-32161	P-MEXP-32163	Seed_ga1-3_3	P-MEXP-32165	P-MEXP-32166	E_Seed_ga1-3_3	total RNA	P-MEXP-32169	L_Seed_ga1-3_3	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	Hybridization_Seed_ga1-3_3	A-AFFY-2	P-AFFY-6	Hybridization_Seed_ga1-3_3	PJR-Dongni-ga1-3-110504.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-849/E-MEXP-849.raw.1.zip	ga1-3 mutant	seed
Seed_ga1-3_2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg ecotype	seed	gene knock out	ga1-3 mutant	frozen sample	Dongni Cao	P-MEXP-32161	P-MEXP-32163	Seed_ga1-3_2	P-MEXP-32165	P-MEXP-32166	E_Seed_ga1-3_2	total RNA	P-MEXP-32169	L_Seed_ga1-3_2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	Hybridization_Seed_ga1-3_2	A-AFFY-2	P-AFFY-6	Hybridization_Seed_ga1-3_2	PJR-Dongni-seed-ga1-3-210404.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-849/E-MEXP-849.raw.1.zip	ga1-3 mutant	seed
Seed_ga1-3_1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg ecotype	seed	gene knock out	ga1-3 mutant	frozen sample	Dongni Cao	P-MEXP-32161	P-MEXP-32163	Seed_ga1-3_1	P-MEXP-32165	P-MEXP-32166	Extract_Seed	total RNA	P-MEXP-32169	Labeled extract_Seed	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	Hybridization_Seed_ga1-3_1	A-AFFY-2	P-AFFY-6	Hybridization_Seed_ga1-3_1	PJR-Dongni-seed-ga1-3-230304.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-849/E-MEXP-849.raw.1.zip	ga1-3 mutant	seed
Seed_penta_1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg ecotype	seed	gene knock out	penta mutant	frozen sample	Dongni Cao	P-MEXP-32161	P-MEXP-32163	Seed_penta_1	P-MEXP-32165	P-MEXP-32166	E_Seed_penta_1	total RNA	P-MEXP-32169	L_Seed_penta_1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	Hybridization_Seed_penta_1	A-AFFY-2	P-AFFY-6	Hybridization_Seed_penta_1	PJR-Dongni-seed-penta-230304.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-849/E-MEXP-849.raw.1.zip	penta mutant	seed
Seed_penta_2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg ecotype	seed	gene knock out	penta mutant	frozen sample	Dongni Cao	P-MEXP-32161	P-MEXP-32163	Seed_penta_2	P-MEXP-32165	P-MEXP-32166	E_Seed_penta_2	total RNA	P-MEXP-32169	L_Seed_penta_2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	Hybridization_Seed_penta_2	A-AFFY-2	P-AFFY-6	Hybridization_Seed_penta_2	PJR-Dongni-seed-penta-210404.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-849/E-MEXP-849.raw.1.zip	penta mutant	seed
Seed_penta_3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg ecotype	seed	gene knock out	penta mutant	frozen sample	Dongni Cao	P-MEXP-32161	P-MEXP-32163	Seed_penta_3	P-MEXP-32165	P-MEXP-32166	E_Seed_penta_3	total RNA	P-MEXP-32169	L_Seed_penta_3	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	Hybridization_Seed_penta_3	A-AFFY-2	P-AFFY-6	Hybridization_Seed_penta_3	PJR-Dongni-penta-110504.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-849/E-MEXP-849.raw.1.zip	penta mutant	seed
Seed_wt_1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg ecotype	seed	none	wide type	frozen sample	Dongni Cao	P-MEXP-32161	P-MEXP-32163	Seed_wt_1	P-MEXP-32165	P-MEXP-32166	E_Seed_wt_1	total RNA	P-MEXP-32169	L_Seed_wt_1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	Hybridization_Seed_wt_1	A-AFFY-2	P-AFFY-6	Hybridization_Seed_wt_1	PJR-Dongni-seed-la-er-230304.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-849/E-MEXP-849.raw.1.zip	wide type	seed
Seed_wt_2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg ecotype	seed	none	wide type	frozen sample	Dongni Cao	P-MEXP-32161	P-MEXP-32163	Seed_wt_2	P-MEXP-32165	P-MEXP-32166	E_Seed_wt_2	total RNA	P-MEXP-32169	L_Seed_wt_2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	Hybridization_Seed_wt_2	A-AFFY-2	P-AFFY-6	Hybridization_Seed_wt_2	PJR-Dongni-seed-la-er-210404.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-849/E-MEXP-849.raw.1.zip	wide type	seed
Seed_wt_3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg ecotype	seed	none	wide type	frozen sample	Dongni Cao	P-MEXP-32161	P-MEXP-32163	Seed_wt_3	P-MEXP-32165	P-MEXP-32166	E_Seed_wt_3	total RNA	P-MEXP-32169	L_Seed_wt_3	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	Hybridization_Seed_wt_3	A-AFFY-2	P-AFFY-6	Hybridization_Seed_wt_3	PJR-Dongni-la-er-110504.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-849/E-MEXP-849.raw.1.zip	wide type	seed
