Source Name	Material Type	Characteristics [Organism]	Term Source REF	Term Accession Number	Description	Comment[Sample_source_name]	Comment[Sample_characteristics]	Protocol REF	Protocol REF	Sample Name	Material Type	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Material Type	Label	Hybridization Name	Array Design REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Comment[CDF]
GSE11217GSM283938	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	PPV deletion mutant transfected with Arabidopsis protoplasts at 6hpt; used as control:  Labelling, hybridization, and detection of hybridization signals were performed as per Affymetrix standard protocol. PPV deletion mutant transfected with Arabidopsis protoplasts at 6hpt; used as control	PPV deletion mutant transfected with Arabidopsis protoplasts at 6hpt; used as control	PPV deletion mutant transfected with Arabidopsis protoplasts at 6hpt; used as control	P-G11217-1	P-G11217-2	GSE11217GSM283938 sample	organism_part	P-G11217-4	GSE11217GSM283938 extract	total_RNA	P-G11217-3	GSE11217GSM283938 LE biotin	synthetic_RNA	biotin	PPV deletion mutant_Arabidopsis protoplasts_6hpt_Control rep 2	A-AFFY-2	GSE11217GSM283938 Norm	GSM283938_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11217/E-GEOD-11217.processed.1.zip	ATH1-121501.CDF
GSE11217GSM283939	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	PPV deletion mutant transfected with Arabidopsis protoplasts at 6hpt; used as control:  Labelling, hybridization, and detection of hybridization signals were performed as per Affymetrix standard protocol. PPV deletion mutant transfected with Arabidopsis protoplasts at 6hpt; used as control	PPV deletion mutant transfected with Arabidopsis protoplasts at 6hpt; used as control	PPV deletion mutant transfected with Arabidopsis protoplasts at 6hpt; used as control	P-G11217-1	P-G11217-2	GSE11217GSM283939 sample	organism_part	P-G11217-4	GSE11217GSM283939 extract	total_RNA	P-G11217-3	GSE11217GSM283939 LE biotin	synthetic_RNA	biotin	PPV deletion mutant_Arabidopsis protoplasts_6hpt_Control rep 3	A-AFFY-2	GSE11217GSM283939 Norm	GSM283939_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11217/E-GEOD-11217.processed.1.zip	ATH1-121501.CDF
GSE11217GSM283940	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis protoplasts transfected with PPV infection at 12hpt:  Labelling, hybridization, and detection of hybridization signals were performed as per Affymetrix standard protocol. Arabidopsis protoplasts transfected with PPV infection at 12hpt	Arabidopsis protoplasts transfected with PPV infection at 12hpt	Arabidopsis protoplasts transfected with PPV infection at 12hpt	P-G11217-1	P-G11217-2	GSE11217GSM283940 sample	organism_part	P-G11217-4	GSE11217GSM283940 extract	total_RNA	P-G11217-3	GSE11217GSM283940 LE biotin	synthetic_RNA	biotin	PPV infection_Arabidopsis protoplast cells_12 hpt rep 1	A-AFFY-2	GSE11217GSM283940 Norm	GSM283940_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11217/E-GEOD-11217.processed.1.zip	ATH1-121501.CDF
GSE11217GSM283941	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis protoplasts transfected with PPV infection at 12hpt:  Labelling, hybridization, and detection of hybridization signals were performed as per Affymetrix standard protocol. Arabidopsis protoplasts transfected with PPV infection at 12hpt	Arabidopsis protoplasts transfected with PPV infection at 12hpt	Arabidopsis protoplasts transfected with PPV infection at 12hpt	P-G11217-1	P-G11217-2	GSE11217GSM283941 sample	organism_part	P-G11217-4	GSE11217GSM283941 extract	total_RNA	P-G11217-3	GSE11217GSM283941 LE biotin	synthetic_RNA	biotin	PPV infection_Arabidopsis protoplast cells_12 hpt rep 2	A-AFFY-2	GSE11217GSM283941 Norm	GSM283941_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11217/E-GEOD-11217.processed.1.zip	ATH1-121501.CDF
GSE11217GSM283942	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis protoplasts transfected with PPV infection at 12hpt:  Labelling, hybridization, and detection of hybridization signals were performed as per Affymetrix standard protocol. Arabidopsis protoplasts transfected with PPV infection at 12hpt	Arabidopsis protoplasts transfected with PPV infection at 12hpt	Arabidopsis protoplasts transfected with PPV infection at 12hpt	P-G11217-1	P-G11217-2	GSE11217GSM283942 sample	organism_part	P-G11217-4	GSE11217GSM283942 extract	total_RNA	P-G11217-3	GSE11217GSM283942 LE biotin	synthetic_RNA	biotin	PPV infection_Arabidopsis protoplast cells_12 hpt rep 3	A-AFFY-2	GSE11217GSM283942 Norm	GSM283942_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11217/E-GEOD-11217.processed.1.zip	ATH1-121501.CDF
GSE11217GSM283943	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis protoplasts transfected with PPV deletion mutant at 12 hpt; used as control:  Labelling, hybridization, and detection of hybridization signals were performed as per Affymetrix standard protocol. Arabidopsis protoplasts transfected with PPV deletion mutant at 12 hpt; used as control.	Arabidopsis protoplasts transfected with PPV deletion mutant at 12 hpt; used as control	Arabidopsis protoplasts transfected with PPV deletion mutant at 12 hpt; used as control.	P-G11217-1	P-G11217-2	GSE11217GSM283943 sample	organism_part	P-G11217-4	GSE11217GSM283943 extract	total_RNA	P-G11217-3	GSE11217GSM283943 LE biotin	synthetic_RNA	biotin	PPV deletion mutant-Arabidopsis protoplasts-12hpt-used as control rep 1	A-AFFY-2	GSE11217GSM283943 Norm	GSM283943_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11217/E-GEOD-11217.processed.1.zip	ATH1-121501.CDF
GSE11217GSM283944	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis protoplasts transfected with PPV deletion mutant at 12 hpt; used as control:  Labelling, hybridization, and detection of hybridization signals were performed as per Affymetrix standard protocol. Arabidopsis protoplasts transfected with PPV deletion mutant at 12 hpt; used as control.	Arabidopsis protoplasts transfected with PPV deletion mutant at 12 hpt; used as control	Arabidopsis protoplasts transfected with PPV deletion mutant at 12 hpt; used as control.	P-G11217-1	P-G11217-2	GSE11217GSM283944 sample	organism_part	P-G11217-4	GSE11217GSM283944 extract	total_RNA	P-G11217-3	GSE11217GSM283944 LE biotin	synthetic_RNA	biotin	PPV deletion mutant-Arabidopsis protoplasts-12hpt-used as control rep 2	A-AFFY-2	GSE11217GSM283944 Norm	GSM283944_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11217/E-GEOD-11217.processed.1.zip	ATH1-121501.CDF
GSE11217GSM283945	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis protoplasts transfected with PPV deletion mutant at 12 hpt; used as control:  Labelling, hybridization, and detection of hybridization signals were performed as per Affymetrix standard protocol. Arabidopsis protoplasts transfected with PPV deletion mutant at 12 hpt; used as control.	Arabidopsis protoplasts transfected with PPV deletion mutant at 12 hpt; used as control	Arabidopsis protoplasts transfected with PPV deletion mutant at 12 hpt; used as control.	P-G11217-1	P-G11217-2	GSE11217GSM283945 sample	organism_part	P-G11217-4	GSE11217GSM283945 extract	total_RNA	P-G11217-3	GSE11217GSM283945 LE biotin	synthetic_RNA	biotin	PPV deletion mutant-Arabidopsis protoplasts-12hpt-used as control rep 3	A-AFFY-2	GSE11217GSM283945 Norm	GSM283945_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11217/E-GEOD-11217.processed.1.zip	ATH1-121501.CDF
GSE11217GSM283946	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis leaves infected with PPV at 17 days post inoculation:  Labelling, hybridization, and detection of hybridization signals were performed as per Affymetrix standard protocol. Arabidopsis leaves infected with PPV at 17 days post inoculation	Arabidopsis leaves infected with PPV at 17 days post inoculation	Arabidopsis leaves infected with PPV at 17 days post inoculation	P-G11217-1	P-G11217-2	GSE11217GSM283946 sample	organism_part	P-G11217-4	GSE11217GSM283946 extract	total_RNA	P-G11217-3	GSE11217GSM283946 LE biotin	synthetic_RNA	biotin	PPV infection in Arabidopsis leaves-17 days post inoculation rep 1	A-AFFY-2	GSE11217GSM283946 Norm	GSM283946_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11217/E-GEOD-11217.processed.1.zip	ATH1-121501.CDF
GSE11217GSM283947	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis leaves infected with PPV at 17 days post inoculation:  Labelling, hybridization, and detection of hybridization signals were performed as per Affymetrix standard protocol. Arabidopsis leaves infected with PPV at 17 days post inoculation	Arabidopsis leaves infected with PPV at 17 days post inoculation	Arabidopsis leaves infected with PPV at 17 days post inoculation	P-G11217-1	P-G11217-2	GSE11217GSM283947 sample	organism_part	P-G11217-4	GSE11217GSM283947 extract	total_RNA	P-G11217-3	GSE11217GSM283947 LE biotin	synthetic_RNA	biotin	PPV infection in Arabidopsis leaves-17 days post inoculation rep 2	A-AFFY-2	GSE11217GSM283947 Norm	GSM283947_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11217/E-GEOD-11217.processed.1.zip	ATH1-121501.CDF
GSE11217GSM283948	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis leaves infected with PPV at 17 days post inoculation:  Labelling, hybridization, and detection of hybridization signals were performed as per Affymetrix standard protocol. Arabidopsis leaves infected with PPV at 17 days post inoculation	Arabidopsis leaves infected with PPV at 17 days post inoculation	Arabidopsis leaves infected with PPV at 17 days post inoculation	P-G11217-1	P-G11217-2	GSE11217GSM283948 sample	organism_part	P-G11217-4	GSE11217GSM283948 extract	total_RNA	P-G11217-3	GSE11217GSM283948 LE biotin	synthetic_RNA	biotin	PPV infection in Arabidopsis leaves-17 days post inoculation rep 3	A-AFFY-2	GSE11217GSM283948 Norm	GSM283948_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11217/E-GEOD-11217.processed.1.zip	ATH1-121501.CDF
GSE11217GSM283949	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis leaves-mock infection with buffer-17 dpi; used as control:  Labelling, hybridization, and detection of hybridization signals were performed as per Affymetrix standard protocol. Arabidopsis leaves mock infected with buffer at 17 dpi were used as control.	Arabidopsis leaves-mock infection with buffer-17 dpi; used as control	Arabidopsis leaves mock infected with buffer at 17 dpi were used as control.	P-G11217-1	P-G11217-2	GSE11217GSM283949 sample	organism_part	P-G11217-4	GSE11217GSM283949 extract	total_RNA	P-G11217-3	GSE11217GSM283949 LE biotin	synthetic_RNA	biotin	Arabidopsis leaves-mock infection with buffer-17 dpi; used as control rep 1	A-AFFY-2	GSE11217GSM283949 Norm	GSM283949_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11217/E-GEOD-11217.processed.1.zip	ATH1-121501.CDF
GSE11217GSM283950	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis leaves-mock infection with buffer-17 dpi; used as control:  Labelling, hybridization, and detection of hybridization signals were performed as per Affymetrix standard protocol. Arabidopsis leaves mock infected with buffer at 17 dpi were used as control.	Arabidopsis leaves-mock infection with buffer-17 dpi; used as control	Arabidopsis leaves mock infected with buffer at 17 dpi were used as control.	P-G11217-1	P-G11217-2	GSE11217GSM283950 sample	organism_part	P-G11217-4	GSE11217GSM283950 extract	total_RNA	P-G11217-3	GSE11217GSM283950 LE biotin	synthetic_RNA	biotin	Arabidopsis leaves-mock infection with buffer-17 dpi; used as control rep 2	A-AFFY-2	GSE11217GSM283950 Norm	GSM283950_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11217/E-GEOD-11217.processed.1.zip	ATH1-121501.CDF
GSE11217GSM283951	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis leaves-mock infection with buffer-17 dpi; used as control:  Labelling, hybridization, and detection of hybridization signals were performed as per Affymetrix standard protocol. Arabidopsis leaves mock infected with buffer at 17 dpi were used as control.	Arabidopsis leaves-mock infection with buffer-17 dpi; used as control	Arabidopsis leaves mock infected with buffer at 17 dpi were used as control.	P-G11217-1	P-G11217-2	GSE11217GSM283951 sample	organism_part	P-G11217-4	GSE11217GSM283951 extract	total_RNA	P-G11217-3	GSE11217GSM283951 LE biotin	synthetic_RNA	biotin	Arabidopsis leaves-mock infection with buffer-17 dpi; used as control rep 3	A-AFFY-2	GSE11217GSM283951 Norm	GSM283951_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11217/E-GEOD-11217.processed.1.zip	ATH1-121501.CDF
