Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[age]	Characteristics[ecotype]	Characteristics[organ]	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [AGE]	FactorValue [ORGAN]	Term Source REF	Term Accession Number	FactorValue [TREATMENT]
GSM835815 1	Shoot Phosphate recovery, biological rep2	Shoot Phosphate recovery, biological rep2	Shoot Phosphate recovery, biological rep2 [ATH1-121501]	  	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	33 days	Col-0	shoot	EFO	EFO_0000992	P-GSE34004-3	P-GSE34004-2	P-GSE34004-4	GSM835815 extract 1	total RNA	P-GSE34004-5	GSM835815 LE 1	biotin	P-GSE34004-6	GSM835815	A-AFFY-2	  	P-GSE34004-7	P-GSE34004-8	GSM835815.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34004/E-GEOD-34004.raw.1.zip	P-GSE34004-1	GSM835815_sample_table.txt norm	GSM835815_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34004/E-GEOD-34004.processed.1.zip	33 days	shoot	EFO	EFO_0000992	Recovery, 10-day Phosphate starvation then transferred to full-strength MGRL medium for 3 days
GSM835814 1	Shoot Phosphate recovery, biological rep1	Shoot Phosphate recovery, biological rep1	Shoot Phosphate recovery, biological rep1 [ATH1-121501]	  	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	33 days	Col-0	shoot	EFO	EFO_0000992	P-GSE34004-3	P-GSE34004-2	P-GSE34004-4	GSM835814 extract 1	total RNA	P-GSE34004-5	GSM835814 LE 1	biotin	P-GSE34004-6	GSM835814	A-AFFY-2	  	P-GSE34004-7	P-GSE34004-8	GSM835814.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34004/E-GEOD-34004.raw.1.zip	P-GSE34004-1	GSM835814_sample_table.txt norm	GSM835814_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34004/E-GEOD-34004.processed.1.zip	33 days	shoot	EFO	EFO_0000992	Recovery, 10-day Phosphate starvation then transferred to full-strength MGRL medium for 3 days
GSM835813 1	Shoot Phosphate starvation, biological rep3	Shoot Phosphate starvation, biological rep3	Shoot Phosphate starvation, biological rep3 [ATH1-121501]	  	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	30 days	Col-0	shoot	EFO	EFO_0000992	P-GSE34004-3	P-GSE34004-2	P-GSE34004-4	GSM835813 extract 1	total RNA	P-GSE34004-5	GSM835813 LE 1	biotin	P-GSE34004-6	GSM835813	A-AFFY-2	  	P-GSE34004-7	P-GSE34004-8	GSM835813.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34004/E-GEOD-34004.raw.1.zip	P-GSE34004-1	GSM835813_sample_table.txt norm	GSM835813_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34004/E-GEOD-34004.processed.1.zip	30 days	shoot	EFO	EFO_0000992	P_starvation, 10-day Phosphate starvation
GSM835812 1	Shoot Phosphate starvation, biological rep2	Shoot Phosphate starvation, biological rep2	Shoot Phosphate starvation, biological rep2 [ATH1-121501]	  	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	30 days	Col-0	shoot	EFO	EFO_0000992	P-GSE34004-3	P-GSE34004-2	P-GSE34004-4	GSM835812 extract 1	total RNA	P-GSE34004-5	GSM835812 LE 1	biotin	P-GSE34004-6	GSM835812	A-AFFY-2	  	P-GSE34004-7	P-GSE34004-8	GSM835812.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34004/E-GEOD-34004.raw.1.zip	P-GSE34004-1	GSM835812_sample_table.txt norm	GSM835812_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34004/E-GEOD-34004.processed.1.zip	30 days	shoot	EFO	EFO_0000992	P_starvation, 10-day Phosphate starvation
GSM835811 1	Shoot Phosphate starvation, biological rep1	Shoot Phosphate starvation, biological rep1	Shoot Phosphate starvation, biological rep1 [ATH1-121501]	  	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	30 days	Col-0	shoot	EFO	EFO_0000992	P-GSE34004-3	P-GSE34004-2	P-GSE34004-4	GSM835811 extract 1	total RNA	P-GSE34004-5	GSM835811 LE 1	biotin	P-GSE34004-6	GSM835811	A-AFFY-2	  	P-GSE34004-7	P-GSE34004-8	GSM835811.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34004/E-GEOD-34004.raw.1.zip	P-GSE34004-1	GSM835811_sample_table.txt norm	GSM835811_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34004/E-GEOD-34004.processed.1.zip	30 days	shoot	EFO	EFO_0000992	P_starvation, 10-day Phosphate starvation
GSM835810 1	Shoot Mock, biological rep3	Shoot Mock, biological rep3	Shoot Mock, biological rep3 [ATH1-121501]	  	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	30 days	Col-0	shoot	EFO	EFO_0000992	P-GSE34004-3	P-GSE34004-2	P-GSE34004-4	GSM835810 extract 1	total RNA	P-GSE34004-5	GSM835810 LE 1	biotin	P-GSE34004-6	GSM835810	A-AFFY-2	  	P-GSE34004-7	P-GSE34004-8	GSM835810.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34004/E-GEOD-34004.raw.1.zip	P-GSE34004-1	GSM835810_sample_table.txt norm	GSM835810_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34004/E-GEOD-34004.processed.1.zip	30 days	shoot	EFO	EFO_0000992	Mock, 10-day full-strength MGRL medium
GSM835809 1	Shoot Mock, biological rep2	Shoot Mock, biological rep2	Shoot Mock, biological rep2 [ATH1-121501]	  	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	30 days	Col-0	shoot	EFO	EFO_0000992	P-GSE34004-3	P-GSE34004-2	P-GSE34004-4	GSM835809 extract 1	total RNA	P-GSE34004-5	GSM835809 LE 1	biotin	P-GSE34004-6	GSM835809	A-AFFY-2	  	P-GSE34004-7	P-GSE34004-8	GSM835809.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34004/E-GEOD-34004.raw.1.zip	P-GSE34004-1	GSM835809_sample_table.txt norm	GSM835809_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34004/E-GEOD-34004.processed.1.zip	30 days	shoot	EFO	EFO_0000992	Mock, 10-day full-strength MGRL medium
GSM835808 1	Shoot Mock, biological rep1	Shoot Mock, biological rep1	Shoot Mock, biological rep1 [ATH1-121501]	  	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	30 days	Col-0	shoot	EFO	EFO_0000992	P-GSE34004-3	P-GSE34004-2	P-GSE34004-4	GSM835808 extract 1	total RNA	P-GSE34004-5	GSM835808 LE 1	biotin	P-GSE34004-6	GSM835808	A-AFFY-2	  	P-GSE34004-7	P-GSE34004-8	GSM835808.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34004/E-GEOD-34004.raw.1.zip	P-GSE34004-1	GSM835808_sample_table.txt norm	GSM835808_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34004/E-GEOD-34004.processed.1.zip	30 days	shoot	EFO	EFO_0000992	Mock, 10-day full-strength MGRL medium
GSM840177 1	Root Phosphate recovery, biological rep3	  	  	13PR3	Root Phosphate recovery, biological rep3	Root Phosphate recovery, biological rep3 [At35b_MR]	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	33 days	Col-0	root	EFO	EFO_0000989	P-GSE34004-9	P-GSE34004-2	P-GSE34004-4	GSM840177 extract 1	total RNA	P-GSE34004-5	GSM840177 LE 1	biotin	P-GSE34004-6	GSM840177	A-GEOD-10977	  	P-GSE34004-10	P-GSE34004-11	GSM840177_d13PR3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34004/E-GEOD-34004.raw.1.zip	  	  	  	  	33 days	root	EFO	EFO_0000989	Recovery, 10-day Phosphate starvation then transferred to full-strength MGRL medium for 3 days
GSM840176 1	Root Phosphate recovery, biological rep2	  	  	13PR2	Root Phosphate recovery, biological rep2	Root Phosphate recovery, biological rep2 [At35b_MR]	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	33 days	Col-0	root	EFO	EFO_0000989	P-GSE34004-9	P-GSE34004-2	P-GSE34004-4	GSM840176 extract 1	total RNA	P-GSE34004-5	GSM840176 LE 1	biotin	P-GSE34004-6	GSM840176	A-GEOD-10977	  	P-GSE34004-10	P-GSE34004-11	GSM840176_d13PR2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34004/E-GEOD-34004.raw.1.zip	  	  	  	  	33 days	root	EFO	EFO_0000989	Recovery, 10-day Phosphate starvation then transferred to full-strength MGRL medium for 3 days
GSM840175 1	Root Phosphate recovery, biological rep1	  	  	13PR1	Root Phosphate recovery, biological rep1	Root Phosphate recovery, biological rep1 [At35b_MR]	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	33 days	Col-0	root	EFO	EFO_0000989	P-GSE34004-9	P-GSE34004-2	P-GSE34004-4	GSM840175 extract 1	total RNA	P-GSE34004-5	GSM840175 LE 1	biotin	P-GSE34004-6	GSM840175	A-GEOD-10977	  	P-GSE34004-10	P-GSE34004-11	GSM840175_d13PR1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34004/E-GEOD-34004.raw.1.zip	  	  	  	  	33 days	root	EFO	EFO_0000989	Recovery, 10-day Phosphate starvation then transferred to full-strength MGRL medium for 3 days
GSM840174 1	Root Phosphate starvation, biological rep3	  	  	10PR3	Root Phosphate starvation, biological rep3	Root Phosphate starvation, biological rep3 [At35b_MR]	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	30 days	Col-0	root	EFO	EFO_0000989	P-GSE34004-9	P-GSE34004-2	P-GSE34004-4	GSM840174 extract 1	total RNA	P-GSE34004-5	GSM840174 LE 1	biotin	P-GSE34004-6	GSM840174	A-GEOD-10977	  	P-GSE34004-10	P-GSE34004-11	GSM840174_d10PR3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34004/E-GEOD-34004.raw.1.zip	  	  	  	  	30 days	root	EFO	EFO_0000989	P_starvation, 10-day Phosphate starvation
GSM840173 1	Root Phosphate starvation, biological rep2	  	  	10PR2	Root Phosphate starvation, biological rep2	Root Phosphate starvation, biological rep2 [At35b_MR]	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	30 days	Col-0	root	EFO	EFO_0000989	P-GSE34004-9	P-GSE34004-2	P-GSE34004-4	GSM840173 extract 1	total RNA	P-GSE34004-5	GSM840173 LE 1	biotin	P-GSE34004-6	GSM840173	A-GEOD-10977	  	P-GSE34004-10	P-GSE34004-11	GSM840173_d10PR2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34004/E-GEOD-34004.raw.1.zip	  	  	  	  	30 days	root	EFO	EFO_0000989	P_starvation, 10-day Phosphate starvation
GSM840172 1	Root Phosphate starvation, biological rep1	  	  	10PR1	Root Phosphate starvation, biological rep1	Root Phosphate starvation, biological rep1 [At35b_MR]	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	30 days	Col-0	root	EFO	EFO_0000989	P-GSE34004-9	P-GSE34004-2	P-GSE34004-4	GSM840172 extract 1	total RNA	P-GSE34004-5	GSM840172 LE 1	biotin	P-GSE34004-6	GSM840172	A-GEOD-10977	  	P-GSE34004-10	P-GSE34004-11	GSM840172_d10PR1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34004/E-GEOD-34004.raw.1.zip	  	  	  	  	30 days	root	EFO	EFO_0000989	P_starvation, 10-day Phosphate starvation
GSM840171 1	Root Mock, biological rep3	  	  	10MR3	Root Mock, biological rep3	Root Mock, biological rep3 [At35b_MR]	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	30 days	Col-0	root	EFO	EFO_0000989	P-GSE34004-9	P-GSE34004-2	P-GSE34004-4	GSM840171 extract 1	total RNA	P-GSE34004-5	GSM840171 LE 1	biotin	P-GSE34004-6	GSM840171	A-GEOD-10977	  	P-GSE34004-10	P-GSE34004-11	GSM840171_d10MR3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34004/E-GEOD-34004.raw.2.zip	  	  	  	  	30 days	root	EFO	EFO_0000989	Mock, 10-day full-strength MGRL medium
GSM840170 1	Root Mock, biological rep2	  	  	10MR2	Root Mock, biological rep2	Root Mock, biological rep2 [At35b_MR]	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	30 days	Col-0	root	EFO	EFO_0000989	P-GSE34004-9	P-GSE34004-2	P-GSE34004-4	GSM840170 extract 1	total RNA	P-GSE34004-5	GSM840170 LE 1	biotin	P-GSE34004-6	GSM840170	A-GEOD-10977	  	P-GSE34004-10	P-GSE34004-11	GSM840170_d10MR2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34004/E-GEOD-34004.raw.2.zip	  	  	  	  	30 days	root	EFO	EFO_0000989	Mock, 10-day full-strength MGRL medium
GSM840169 1	Root Mock, biological rep1	  	  	10MR1	Root Mock, biological rep1	Root Mock, biological rep1 [At35b_MR]	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	30 days	Col-0	root	EFO	EFO_0000989	P-GSE34004-9	P-GSE34004-2	P-GSE34004-4	GSM840169 extract 1	total RNA	P-GSE34004-5	GSM840169 LE 1	biotin	P-GSE34004-6	GSM840169	A-GEOD-10977	  	P-GSE34004-10	P-GSE34004-11	GSM840169_d10MR1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34004/E-GEOD-34004.raw.2.zip	  	  	  	  	30 days	root	EFO	EFO_0000989	Mock, 10-day full-strength MGRL medium
GSM840168 1	Shoot Phosphate recovery, biological rep3	  	  	13PL3	Shoot Phosphate recovery, biological rep3	Shoot Phosphate recovery, biological rep3 [At35b_MR]	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	33 days	Col-0	shoot	EFO	EFO_0000992	P-GSE34004-9	P-GSE34004-2	P-GSE34004-4	GSM840168 extract 1	total RNA	P-GSE34004-5	GSM840168 LE 1	biotin	P-GSE34004-6	GSM840168	A-GEOD-10977	  	P-GSE34004-10	P-GSE34004-11	GSM840168_d13PL3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34004/E-GEOD-34004.raw.2.zip	  	  	  	  	33 days	shoot	EFO	EFO_0000992	Recovery, 10-day Phosphate starvation then transferred to full-strength MGRL medium for 3 days
GSM840167 1	Shoot Phosphate recovery, biological rep2	  	  	13PL2	Shoot Phosphate recovery, biological rep2	Shoot Phosphate recovery, biological rep2 [At35b_MR]	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	33 days	Col-0	shoot	EFO	EFO_0000992	P-GSE34004-9	P-GSE34004-2	P-GSE34004-4	GSM840167 extract 1	total RNA	P-GSE34004-5	GSM840167 LE 1	biotin	P-GSE34004-6	GSM840167	A-GEOD-10977	  	P-GSE34004-10	P-GSE34004-11	GSM840167_d13PL2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34004/E-GEOD-34004.raw.2.zip	  	  	  	  	33 days	shoot	EFO	EFO_0000992	Recovery, 10-day Phosphate starvation then transferred to full-strength MGRL medium for 3 days
