Source Name	Characteristics [organism part]	Characteristics [ecotype]	Characteristics [developmental stage]	Characteristics [organism]	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Protocol REF	Hybridization Name	Array Design REF	Comment [Array Design URI]	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	Factor Value [ecotype]	Factor Value [temperature]	Unit [temperature unit]
CanN-1_sample	rosette	Canary Islands	bolting (0.5-2cm inflorescence)	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-5	  	CanN-1_sample	P-EXTR-1	CanN-1_extract	total_RNA	P-AFFY-2	CanN-1_LE	biotin	cRNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	P-NORM-1	CanN-1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	CanN-1	CanN-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-52/E-TABM-52.raw.1.zip	hannah_cold_gcrma.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-52/E-TABM-52.processed.1.zip	Canary Islands	20	degree celsius
CviA-1_sample	rosette	Cape Verde Islands	bolting (0.5-2cm inflorescence)	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-5	P-MTAB-6	CviA-1_sample	P-EXTR-1	CviA-1_extract	total_RNA	P-AFFY-2	CviA-1_LE	biotin	cRNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	P-NORM-1	CviA-1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	CviA-1	CviA-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-52/E-TABM-52.raw.1.zip	hannah_cold_gcrma.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-52/E-TABM-52.processed.1.zip	Cape Verde Islands	4	degree celsius
CviA-2_sample	rosette	Cape Verde Islands	bolting (0.5-2cm inflorescence)	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-5	P-MTAB-6	CviA-2_sample	P-EXTR-1	CviA-2_extract	total_RNA	P-AFFY-2	CviA-2_LE	biotin	cRNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	P-NORM-1	CviA-2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	CviA-2	CviA-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-52/E-TABM-52.raw.1.zip	hannah_cold_gcrma.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-52/E-TABM-52.processed.1.zip	Cape Verde Islands	4	degree celsius
CviA-3_sample	rosette	Cape Verde Islands	bolting (0.5-2cm inflorescence)	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-5	P-MTAB-6	CviA-3_sample	P-EXTR-1	CviA-3_extract	total_RNA	P-AFFY-2	CviA-3_LE	biotin	cRNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	P-NORM-1	CviA-3	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	CviA-3	CviA-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-52/E-TABM-52.raw.1.zip	hannah_cold_gcrma.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-52/E-TABM-52.processed.1.zip	Cape Verde Islands	4	degree celsius
CviN-1_sample	rosette	Cape Verde Islands	bolting (0.5-2cm inflorescence)	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-5	  	CviN-1_sample	P-EXTR-1	CviN-1_extract	total_RNA	P-AFFY-2	CviN-1_LE	biotin	cRNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	P-NORM-1	CviN-1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	CviN-1	CviN-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-52/E-TABM-52.raw.1.zip	hannah_cold_gcrma.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-52/E-TABM-52.processed.1.zip	Cape Verde Islands	20	degree celsius
CviN-2_sample	rosette	Cape Verde Islands	bolting (0.5-2cm inflorescence)	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-5	  	CviN-2_sample	P-EXTR-1	CviN-2_extract	total_RNA	P-AFFY-2	CviN-2_LE	biotin	cRNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	P-NORM-1	CviN-2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	CviN-2	CviN-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-52/E-TABM-52.raw.1.zip	hannah_cold_gcrma.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-52/E-TABM-52.processed.1.zip	Cape Verde Islands	20	degree celsius
CviN-3_sample	rosette	Cape Verde Islands	bolting (0.5-2cm inflorescence)	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-5	  	CviN-3_sample	P-EXTR-1	CviN-3_extract	total_RNA	P-AFFY-2	CviN-3_LE	biotin	cRNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	P-NORM-1	CviN-3	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	CviN-3	CviN-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-52/E-TABM-52.raw.1.zip	hannah_cold_gcrma.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-52/E-TABM-52.processed.1.zip	Cape Verde Islands	20	degree celsius
CoiA-1_sample	rosette	Coimbra	bolting (0.5-2cm inflorescence)	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-5	P-MTAB-6	CoiA-1_sample	P-EXTR-1	CoiA-1_extract	total_RNA	P-AFFY-2	CoiA-1_LE	biotin	cRNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	P-NORM-1	CoiA-1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	CoiA-1	CoiA-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-52/E-TABM-52.raw.1.zip	hannah_cold_gcrma.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-52/E-TABM-52.processed.1.zip	Coimbra	4	degree celsius
CoiA-3_sample	rosette	Coimbra	bolting (0.5-2cm inflorescence)	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-5	P-MTAB-6	CoiA-3_sample	P-EXTR-1	CoiA-3_extract	total_RNA	P-AFFY-2	CoiA-3_LE	biotin	cRNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	P-NORM-1	CoiA-3	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	CoiA-3	CoiA-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-52/E-TABM-52.raw.1.zip	hannah_cold_gcrma.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-52/E-TABM-52.processed.1.zip	Coimbra	4	degree celsius
CoiA-2_sample	rosette	Coimbra	bolting (0.5-2cm inflorescence)	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-5	P-MTAB-6	CoiA-2_sample	P-EXTR-1	CoiA-2_extract	total_RNA	P-AFFY-2	CoiA-2_LE	biotin	cRNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	P-NORM-1	CoiA-2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	CoiA-2	CoiA-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-52/E-TABM-52.raw.1.zip	hannah_cold_gcrma.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-52/E-TABM-52.processed.1.zip	Coimbra	4	degree celsius
CoiN-1_sample	rosette	Coimbra	bolting (0.5-2cm inflorescence)	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-5	  	CoiN-1_sample	P-EXTR-1	CoiN-1_extract	total_RNA	P-AFFY-2	CoiN-1_LE	biotin	cRNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	P-NORM-1	CoiN-1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	CoiN-1	CoiN-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-52/E-TABM-52.raw.1.zip	hannah_cold_gcrma.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-52/E-TABM-52.processed.1.zip	Coimbra	20	degree celsius
CoiN-2_sample	rosette	Coimbra	bolting (0.5-2cm inflorescence)	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-5	  	CoiN-2_sample	P-EXTR-1	CoiN-2_extract	total_RNA	P-AFFY-2	CoiN-2_LE	biotin	cRNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	P-NORM-1	CoiN-2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	CoiN-2	CoiN-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-52/E-TABM-52.raw.1.zip	hannah_cold_gcrma.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-52/E-TABM-52.processed.1.zip	Coimbra	20	degree celsius
CoiN-3_sample	rosette	Coimbra	bolting (0.5-2cm inflorescence)	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-5	  	CoiN-3_sample	P-EXTR-1	CoiN-3_extract	total_RNA	P-AFFY-2	CoiN-3_LE	biotin	cRNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	P-NORM-1	CoiN-3	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	CoiN-3	CoiN-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-52/E-TABM-52.raw.1.zip	hannah_cold_gcrma.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-52/E-TABM-52.processed.1.zip	Coimbra	20	degree celsius
ColA-2_sample	rosette	Columbia-0	bolting (0.5-2cm inflorescence)	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-5	P-MTAB-6	ColA-2_sample	P-EXTR-1	ColA-2_extract	total_RNA	P-AFFY-2	ColA-2_LE	biotin	cRNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	P-NORM-1	ColA-2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	ColA-2	ColA-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-52/E-TABM-52.raw.1.zip	hannah_cold_gcrma.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-52/E-TABM-52.processed.1.zip	Columbia-0	4	degree celsius
ColA-1_sample	rosette	Columbia-0	bolting (0.5-2cm inflorescence)	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-5	P-MTAB-6	ColA-1_sample	P-EXTR-1	ColA-1_extract	total_RNA	P-AFFY-2	ColA-1_LE	biotin	cRNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	P-NORM-1	ColA-1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	ColA-1	ColA-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-52/E-TABM-52.raw.1.zip	hannah_cold_gcrma.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-52/E-TABM-52.processed.1.zip	Columbia-0	4	degree celsius
ColA-3_sample	rosette	Columbia-0	bolting (0.5-2cm inflorescence)	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-5	P-MTAB-6	ColA-3_sample	P-EXTR-1	ColA-3_extract	total_RNA	P-AFFY-2	ColA-3_LE	biotin	cRNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	P-NORM-1	ColA-3	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	ColA-3	ColA-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-52/E-TABM-52.raw.1.zip	hannah_cold_gcrma.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-52/E-TABM-52.processed.1.zip	Columbia-0	4	degree celsius
ColN-1_sample	rosette	Columbia-0	bolting (0.5-2cm inflorescence)	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-5	  	ColN-1_sample	P-EXTR-1	ColN-1_extract	total_RNA	P-AFFY-2	ColN-1_LE	biotin	cRNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	P-NORM-1	ColN-1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	ColN-1	ColN-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-52/E-TABM-52.raw.1.zip	hannah_cold_gcrma.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-52/E-TABM-52.processed.1.zip	Columbia-0	20	degree celsius
ColN-3_sample	rosette	Columbia-0	bolting (0.5-2cm inflorescence)	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-5	  	ColN-3_sample	P-EXTR-1	ColN-3_extract	total_RNA	P-AFFY-2	ColN-3_LE	biotin	cRNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	P-NORM-1	ColN-3	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	ColN-3	ColN-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-52/E-TABM-52.raw.1.zip	hannah_cold_gcrma.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-52/E-TABM-52.processed.1.zip	Columbia-0	20	degree celsius
ColN-2_sample	rosette	Columbia-0	bolting (0.5-2cm inflorescence)	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-5	  	ColN-2_sample	P-EXTR-1	ColN-2_extract	total_RNA	P-AFFY-2	ColN-2_LE	biotin	cRNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	P-NORM-1	ColN-2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	ColN-2	ColN-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-52/E-TABM-52.raw.1.zip	hannah_cold_gcrma.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-52/E-TABM-52.processed.1.zip	Columbia-0	20	degree celsius
LerA-1_sample	rosette	Landsberg erecta	bolting (0.5-2cm inflorescence)	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-5	P-MTAB-6	LerA-1_sample	P-EXTR-1	LerA-1_extract	total_RNA	P-AFFY-2	LerA-1_LE	biotin	cRNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	P-NORM-1	LerA-1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	LerA-1	LerA-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-52/E-TABM-52.raw.1.zip	hannah_cold_gcrma.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-52/E-TABM-52.processed.1.zip	Landsberg erecta	4	degree celsius
