Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [age]	Characteristics [ecotype]	Term Source REF	Term Accession Number	Characteristics [genotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Term Source REF	Term Accession Number	Characteristics [sample group]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [age]	FactorValue [sample group]
GSM1541860 1	Recovery08hr_rep2	leaf_Recovery08hr_19 days old	Recovery08hr, biological rep2	19 days	Col-0	EFO	EFO_0005148	wild-type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	EFO_0000993	Recovery08hr	P-GSE63128-2	ArrayExpress	P-GSE63128-3	ArrayExpress	P-GSE63128-4	ArrayExpress	GSM1541860 extract 1	total RNA	P-GSE63128-5	ArrayExpress	GSM1541860 LE 1	biotin	P-GSE63128-6	ArrayExpress	GSM1541860	A-AFFY-2	ArrayExpress	array assay	P-GSE63128-7	ArrayExpress	GSM1541860_SK222.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63128/E-GEOD-63128.raw.1.zip	P-GSE63128-1	ArrayExpress	GSM1541860_sample_table.txt norm	GSM1541860_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63128/E-GEOD-63128.processed.1.zip	19 days	Recovery08hr
GSM1541859 1	Heat24hr_rep2	leaf_Heat24hr_19 days old	Heat24hr, biological rep2	19 days	Col-0	EFO	EFO_0005148	wild-type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	EFO_0000993	Heat24hr	P-GSE63128-2	ArrayExpress	P-GSE63128-3	ArrayExpress	P-GSE63128-4	ArrayExpress	GSM1541859 extract 1	total RNA	P-GSE63128-5	ArrayExpress	GSM1541859 LE 1	biotin	P-GSE63128-6	ArrayExpress	GSM1541859	A-AFFY-2	ArrayExpress	array assay	P-GSE63128-7	ArrayExpress	GSM1541859_SK221.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63128/E-GEOD-63128.raw.1.zip	P-GSE63128-1	ArrayExpress	GSM1541859_sample_table.txt norm	GSM1541859_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63128/E-GEOD-63128.processed.1.zip	19 days	Heat24hr
GSM1541858 1	Heat08hr_rep2	leaf_Heat08hr_18 days old	Heat08hr, biological rep2	18 days	Col-0	EFO	EFO_0005148	wild-type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	EFO_0000993	Heat08hr	P-GSE63128-2	ArrayExpress	P-GSE63128-3	ArrayExpress	P-GSE63128-4	ArrayExpress	GSM1541858 extract 1	total RNA	P-GSE63128-5	ArrayExpress	GSM1541858 LE 1	biotin	P-GSE63128-6	ArrayExpress	GSM1541858	A-AFFY-2	ArrayExpress	array assay	P-GSE63128-7	ArrayExpress	GSM1541858_SK220.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63128/E-GEOD-63128.raw.1.zip	P-GSE63128-1	ArrayExpress	GSM1541858_sample_table.txt norm	GSM1541858_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63128/E-GEOD-63128.processed.1.zip	18 days	Heat08hr
GSM1541857 1	Control24hr18daysold_rep2	leaf_Control24hr_18 days old	Control24hr, 18 days old, biological rep2	18 days	Col-0	EFO	EFO_0005148	wild-type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	EFO_0000993	Control24hr	P-GSE63128-2	ArrayExpress	P-GSE63128-3	ArrayExpress	P-GSE63128-4	ArrayExpress	GSM1541857 extract 1	total RNA	P-GSE63128-5	ArrayExpress	GSM1541857 LE 1	biotin	P-GSE63128-6	ArrayExpress	GSM1541857	A-AFFY-2	ArrayExpress	array assay	P-GSE63128-7	ArrayExpress	GSM1541857_SK219.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63128/E-GEOD-63128.raw.1.zip	P-GSE63128-1	ArrayExpress	GSM1541857_sample_table.txt norm	GSM1541857_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63128/E-GEOD-63128.processed.1.zip	18 days	Control24hr
GSM1541856 1	Control24hr20daysold_rep2	leaf_Control24hr_20 days old	Control24hr, 20 days old, biological rep2	20 days	Col-0	EFO	EFO_0005148	wild-type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	EFO_0000993	Control24hr	P-GSE63128-2	ArrayExpress	P-GSE63128-3	ArrayExpress	P-GSE63128-4	ArrayExpress	GSM1541856 extract 1	total RNA	P-GSE63128-5	ArrayExpress	GSM1541856 LE 1	biotin	P-GSE63128-6	ArrayExpress	GSM1541856	A-AFFY-2	ArrayExpress	array assay	P-GSE63128-7	ArrayExpress	GSM1541856_SK218.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63128/E-GEOD-63128.raw.1.zip	P-GSE63128-1	ArrayExpress	GSM1541856_sample_table.txt norm	GSM1541856_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63128/E-GEOD-63128.processed.1.zip	20 days	Control24hr
GSM1541855 1	Control24hr19daysold_rep2	leaf_Control24hr_19 days old	Control24hr, 19 days old, biological rep2	19 days	Col-0	EFO	EFO_0005148	wild-type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	EFO_0000993	Control24hr	P-GSE63128-2	ArrayExpress	P-GSE63128-3	ArrayExpress	P-GSE63128-4	ArrayExpress	GSM1541855 extract 1	total RNA	P-GSE63128-5	ArrayExpress	GSM1541855 LE 1	biotin	P-GSE63128-6	ArrayExpress	GSM1541855	A-AFFY-2	ArrayExpress	array assay	P-GSE63128-7	ArrayExpress	GSM1541855_SK217.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63128/E-GEOD-63128.raw.1.zip	P-GSE63128-1	ArrayExpress	GSM1541855_sample_table.txt norm	GSM1541855_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63128/E-GEOD-63128.processed.1.zip	19 days	Control24hr
GSM1541854 1	Control08hr19daysold_rep2	leaf_Control08hr_19 days old	Control08hr, 19 days old, biological rep2	19 days	Col-0	EFO	EFO_0005148	wild-type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	EFO_0000993	Control08hr	P-GSE63128-2	ArrayExpress	P-GSE63128-3	ArrayExpress	P-GSE63128-4	ArrayExpress	GSM1541854 extract 1	total RNA	P-GSE63128-5	ArrayExpress	GSM1541854 LE 1	biotin	P-GSE63128-6	ArrayExpress	GSM1541854	A-AFFY-2	ArrayExpress	array assay	P-GSE63128-7	ArrayExpress	GSM1541854_SK216.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63128/E-GEOD-63128.raw.1.zip	P-GSE63128-1	ArrayExpress	GSM1541854_sample_table.txt norm	GSM1541854_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63128/E-GEOD-63128.processed.1.zip	19 days	Control08hr
GSM1541853 1	Control08hr18daysold_rep2	leaf_Control08hr_18 days old	Control08hr, 18 days old, biological rep2	18 days	Col-0	EFO	EFO_0005148	wild-type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	EFO_0000993	Control08hr	P-GSE63128-2	ArrayExpress	P-GSE63128-3	ArrayExpress	P-GSE63128-4	ArrayExpress	GSM1541853 extract 1	total RNA	P-GSE63128-5	ArrayExpress	GSM1541853 LE 1	biotin	P-GSE63128-6	ArrayExpress	GSM1541853	A-AFFY-2	ArrayExpress	array assay	P-GSE63128-7	ArrayExpress	GSM1541853_SK215.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63128/E-GEOD-63128.raw.1.zip	P-GSE63128-1	ArrayExpress	GSM1541853_sample_table.txt norm	GSM1541853_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63128/E-GEOD-63128.processed.1.zip	18 days	Control08hr
GSM1541852 1	Recovery24hr_rep1	leaf_Recovery24hr_20 days old	Recovery24hr, biological rep1	20 days	Col-0	EFO	EFO_0005148	wild-type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	EFO_0000993	Recovery24hr	P-GSE63128-2	ArrayExpress	P-GSE63128-3	ArrayExpress	P-GSE63128-4	ArrayExpress	GSM1541852 extract 1	total RNA	P-GSE63128-5	ArrayExpress	GSM1541852 LE 1	biotin	P-GSE63128-6	ArrayExpress	GSM1541852	A-AFFY-2	ArrayExpress	array assay	P-GSE63128-7	ArrayExpress	GSM1541852_SK214.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63128/E-GEOD-63128.raw.1.zip	P-GSE63128-1	ArrayExpress	GSM1541852_sample_table.txt norm	GSM1541852_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63128/E-GEOD-63128.processed.1.zip	20 days	Recovery24hr
GSM1541851 1	Recovery08hr_rep1	leaf_Recovery08hr_19 days old	Recovery08hr, biological rep1	19 days	Col-0	EFO	EFO_0005148	wild-type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	EFO_0000993	Recovery08hr	P-GSE63128-2	ArrayExpress	P-GSE63128-3	ArrayExpress	P-GSE63128-4	ArrayExpress	GSM1541851 extract 1	total RNA	P-GSE63128-5	ArrayExpress	GSM1541851 LE 1	biotin	P-GSE63128-6	ArrayExpress	GSM1541851	A-AFFY-2	ArrayExpress	array assay	P-GSE63128-7	ArrayExpress	GSM1541851_SK213.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63128/E-GEOD-63128.raw.1.zip	P-GSE63128-1	ArrayExpress	GSM1541851_sample_table.txt norm	GSM1541851_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63128/E-GEOD-63128.processed.1.zip	19 days	Recovery08hr
GSM1541850 1	Heat24hr_rep1	leaf_Heat24hr_19 days old	Heat24hr, biological rep1	19 days	Col-0	EFO	EFO_0005148	wild-type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	EFO_0000993	Heat24hr	P-GSE63128-2	ArrayExpress	P-GSE63128-3	ArrayExpress	P-GSE63128-4	ArrayExpress	GSM1541850 extract 1	total RNA	P-GSE63128-5	ArrayExpress	GSM1541850 LE 1	biotin	P-GSE63128-6	ArrayExpress	GSM1541850	A-AFFY-2	ArrayExpress	array assay	P-GSE63128-7	ArrayExpress	GSM1541850_SK212.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63128/E-GEOD-63128.raw.1.zip	P-GSE63128-1	ArrayExpress	GSM1541850_sample_table.txt norm	GSM1541850_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63128/E-GEOD-63128.processed.1.zip	19 days	Heat24hr
GSM1541849 1	Heat08hr_rep1	leaf_Heat08hr_18 days old	Heat08hr, biological rep1	18 days	Col-0	EFO	EFO_0005148	wild-type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	EFO_0000993	Heat08hr	P-GSE63128-2	ArrayExpress	P-GSE63128-3	ArrayExpress	P-GSE63128-4	ArrayExpress	GSM1541849 extract 1	total RNA	P-GSE63128-5	ArrayExpress	GSM1541849 LE 1	biotin	P-GSE63128-6	ArrayExpress	GSM1541849	A-AFFY-2	ArrayExpress	array assay	P-GSE63128-7	ArrayExpress	GSM1541849_SK211.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63128/E-GEOD-63128.raw.1.zip	P-GSE63128-1	ArrayExpress	GSM1541849_sample_table.txt norm	GSM1541849_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63128/E-GEOD-63128.processed.1.zip	18 days	Heat08hr
GSM1541848 1	Control24hr18daysold_rep1	leaf_Control24hr_18 days old	Control24hr, 18 days old, biological rep1	18 days	Col-0	EFO	EFO_0005148	wild-type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	EFO_0000993	Control24hr	P-GSE63128-2	ArrayExpress	P-GSE63128-3	ArrayExpress	P-GSE63128-4	ArrayExpress	GSM1541848 extract 1	total RNA	P-GSE63128-5	ArrayExpress	GSM1541848 LE 1	biotin	P-GSE63128-6	ArrayExpress	GSM1541848	A-AFFY-2	ArrayExpress	array assay	P-GSE63128-7	ArrayExpress	GSM1541848_SK210.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63128/E-GEOD-63128.raw.1.zip	P-GSE63128-1	ArrayExpress	GSM1541848_sample_table.txt norm	GSM1541848_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63128/E-GEOD-63128.processed.1.zip	18 days	Control24hr
GSM1541847 1	Control24hr20daysold_rep1	leaf_Control24hr_20 days old	Control24hr, 20 days old, biological rep1	20 days	Col-0	EFO	EFO_0005148	wild-type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	EFO_0000993	Control24hr	P-GSE63128-2	ArrayExpress	P-GSE63128-3	ArrayExpress	P-GSE63128-4	ArrayExpress	GSM1541847 extract 1	total RNA	P-GSE63128-5	ArrayExpress	GSM1541847 LE 1	biotin	P-GSE63128-6	ArrayExpress	GSM1541847	A-AFFY-2	ArrayExpress	array assay	P-GSE63128-7	ArrayExpress	GSM1541847_SK209.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63128/E-GEOD-63128.raw.1.zip	P-GSE63128-1	ArrayExpress	GSM1541847_sample_table.txt norm	GSM1541847_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63128/E-GEOD-63128.processed.1.zip	20 days	Control24hr
GSM1541846 1	Control24hr19daysold_rep1	leaf_Control24hr_19 days old	Control24hr, 19 days old, biological rep1	19 days	Col-0	EFO	EFO_0005148	wild-type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	EFO_0000993	Control24hr	P-GSE63128-2	ArrayExpress	P-GSE63128-3	ArrayExpress	P-GSE63128-4	ArrayExpress	GSM1541846 extract 1	total RNA	P-GSE63128-5	ArrayExpress	GSM1541846 LE 1	biotin	P-GSE63128-6	ArrayExpress	GSM1541846	A-AFFY-2	ArrayExpress	array assay	P-GSE63128-7	ArrayExpress	GSM1541846_SK208.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63128/E-GEOD-63128.raw.1.zip	P-GSE63128-1	ArrayExpress	GSM1541846_sample_table.txt norm	GSM1541846_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63128/E-GEOD-63128.processed.1.zip	19 days	Control24hr
