Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Description	Characteristics[DevelopmentalStage]	Characteristics[Ecotype]	Characteristics[OrganismPart]	Characteristics[Age]	Unit[TimeUnit]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[GROWTH CONDITION]	FactorValue[TREATMENT TIME]	Unit[TimeUnit]
GSE11558GSM291024	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root:  roots of 2 weeks old seedlings grown on vertical agar plates. ecotype col2	seedling	Col-2	root	2	weeks	P-G11558-1	P-G11558-16	GSE11558GSM291024 sample	P-G11558-14	GSE11558GSM291024 extract	total_RNA	P-G11558-3	GSE11558GSM291024 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	root - 08% oxygen - 48h - A	A-AFFY-2	P-AFFY-6	root - 08% oxygen - 48h - A	GSM291024.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11558/E-GEOD-11558.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11558-processed-data-1680990554.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11558/E-GEOD-11558.processed.1.zip	8% oxygen	48	hours
GSE11558GSM291021	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root:  roots of 2 weeks old seedlings grown on vertical agar plates. ecotype col2	seedling	Col-2	root	2	weeks	P-G11558-1	P-G11558-15	GSE11558GSM291021 sample	P-G11558-14	GSE11558GSM291021 extract	total_RNA	P-G11558-3	GSE11558GSM291021 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	root - 08% oxygen - 30min - C	A-AFFY-2	P-AFFY-6	root - 08% oxygen - 30min - C	GSM291021.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11558/E-GEOD-11558.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11558-processed-data-1680990554.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11558/E-GEOD-11558.processed.1.zip	8% oxygen	30	minutes
GSE11558GSM291114	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root:  roots of 2 weeks old seedlings grown on vertical agar plates. ecotype col2	seedling	Col-2	root	2	weeks	P-G11558-1	P-G11558-20	GSE11558GSM291114 sample	P-G11558-14	GSE11558GSM291114 extract	total_RNA	P-G11558-3	GSE11558GSM291114 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	root - 21% oxygen - 30min - G	A-AFFY-2	P-AFFY-6	root - 21% oxygen - 30min - G	GSM291114.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11558/E-GEOD-11558.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11558-processed-data-1680990554.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11558/E-GEOD-11558.processed.1.zip	21% oxygen	30	minutes
GSE11558GSM290757	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root:  roots of 2 weeks old seedlings grown on vertical agar plates. ecotype col2	seedling	Col-2	root	2	weeks	P-G11558-1	P-G11558-6	GSE11558GSM290757 sample	P-G11558-4	GSE11558GSM290757 extract	total_RNA	P-G11558-3	GSE11558GSM290757 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	root - 01% oxygen - 30min - F	A-AFFY-2	P-AFFY-6	root - 01% oxygen - 30min - F	GSM290757.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11558/E-GEOD-11558.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11558-processed-data-1680990554.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11558/E-GEOD-11558.processed.1.zip	1% oxygen	30	minutes
GSE11558GSM291128	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root:  roots of 2 weeks old seedlings grown on vertical agar plates. ecotypte col2	seedling	Col-2	root	2	weeks	P-G11558-1	P-G11558-22	GSE11558GSM291128 sample	P-G11558-14	GSE11558GSM291128 extract	total_RNA	P-G11558-3	GSE11558GSM291128 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	root - 08% oxygen - 48h - B	A-AFFY-2	P-AFFY-6	root - 08% oxygen - 48h - B	GSM291128.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11558/E-GEOD-11558.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11558-processed-data-1680990554.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11558/E-GEOD-11558.processed.1.zip	8% oxygen	48	hours
GSE11558GSM290762	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root:  roots of 2 weeks old seedlings grown on vertical agar plates. ecotype col2	seedling	Col-2	root	2	weeks	P-G11558-1	P-G11558-9	GSE11558GSM290762 sample	P-G11558-4	GSE11558GSM290762 extract	total_RNA	P-G11558-3	GSE11558GSM290762 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	root - 04% oxygen - 30min - D	A-AFFY-2	P-AFFY-6	root - 04% oxygen - 30min - D	GSM290762.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11558/E-GEOD-11558.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11558-processed-data-1680990554.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11558/E-GEOD-11558.processed.1.zip	4% oxygen	30	minutes
GSE11558GSM290825	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root:  roots of 2 weeks old seedlings grown on vertical agar plates. ecotype col2	seedling	Col-2	root	2	weeks	P-G11558-1	P-G11558-10	GSE11558GSM290825 sample	P-G11558-4	GSE11558GSM290825 extract	total_RNA	P-G11558-3	GSE11558GSM290825 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	root - 04% oxygen - 30min - F	A-AFFY-2	P-AFFY-6	root - 04% oxygen - 30min - F	GSM290825.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11558/E-GEOD-11558.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11558-processed-data-1680990554.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11558/E-GEOD-11558.processed.1.zip	4% oxygen	30	minutes
GSE11558GSM291098	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root:  roots of 2 weeks old seedlings grown on vertical agar plates. ecotype col2	seedling	Col-2	root	2	weeks	P-G11558-1	P-G11558-16	GSE11558GSM291098 sample	P-G11558-14	GSE11558GSM291098 extract	total_RNA	P-G11558-3	GSE11558GSM291098 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	root - 08% oxygen - 48h - F	A-AFFY-2	P-AFFY-6	root - 08% oxygen - 48h - F	GSM291098.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11558/E-GEOD-11558.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11558-processed-data-1680990554.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11558/E-GEOD-11558.processed.1.zip	8% oxygen	48	hours
GSE11558GSM291019	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root:  roots of 2 weeks old seedlings grown on vertical agar plates. ecotype col2	seedling	Col-2	root	2	weeks	P-G11558-1	P-G11558-13	GSE11558GSM291019 sample	P-G11558-14	GSE11558GSM291019 extract	total_RNA	P-G11558-3	GSE11558GSM291019 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	root - 08% oxygen - 2h - C	A-AFFY-2	P-AFFY-6	root - 08% oxygen - 2h - C	GSM291019.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11558/E-GEOD-11558.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11558-processed-data-1680990554.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11558/E-GEOD-11558.processed.1.zip	8% oxygen	2	hours
GSE11558GSM290758	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root:  roots of 2 weeks old seedlings grown on vertical agar plates. ecotype col2	seedling	Col-2	root	2	weeks	P-G11558-1	P-G11558-7	GSE11558GSM290758 sample	P-G11558-4	GSE11558GSM290758 extract	total_RNA	P-G11558-3	GSE11558GSM290758 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	root - 01% oxygen - 48h - A	A-AFFY-2	P-AFFY-6	root - 01% oxygen - 48h - A	GSM290758.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11558/E-GEOD-11558.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11558-processed-data-1680990554.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11558/E-GEOD-11558.processed.1.zip	1% oxygen	48	hours
GSE11558GSM291101	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root:  roots of 2 weeks old seedlings grown on vertical agar plates. ecotype col2	seedling	Col-2	root	2	weeks	P-G11558-18	P-G11558-19	GSE11558GSM291101 sample	P-G11558-14	GSE11558GSM291101 extract	total_RNA	P-G11558-3	GSE11558GSM291101 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	root - 21% oxygen - 2h - E	A-AFFY-2	P-AFFY-6	root - 21% oxygen - 2h - E	GSM291101.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11558/E-GEOD-11558.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11558-processed-data-1680990554.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11558/E-GEOD-11558.processed.1.zip	21% oxygen	2	hours
GSE11558GSM291112	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root:  roots of 2 weeks old seedlings grown on vertical agar plates. ecotype col2	seedling	Col-2	root	2	weeks	P-G11558-18	P-G11558-20	GSE11558GSM291112 sample	P-G11558-14	GSE11558GSM291112 extract	total_RNA	P-G11558-3	GSE11558GSM291112 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	root - 21% oxygen - 30min - C	A-AFFY-2	P-AFFY-6	root - 21% oxygen - 30min - C	GSM291112.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11558/E-GEOD-11558.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11558-processed-data-1680990554.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11558/E-GEOD-11558.processed.1.zip	21% oxygen	30	minutes
GSE11558GSM291108	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root:  roots of 2 weeks old seedlings grown on vertical agar plates. ecotype col2	seedling	Col-2	root	2	weeks	P-G11558-18	P-G11558-17	GSE11558GSM291108 sample	P-G11558-14	GSE11558GSM291108 extract	total_RNA	P-G11558-3	GSE11558GSM291108 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	root - 21% oxygen - 2h - F	A-AFFY-2	P-AFFY-6	root - 21% oxygen - 2h - F	GSM291108.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11558/E-GEOD-11558.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11558-processed-data-1680990554.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11558/E-GEOD-11558.processed.1.zip	21% oxygen	2	hours
GSE11558GSM291118	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root:  roots of 2 weeks old seedlings grown on vertical agar plates. ecotype col2	seedling	Col-2	root	2	weeks	P-G11558-1	P-G11558-21	GSE11558GSM291118 sample	P-G11558-14	GSE11558GSM291118 extract	total_RNA	P-G11558-3	GSE11558GSM291118 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	root - 21% oxygen - 48h - B	A-AFFY-2	P-AFFY-6	root - 21% oxygen - 48h - B	GSM291118.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11558/E-GEOD-11558.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11558-processed-data-1680990554.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11558/E-GEOD-11558.processed.1.zip	21% oxygen	48	hours
GSE11558GSM290828	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root:  roots of 2 weeks old seedlings grown on vertical agar plates. ecotype col2	seedling	Col-2	root	2	weeks	P-G11558-1	P-G11558-12	GSE11558GSM290828 sample	P-G11558-4	GSE11558GSM290828 extract	total_RNA	P-G11558-3	GSE11558GSM290828 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	root - 04% oxygen - 48h - F	A-AFFY-2	P-AFFY-6	root - 04% oxygen - 48h - F	GSM290828.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11558/E-GEOD-11558.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11558-processed-data-1680990554.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11558/E-GEOD-11558.processed.1.zip	4% oxygen	48	hours
GSE11558GSM291099	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root:  roots of 2 weeks old seedlings grown on vertical agar plates. ecotype col2	seedling	Col-2	root	2	weeks	P-G11558-1	P-G11558-17	GSE11558GSM291099 sample	P-G11558-14	GSE11558GSM291099 extract	total_RNA	P-G11558-3	GSE11558GSM291099 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	root - 21% oxygen - 2h - D	A-AFFY-2	P-AFFY-6	root - 21% oxygen - 2h - D	GSM291099.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11558/E-GEOD-11558.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11558-processed-data-1680990554.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11558/E-GEOD-11558.processed.1.zip	21% oxygen	2	hours
GSE11558GSM291113	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root:  roots of 2 weeks old seedlings grown on vertical agar plates. ecotype col2	seedling	Col-2	root	2	weeks	P-G11558-1	P-G11558-20	GSE11558GSM291113 sample	P-G11558-14	GSE11558GSM291113 extract	total_RNA	P-G11558-3	GSE11558GSM291113 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	root - 21% oxygen - 30min - F	A-AFFY-2	P-AFFY-6	root - 21% oxygen - 30min - F	GSM291113.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11558/E-GEOD-11558.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11558-processed-data-1680990554.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11558/E-GEOD-11558.processed.1.zip	21% oxygen	30	minutes
GSE11558GSM290755	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root:  roots of 2 weeks old seedlings grown on vertical agar plates. ecotype col2	seedling	Col-2	root	2	weeks	P-G11558-1	P-G11558-2	GSE11558GSM290755 sample	P-G11558-4	GSE11558GSM290755 extract	total_RNA	P-G11558-3	GSE11558GSM290755 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	root - 01% oxygen - 2h - F	A-AFFY-2	P-AFFY-6	root - 01% oxygen - 2h - F	GSM290755.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11558/E-GEOD-11558.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11558-processed-data-1680990554.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11558/E-GEOD-11558.processed.1.zip	1% oxygen	2	hours
