Source Name	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[CellLine]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [COMPOUND]	FactorValue [TREATMENT DURATION]	Unit[TimeUnit]
GSM707782 1	T87 cultured cell, ABA+SA, 3hr	ABA JA 3h-2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	T87	P-GSE28600-13	P-GSE28600-3	P-GSE28600-4	GSM707782 extract 1	total RNA	P-GSE28600-5	GSM707782 LE 1	biotin	P-GSE28600-6	GSM707782	A-AFFY-2	P-GSE28600-7	P-GSE28600-8	GSM707782.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28600/E-GEOD-28600.raw.1.zip	P-GSE28600-1	GSM707782_sample_table.txt norm	GSM707782_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28600/E-GEOD-28600.processed.1.zip	abscisic acid and salicylic acid	3	hours
GSM707781 1	T87 cultured cell, ABA+SA, 3hr	ABA JA 3h-1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	T87	P-GSE28600-13	P-GSE28600-3	P-GSE28600-4	GSM707781 extract 1	total RNA	P-GSE28600-5	GSM707781 LE 1	biotin	P-GSE28600-6	GSM707781	A-AFFY-2	P-GSE28600-7	P-GSE28600-8	GSM707781.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28600/E-GEOD-28600.raw.1.zip	P-GSE28600-1	GSM707781_sample_table.txt norm	GSM707781_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28600/E-GEOD-28600.processed.1.zip	abscisic acid and salicylic acid	3	hours
GSM707780 1	T87 cultured cell, SA, 24hr	SA 24h-2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	T87	P-GSE28600-12	P-GSE28600-3	P-GSE28600-4	GSM707780 extract 1	total RNA	P-GSE28600-5	GSM707780 LE 1	biotin	P-GSE28600-6	GSM707780	A-AFFY-2	P-GSE28600-7	P-GSE28600-8	GSM707780.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28600/E-GEOD-28600.raw.1.zip	P-GSE28600-1	GSM707780_sample_table.txt norm	GSM707780_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28600/E-GEOD-28600.processed.1.zip	salicylic acid	24	hours
GSM707779 1	T87 cultured cell, SA, 24hr	SA 24h-1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	T87	P-GSE28600-12	P-GSE28600-3	P-GSE28600-4	GSM707779 extract 1	total RNA	P-GSE28600-5	GSM707779 LE 1	biotin	P-GSE28600-6	GSM707779	A-AFFY-2	P-GSE28600-7	P-GSE28600-8	GSM707779.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28600/E-GEOD-28600.raw.1.zip	P-GSE28600-1	GSM707779_sample_table.txt norm	GSM707779_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28600/E-GEOD-28600.processed.1.zip	salicylic acid	24	hours
GSM707778 1	T87 cultured cell, SA, 3hr	SA 3h-2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	T87	P-GSE28600-11	P-GSE28600-3	P-GSE28600-4	GSM707778 extract 1	total RNA	P-GSE28600-5	GSM707778 LE 1	biotin	P-GSE28600-6	GSM707778	A-AFFY-2	P-GSE28600-7	P-GSE28600-8	GSM707778.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28600/E-GEOD-28600.raw.1.zip	P-GSE28600-1	GSM707778_sample_table.txt norm	GSM707778_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28600/E-GEOD-28600.processed.1.zip	salicylic acid	3	hours
GSM707777 1	T87 cultured cell, SA, 3hr	SA 3h-1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	T87	P-GSE28600-11	P-GSE28600-3	P-GSE28600-4	GSM707777 extract 1	total RNA	P-GSE28600-5	GSM707777 LE 1	biotin	P-GSE28600-6	GSM707777	A-AFFY-2	P-GSE28600-7	P-GSE28600-8	GSM707777.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28600/E-GEOD-28600.raw.1.zip	P-GSE28600-1	GSM707777_sample_table.txt norm	GSM707777_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28600/E-GEOD-28600.processed.1.zip	salicylic acid	3	hours
GSM707776 1	T87 cultured cell, ABA, 24hr	ABA 24h-3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	T87	P-GSE28600-10	P-GSE28600-3	P-GSE28600-4	GSM707776 extract 1	total RNA	P-GSE28600-5	GSM707776 LE 1	biotin	P-GSE28600-6	GSM707776	A-AFFY-2	P-GSE28600-7	P-GSE28600-8	GSM707776.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28600/E-GEOD-28600.raw.1.zip	P-GSE28600-1	GSM707776_sample_table.txt norm	GSM707776_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28600/E-GEOD-28600.processed.1.zip	abscisic acid	24	hours
GSM707775 1	T87 cultured cell, ABA, 24hr	ABA 24h-2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	T87	P-GSE28600-10	P-GSE28600-3	P-GSE28600-4	GSM707775 extract 1	total RNA	P-GSE28600-5	GSM707775 LE 1	biotin	P-GSE28600-6	GSM707775	A-AFFY-2	P-GSE28600-7	P-GSE28600-8	GSM707775.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28600/E-GEOD-28600.raw.1.zip	P-GSE28600-1	GSM707775_sample_table.txt norm	GSM707775_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28600/E-GEOD-28600.processed.1.zip	abscisic acid	24	hours
GSM707774 1	T87 cultured cell, ABA, 24hr	ABA 24h-1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	T87	P-GSE28600-10	P-GSE28600-3	P-GSE28600-4	GSM707774 extract 1	total RNA	P-GSE28600-5	GSM707774 LE 1	biotin	P-GSE28600-6	GSM707774	A-AFFY-2	P-GSE28600-7	P-GSE28600-8	GSM707774.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28600/E-GEOD-28600.raw.1.zip	P-GSE28600-1	GSM707774_sample_table.txt norm	GSM707774_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28600/E-GEOD-28600.processed.1.zip	abscisic acid	24	hours
GSM707773 1	T87 cultured cell, ABA, 3hr	ABA 3h-3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	T87	P-GSE28600-9	P-GSE28600-3	P-GSE28600-4	GSM707773 extract 1	total RNA	P-GSE28600-5	GSM707773 LE 1	biotin	P-GSE28600-6	GSM707773	A-AFFY-2	P-GSE28600-7	P-GSE28600-8	GSM707773.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28600/E-GEOD-28600.raw.1.zip	P-GSE28600-1	GSM707773_sample_table.txt norm	GSM707773_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28600/E-GEOD-28600.processed.1.zip	abscisic acid	3	hours
GSM707772 1	T87 cultured cell, ABA, 3hr	ABA 3h-2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	T87	P-GSE28600-9	P-GSE28600-3	P-GSE28600-4	GSM707772 extract 1	total RNA	P-GSE28600-5	GSM707772 LE 1	biotin	P-GSE28600-6	GSM707772	A-AFFY-2	P-GSE28600-7	P-GSE28600-8	GSM707772.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28600/E-GEOD-28600.raw.1.zip	P-GSE28600-1	GSM707772_sample_table.txt norm	GSM707772_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28600/E-GEOD-28600.processed.1.zip	abscisic acid	3	hours
GSM707771 1	T87 cultured cell, ABA, 3hr	ABA 3h-1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	T87	P-GSE28600-9	P-GSE28600-3	P-GSE28600-4	GSM707771 extract 1	total RNA	P-GSE28600-5	GSM707771 LE 1	biotin	P-GSE28600-6	GSM707771	A-AFFY-2	P-GSE28600-7	P-GSE28600-8	GSM707771.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28600/E-GEOD-28600.raw.1.zip	P-GSE28600-1	GSM707771_sample_table.txt norm	GSM707771_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28600/E-GEOD-28600.processed.1.zip	abscisic acid	3	hours
GSM707770 1	T87 cultured cell, control, 24hr	EtOH 24h-2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	T87	P-GSE28600-2	P-GSE28600-3	P-GSE28600-4	GSM707770 extract 1	total RNA	P-GSE28600-5	GSM707770 LE 1	biotin	P-GSE28600-6	GSM707770	A-AFFY-2	P-GSE28600-7	P-GSE28600-8	GSM707770.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28600/E-GEOD-28600.raw.1.zip	P-GSE28600-1	GSM707770_sample_table.txt norm	GSM707770_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28600/E-GEOD-28600.processed.1.zip	EtOH	24	hours
GSM707769 1	T87 cultured cell, control, 24hr	EtOH 24h-1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	T87	P-GSE28600-2	P-GSE28600-3	P-GSE28600-4	GSM707769 extract 1	total RNA	P-GSE28600-5	GSM707769 LE 1	biotin	P-GSE28600-6	GSM707769	A-AFFY-2	P-GSE28600-7	P-GSE28600-8	GSM707769.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28600/E-GEOD-28600.raw.1.zip	P-GSE28600-1	GSM707769_sample_table.txt norm	GSM707769_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28600/E-GEOD-28600.processed.1.zip	EtOH	24	hours
GSM707768 1	T87 cultured cell, control, 3hr	EtOH 3h-2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	T87	P-GSE28600-2	P-GSE28600-3	P-GSE28600-4	GSM707768 extract 1	total RNA	P-GSE28600-5	GSM707768 LE 1	biotin	P-GSE28600-6	GSM707768	A-AFFY-2	P-GSE28600-7	P-GSE28600-8	GSM707768.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28600/E-GEOD-28600.raw.1.zip	P-GSE28600-1	GSM707768_sample_table.txt norm	GSM707768_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28600/E-GEOD-28600.processed.1.zip	EtOH	3	hours
GSM707767 1	T87 cultured cell, control, 3hr	EtOH 3h-1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	T87	P-GSE28600-2	P-GSE28600-3	P-GSE28600-4	GSM707767 extract 1	total RNA	P-GSE28600-5	GSM707767 LE 1	biotin	P-GSE28600-6	GSM707767	A-AFFY-2	P-GSE28600-7	P-GSE28600-8	GSM707767.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28600/E-GEOD-28600.raw.1.zip	P-GSE28600-1	GSM707767_sample_table.txt norm	GSM707767_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28600/E-GEOD-28600.processed.1.zip	EtOH	3	hours
